GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0005869	dynactin complex	12	5	0.18	4.6e-07	ENSDARG00000023988,ENSDARG00000031388,ENSDARG00000036371,ENSDARG00000038432,ENSDARG00000041363,ENSDARG00000042535,ENSDARG00000045180,ENSDARG00000055618,ENSDARG00000057911,ENSDARG00000076126,ENSDARG00000079111,ENSDARG00000099197
GO:0042383	sarcolemma	36	7	0.53	7.5e-07	ENSDARG00000002167,ENSDARG00000003632,ENSDARG00000007370,ENSDARG00000008487,ENSDARG00000008772,ENSDARG00000012138,ENSDARG00000013422,ENSDARG00000014804,ENSDARG00000016153,ENSDARG00000021987,ENSDARG00000024141,ENSDARG00000036457,ENSDARG00000037145,ENSDARG00000043313,ENSDARG00000043406,ENSDARG00000044968,ENSDARG00000052000,ENSDARG00000052341,ENSDARG00000055154,ENSDARG00000056964,ENSDARG00000058551,ENSDARG00000060095,ENSDARG00000060745,ENSDARG00000062590,ENSDARG00000068910,ENSDARG00000070923,ENSDARG00000071331,ENSDARG00000074004,ENSDARG00000089920,ENSDARG00000098420,ENSDARG00000098573,ENSDARG00000098856,ENSDARG00000098883,ENSDARG00000099045,ENSDARG00000100592,ENSDARG00000103747
GO:0030018	Z disc	48	7	0.7	5.7e-06	ENSDARG00000001431,ENSDARG00000003991,ENSDARG00000006603,ENSDARG00000007219,ENSDARG00000008982,ENSDARG00000011023,ENSDARG00000011961,ENSDARG00000012311,ENSDARG00000013755,ENSDARG00000014248,ENSDARG00000014805,ENSDARG00000018105,ENSDARG00000019117,ENSDARG00000019845,ENSDARG00000026985,ENSDARG00000027600,ENSDARG00000029907,ENSDARG00000030980,ENSDARG00000032630,ENSDARG00000034240,ENSDARG00000034643,ENSDARG00000037266,ENSDARG00000040917,ENSDARG00000042018,ENSDARG00000045228,ENSDARG00000056209,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000057317,ENSDARG00000058656,ENSDARG00000067701,ENSDARG00000068973,ENSDARG00000071331,ENSDARG00000071445,ENSDARG00000071498,ENSDARG00000076449,ENSDARG00000077157,ENSDARG00000078696,ENSDARG00000098856,ENSDARG00000099032,ENSDARG00000099974,ENSDARG00000101706,ENSDARG00000101777,ENSDARG00000104315,ENSDARG00000104713,ENSDARG00000104924,ENSDARG00000106873,ENSDARG00000114870
GO:0005882	intermediate filament	73	7	1.07	9.2e-05	ENSDARG00000000212,ENSDARG00000003146,ENSDARG00000005221,ENSDARG00000007751,ENSDARG00000010008,ENSDARG00000011862,ENSDARG00000011998,ENSDARG00000012281,ENSDARG00000012426,ENSDARG00000013415,ENSDARG00000014356,ENSDARG00000017624,ENSDARG00000019365,ENSDARG00000019808,ENSDARG00000021351,ENSDARG00000021987,ENSDARG00000022334,ENSDARG00000023026,ENSDARG00000023082,ENSDARG00000025301,ENSDARG00000026979,ENSDARG00000028306,ENSDARG00000028533,ENSDARG00000028618,ENSDARG00000034836,ENSDARG00000035944,ENSDARG00000036830,ENSDARG00000036832,ENSDARG00000036834,ENSDARG00000036840,ENSDARG00000041339,ENSDARG00000043242,ENSDARG00000043697,ENSDARG00000044261,ENSDARG00000044299,ENSDARG00000044501,ENSDARG00000044973,ENSDARG00000044975,ENSDARG00000044976,ENSDARG00000053201,ENSDARG00000053248,ENSDARG00000054321,ENSDARG00000055192,ENSDARG00000056248,ENSDARG00000057568,ENSDARG00000057881,ENSDARG00000058332,ENSDARG00000058358,ENSDARG00000058371,ENSDARG00000058462,ENSDARG00000058656,ENSDARG00000062101,ENSDARG00000062108,ENSDARG00000062350,ENSDARG00000062590,ENSDARG00000062976,ENSDARG00000068589,ENSDARG00000069046,ENSDARG00000071518,ENSDARG00000074919,ENSDARG00000076673,ENSDARG00000089435,ENSDARG00000090268,ENSDARG00000092947,ENSDARG00000094041,ENSDARG00000095147,ENSDARG00000101624,ENSDARG00000101858,ENSDARG00000102911,ENSDARG00000103459,ENSDARG00000105188,ENSDARG00000107053,ENSDARG00000115956
GO:0005925	focal adhesion	54	5	0.79	0.0011	ENSDARG00000002494,ENSDARG00000003046,ENSDARG00000003632,ENSDARG00000004672,ENSDARG00000012942,ENSDARG00000013335,ENSDARG00000014976,ENSDARG00000017901,ENSDARG00000019117,ENSDARG00000021200,ENSDARG00000021896,ENSDARG00000021987,ENSDARG00000022689,ENSDARG00000022841,ENSDARG00000023578,ENSDARG00000024141,ENSDARG00000026985,ENSDARG00000028222,ENSDARG00000028507,ENSDARG00000035629,ENSDARG00000039577,ENSDARG00000040985,ENSDARG00000043710,ENSDARG00000045070,ENSDARG00000051857,ENSDARG00000052000,ENSDARG00000052652,ENSDARG00000053232,ENSDARG00000056525,ENSDARG00000056767,ENSDARG00000056964,ENSDARG00000057867,ENSDARG00000060766,ENSDARG00000061603,ENSDARG00000062590,ENSDARG00000067711,ENSDARG00000069331,ENSDARG00000070923,ENSDARG00000071113,ENSDARG00000075733,ENSDARG00000079315,ENSDARG00000079317,ENSDARG00000088590,ENSDARG00000091090,ENSDARG00000100287,ENSDARG00000100456,ENSDARG00000100729,ENSDARG00000100973,ENSDARG00000101858,ENSDARG00000103747,ENSDARG00000107053,ENSDARG00000109929,ENSDARG00000110973,ENSDARG00000113614
GO:0005901	caveola	27	3	0.39	0.0069	ENSDARG00000001710,ENSDARG00000003632,ENSDARG00000011317,ENSDARG00000024141,ENSDARG00000026759,ENSDARG00000027611,ENSDARG00000032639,ENSDARG00000037998,ENSDARG00000040523,ENSDARG00000045003,ENSDARG00000052000,ENSDARG00000052701,ENSDARG00000053381,ENSDARG00000057029,ENSDARG00000058165,ENSDARG00000059362,ENSDARG00000063037,ENSDARG00000069774,ENSDARG00000070074,ENSDARG00000070923,ENSDARG00000071196,ENSDARG00000076411,ENSDARG00000078014,ENSDARG00000094850,ENSDARG00000101145,ENSDARG00000101557,ENSDARG00000103747
GO:0001725	stress fiber	28	3	0.41	0.0077	ENSDARG00000007219,ENSDARG00000009689,ENSDARG00000011023,ENSDARG00000014248,ENSDARG00000015059,ENSDARG00000019845,ENSDARG00000023578,ENSDARG00000027600,ENSDARG00000034643,ENSDARG00000045064,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000068973,ENSDARG00000069331,ENSDARG00000071113,ENSDARG00000073860,ENSDARG00000075540,ENSDARG00000075733,ENSDARG00000078803,ENSDARG00000079869,ENSDARG00000086300,ENSDARG00000088168,ENSDARG00000091090,ENSDARG00000099974,ENSDARG00000101777,ENSDARG00000104315,ENSDARG00000104713,ENSDARG00000114870
GO:0015629	actin cytoskeleton	288	17	4.21	0.0086	ENSDARG00000000103,ENSDARG00000000474,ENSDARG00000001014,ENSDARG00000001431,ENSDARG00000001993,ENSDARG00000002988,ENSDARG00000003219,ENSDARG00000003872,ENSDARG00000004049,ENSDARG00000004658,ENSDARG00000004904,ENSDARG00000005162,ENSDARG00000005841,ENSDARG00000006385,ENSDARG00000006892,ENSDARG00000007219,ENSDARG00000007715,ENSDARG00000008170,ENSDARG00000008383,ENSDARG00000008487,ENSDARG00000008803,ENSDARG00000009133,ENSDARG00000009336,ENSDARG00000009689,ENSDARG00000009693,ENSDARG00000009727,ENSDARG00000009782,ENSDARG00000010186,ENSDARG00000010255,ENSDARG00000011023,ENSDARG00000011400,ENSDARG00000011459,ENSDARG00000011661,ENSDARG00000011777,ENSDARG00000011975,ENSDARG00000012311,ENSDARG00000012944,ENSDARG00000012972,ENSDARG00000013110,ENSDARG00000013752,ENSDARG00000013755,ENSDARG00000014106,ENSDARG00000014113,ENSDARG00000014248,ENSDARG00000014651,ENSDARG00000015059,ENSDARG00000015149,ENSDARG00000015805,ENSDARG00000015937,ENSDARG00000016016,ENSDARG00000017004,ENSDARG00000017036,ENSDARG00000019062,ENSDARG00000019117,ENSDARG00000019128,ENSDARG00000019231,ENSDARG00000019845,ENSDARG00000020610,ENSDARG00000020890,ENSDARG00000020924,ENSDARG00000021124,ENSDARG00000021193,ENSDARG00000023318,ENSDARG00000023484,ENSDARG00000023578,ENSDARG00000023963,ENSDARG00000023988,ENSDARG00000024694,ENSDARG00000024785,ENSDARG00000025218,ENSDARG00000026829,ENSDARG00000027063,ENSDARG00000027600,ENSDARG00000028533,ENSDARG00000028943,ENSDARG00000029069,ENSDARG00000029995,ENSDARG00000030270,ENSDARG00000030490,ENSDARG00000031388,ENSDARG00000032242,ENSDARG00000032482,ENSDARG00000033466,ENSDARG00000034240,ENSDARG00000034643,ENSDARG00000035322,ENSDARG00000035433,ENSDARG00000035438,ENSDARG00000035560,ENSDARG00000035598,ENSDARG00000035629,ENSDARG00000035958,ENSDARG00000036104,ENSDARG00000036179,ENSDARG00000036371,ENSDARG00000036671,ENSDARG00000036764,ENSDARG00000036863,ENSDARG00000037266,ENSDARG00000037539,ENSDARG00000037655,ENSDARG00000037747,ENSDARG00000037954,ENSDARG00000038432,ENSDARG00000039142,ENSDARG00000040466,ENSDARG00000041257,ENSDARG00000041363,ENSDARG00000041414,ENSDARG00000041720,ENSDARG00000042141,ENSDARG00000042535,ENSDARG00000042559,ENSDARG00000043643,ENSDARG00000043667,ENSDARG00000043710,ENSDARG00000044016,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000044968,ENSDARG00000045064,ENSDARG00000045180,ENSDARG00000045262,ENSDARG00000045298,ENSDARG00000045592,ENSDARG00000045822,ENSDARG00000045864,ENSDARG00000045880,ENSDARG00000052438,ENSDARG00000052708,ENSDARG00000052903,ENSDARG00000053956,ENSDARG00000054060,ENSDARG00000054063,ENSDARG00000055075,ENSDARG00000055223,ENSDARG00000055607,ENSDARG00000055618,ENSDARG00000056090,ENSDARG00000056111,ENSDARG00000056209,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000057882,ENSDARG00000057911,ENSDARG00000058225,ENSDARG00000058690,ENSDARG00000058946,ENSDARG00000059342,ENSDARG00000059442,ENSDARG00000059773,ENSDARG00000060860,ENSDARG00000060917,ENSDARG00000061304,ENSDARG00000061579,ENSDARG00000061635,ENSDARG00000061778,ENSDARG00000061810,ENSDARG00000061862,ENSDARG00000061968,ENSDARG00000062003,ENSDARG00000062481,ENSDARG00000063295,ENSDARG00000063580,ENSDARG00000067701,ENSDARG00000067711,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000067997,ENSDARG00000068457,ENSDARG00000068973,ENSDARG00000069331,ENSDARG00000070076,ENSDARG00000070835,ENSDARG00000070991,ENSDARG00000071084,ENSDARG00000071113,ENSDARG00000071445,ENSDARG00000071709,ENSDARG00000073732,ENSDARG00000073761,ENSDARG00000073766,ENSDARG00000073843,ENSDARG00000073860,ENSDARG00000074143,ENSDARG00000074184,ENSDARG00000074396,ENSDARG00000074443,ENSDARG00000074575,ENSDARG00000074723,ENSDARG00000075292,ENSDARG00000075334,ENSDARG00000075540,ENSDARG00000075706,ENSDARG00000075733,ENSDARG00000075752,ENSDARG00000075989,ENSDARG00000076075,ENSDARG00000076126,ENSDARG00000076357,ENSDARG00000076416,ENSDARG00000076729,ENSDARG00000077157,ENSDARG00000077201,ENSDARG00000077261,ENSDARG00000077288,ENSDARG00000077410,ENSDARG00000078313,ENSDARG00000078474,ENSDARG00000078582,ENSDARG00000078603,ENSDARG00000078696,ENSDARG00000078734,ENSDARG00000078803,ENSDARG00000079111,ENSDARG00000079366,ENSDARG00000079564,ENSDARG00000079782,ENSDARG00000079869,ENSDARG00000079895,ENSDARG00000079900,ENSDARG00000079994,ENSDARG00000086300,ENSDARG00000086391,ENSDARG00000086874,ENSDARG00000087402,ENSDARG00000088130,ENSDARG00000088168,ENSDARG00000089162,ENSDARG00000089435,ENSDARG00000090234,ENSDARG00000090369,ENSDARG00000090637,ENSDARG00000091090,ENSDARG00000091138,ENSDARG00000092999,ENSDARG00000093931,ENSDARG00000094181,ENSDARG00000094760,ENSDARG00000095217,ENSDARG00000095930,ENSDARG00000098695,ENSDARG00000098747,ENSDARG00000099197,ENSDARG00000099352,ENSDARG00000099870,ENSDARG00000099871,ENSDARG00000099959,ENSDARG00000099974,ENSDARG00000100222,ENSDARG00000100252,ENSDARG00000100694,ENSDARG00000100805,ENSDARG00000100972,ENSDARG00000101777,ENSDARG00000101812,ENSDARG00000102003,ENSDARG00000102056,ENSDARG00000102081,ENSDARG00000102414,ENSDARG00000102415,ENSDARG00000102441,ENSDARG00000102883,ENSDARG00000103837,ENSDARG00000103917,ENSDARG00000103969,ENSDARG00000104118,ENSDARG00000104235,ENSDARG00000104283,ENSDARG00000104300,ENSDARG00000104315,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000104924,ENSDARG00000105209,ENSDARG00000106873,ENSDARG00000110192,ENSDARG00000110291,ENSDARG00000110596,ENSDARG00000111386,ENSDARG00000111606,ENSDARG00000112015,ENSDARG00000112168,ENSDARG00000112287,ENSDARG00000114022,ENSDARG00000114031,ENSDARG00000114818,ENSDARG00000114870
GO:0030054	cell junction	422	16	6.16	0.0170	ENSDARG00000000086,ENSDARG00000000161,ENSDARG00000001431,ENSDARG00000001634,ENSDARG00000002255,ENSDARG00000002494,ENSDARG00000002909,ENSDARG00000003046,ENSDARG00000003091,ENSDARG00000003113,ENSDARG00000003169,ENSDARG00000003420,ENSDARG00000003632,ENSDARG00000003701,ENSDARG00000003779,ENSDARG00000003925,ENSDARG00000004082,ENSDARG00000004627,ENSDARG00000004672,ENSDARG00000005108,ENSDARG00000005343,ENSDARG00000005364,ENSDARG00000005482,ENSDARG00000006272,ENSDARG00000006602,ENSDARG00000006604,ENSDARG00000007099,ENSDARG00000007219,ENSDARG00000008170,ENSDARG00000008487,ENSDARG00000009215,ENSDARG00000009544,ENSDARG00000010583,ENSDARG00000010610,ENSDARG00000010681,ENSDARG00000011023,ENSDARG00000011066,ENSDARG00000011863,ENSDARG00000012942,ENSDARG00000013335,ENSDARG00000013389,ENSDARG00000013414,ENSDARG00000013755,ENSDARG00000014047,ENSDARG00000014059,ENSDARG00000014169,ENSDARG00000014248,ENSDARG00000014522,ENSDARG00000014875,ENSDARG00000014976,ENSDARG00000015076,ENSDARG00000015851,ENSDARG00000015955,ENSDARG00000015964,ENSDARG00000016016,ENSDARG00000016081,ENSDARG00000016153,ENSDARG00000017320,ENSDARG00000017649,ENSDARG00000017722,ENSDARG00000017790,ENSDARG00000017901,ENSDARG00000018270,ENSDARG00000018693,ENSDARG00000018997,ENSDARG00000019117,ENSDARG00000019231,ENSDARG00000019342,ENSDARG00000019845,ENSDARG00000019917,ENSDARG00000020031,ENSDARG00000020845,ENSDARG00000021200,ENSDARG00000021352,ENSDARG00000021392,ENSDARG00000021442,ENSDARG00000021590,ENSDARG00000021889,ENSDARG00000021896,ENSDARG00000021987,ENSDARG00000022101,ENSDARG00000022309,ENSDARG00000022532,ENSDARG00000022689,ENSDARG00000022841,ENSDARG00000023026,ENSDARG00000023443,ENSDARG00000023472,ENSDARG00000023542,ENSDARG00000023578,ENSDARG00000023771,ENSDARG00000024141,ENSDARG00000024785,ENSDARG00000024964,ENSDARG00000025076,ENSDARG00000025108,ENSDARG00000025206,ENSDARG00000026753,ENSDARG00000026985,ENSDARG00000027153,ENSDARG00000027322,ENSDARG00000027600,ENSDARG00000027828,ENSDARG00000028096,ENSDARG00000028222,ENSDARG00000028321,ENSDARG00000028507,ENSDARG00000030490,ENSDARG00000030614,ENSDARG00000030722,ENSDARG00000030723,ENSDARG00000031049,ENSDARG00000032324,ENSDARG00000032714,ENSDARG00000032799,ENSDARG00000034207,ENSDARG00000034307,ENSDARG00000034555,ENSDARG00000034559,ENSDARG00000034757,ENSDARG00000034930,ENSDARG00000035175,ENSDARG00000035553,ENSDARG00000035629,ENSDARG00000036090,ENSDARG00000036376,ENSDARG00000037292,ENSDARG00000037353,ENSDARG00000037498,ENSDARG00000038508,ENSDARG00000038655,ENSDARG00000038794,ENSDARG00000038981,ENSDARG00000039096,ENSDARG00000039174,ENSDARG00000039577,ENSDARG00000040045,ENSDARG00000040065,ENSDARG00000040380,ENSDARG00000040627,ENSDARG00000040628,ENSDARG00000040985,ENSDARG00000040991,ENSDARG00000041729,ENSDARG00000041787,ENSDARG00000041792,ENSDARG00000041797,ENSDARG00000041799,ENSDARG00000042329,ENSDARG00000042350,ENSDARG00000042357,ENSDARG00000042707,ENSDARG00000042866,ENSDARG00000043128,ENSDARG00000043133,ENSDARG00000043710,ENSDARG00000043716,ENSDARG00000044281,ENSDARG00000044387,ENSDARG00000044569,ENSDARG00000044968,ENSDARG00000045067,ENSDARG00000045070,ENSDARG00000045302,ENSDARG00000045331,ENSDARG00000045945,ENSDARG00000051857,ENSDARG00000051861,ENSDARG00000052000,ENSDARG00000052652,ENSDARG00000052705,ENSDARG00000052765,ENSDARG00000052982,ENSDARG00000053062,ENSDARG00000053232,ENSDARG00000053665,ENSDARG00000053956,ENSDARG00000054060,ENSDARG00000054150,ENSDARG00000054616,ENSDARG00000054680,ENSDARG00000054744,ENSDARG00000055302,ENSDARG00000055559,ENSDARG00000055843,ENSDARG00000056084,ENSDARG00000056322,ENSDARG00000056525,ENSDARG00000056767,ENSDARG00000056877,ENSDARG00000056964,ENSDARG00000056998,ENSDARG00000057025,ENSDARG00000057792,ENSDARG00000057826,ENSDARG00000057867,ENSDARG00000058064,ENSDARG00000058103,ENSDARG00000058207,ENSDARG00000058736,ENSDARG00000058880,ENSDARG00000058906,ENSDARG00000058930,ENSDARG00000058937,ENSDARG00000058969,ENSDARG00000059067,ENSDARG00000059368,ENSDARG00000059763,ENSDARG00000059809,ENSDARG00000059891,ENSDARG00000059945,ENSDARG00000059978,ENSDARG00000059997,ENSDARG00000060072,ENSDARG00000060095,ENSDARG00000060368,ENSDARG00000060439,ENSDARG00000060711,ENSDARG00000060745,ENSDARG00000060758,ENSDARG00000060766,ENSDARG00000061371,ENSDARG00000061459,ENSDARG00000061603,ENSDARG00000061651,ENSDARG00000061688,ENSDARG00000061797,ENSDARG00000061800,ENSDARG00000062325,ENSDARG00000062415,ENSDARG00000062427,ENSDARG00000062508,ENSDARG00000062590,ENSDARG00000063026,ENSDARG00000063054,ENSDARG00000063309,ENSDARG00000063332,ENSDARG00000063390,ENSDARG00000067711,ENSDARG00000067999,ENSDARG00000068114,ENSDARG00000068397,ENSDARG00000068893,ENSDARG00000068973,ENSDARG00000068989,ENSDARG00000069139,ENSDARG00000069254,ENSDARG00000069331,ENSDARG00000069339,ENSDARG00000069378,ENSDARG00000069450,ENSDARG00000069451,ENSDARG00000069503,ENSDARG00000069505,ENSDARG00000069598,ENSDARG00000069660,ENSDARG00000069767,ENSDARG00000069888,ENSDARG00000070145,ENSDARG00000070357,ENSDARG00000070362,ENSDARG00000070511,ENSDARG00000070543,ENSDARG00000070724,ENSDARG00000070730,ENSDARG00000070781,ENSDARG00000070787,ENSDARG00000070923,ENSDARG00000070972,ENSDARG00000071042,ENSDARG00000071091,ENSDARG00000071113,ENSDARG00000071192,ENSDARG00000071298,ENSDARG00000071493,ENSDARG00000073769,ENSDARG00000073896,ENSDARG00000074121,ENSDARG00000074524,ENSDARG00000074829,ENSDARG00000075058,ENSDARG00000075215,ENSDARG00000075549,ENSDARG00000075733,ENSDARG00000075802,ENSDARG00000075806,ENSDARG00000075854,ENSDARG00000075864,ENSDARG00000075960,ENSDARG00000076137,ENSDARG00000076292,ENSDARG00000076416,ENSDARG00000076495,ENSDARG00000076496,ENSDARG00000076564,ENSDARG00000076594,ENSDARG00000076673,ENSDARG00000076789,ENSDARG00000076796,ENSDARG00000077047,ENSDARG00000077506,ENSDARG00000077560,ENSDARG00000077710,ENSDARG00000077761,ENSDARG00000077842,ENSDARG00000077996,ENSDARG00000078088,ENSDARG00000078149,ENSDARG00000078233,ENSDARG00000078335,ENSDARG00000078615,ENSDARG00000078842,ENSDARG00000079251,ENSDARG00000079315,ENSDARG00000079317,ENSDARG00000079348,ENSDARG00000079374,ENSDARG00000079377,ENSDARG00000079420,ENSDARG00000079438,ENSDARG00000079586,ENSDARG00000079834,ENSDARG00000079850,ENSDARG00000079858,ENSDARG00000079900,ENSDARG00000086034,ENSDARG00000086207,ENSDARG00000086255,ENSDARG00000086453,ENSDARG00000087247,ENSDARG00000087403,ENSDARG00000087805,ENSDARG00000088227,ENSDARG00000088590,ENSDARG00000089486,ENSDARG00000089553,ENSDARG00000089871,ENSDARG00000090598,ENSDARG00000090624,ENSDARG00000091090,ENSDARG00000091459,ENSDARG00000093349,ENSDARG00000094181,ENSDARG00000094512,ENSDARG00000094677,ENSDARG00000094990,ENSDARG00000097726,ENSDARG00000098081,ENSDARG00000098420,ENSDARG00000098612,ENSDARG00000098764,ENSDARG00000098880,ENSDARG00000099096,ENSDARG00000099181,ENSDARG00000099196,ENSDARG00000099291,ENSDARG00000099598,ENSDARG00000099654,ENSDARG00000099744,ENSDARG00000099928,ENSDARG00000099950,ENSDARG00000099974,ENSDARG00000100032,ENSDARG00000100222,ENSDARG00000100287,ENSDARG00000100456,ENSDARG00000100729,ENSDARG00000100844,ENSDARG00000100887,ENSDARG00000100973,ENSDARG00000100991,ENSDARG00000101109,ENSDARG00000101120,ENSDARG00000101449,ENSDARG00000101677,ENSDARG00000101702,ENSDARG00000101759,ENSDARG00000101777,ENSDARG00000101858,ENSDARG00000101869,ENSDARG00000101878,ENSDARG00000101995,ENSDARG00000102441,ENSDARG00000102443,ENSDARG00000102445,ENSDARG00000102750,ENSDARG00000102769,ENSDARG00000103638,ENSDARG00000103703,ENSDARG00000103747,ENSDARG00000103962,ENSDARG00000104528,ENSDARG00000104550,ENSDARG00000104665,ENSDARG00000104713,ENSDARG00000104786,ENSDARG00000105042,ENSDARG00000105575,ENSDARG00000106245,ENSDARG00000107053,ENSDARG00000109929,ENSDARG00000110192,ENSDARG00000110206,ENSDARG00000110804,ENSDARG00000110973,ENSDARG00000111920,ENSDARG00000111977,ENSDARG00000112049,ENSDARG00000112073,ENSDARG00000113614,ENSDARG00000113702,ENSDARG00000113771,ENSDARG00000113833,ENSDARG00000113935,ENSDARG00000114870,ENSDARG00000115608,ENSDARG00000115778,ENSDARG00000115903,ENSDARG00000115925,ENSDARG00000115989,ENSDARG00000116374,ENSDARG00000116895
GO:0031941	filamentous actin	14	2	0.2	0.0172	ENSDARG00000011023,ENSDARG00000014248,ENSDARG00000019845,ENSDARG00000027600,ENSDARG00000041257,ENSDARG00000043643,ENSDARG00000045880,ENSDARG00000056322,ENSDARG00000059442,ENSDARG00000068973,ENSDARG00000079895,ENSDARG00000099974,ENSDARG00000101777,ENSDARG00000114870
