GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0005869	dynactin complex	10	6	0.25	4.0e-08	ENSDARG00000031388	0	-0.07591190892842997	dctn2	dynactin 2 (p50) [Source:NCBI gene;Acc:394141]
GO:0005869	dynactin complex	10	6	0.25	4.0e-08	ENSDARG00000038432	0	-0.03997613147666157	actr10	actin related protein 10 [Source:ZFIN;Acc:ZDB-GENE-040426-768]
GO:0005869	dynactin complex	10	6	0.25	4.0e-08	ENSDARG00000057911	0	-0.1208242801476588	ACTC1	zgc:86709 [Source:ZFIN;Acc:ZDB-GENE-040625-35]
GO:0005869	dynactin complex	10	6	0.25	4.0e-08	ENSDARG00000076126	0	-0.17789401698054913	actc1a	actin alpha cardiac muscle 1a [Source:ZFIN;Acc:ZDB-GENE-040520-4]
GO:0005869	dynactin complex	10	6	0.25	4.0e-08	ENSDARG00000036371	1	-1.3480531723135838	acta1a	actin alpha 1, skeletal muscle a [Source:ZFIN;Acc:ZDB-GENE-050417-267]
GO:0005869	dynactin complex	10	6	0.25	4.0e-08	ENSDARG00000042535	1	-0.3539195683853088	actc1a	actin alpha cardiac muscle 1a [Source:ZFIN;Acc:ZDB-GENE-040520-4]
GO:0005869	dynactin complex	10	6	0.25	4.0e-08	ENSDARG00000045180	1	-0.28285965048951855	acta2	actin alpha 2, smooth muscle [Source:ZFIN;Acc:ZDB-GENE-030131-1229]
GO:0005869	dynactin complex	10	6	0.25	4.0e-08	ENSDARG00000055618	1	-1.513783420323701	acta1b	actin alpha 1, skeletal muscle b [Source:ZFIN;Acc:ZDB-GENE-030131-55]
GO:0005869	dynactin complex	10	6	0.25	4.0e-08	ENSDARG00000079111	1	-1.0121438897307617	actc1c	actin alpha cardiac muscle 1c [Source:ZFIN;Acc:ZDB-GENE-040625-46]
GO:0005869	dynactin complex	10	6	0.25	4.0e-08	ENSDARG00000099197	1	-0.5463286050195975	actc1b	actin alpha cardiac muscle 1b [Source:ZFIN;Acc:ZDB-GENE-000322-1]
GO:0005882	intermediate filament	39	7	0.96	3.9e-05	ENSDARG00000000212	0	-0.0325997860930971	krt97	keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]
GO:0005882	intermediate filament	39	7	0.96	3.9e-05	ENSDARG00000007751	0	-0.27620612409432876	lmnl3	lamin L3 [Source:ZFIN;Acc:ZDB-GENE-020424-4]
GO:0005882	intermediate filament	39	7	0.96	3.9e-05	ENSDARG00000010008	0	-0.17391679930832818	vim	vimentin [Source:ZFIN;Acc:ZDB-GENE-011212-3]
GO:0005882	intermediate filament	39	7	0.96	3.9e-05	ENSDARG00000011998	0	-0.022432976021272134	bfsp2	beaded filament structural protein 2, phakinin [Source:ZFIN;Acc:ZDB-GENE-041212-58]
GO:0005882	intermediate filament	39	7	0.96	3.9e-05	ENSDARG00000014356	0	-0.1550215502497566	krt95	kertain 95 [Source:ZFIN;Acc:ZDB-GENE-040718-88]
GO:0005882	intermediate filament	39	7	0.96	3.9e-05	ENSDARG00000023082	0	-0.15352238132603718	krt1-19d	keratin, type 1, gene 19d [Source:ZFIN;Acc:ZDB-GENE-060316-1]
