GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0045214	sarcomere organization	18	9	0.86	4.0e-08	ENSDARG00000006757,ENSDARG00000008487,ENSDARG00000009280,ENSDARG00000013422,ENSDARG00000017400,ENSDARG00000018820,ENSDARG00000024141,ENSDARG00000032242,ENSDARG00000044968,ENSDARG00000045822,ENSDARG00000058656,ENSDARG00000061904,ENSDARG00000063682,ENSDARG00000068457,ENSDARG00000077722,ENSDARG00000091253,ENSDARG00000101706,ENSDARG00000114022
GO:0007160	cell-matrix adhesion	37	11	1.77	7.2e-07	ENSDARG00000002494,ENSDARG00000008969,ENSDARG00000009471,ENSDARG00000012942,ENSDARG00000016939,ENSDARG00000019117,ENSDARG00000024829,ENSDARG00000028222,ENSDARG00000028533,ENSDARG00000031588,ENSDARG00000037281,ENSDARG00000044318,ENSDARG00000053232,ENSDARG00000056964,ENSDARG00000060415,ENSDARG00000061862,ENSDARG00000069473,ENSDARG00000075441,ENSDARG00000076386,ENSDARG00000079336,ENSDARG00000080675,ENSDARG00000088590,ENSDARG00000089435,ENSDARG00000095640,ENSDARG00000097080,ENSDARG00000097539,ENSDARG00000098256,ENSDARG00000098736,ENSDARG00000100106,ENSDARG00000100190,ENSDARG00000100739,ENSDARG00000103650,ENSDARG00000104324,ENSDARG00000104484,ENSDARG00000104642,ENSDARG00000113076,ENSDARG00000116430
GO:0048741	skeletal muscle fiber development	20	6	0.96	0.00025	ENSDARG00000006757,ENSDARG00000007277,ENSDARG00000008487,ENSDARG00000009280,ENSDARG00000009438,ENSDARG00000012944,ENSDARG00000013317,ENSDARG00000016153,ENSDARG00000019125,ENSDARG00000019717,ENSDARG00000037560,ENSDARG00000039052,ENSDARG00000039878,ENSDARG00000054942,ENSDARG00000055518,ENSDARG00000060236,ENSDARG00000060758,ENSDARG00000061862,ENSDARG00000091253,ENSDARG00000100564
GO:0009615	response to virus	37	8	1.77	0.00029	ENSDARG00000005481,ENSDARG00000007823,ENSDARG00000010756,ENSDARG00000016065,ENSDARG00000018553,ENSDARG00000018569,ENSDARG00000021572,ENSDARG00000022000,ENSDARG00000023369,ENSDARG00000025468,ENSDARG00000025607,ENSDARG00000026049,ENSDARG00000041835,ENSDARG00000041917,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000042904,ENSDARG00000043249,ENSDARG00000043584,ENSDARG00000045661,ENSDARG00000052396,ENSDARG00000052747,ENSDARG00000054968,ENSDARG00000068681,ENSDARG00000069733,ENSDARG00000071012,ENSDARG00000089463,ENSDARG00000090119,ENSDARG00000090649,ENSDARG00000093157,ENSDARG00000093750,ENSDARG00000094511,ENSDARG00000096528,ENSDARG00000098700,ENSDARG00000103466,ENSDARG00000104396,ENSDARG00000105263
GO:0098542	defense response to other organism	54	9	2.58	0.00094	ENSDARG00000003570,ENSDARG00000004586,ENSDARG00000010756,ENSDARG00000016065,ENSDARG00000016771,ENSDARG00000018553,ENSDARG00000018569,ENSDARG00000021572,ENSDARG00000022000,ENSDARG00000023369,ENSDARG00000025468,ENSDARG00000025607,ENSDARG00000026049,ENSDARG00000026925,ENSDARG00000032639,ENSDARG00000035188,ENSDARG00000038010,ENSDARG00000042904,ENSDARG00000043093,ENSDARG00000043249,ENSDARG00000043584,ENSDARG00000044415,ENSDARG00000045999,ENSDARG00000052322,ENSDARG00000052396,ENSDARG00000052747,ENSDARG00000054968,ENSDARG00000055290,ENSDARG00000056874,ENSDARG00000058045,ENSDARG00000062998,ENSDARG00000068382,ENSDARG00000068681,ENSDARG00000068969,ENSDARG00000068991,ENSDARG00000068993,ENSDARG00000069733,ENSDARG00000071012,ENSDARG00000074246,ENSDARG00000075014,ENSDARG00000089463,ENSDARG00000090119,ENSDARG00000090649,ENSDARG00000092044,ENSDARG00000092381,ENSDARG00000092892,ENSDARG00000093157,ENSDARG00000093750,ENSDARG00000096528,ENSDARG00000097181,ENSDARG00000098700,ENSDARG00000100184,ENSDARG00000102894,ENSDARG00000104396
GO:0007259	JAK-STAT cascade	18	5	0.86	0.00125	ENSDARG00000006266,ENSDARG00000007671,ENSDARG00000015902,ENSDARG00000018744,ENSDARG00000022712,ENSDARG00000025428,ENSDARG00000026611,ENSDARG00000028731,ENSDARG00000038095,ENSDARG00000045557,ENSDARG00000054968,ENSDARG00000055588,ENSDARG00000056133,ENSDARG00000060316,ENSDARG00000076182,ENSDARG00000089873,ENSDARG00000102434,ENSDARG00000103308
GO:0055001	muscle cell development	63	19	3.02	0.00175	ENSDARG00000000563,ENSDARG00000001431,ENSDARG00000005915,ENSDARG00000006757,ENSDARG00000007277,ENSDARG00000007370,ENSDARG00000008487,ENSDARG00000009280,ENSDARG00000009438,ENSDARG00000012944,ENSDARG00000013317,ENSDARG00000013422,ENSDARG00000016153,ENSDARG00000017400,ENSDARG00000018820,ENSDARG00000019125,ENSDARG00000019342,ENSDARG00000019717,ENSDARG00000020890,ENSDARG00000021987,ENSDARG00000022101,ENSDARG00000024141,ENSDARG00000025641,ENSDARG00000026294,ENSDARG00000029764,ENSDARG00000031756,ENSDARG00000032242,ENSDARG00000032630,ENSDARG00000037116,ENSDARG00000037560,ENSDARG00000039052,ENSDARG00000039878,ENSDARG00000044968,ENSDARG00000045612,ENSDARG00000045822,ENSDARG00000045864,ENSDARG00000054942,ENSDARG00000055158,ENSDARG00000055518,ENSDARG00000056029,ENSDARG00000056964,ENSDARG00000058656,ENSDARG00000060236,ENSDARG00000060745,ENSDARG00000060758,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000063682,ENSDARG00000068457,ENSDARG00000076144,ENSDARG00000077261,ENSDARG00000077722,ENSDARG00000079564,ENSDARG00000079637,ENSDARG00000090637,ENSDARG00000091253,ENSDARG00000099959,ENSDARG00000100564,ENSDARG00000101706,ENSDARG00000104094,ENSDARG00000104713,ENSDARG00000105630,ENSDARG00000114022
GO:0006956	complement activation	29	6	1.39	0.00215	ENSDARG00000001818,ENSDARG00000005616,ENSDARG00000007988,ENSDARG00000012694,ENSDARG00000019772,ENSDARG00000038424,ENSDARG00000038681,ENSDARG00000038683,ENSDARG00000039516,ENSDARG00000039517,ENSDARG00000039579,ENSDARG00000040130,ENSDARG00000042172,ENSDARG00000043719,ENSDARG00000052207,ENSDARG00000055278,ENSDARG00000057113,ENSDARG00000057121,ENSDARG00000087359,ENSDARG00000088745,ENSDARG00000089667,ENSDARG00000090557,ENSDARG00000090783,ENSDARG00000093052,ENSDARG00000093068,ENSDARG00000099839,ENSDARG00000100184,ENSDARG00000100248,ENSDARG00000102119
GO:0052548	regulation of endopeptidase activity	73	10	3.49	0.00234	ENSDARG00000001818,ENSDARG00000002165,ENSDARG00000004296,ENSDARG00000008363,ENSDARG00000008434,ENSDARG00000009779,ENSDARG00000012234,ENSDARG00000012694,ENSDARG00000016143,ENSDARG00000016412,ENSDARG00000020623,ENSDARG00000021208,ENSDARG00000022372,ENSDARG00000026764,ENSDARG00000027609,ENSDARG00000027867,ENSDARG00000029668,ENSDARG00000033144,ENSDARG00000038424,ENSDARG00000041645,ENSDARG00000041685,ENSDARG00000042186,ENSDARG00000042684,ENSDARG00000042833,ENSDARG00000043102,ENSDARG00000043719,ENSDARG00000044619,ENSDARG00000052207,ENSDARG00000053973,ENSDARG00000054036,ENSDARG00000054864,ENSDARG00000055036,ENSDARG00000055543,ENSDARG00000055966,ENSDARG00000056314,ENSDARG00000058325,ENSDARG00000058693,ENSDARG00000060238,ENSDARG00000060627,ENSDARG00000061383,ENSDARG00000062972,ENSDARG00000069192,ENSDARG00000069290,ENSDARG00000070272,ENSDARG00000070396,ENSDARG00000074166,ENSDARG00000074712,ENSDARG00000075261,ENSDARG00000075737,ENSDARG00000076448,ENSDARG00000077960,ENSDARG00000078757,ENSDARG00000087087,ENSDARG00000087143,ENSDARG00000087359,ENSDARG00000089129,ENSDARG00000089307,ENSDARG00000090039,ENSDARG00000090194,ENSDARG00000090286,ENSDARG00000091136,ENSDARG00000091801,ENSDARG00000091926,ENSDARG00000093068,ENSDARG00000093199,ENSDARG00000094892,ENSDARG00000095830,ENSDARG00000100795,ENSDARG00000102332,ENSDARG00000102458,ENSDARG00000104758,ENSDARG00000114237,ENSDARG00000117133
GO:0008544	epidermis development	40	7	1.91	0.00258	ENSDARG00000004757,ENSDARG00000006921,ENSDARG00000007561,ENSDARG00000010758,ENSDARG00000012397,ENSDARG00000013144,ENSDARG00000019808,ENSDARG00000022712,ENSDARG00000025428,ENSDARG00000025535,ENSDARG00000028148,ENSDARG00000028957,ENSDARG00000034677,ENSDARG00000055158,ENSDARG00000055926,ENSDARG00000056458,ENSDARG00000061173,ENSDARG00000061391,ENSDARG00000068365,ENSDARG00000069423,ENSDARG00000071506,ENSDARG00000074749,ENSDARG00000076472,ENSDARG00000076974,ENSDARG00000077818,ENSDARG00000078552,ENSDARG00000079834,ENSDARG00000093738,ENSDARG00000094454,ENSDARG00000095512,ENSDARG00000098257,ENSDARG00000098481,ENSDARG00000099564,ENSDARG00000099871,ENSDARG00000100095,ENSDARG00000100097,ENSDARG00000102332,ENSDARG00000102948,ENSDARG00000104039,ENSDARG00000104359
