GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0043153	entrainment of circadian clock by photop...	10	2	0.02	0.00022	ENSDARG00000010519	0	-0.3362838279021163	per3	period circadian clock 3 [Source:ZFIN;Acc:ZDB-GENE-000804-1]
GO:0043153	entrainment of circadian clock by photop...	10	2	0.02	0.00022	ENSDARG00000011890	0	-0.24790841781936224	cry4	cryptochrome circadian regulator 4 [Source:ZFIN;Acc:ZDB-GENE-010426-7]
GO:0043153	entrainment of circadian clock by photop...	10	2	0.02	0.00022	ENSDARG00000012499	0	-0.02937474665557695	per1b	period circadian clock 1b [Source:ZFIN;Acc:ZDB-GENE-040419-1]
GO:0043153	entrainment of circadian clock by photop...	10	2	0.02	0.00022	ENSDARG00000019498	0	-0.05697832232639395	cry5	cryptochrome circadian regulator 5 [Source:ZFIN;Acc:ZDB-GENE-010426-8]
GO:0043153	entrainment of circadian clock by photop...	10	2	0.02	0.00022	ENSDARG00000037738	0	-0.4051788660743864	fbxl3l	F-box and leucine-rich repeat protein 3, like [Source:ZFIN;Acc:ZDB-GENE-130530-598]
GO:0043153	entrainment of circadian clock by photop...	10	2	0.02	0.00022	ENSDARG00000045768	0	-0.17627605150767897	cry1a	cryptochrome circadian regulator 1a [Source:ZFIN;Acc:ZDB-GENE-010426-2]
GO:0043153	entrainment of circadian clock by photop...	10	2	0.02	0.00022	ENSDARG00000091131	0	-0.32325955513718485	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]
GO:0043153	entrainment of circadian clock by photop...	10	2	0.02	0.00022	ENSDARG00000103505	0	-0.37688911908671763	fbxl3a	F-box and leucine-rich repeat protein 3a [Source:ZFIN;Acc:ZDB-GENE-030912-5]
GO:0043153	entrainment of circadian clock by photop...	10	2	0.02	0.00022	ENSDARG00000034503	1	-0.474252599779999	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]
GO:0043153	entrainment of circadian clock by photop...	10	2	0.02	0.00022	ENSDARG00000069074	1	-0.2937201204446459	cry3a	cryptochrome circadian regulator 3a [Source:ZFIN;Acc:ZDB-GENE-010426-4]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000000966	0	-0.09855643590933047	ncor2	nuclear receptor corepressor 2 [Source:ZFIN;Acc:ZDB-GENE-030616-81]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000003165	0	-0.00785043755824969	nr2f6b	nuclear receptor subfamily 2, group F, member 6b [Source:ZFIN;Acc:ZDB-GENE-040426-2351]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000003680	0	-0.12292523311689171	runx1t1	RUNX1 partner transcriptional co-repressor 1 [Source:ZFIN;Acc:ZDB-GENE-060929-164]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000004060	0	-0.024297749539980037	bhlhe40	basic helix-loop-helix family, member e40 [Source:ZFIN;Acc:ZDB-GENE-030131-3133]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000004297	0	-0.09116597084004768	irf2bpl	interferon regulatory factor 2 binding protein-like [Source:ZFIN;Acc:ZDB-GENE-040426-1968]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000004343	0	-0.13167561937817487	nelfe	negative elongation factor complex member E [Source:ZFIN;Acc:ZDB-GENE-040718-69]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000004587	0	-0.13439936463207422	kat5a	K(lysine) acetyltransferase 5a [Source:ZFIN;Acc:ZDB-GENE-040718-57]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000004843	0	-0.04850264169742503	foxp1a	forkhead box P1a [Source:ZFIN;Acc:ZDB-GENE-060929-624]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000005453	0	-0.10179979508844743	foxp2	forkhead box P2 [Source:ZFIN;Acc:ZDB-GENE-041203-2]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000005834	0	-0.028368759284946882	gatad2b	GATA zinc finger domain containing 2B [Source:ZFIN;Acc:ZDB-GENE-060503-655]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000006791	0	-0.3605697503321129	arntl1a	aryl hydrocarbon receptor nuclear translocator-like 1a [Source:ZFIN;Acc:ZDB-GENE-000509-1]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000006878	0	-0.14621183498619472	phf21aa	PHD finger protein 21Aa [Source:ZFIN;Acc:ZDB-GENE-050208-99]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000007198	0	-0.046098494493700515	mta1	metastasis associated 1 [Source:ZFIN;Acc:ZDB-GENE-131121-353]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000009473	0	-0.01626787054826193	ppardb	peroxisome proliferator-activated receptor delta b [Source:ZFIN;Acc:ZDB-GENE-000112-47]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000009594	0	-0.1701150528736444	nr1d2b	nuclear receptor subfamily 1, group D, member 2b [Source:ZFIN;Acc:ZDB-GENE-990415-244]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000010519	0	-0.3362838279021163	per3	period circadian clock 3 [Source:ZFIN;Acc:ZDB-GENE-000804-1]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000011445	0	-0.08303348581910137	elmsan1a	ELM2 and Myb/SANT-like domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-041001-151]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000012219	0	-0.1349358146232265	dpf2	D4, zinc and double PHD fingers family 2 [Source:ZFIN;Acc:ZDB-GENE-041024-2]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000012499	0	-0.02937474665557695	per1b	period circadian clock 1b [Source:ZFIN;Acc:ZDB-GENE-040419-1]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000012949	0	-0.06153661357583312	scml2	Scm polycomb group protein like 2 [Source:ZFIN;Acc:ZDB-GENE-130530-546]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000013095	0	-8.670440695436914e-4	gclc	glutamate-cysteine ligase, catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-030131-5056]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000013122	0	-0.008780121088689334	maf1	MAF1 homolog, negative regulator of RNA polymerase III [Source:NCBI gene;Acc:406750]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000013224	0	-0.17054203678088714	phc2b	polyhomeotic homolog 2b (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-040426-1113]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000013346	0	-0.10213658565282006	tasorb	transcription activation suppressor b [Source:ZFIN;Acc:ZDB-GENE-090311-29]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000013409	0	-0.006445515923762848	bmp2a	bone morphogenetic protein 2a [Source:ZFIN;Acc:ZDB-GENE-980526-388]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000014218	0	-0.23323254943741978	mecp2	methyl CpG binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7190]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000015206	0	-0.043115992548125745	hnrnpua	heterogeneous nuclear ribonucleoprotein Ua [Source:ZFIN;Acc:ZDB-GENE-030131-3731]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000015495	0	-0.22587716573030842	klf3	Kruppel-like factor 3 (basic) [Source:ZFIN;Acc:ZDB-GENE-011116-1]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000015554	0	-0.05555285528599588	zic2a	zic family member 2 (odd-paired homolog, Drosophila), a [Source:ZFIN;Acc:ZDB-GENE-000710-4]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000015966	0	-0.04045514661041269	yaf2	YY1 associated factor 2 [Source:ZFIN;Acc:ZDB-GENE-041210-115]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000016200	0	-0.02477184367049079	trib3	tribbles pseudokinase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2609]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000016363	0	-0.1296038309466355	her8a	hairy-related 8a [Source:ZFIN;Acc:ZDB-GENE-030131-2376]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000018047	0	-0.08260366315335432	brms1lb	BRMS1 like transcriptional repressor b [Source:ZFIN;Acc:ZDB-GENE-081031-54]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000018691	0	-0.10347940207356082	phf2	PHD finger protein 2 [Source:NCBI gene;Acc:503778]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000018907	0	-0.07486446394568479	kat6a	K(lysine) acetyltransferase 6A [Source:ZFIN;Acc:ZDB-GENE-021022-3]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000019335	0	-0.023237609908252337	hes6	hes family bHLH transcription factor 6 [Source:ZFIN;Acc:ZDB-GENE-030828-5]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000019339	0	-0.00529218796952656	uxt	ubiquitously-expressed, prefoldin-like chaperone [Source:ZFIN;Acc:ZDB-GENE-040912-118]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000019588	0	-0.3118499539988961	chico	chico [Source:ZFIN;Acc:ZDB-GENE-000210-28]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000020655	0	-0.4993725959642784	INSM2	INSM transcriptional repressor 2 [Source:NCBI gene;Acc:792891]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000020746	0	-0.3595166314466777	gfi1aa	growth factor independent 1A transcription repressor a [Source:ZFIN;Acc:ZDB-GENE-050522-534]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000021032	0	-0.02294147299708375	foxd3	forkhead box D3 [Source:ZFIN;Acc:ZDB-GENE-980526-143]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000021372	0	-0.14715995777378493	tob1b	transducer of ERBB2, 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2151]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000021378	0	-0.11029493666467119	phf21ab	PHD finger protein 21Ab [Source:ZFIN;Acc:ZDB-GENE-030131-6456]
GO:0045892	negative regulation of transcription, DN...	153	4	0.35	0.00032	ENSDARG00000021805	0	-0.046277162938913576	tle5	TLE family member 5, transcriptional modulator [Source:ZFIN;Acc:ZDB-GENE-040426-1409]
