GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000009942	0	0.4999588841655444	cdc6	cell division cycle 6 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050506-131]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000019507	0	0.3481772034363796	mcm5	minichromosome maintenance complex component 5 [Source:ZFIN;Acc:ZDB-GENE-021209-1]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000021579	0	0.1411513379703049	orc5	origin recognition complex, subunit 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2275]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000037532	0	0.10533846793612424	mcm3l	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae), like [Source:ZFIN;Acc:ZDB-GENE-040121-2]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000039217	0	0.1189160835379703	orc1	origin recognition complex, subunit 1 [Source:ZFIN;Acc:ZDB-GENE-030131-6960]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000040041	0	0.34626997883644595	mcm4	minichromosome maintenance complex component 4 [Source:ZFIN;Acc:ZDB-GENE-030131-9544]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000043720	0	0.3162913812697935	cdc45	CDC45 cell division cycle 45 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-2710]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000045308	0	0.33080618903543313	pola1	polymerase (DNA directed), alpha 1 [Source:ZFIN;Acc:ZDB-GENE-030114-9]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000045815	0	0.422636889995459	mcm10	minichromosome maintenance 10 replication initiation factor [Source:NCBI gene;Acc:553396]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000051854	0	0.25931221109430197	cdt1	chromatin licensing and DNA replication factor 1 [Source:ZFIN;Acc:ZDB-GENE-070111-1]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000059322	0	0.23401594215987265	topbp1	DNA topoisomerase II binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-060626-1]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000075682	0	0.2976544473854702	orc6	origin recognition complex, subunit 6 [Source:ZFIN;Acc:ZDB-GENE-030131-2976]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000101161	0	0.19017877462854715	orc4	origin recognition complex, subunit 4 [Source:ZFIN;Acc:ZDB-GENE-040426-2224]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000101180	0	0.11339416981704573	mcm7	minichromosome maintenance complex component 7 [Source:ZFIN;Acc:ZDB-GENE-020419-27]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000024204	1	0.39218739726679086	mcm3	minichromosome maintenance complex component 3 [Source:ZFIN;Acc:ZDB-GENE-020419-4]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000057683	1	0.40718949406493027	mcm6	minichromosome maintenance complex component 6 [Source:ZFIN;Acc:ZDB-GENE-030909-6]
GO:0006270	DNA replication initiation	17	3	0.07	3.4e-05	ENSDARG00000102798	1	0.3810951341655102	mcm2	minichromosome maintenance complex component 2 [Source:ZFIN;Acc:ZDB-GENE-020419-24]
GO:0032508	DNA duplex unwinding	28	3	0.11	0.00016	ENSDARG00000002402	0	0.10943416315311119	ercc3	excision repair cross-complementation group 3 [Source:NCBI gene;Acc:324323]
GO:0032508	DNA duplex unwinding	28	3	0.11	0.00016	ENSDARG00000002591	0	0.17252073771203458	ruvbl1	RuvB-like AAA ATPase 1 [Source:NCBI gene;Acc:317679]
GO:0032508	DNA duplex unwinding	28	3	0.11	0.00016	ENSDARG00000007175	0	0.2971168495861204	recql	RecQ helicase-like [Source:ZFIN;Acc:ZDB-GENE-050809-134]
GO:0032508	DNA duplex unwinding	28	3	0.11	0.00016	ENSDARG00000011072	0	0.017687029339742023	ddx11	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 [Source:NCBI gene;Acc:492353]
GO:0032508	DNA duplex unwinding	28	3	0.11	0.00016	ENSDARG00000012600	0	0.08847155496947832	si:dkey-97a13.6	si:dkey-97a13.6 [Source:ZFIN;Acc:ZDB-GENE-070912-617]
GO:0032508	DNA duplex unwinding	28	3	0.11	0.00016	ENSDARG00000013528	0	0.3085309548813067	mcm9	minichromosome maintenance 9 homologous recombination repair factor [Source:NCBI gene;Acc:555610]
GO:0032508	DNA duplex unwinding	28	3	0.11	0.00016	ENSDARG00000015471	0	0.24145430904315415	chd1l	chromodomain helicase DNA binding protein 1-like [Source:NCBI gene;Acc:393283]
GO:0032508	DNA duplex unwinding	28	3	0.11	0.00016	ENSDARG00000019507	0	0.3481772034363796	mcm5	minichromosome maintenance complex component 5 [Source:ZFIN;Acc:ZDB-GENE-021209-1]
