GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000001760,ENSDARG00000002084,ENSDARG00000002235,ENSDARG00000002732,ENSDARG00000003216,ENSDARG00000003533,ENSDARG00000007709,ENSDARG00000008388,ENSDARG00000008969,ENSDARG00000009014,ENSDARG00000009401,ENSDARG00000010294,ENSDARG00000010556,ENSDARG00000010785,ENSDARG00000012395,ENSDARG00000012405,ENSDARG00000012422,ENSDARG00000012593,ENSDARG00000013072,ENSDARG00000015156,ENSDARG00000015472,ENSDARG00000015947,ENSDARG00000016153,ENSDARG00000016718,ENSDARG00000017676,ENSDARG00000019341,ENSDARG00000019601,ENSDARG00000019815,ENSDARG00000019861,ENSDARG00000020007,ENSDARG00000020265,ENSDARG00000020785,ENSDARG00000023694,ENSDARG00000024588,ENSDARG00000024847,ENSDARG00000025465,ENSDARG00000026165,ENSDARG00000026325,ENSDARG00000026764,ENSDARG00000027799,ENSDARG00000027867,ENSDARG00000030215,ENSDARG00000031678,ENSDARG00000035471,ENSDARG00000036041,ENSDARG00000036422,ENSDARG00000036558,ENSDARG00000037281,ENSDARG00000037517,ENSDARG00000037836,ENSDARG00000038683,ENSDARG00000041982,ENSDARG00000042186,ENSDARG00000042816,ENSDARG00000042934,ENSDARG00000043079,ENSDARG00000043806,ENSDARG00000044895,ENSDARG00000045580,ENSDARG00000045799,ENSDARG00000051896,ENSDARG00000051962,ENSDARG00000052061,ENSDARG00000052063,ENSDARG00000053625,ENSDARG00000055009,ENSDARG00000055527,ENSDARG00000056630,ENSDARG00000056922,ENSDARG00000058543,ENSDARG00000058876,ENSDARG00000058960,ENSDARG00000059029,ENSDARG00000059558,ENSDARG00000060127,ENSDARG00000060413,ENSDARG00000061226,ENSDARG00000061260,ENSDARG00000061436,ENSDARG00000063631,ENSDARG00000063634,ENSDARG00000068516,ENSDARG00000069093,ENSDARG00000069305,ENSDARG00000069473,ENSDARG00000069692,ENSDARG00000071048,ENSDARG00000071586,ENSDARG00000073699,ENSDARG00000074372,ENSDARG00000074640,ENSDARG00000075441,ENSDARG00000075468,ENSDARG00000075707,ENSDARG00000076623,ENSDARG00000076830,ENSDARG00000077084,ENSDARG00000077139,ENSDARG00000077231,ENSDARG00000077403,ENSDARG00000078322,ENSDARG00000078362,ENSDARG00000078527,ENSDARG00000078536,ENSDARG00000078561,ENSDARG00000079011,ENSDARG00000079371,ENSDARG00000088255,ENSDARG00000088750,ENSDARG00000089769,ENSDARG00000090560,ENSDARG00000090585,ENSDARG00000092567,ENSDARG00000093572,ENSDARG00000093877,ENSDARG00000095901,ENSDARG00000098237,ENSDARG00000098538,ENSDARG00000098586,ENSDARG00000100307,ENSDARG00000100621,ENSDARG00000100781,ENSDARG00000101209,ENSDARG00000101704,ENSDARG00000101816,ENSDARG00000101980,ENSDARG00000102066,ENSDARG00000102565,ENSDARG00000102956,ENSDARG00000103129,ENSDARG00000103515,ENSDARG00000103647,ENSDARG00000104217,ENSDARG00000104267,ENSDARG00000105112,ENSDARG00000105239,ENSDARG00000105274,ENSDARG00000108401,ENSDARG00000114451,ENSDARG00000116438
GO:0030175	filopodium	11	1	0.04	0.038	ENSDARG00000000068,ENSDARG00000017504,ENSDARG00000031228,ENSDARG00000040466,ENSDARG00000045180,ENSDARG00000052928,ENSDARG00000056519,ENSDARG00000061478,ENSDARG00000070917,ENSDARG00000101626,ENSDARG00000102503
GO:0005902	microvillus	13	1	0.05	0.045	ENSDARG00000000068,ENSDARG00000009133,ENSDARG00000017047,ENSDARG00000024694,ENSDARG00000031228,ENSDARG00000036179,ENSDARG00000040466,ENSDARG00000044441,ENSDARG00000061579,ENSDARG00000078603,ENSDARG00000096533,ENSDARG00000102503,ENSDARG00000102750
GO:0005922	connexin complex	13	1	0.05	0.045	ENSDARG00000007099,ENSDARG00000041787,ENSDARG00000041797,ENSDARG00000042707,ENSDARG00000042866,ENSDARG00000057792,ENSDARG00000069450,ENSDARG00000069451,ENSDARG00000071042,ENSDARG00000071192,ENSDARG00000073896,ENSDARG00000075854,ENSDARG00000076789
GO:0005921	gap junction	14	1	0.05	0.048	ENSDARG00000004627,ENSDARG00000007099,ENSDARG00000041787,ENSDARG00000041797,ENSDARG00000042707,ENSDARG00000042866,ENSDARG00000057792,ENSDARG00000069450,ENSDARG00000069451,ENSDARG00000071042,ENSDARG00000071192,ENSDARG00000073896,ENSDARG00000075854,ENSDARG00000076789
GO:0044421	extracellular region part	402	4	1.41	0.048	ENSDARG00000001470,ENSDARG00000001760,ENSDARG00000001818,ENSDARG00000002084,ENSDARG00000002192,ENSDARG00000002235,ENSDARG00000002483,ENSDARG00000002732,ENSDARG00000002760,ENSDARG00000003216,ENSDARG00000003259,ENSDARG00000003533,ENSDARG00000003902,ENSDARG00000004757,ENSDARG00000005941,ENSDARG00000007560,ENSDARG00000007709,ENSDARG00000007743,ENSDARG00000008388,ENSDARG00000008969,ENSDARG00000009014,ENSDARG00000009351,ENSDARG00000009401,ENSDARG00000010097,ENSDARG00000010130,ENSDARG00000010294,ENSDARG00000010556,ENSDARG00000010785,ENSDARG00000011163,ENSDARG00000011257,ENSDARG00000011459,ENSDARG00000011490,ENSDARG00000011769,ENSDARG00000012013,ENSDARG00000012066,ENSDARG00000012395,ENSDARG00000012405,ENSDARG00000012422,ENSDARG00000012506,ENSDARG00000012593,ENSDARG00000012945,ENSDARG00000012987,ENSDARG00000013072,ENSDARG00000013240,ENSDARG00000013293,ENSDARG00000013771,ENSDARG00000014190,ENSDARG00000014556,ENSDARG00000014796,ENSDARG00000015065,ENSDARG00000015156,ENSDARG00000015472,ENSDARG00000015623,ENSDARG00000015947,ENSDARG00000016056,ENSDARG00000016153,ENSDARG00000016718,ENSDARG00000016771,ENSDARG00000016918,ENSDARG00000017314,ENSDARG00000017676,ENSDARG00000017884,ENSDARG00000018383,ENSDARG00000018643,ENSDARG00000019341,ENSDARG00000019367,ENSDARG00000019521,ENSDARG00000019601,ENSDARG00000019815,ENSDARG00000019861,ENSDARG00000019949,ENSDARG00000020007,ENSDARG00000020265,ENSDARG00000020741,ENSDARG00000020785,ENSDARG00000020811,ENSDARG00000021339,ENSDARG00000023694,ENSDARG00000024588,ENSDARG00000024847,ENSDARG00000025089,ENSDARG00000025254,ENSDARG00000025348,ENSDARG00000025465,ENSDARG00000026165,ENSDARG00000026325,ENSDARG00000026764,ENSDARG00000027799,ENSDARG00000027867,ENSDARG00000029353,ENSDARG00000030215,ENSDARG00000030650,ENSDARG00000030932,ENSDARG00000031044,ENSDARG00000031649,ENSDARG00000031678,ENSDARG00000033307,ENSDARG00000034300,ENSDARG00000034700,ENSDARG00000035327,ENSDARG00000035471,ENSDARG00000035521,ENSDARG00000035677,ENSDARG00000036041,ENSDARG00000036084,ENSDARG00000036422,ENSDARG00000036445,ENSDARG00000036481,ENSDARG00000036558,ENSDARG00000036588,ENSDARG00000036940,ENSDARG00000037062,ENSDARG00000037176,ENSDARG00000037281,ENSDARG00000037425,ENSDARG00000037517,ENSDARG00000037677,ENSDARG00000037836,ENSDARG00000037889,ENSDARG00000038153,ENSDARG00000038185,ENSDARG00000038258,ENSDARG00000038428,ENSDARG00000038683,ENSDARG00000038794,ENSDARG00000039041,ENSDARG00000039145,ENSDARG00000039264,ENSDARG00000039273,ENSDARG00000039459,ENSDARG00000040251,ENSDARG00000040479,ENSDARG00000040513,ENSDARG00000040565,ENSDARG00000040799,ENSDARG00000041430,ENSDARG00000041502,ENSDARG00000041685,ENSDARG00000041982,ENSDARG00000042186,ENSDARG00000042545,ENSDARG00000042684,ENSDARG00000042753,ENSDARG00000042780,ENSDARG00000042784,ENSDARG00000042816,ENSDARG00000042934,ENSDARG00000042993,ENSDARG00000043079,ENSDARG00000043081,ENSDARG00000043168,ENSDARG00000043171,ENSDARG00000043173,ENSDARG00000043175,ENSDARG00000043257,ENSDARG00000043722,ENSDARG00000043806,ENSDARG00000044001,ENSDARG00000044655,ENSDARG00000044754,ENSDARG00000044894,ENSDARG00000044895,ENSDARG00000045219,ENSDARG00000045224,ENSDARG00000045262,ENSDARG00000045268,ENSDARG00000045299,ENSDARG00000045442,ENSDARG00000045544,ENSDARG00000045580,ENSDARG00000045799,ENSDARG00000045832,ENSDARG00000045856,ENSDARG00000045999,ENSDARG00000051746,ENSDARG00000051896,ENSDARG00000051962,ENSDARG00000052057,ENSDARG00000052061,ENSDARG00000052063,ENSDARG00000052361,ENSDARG00000052779,ENSDARG00000053625,ENSDARG00000053973,ENSDARG00000054055,ENSDARG00000054942,ENSDARG00000055009,ENSDARG00000055100,ENSDARG00000055373,ENSDARG00000055416,ENSDARG00000055527,ENSDARG00000055595,ENSDARG00000055813,ENSDARG00000056075,ENSDARG00000056499,ENSDARG00000056530,ENSDARG00000056590,ENSDARG00000056624,ENSDARG00000056630,ENSDARG00000056680,ENSDARG00000056922,ENSDARG00000057108,ENSDARG00000057241,ENSDARG00000057678,ENSDARG00000058389,ENSDARG00000058476,ENSDARG00000058543,ENSDARG00000058822,ENSDARG00000058876,ENSDARG00000058960,ENSDARG00000059029,ENSDARG00000059558,ENSDARG00000060127,ENSDARG00000060413,ENSDARG00000060609,ENSDARG00000061226,ENSDARG00000061259,ENSDARG00000061260,ENSDARG00000061292,ENSDARG00000061383,ENSDARG00000061436,ENSDARG00000061858,ENSDARG00000062357,ENSDARG00000062471,ENSDARG00000062707,ENSDARG00000063097,ENSDARG00000063177,ENSDARG00000063230,ENSDARG00000063631,ENSDARG00000063634,ENSDARG00000067801,ENSDARG00000068088,ENSDARG00000068516,ENSDARG00000068726,ENSDARG00000068892,ENSDARG00000069048,ENSDARG00000069089,ENSDARG00000069093,ENSDARG00000069192,ENSDARG00000069293,ENSDARG00000069305,ENSDARG00000069376,ENSDARG00000069471,ENSDARG00000069473,ENSDARG00000069692,ENSDARG00000069752,ENSDARG00000070050,ENSDARG00000070427,ENSDARG00000070675,ENSDARG00000070683,ENSDARG00000070702,ENSDARG00000071048,ENSDARG00000071306,ENSDARG00000071586,ENSDARG00000071679,ENSDARG00000071879,ENSDARG00000073699,ENSDARG00000073716,ENSDARG00000073742,ENSDARG00000074372,ENSDARG00000074640,ENSDARG00000074656,ENSDARG00000074712,ENSDARG00000074765,ENSDARG00000075016,ENSDARG00000075121,ENSDARG00000075159,ENSDARG00000075343,ENSDARG00000075441,ENSDARG00000075468,ENSDARG00000075501,ENSDARG00000075707,ENSDARG00000075827,ENSDARG00000075954,ENSDARG00000075963,ENSDARG00000076121,ENSDARG00000076196,ENSDARG00000076420,ENSDARG00000076448,ENSDARG00000076541,ENSDARG00000076623,ENSDARG00000076830,ENSDARG00000077058,ENSDARG00000077084,ENSDARG00000077139,ENSDARG00000077231,ENSDARG00000077403,ENSDARG00000077664,ENSDARG00000077677,ENSDARG00000077818,ENSDARG00000077858,ENSDARG00000077960,ENSDARG00000078322,ENSDARG00000078362,ENSDARG00000078527,ENSDARG00000078536,ENSDARG00000078561,ENSDARG00000078757,ENSDARG00000079011,ENSDARG00000079274,ENSDARG00000079371,ENSDARG00000079515,ENSDARG00000086778,ENSDARG00000087143,ENSDARG00000087227,ENSDARG00000087359,ENSDARG00000088022,ENSDARG00000088255,ENSDARG00000088595,ENSDARG00000088750,ENSDARG00000089187,ENSDARG00000089361,ENSDARG00000089383,ENSDARG00000089769,ENSDARG00000090560,ENSDARG00000090585,ENSDARG00000090720,ENSDARG00000090833,ENSDARG00000090850,ENSDARG00000091136,ENSDARG00000091625,ENSDARG00000092567,ENSDARG00000092731,ENSDARG00000092890,ENSDARG00000093068,ENSDARG00000093079,ENSDARG00000093572,ENSDARG00000093608,ENSDARG00000093877,ENSDARG00000094132,ENSDARG00000094324,ENSDARG00000094511,ENSDARG00000094708,ENSDARG00000095378,ENSDARG00000095409,ENSDARG00000095462,ENSDARG00000095698,ENSDARG00000095807,ENSDARG00000095830,ENSDARG00000095901,ENSDARG00000096645,ENSDARG00000098112,ENSDARG00000098158,ENSDARG00000098237,ENSDARG00000098481,ENSDARG00000098538,ENSDARG00000098578,ENSDARG00000098586,ENSDARG00000099144,ENSDARG00000099979,ENSDARG00000099980,ENSDARG00000100095,ENSDARG00000100307,ENSDARG00000100621,ENSDARG00000100781,ENSDARG00000100782,ENSDARG00000100792,ENSDARG00000100986,ENSDARG00000101040,ENSDARG00000101051,ENSDARG00000101209,ENSDARG00000101324,ENSDARG00000101334,ENSDARG00000101704,ENSDARG00000101816,ENSDARG00000101980,ENSDARG00000102004,ENSDARG00000102066,ENSDARG00000102299,ENSDARG00000102565,ENSDARG00000102758,ENSDARG00000102956,ENSDARG00000103129,ENSDARG00000103466,ENSDARG00000103515,ENSDARG00000103647,ENSDARG00000103799,ENSDARG00000103826,ENSDARG00000103892,ENSDARG00000104138,ENSDARG00000104217,ENSDARG00000104267,ENSDARG00000104314,ENSDARG00000104359,ENSDARG00000104495,ENSDARG00000104758,ENSDARG00000104795,ENSDARG00000105112,ENSDARG00000105230,ENSDARG00000105239,ENSDARG00000105263,ENSDARG00000105274,ENSDARG00000108401,ENSDARG00000109310,ENSDARG00000109371,ENSDARG00000110545,ENSDARG00000113315,ENSDARG00000113719,ENSDARG00000114451,ENSDARG00000114760,ENSDARG00000116438,ENSDARG00000116445
GO:0005861	troponin complex	15	1	0.05	0.051	ENSDARG00000002988,ENSDARG00000005841,ENSDARG00000029069,ENSDARG00000030270,ENSDARG00000032242,ENSDARG00000035958,ENSDARG00000037539,ENSDARG00000037954,ENSDARG00000042559,ENSDARG00000045592,ENSDARG00000045822,ENSDARG00000068457,ENSDARG00000070835,ENSDARG00000073766,ENSDARG00000099870
GO:0005758	mitochondrial intermembrane space	17	1	0.06	0.058	ENSDARG00000005926,ENSDARG00000013776,ENSDARG00000023672,ENSDARG00000025383,ENSDARG00000033376,ENSDARG00000033789,ENSDARG00000045351,ENSDARG00000045733,ENSDARG00000055288,ENSDARG00000055708,ENSDARG00000058041,ENSDARG00000058297,ENSDARG00000062025,ENSDARG00000063882,ENSDARG00000069116,ENSDARG00000078974,ENSDARG00000098671
GO:0031970	organelle envelope lumen	17	1	0.06	0.058	ENSDARG00000005926,ENSDARG00000013776,ENSDARG00000023672,ENSDARG00000025383,ENSDARG00000033376,ENSDARG00000033789,ENSDARG00000045351,ENSDARG00000045733,ENSDARG00000055288,ENSDARG00000055708,ENSDARG00000058041,ENSDARG00000058297,ENSDARG00000062025,ENSDARG00000063882,ENSDARG00000069116,ENSDARG00000078974,ENSDARG00000098671
GO:0005865	striated muscle thin filament	19	1	0.07	0.065	ENSDARG00000002988,ENSDARG00000005841,ENSDARG00000020890,ENSDARG00000029069,ENSDARG00000030270,ENSDARG00000032242,ENSDARG00000035958,ENSDARG00000037539,ENSDARG00000037954,ENSDARG00000042559,ENSDARG00000045592,ENSDARG00000045822,ENSDARG00000045864,ENSDARG00000068457,ENSDARG00000070835,ENSDARG00000073766,ENSDARG00000077261,ENSDARG00000099870,ENSDARG00000104682
