GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000001760	0	0.23500877888001087	tnxba	tenascin XBa [Source:ZFIN;Acc:ZDB-GENE-070103-5]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000002084	0	0.015555093904091669	lamb2	laminin, beta 2 (laminin S) [Source:ZFIN;Acc:ZDB-GENE-081030-4]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000002235	0	0.07419177315003132	mmp14a	matrix metallopeptidase 14a (membrane-inserted) [Source:ZFIN;Acc:ZDB-GENE-030901-1]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000002732	0	0.05111861021093151	spon2b	spondin 2b, extracellular matrix protein [Source:ZFIN;Acc:ZDB-GENE-990415-161]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000003216	0	0.10496927007048176	anxa2a	annexin A2a [Source:ZFIN;Acc:ZDB-GENE-030131-4282]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000003533	0	0.4375690877713719	col8a1b	collagen, type VIII, alpha 1b [Source:ZFIN;Acc:ZDB-GENE-060503-140]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000007709	0	0.05619294272542987	adamts8a	ADAM metallopeptidase with thrombospondin type 1 motif, 8a [Source:ZFIN;Acc:ZDB-GENE-060526-202]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000008388	0	0.07806888589550676	mmp14b	matrix metallopeptidase 14b (membrane-inserted) [Source:ZFIN;Acc:ZDB-GENE-030901-2]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000008969	0	0.016533418807720742	fgb	fibrinogen beta chain [Source:ZFIN;Acc:ZDB-GENE-030131-9261]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000009014	0	0.09090359091483818	col11a1b	collagen, type XI, alpha 1b [Source:ZFIN;Acc:ZDB-GENE-070912-607]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000009401	0	0.4267487503258629	vcanb	versican b [Source:ZFIN;Acc:ZDB-GENE-030131-2185]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000010294	0	0.12333074153190246	fmodb	fibromodulin b [Source:ZFIN;Acc:ZDB-GENE-080327-28]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000010556	0	0.4985047747866415	mmp25b	matrix metallopeptidase 25b [Source:ZFIN;Acc:ZDB-GENE-100308-4]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000010785	0	0.15004158658970185	thbs1b	thrombospondin 1b [Source:ZFIN;Acc:ZDB-GENE-020708-1]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000012395	0	0.4063397508320058	mmp13a	matrix metallopeptidase 13a [Source:ZFIN;Acc:ZDB-GENE-031202-2]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000012422	0	0.1383124833086602	col11a2	collagen, type XI, alpha 2 [Source:ZFIN;Acc:ZDB-GENE-000208-23]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000012593	0	0.07351647201256782	col5a1	procollagen, type V, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-041105-6]
GO:0031012	extracellular matrix	140	3	0.49	0.012	ENSDARG00000013072	0	0.08433391018559884	mmp15b	matrix metallopeptidase 15b [Source:ZFIN;Acc:ZDB-GENE-070817-6]
