GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0007275	multicellular organism development	2262	8	2.3	0.00043	ENSDARG00000000068	0	0.1788157135642616	slc9a3r1a	SLC9A3 regulator 1a [Source:ZFIN;Acc:ZDB-GENE-031006-7]
GO:0007275	multicellular organism development	2262	8	2.3	0.00043	ENSDARG00000000103	0	-0.04033798825633017	myh10	myosin, heavy chain 10, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030616-162]
GO:0007275	multicellular organism development	2262	8	2.3	0.00043	ENSDARG00000000189	0	-0.10365080905828758	sema6e	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6E [Source:ZFIN;Acc:ZDB-GENE-040724-119]
GO:0007275	multicellular organism development	2262	8	2.3	0.00043	ENSDARG00000000370	0	-0.1286936994601363	triob	trio Rho guanine nucleotide exchange factor b [Source:ZFIN;Acc:ZDB-GENE-030616-399]
GO:0007275	multicellular organism development	2262	8	2.3	0.00043	ENSDARG00000000380	0	-0.13890415602476355	pde6a	phosphodiesterase 6A, cGMP-specific, rod, alpha [Source:ZFIN;Acc:ZDB-GENE-030616-42]
GO:0007275	multicellular organism development	2262	8	2.3	0.00043	ENSDARG00000000472	0	-0.14183512432165948	cntn2	contactin 2 [Source:ZFIN;Acc:ZDB-GENE-990630-12]
GO:0007275	multicellular organism development	2262	8	2.3	0.00043	ENSDARG00000000568	0	0.07259981914733855	ell	elongation factor RNA polymerase II [Source:ZFIN;Acc:ZDB-GENE-030131-3946]
GO:0007275	multicellular organism development	2262	8	2.3	0.00043	ENSDARG00000000606	0	-0.15537484638520832	dnah6	dynein, axonemal, heavy chain 6 [Source:ZFIN;Acc:ZDB-GENE-030616-623]
GO:0007275	multicellular organism development	2262	8	2.3	0.00043	ENSDARG00000000767	0	0.3493887305171646	spi1b	Spi-1 proto-oncogene b [Source:ZFIN;Acc:ZDB-GENE-980526-164]
GO:0007275	multicellular organism development	2262	8	2.3	0.00043	ENSDARG00000000779	0	0.043732802727518755	scfd1	sec1 family domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030116-3]
GO:0007275	multicellular organism development	2262	8	2.3	0.00043	ENSDARG00000000966	0	-0.028322950091716488	ncor2	nuclear receptor corepressor 2 [Source:ZFIN;Acc:ZDB-GENE-030616-81]
