GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0015629	actin cytoskeleton	255	4	0.29	0.00014	ENSDARG00000000103,ENSDARG00000001014,ENSDARG00000001431,ENSDARG00000001993,ENSDARG00000002988,ENSDARG00000003219,ENSDARG00000003872,ENSDARG00000004049,ENSDARG00000004658,ENSDARG00000004904,ENSDARG00000005162,ENSDARG00000005841,ENSDARG00000006385,ENSDARG00000006892,ENSDARG00000007219,ENSDARG00000007715,ENSDARG00000008170,ENSDARG00000008383,ENSDARG00000008487,ENSDARG00000008803,ENSDARG00000009133,ENSDARG00000009336,ENSDARG00000009689,ENSDARG00000009693,ENSDARG00000009727,ENSDARG00000009782,ENSDARG00000010186,ENSDARG00000010255,ENSDARG00000011400,ENSDARG00000011459,ENSDARG00000011661,ENSDARG00000011777,ENSDARG00000012311,ENSDARG00000012944,ENSDARG00000012972,ENSDARG00000013110,ENSDARG00000013752,ENSDARG00000013755,ENSDARG00000014106,ENSDARG00000014113,ENSDARG00000014248,ENSDARG00000014651,ENSDARG00000015059,ENSDARG00000015805,ENSDARG00000015937,ENSDARG00000016016,ENSDARG00000017004,ENSDARG00000017036,ENSDARG00000019062,ENSDARG00000019117,ENSDARG00000019128,ENSDARG00000019231,ENSDARG00000019845,ENSDARG00000020610,ENSDARG00000020890,ENSDARG00000020924,ENSDARG00000021124,ENSDARG00000021193,ENSDARG00000023318,ENSDARG00000023578,ENSDARG00000023963,ENSDARG00000023988,ENSDARG00000024694,ENSDARG00000024785,ENSDARG00000025218,ENSDARG00000026829,ENSDARG00000027063,ENSDARG00000027600,ENSDARG00000028533,ENSDARG00000028943,ENSDARG00000029069,ENSDARG00000029995,ENSDARG00000030270,ENSDARG00000030490,ENSDARG00000031388,ENSDARG00000032242,ENSDARG00000032482,ENSDARG00000033466,ENSDARG00000034240,ENSDARG00000034643,ENSDARG00000035322,ENSDARG00000035433,ENSDARG00000035438,ENSDARG00000035598,ENSDARG00000035629,ENSDARG00000035958,ENSDARG00000036179,ENSDARG00000036371,ENSDARG00000036671,ENSDARG00000036764,ENSDARG00000036863,ENSDARG00000037266,ENSDARG00000037539,ENSDARG00000037655,ENSDARG00000037747,ENSDARG00000037954,ENSDARG00000038432,ENSDARG00000039142,ENSDARG00000040466,ENSDARG00000041257,ENSDARG00000041363,ENSDARG00000041414,ENSDARG00000041720,ENSDARG00000042141,ENSDARG00000042535,ENSDARG00000042559,ENSDARG00000043643,ENSDARG00000043710,ENSDARG00000044016,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000044968,ENSDARG00000045064,ENSDARG00000045180,ENSDARG00000045262,ENSDARG00000045298,ENSDARG00000045592,ENSDARG00000045822,ENSDARG00000045864,ENSDARG00000045880,ENSDARG00000052438,ENSDARG00000052708,ENSDARG00000052903,ENSDARG00000053956,ENSDARG00000054060,ENSDARG00000054063,ENSDARG00000055075,ENSDARG00000055223,ENSDARG00000055607,ENSDARG00000055618,ENSDARG00000056090,ENSDARG00000056111,ENSDARG00000056209,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000057882,ENSDARG00000057911,ENSDARG00000058690,ENSDARG00000058946,ENSDARG00000059342,ENSDARG00000059442,ENSDARG00000059773,ENSDARG00000060917,ENSDARG00000061304,ENSDARG00000061579,ENSDARG00000061635,ENSDARG00000061778,ENSDARG00000061810,ENSDARG00000061862,ENSDARG00000062003,ENSDARG00000062481,ENSDARG00000063295,ENSDARG00000063580,ENSDARG00000067701,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000067997,ENSDARG00000068457,ENSDARG00000068973,ENSDARG00000069331,ENSDARG00000070076,ENSDARG00000070835,ENSDARG00000070991,ENSDARG00000071084,ENSDARG00000071113,ENSDARG00000071445,ENSDARG00000071709,ENSDARG00000073732,ENSDARG00000073761,ENSDARG00000073766,ENSDARG00000073843,ENSDARG00000074143,ENSDARG00000074184,ENSDARG00000074396,ENSDARG00000074443,ENSDARG00000074575,ENSDARG00000074723,ENSDARG00000075292,ENSDARG00000075334,ENSDARG00000075706,ENSDARG00000075733,ENSDARG00000075752,ENSDARG00000075989,ENSDARG00000076075,ENSDARG00000076357,ENSDARG00000076416,ENSDARG00000076729,ENSDARG00000077157,ENSDARG00000077201,ENSDARG00000077410,ENSDARG00000078313,ENSDARG00000078582,ENSDARG00000078603,ENSDARG00000078696,ENSDARG00000078734,ENSDARG00000078803,ENSDARG00000079111,ENSDARG00000079366,ENSDARG00000079564,ENSDARG00000079782,ENSDARG00000079895,ENSDARG00000079900,ENSDARG00000079994,ENSDARG00000086300,ENSDARG00000086391,ENSDARG00000086874,ENSDARG00000087402,ENSDARG00000088130,ENSDARG00000088168,ENSDARG00000089162,ENSDARG00000090369,ENSDARG00000090637,ENSDARG00000091090,ENSDARG00000091138,ENSDARG00000093931,ENSDARG00000094181,ENSDARG00000094760,ENSDARG00000095217,ENSDARG00000095930,ENSDARG00000098695,ENSDARG00000098747,ENSDARG00000099197,ENSDARG00000099352,ENSDARG00000099870,ENSDARG00000099871,ENSDARG00000099959,ENSDARG00000099974,ENSDARG00000100222,ENSDARG00000100252,ENSDARG00000100694,ENSDARG00000100805,ENSDARG00000101777,ENSDARG00000102056,ENSDARG00000102081,ENSDARG00000102414,ENSDARG00000102415,ENSDARG00000102441,ENSDARG00000102883,ENSDARG00000103917,ENSDARG00000103969,ENSDARG00000104118,ENSDARG00000104235,ENSDARG00000104283,ENSDARG00000104315,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000105209,ENSDARG00000106873,ENSDARG00000110192,ENSDARG00000110291,ENSDARG00000110596,ENSDARG00000112287,ENSDARG00000114022,ENSDARG00000114031,ENSDARG00000114870
GO:0005869	dynactin complex	11	1	0.01	0.01233	ENSDARG00000023988,ENSDARG00000031388,ENSDARG00000036371,ENSDARG00000038432,ENSDARG00000041363,ENSDARG00000042535,ENSDARG00000045180,ENSDARG00000055618,ENSDARG00000057911,ENSDARG00000079111,ENSDARG00000099197
GO:0005844	polysome	11	1	0.01	0.01233	ENSDARG00000010710,ENSDARG00000015930,ENSDARG00000016260,ENSDARG00000022968,ENSDARG00000030241,ENSDARG00000032614,ENSDARG00000033901,ENSDARG00000035400,ENSDARG00000045847,ENSDARG00000061864,ENSDARG00000111388
GO:1990391	DNA repair complex	13	1	0.01	0.01456	ENSDARG00000000476,ENSDARG00000010732,ENSDARG00000014161,ENSDARG00000018022,ENSDARG00000025948,ENSDARG00000031680,ENSDARG00000039754,ENSDARG00000056334,ENSDARG00000060620,ENSDARG00000063276,ENSDARG00000069283,ENSDARG00000075672,ENSDARG00000104541
GO:0030426	growth cone	15	1	0.02	0.01678	ENSDARG00000004621,ENSDARG00000016260,ENSDARG00000022968,ENSDARG00000035056,ENSDARG00000037747,ENSDARG00000045639,ENSDARG00000055455,ENSDARG00000056519,ENSDARG00000056633,ENSDARG00000061478,ENSDARG00000070537,ENSDARG00000074723,ENSDARG00000075539,ENSDARG00000099294,ENSDARG00000099744
GO:0044430	cytoskeletal part	562	3	0.63	0.02251	ENSDARG00000000103,ENSDARG00000000212,ENSDARG00000000606,ENSDARG00000000943,ENSDARG00000001014,ENSDARG00000001431,ENSDARG00000001558,ENSDARG00000001889,ENSDARG00000001993,ENSDARG00000002344,ENSDARG00000002403,ENSDARG00000002659,ENSDARG00000002988,ENSDARG00000003058,ENSDARG00000003146,ENSDARG00000003219,ENSDARG00000003642,ENSDARG00000003872,ENSDARG00000004049,ENSDARG00000004131,ENSDARG00000004472,ENSDARG00000004576,ENSDARG00000004658,ENSDARG00000004840,ENSDARG00000004877,ENSDARG00000004904,ENSDARG00000004948,ENSDARG00000005092,ENSDARG00000005098,ENSDARG00000005162,ENSDARG00000005172,ENSDARG00000005221,ENSDARG00000005374,ENSDARG00000005456,ENSDARG00000005670,ENSDARG00000005841,ENSDARG00000005993,ENSDARG00000006260,ENSDARG00000006862,ENSDARG00000006892,ENSDARG00000007219,ENSDARG00000007444,ENSDARG00000007715,ENSDARG00000007751,ENSDARG00000008022,ENSDARG00000008170,ENSDARG00000008383,ENSDARG00000008461,ENSDARG00000008487,ENSDARG00000008639,ENSDARG00000008803,ENSDARG00000008808,ENSDARG00000009133,ENSDARG00000009336,ENSDARG00000009549,ENSDARG00000009557,ENSDARG00000009689,ENSDARG00000009693,ENSDARG00000009727,ENSDARG00000009733,ENSDARG00000009782,ENSDARG00000009796,ENSDARG00000010008,ENSDARG00000010042,ENSDARG00000010186,ENSDARG00000010255,ENSDARG00000010280,ENSDARG00000010721,ENSDARG00000010953,ENSDARG00000011400,ENSDARG00000011661,ENSDARG00000011777,ENSDARG00000011862,ENSDARG00000011998,ENSDARG00000012281,ENSDARG00000012426,ENSDARG00000012485,ENSDARG00000012944,ENSDARG00000013079,ENSDARG00000013343,ENSDARG00000013415,ENSDARG00000013472,ENSDARG00000013719,ENSDARG00000013752,ENSDARG00000013755,ENSDARG00000013843,ENSDARG00000013858,ENSDARG00000014113,ENSDARG00000014248,ENSDARG00000014329,ENSDARG00000014717,ENSDARG00000014817,ENSDARG00000014854,ENSDARG00000014943,ENSDARG00000015016,ENSDARG00000015059,ENSDARG00000015206,ENSDARG00000015239,ENSDARG00000015404,ENSDARG00000015506,ENSDARG00000015538,ENSDARG00000015610,ENSDARG00000015707,ENSDARG00000015805,ENSDARG00000016016,ENSDARG00000016143,ENSDARG00000016301,ENSDARG00000016594,ENSDARG00000016754,ENSDARG00000017004,ENSDARG00000017140,ENSDARG00000017500,ENSDARG00000017624,ENSDARG00000019062,ENSDARG00000019128,ENSDARG00000019130,ENSDARG00000019156,ENSDARG00000019185,ENSDARG00000019191,ENSDARG00000019208,ENSDARG00000019231,ENSDARG00000019365,ENSDARG00000019707,ENSDARG00000019743,ENSDARG00000019808,ENSDARG00000019845,ENSDARG00000020231,ENSDARG00000020235,ENSDARG00000020610,ENSDARG00000020777,ENSDARG00000020890,ENSDARG00000020924,ENSDARG00000021351,ENSDARG00000021483,ENSDARG00000021895,ENSDARG00000021987,ENSDARG00000022045,ENSDARG00000022350,ENSDARG00000023026,ENSDARG00000023082,ENSDARG00000023318,ENSDARG00000023495,ENSDARG00000023578,ENSDARG00000023963,ENSDARG00000023988,ENSDARG00000024219,ENSDARG00000024575,ENSDARG00000024694,ENSDARG00000025032,ENSDARG00000025218,ENSDARG00000025301,ENSDARG00000025383,ENSDARG00000026595,ENSDARG00000026829,ENSDARG00000026979,ENSDARG00000027063,ENSDARG00000027234,ENSDARG00000027590,ENSDARG00000027600,ENSDARG00000028213,ENSDARG00000028306,ENSDARG00000028533,ENSDARG00000028618,ENSDARG00000028900,ENSDARG00000029069,ENSDARG00000029133,ENSDARG00000029995,ENSDARG00000030270,ENSDARG00000030463,ENSDARG00000030490,ENSDARG00000031164,ENSDARG00000031388,ENSDARG00000031886,ENSDARG00000032005,ENSDARG00000032238,ENSDARG00000032242,ENSDARG00000032482,ENSDARG00000033012,ENSDARG00000033345,ENSDARG00000033852,ENSDARG00000034240,ENSDARG00000034453,ENSDARG00000034643,ENSDARG00000034836,ENSDARG00000034855,ENSDARG00000034871,ENSDARG00000035056,ENSDARG00000035322,ENSDARG00000035433,ENSDARG00000035438,ENSDARG00000035924,ENSDARG00000035944,ENSDARG00000035958,ENSDARG00000036031,ENSDARG00000036179,ENSDARG00000036371,ENSDARG00000036671,ENSDARG00000036700,ENSDARG00000036830,ENSDARG00000036832,ENSDARG00000036834,ENSDARG00000036840,ENSDARG00000036863,ENSDARG00000037020,ENSDARG00000037276,ENSDARG00000037432,ENSDARG00000037539,ENSDARG00000037640,ENSDARG00000037655,ENSDARG00000037675,ENSDARG00000037954,ENSDARG00000037997,ENSDARG00000038024,ENSDARG00000038432,ENSDARG00000038754,ENSDARG00000038879,ENSDARG00000039142,ENSDARG00000039521,ENSDARG00000039522,ENSDARG00000040110,ENSDARG00000040131,ENSDARG00000040380,ENSDARG00000040556,ENSDARG00000041065,ENSDARG00000041257,ENSDARG00000041339,ENSDARG00000041363,ENSDARG00000041407,ENSDARG00000041414,ENSDARG00000041720,ENSDARG00000041723,ENSDARG00000042141,ENSDARG00000042368,ENSDARG00000042535,ENSDARG00000042559,ENSDARG00000042708,ENSDARG00000042840,ENSDARG00000042927,ENSDARG00000042946,ENSDARG00000043242,ENSDARG00000043493,ENSDARG00000043571,ENSDARG00000043643,ENSDARG00000043697,ENSDARG00000044016,ENSDARG00000044261,ENSDARG00000044299,ENSDARG00000044362,ENSDARG00000044441,ENSDARG00000044491,ENSDARG00000044632,ENSDARG00000044975,ENSDARG00000045014,ENSDARG00000045064,ENSDARG00000045180,ENSDARG00000045298,ENSDARG00000045367,ENSDARG00000045592,ENSDARG00000045822,ENSDARG00000045864,ENSDARG00000045880,ENSDARG00000045900,ENSDARG00000045909,ENSDARG00000046081,ENSDARG00000046132,ENSDARG00000051923,ENSDARG00000052438,ENSDARG00000052673,ENSDARG00000052708,ENSDARG00000052903,ENSDARG00000053026,ENSDARG00000053248,ENSDARG00000053431,ENSDARG00000053956,ENSDARG00000054060,ENSDARG00000054063,ENSDARG00000054255,ENSDARG00000054321,ENSDARG00000054456,ENSDARG00000054723,ENSDARG00000054978,ENSDARG00000055052,ENSDARG00000055133,ENSDARG00000055192,ENSDARG00000055216,ENSDARG00000055566,ENSDARG00000055607,ENSDARG00000055618,ENSDARG00000056090,ENSDARG00000056111,ENSDARG00000056248,ENSDARG00000056322,ENSDARG00000056633,ENSDARG00000056886,ENSDARG00000056888,ENSDARG00000056964,ENSDARG00000057568,ENSDARG00000057881,ENSDARG00000057882,ENSDARG00000057911,ENSDARG00000057928,ENSDARG00000058000,ENSDARG00000058038,ENSDARG00000058319,ENSDARG00000058332,ENSDARG00000058358,ENSDARG00000058371,ENSDARG00000058454,ENSDARG00000058462,ENSDARG00000058471,ENSDARG00000058656,ENSDARG00000058690,ENSDARG00000058892,ENSDARG00000058946,ENSDARG00000058968,ENSDARG00000059442,ENSDARG00000059567,ENSDARG00000059596,ENSDARG00000059601,ENSDARG00000059965,ENSDARG00000059987,ENSDARG00000060058,ENSDARG00000060112,ENSDARG00000060165,ENSDARG00000060215,ENSDARG00000060298,ENSDARG00000060326,ENSDARG00000060434,ENSDARG00000060482,ENSDARG00000060805,ENSDARG00000060917,ENSDARG00000060948,ENSDARG00000061131,ENSDARG00000061213,ENSDARG00000061385,ENSDARG00000061421,ENSDARG00000061486,ENSDARG00000061579,ENSDARG00000061635,ENSDARG00000061778,ENSDARG00000061810,ENSDARG00000061817,ENSDARG00000061862,ENSDARG00000062003,ENSDARG00000062108,ENSDARG00000062173,ENSDARG00000062198,ENSDARG00000062350,ENSDARG00000062385,ENSDARG00000062481,ENSDARG00000062590,ENSDARG00000062976,ENSDARG00000063159,ENSDARG00000063295,ENSDARG00000063385,ENSDARG00000067517,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000067997,ENSDARG00000068398,ENSDARG00000068457,ENSDARG00000068589,ENSDARG00000068745,ENSDARG00000068973,ENSDARG00000069014,ENSDARG00000069269,ENSDARG00000069331,ENSDARG00000069496,ENSDARG00000069594,ENSDARG00000069790,ENSDARG00000069937,ENSDARG00000070076,ENSDARG00000070150,ENSDARG00000070155,ENSDARG00000070698,ENSDARG00000070835,ENSDARG00000070991,ENSDARG00000071009,ENSDARG00000071084,ENSDARG00000071113,ENSDARG00000071271,ENSDARG00000071518,ENSDARG00000073732,ENSDARG00000073761,ENSDARG00000073766,ENSDARG00000073773,ENSDARG00000073843,ENSDARG00000073859,ENSDARG00000074073,ENSDARG00000074131,ENSDARG00000074137,ENSDARG00000074143,ENSDARG00000074379,ENSDARG00000074443,ENSDARG00000074521,ENSDARG00000074590,ENSDARG00000074597,ENSDARG00000074723,ENSDARG00000074919,ENSDARG00000075169,ENSDARG00000075292,ENSDARG00000075539,ENSDARG00000075621,ENSDARG00000075706,ENSDARG00000075725,ENSDARG00000075733,ENSDARG00000075752,ENSDARG00000075898,ENSDARG00000075989,ENSDARG00000076075,ENSDARG00000076228,ENSDARG00000076357,ENSDARG00000076371,ENSDARG00000076416,ENSDARG00000076673,ENSDARG00000076729,ENSDARG00000076934,ENSDARG00000076965,ENSDARG00000077124,ENSDARG00000077201,ENSDARG00000077410,ENSDARG00000077442,ENSDARG00000077545,ENSDARG00000077788,ENSDARG00000077791,ENSDARG00000078313,ENSDARG00000078386,ENSDARG00000078440,ENSDARG00000078535,ENSDARG00000078582,ENSDARG00000078603,ENSDARG00000078654,ENSDARG00000078722,ENSDARG00000078734,ENSDARG00000078761,ENSDARG00000078803,ENSDARG00000078864,ENSDARG00000078947,ENSDARG00000079111,ENSDARG00000079148,ENSDARG00000079483,ENSDARG00000079500,ENSDARG00000079564,ENSDARG00000079753,ENSDARG00000079777,ENSDARG00000079782,ENSDARG00000079895,ENSDARG00000079900,ENSDARG00000086300,ENSDARG00000086985,ENSDARG00000087299,ENSDARG00000087352,ENSDARG00000087373,ENSDARG00000087402,ENSDARG00000087538,ENSDARG00000087616,ENSDARG00000087647,ENSDARG00000088130,ENSDARG00000088168,ENSDARG00000088492,ENSDARG00000088841,ENSDARG00000089162,ENSDARG00000089314,ENSDARG00000090268,ENSDARG00000090369,ENSDARG00000090637,ENSDARG00000090752,ENSDARG00000090778,ENSDARG00000091090,ENSDARG00000091138,ENSDARG00000091326,ENSDARG00000091359,ENSDARG00000091628,ENSDARG00000092379,ENSDARG00000092947,ENSDARG00000093931,ENSDARG00000094041,ENSDARG00000094181,ENSDARG00000094282,ENSDARG00000094466,ENSDARG00000095147,ENSDARG00000095217,ENSDARG00000095930,ENSDARG00000096668,ENSDARG00000098090,ENSDARG00000098242,ENSDARG00000098317,ENSDARG00000098529,ENSDARG00000098591,ENSDARG00000098747,ENSDARG00000099156,ENSDARG00000099197,ENSDARG00000099235,ENSDARG00000099236,ENSDARG00000099352,ENSDARG00000099481,ENSDARG00000099870,ENSDARG00000099871,ENSDARG00000099943,ENSDARG00000099959,ENSDARG00000099974,ENSDARG00000100115,ENSDARG00000100145,ENSDARG00000100222,ENSDARG00000100225,ENSDARG00000100236,ENSDARG00000100252,ENSDARG00000100573,ENSDARG00000100694,ENSDARG00000100805,ENSDARG00000100918,ENSDARG00000101120,ENSDARG00000101236,ENSDARG00000101277,ENSDARG00000101309,ENSDARG00000101510,ENSDARG00000101624,ENSDARG00000101652,ENSDARG00000101777,ENSDARG00000101858,ENSDARG00000102145,ENSDARG00000102414,ENSDARG00000102624,ENSDARG00000102674,ENSDARG00000102878,ENSDARG00000102883,ENSDARG00000102889,ENSDARG00000103007,ENSDARG00000103054,ENSDARG00000103145,ENSDARG00000103195,ENSDARG00000103459,ENSDARG00000103754,ENSDARG00000103900,ENSDARG00000103902,ENSDARG00000103922,ENSDARG00000103969,ENSDARG00000104118,ENSDARG00000104235,ENSDARG00000104283,ENSDARG00000104315,ENSDARG00000104358,ENSDARG00000104436,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000104801,ENSDARG00000104831,ENSDARG00000104837,ENSDARG00000105188,ENSDARG00000109646,ENSDARG00000110192,ENSDARG00000110596,ENSDARG00000111106,ENSDARG00000112287,ENSDARG00000113761,ENSDARG00000114022,ENSDARG00000114031,ENSDARG00000114038,ENSDARG00000114329,ENSDARG00000114870,ENSDARG00000115956,ENSDARG00000116937
GO:0030427	site of polarized growth	21	1	0.02	0.02343	ENSDARG00000004621,ENSDARG00000008170,ENSDARG00000011777,ENSDARG00000013921,ENSDARG00000016016,ENSDARG00000016260,ENSDARG00000022968,ENSDARG00000032482,ENSDARG00000035056,ENSDARG00000037747,ENSDARG00000040001,ENSDARG00000045639,ENSDARG00000055455,ENSDARG00000056519,ENSDARG00000056633,ENSDARG00000061478,ENSDARG00000070537,ENSDARG00000074723,ENSDARG00000075539,ENSDARG00000099294,ENSDARG00000099744
GO:0005861	troponin complex	22	1	0.02	0.02453	ENSDARG00000002988,ENSDARG00000005841,ENSDARG00000011400,ENSDARG00000013752,ENSDARG00000020610,ENSDARG00000029069,ENSDARG00000029995,ENSDARG00000030270,ENSDARG00000032242,ENSDARG00000035958,ENSDARG00000036671,ENSDARG00000037539,ENSDARG00000037954,ENSDARG00000042559,ENSDARG00000045592,ENSDARG00000045822,ENSDARG00000052708,ENSDARG00000068457,ENSDARG00000070835,ENSDARG00000073766,ENSDARG00000099870,ENSDARG00000100694
GO:0097517	contractile actin filament bundle	24	1	0.03	0.02673	ENSDARG00000007219,ENSDARG00000009689,ENSDARG00000014248,ENSDARG00000015059,ENSDARG00000019845,ENSDARG00000023578,ENSDARG00000027600,ENSDARG00000034643,ENSDARG00000045064,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000068973,ENSDARG00000069331,ENSDARG00000071113,ENSDARG00000075733,ENSDARG00000078803,ENSDARG00000086300,ENSDARG00000088168,ENSDARG00000091090,ENSDARG00000099974,ENSDARG00000101777,ENSDARG00000104315,ENSDARG00000104713,ENSDARG00000114870
GO:0001725	stress fiber	24	1	0.03	0.02673	ENSDARG00000007219,ENSDARG00000009689,ENSDARG00000014248,ENSDARG00000015059,ENSDARG00000019845,ENSDARG00000023578,ENSDARG00000027600,ENSDARG00000034643,ENSDARG00000045064,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000068973,ENSDARG00000069331,ENSDARG00000071113,ENSDARG00000075733,ENSDARG00000078803,ENSDARG00000086300,ENSDARG00000088168,ENSDARG00000091090,ENSDARG00000099974,ENSDARG00000101777,ENSDARG00000104315,ENSDARG00000104713,ENSDARG00000114870
