GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0003779	actin binding	346	3	0.32	0.0036	ENSDARG00000000103,ENSDARG00000001014,ENSDARG00000001431,ENSDARG00000001909,ENSDARG00000001993,ENSDARG00000002255,ENSDARG00000003084,ENSDARG00000003313,ENSDARG00000003952,ENSDARG00000004049,ENSDARG00000004372,ENSDARG00000004658,ENSDARG00000005162,ENSDARG00000005210,ENSDARG00000005704,ENSDARG00000006283,ENSDARG00000006385,ENSDARG00000006712,ENSDARG00000006892,ENSDARG00000007219,ENSDARG00000008170,ENSDARG00000008383,ENSDARG00000008487,ENSDARG00000008790,ENSDARG00000008803,ENSDARG00000009133,ENSDARG00000009336,ENSDARG00000009341,ENSDARG00000009567,ENSDARG00000009689,ENSDARG00000009727,ENSDARG00000009782,ENSDARG00000010031,ENSDARG00000010728,ENSDARG00000011400,ENSDARG00000011459,ENSDARG00000011661,ENSDARG00000011777,ENSDARG00000012311,ENSDARG00000012586,ENSDARG00000012682,ENSDARG00000012729,ENSDARG00000012944,ENSDARG00000012972,ENSDARG00000013110,ENSDARG00000013335,ENSDARG00000013755,ENSDARG00000014106,ENSDARG00000014113,ENSDARG00000014248,ENSDARG00000014651,ENSDARG00000015059,ENSDARG00000015552,ENSDARG00000015937,ENSDARG00000016016,ENSDARG00000016350,ENSDARG00000017004,ENSDARG00000017036,ENSDARG00000017105,ENSDARG00000017901,ENSDARG00000018162,ENSDARG00000018206,ENSDARG00000018566,ENSDARG00000018820,ENSDARG00000019062,ENSDARG00000019117,ENSDARG00000019128,ENSDARG00000019231,ENSDARG00000019304,ENSDARG00000019845,ENSDARG00000019917,ENSDARG00000020204,ENSDARG00000020395,ENSDARG00000020890,ENSDARG00000020944,ENSDARG00000021124,ENSDARG00000021193,ENSDARG00000021987,ENSDARG00000022045,ENSDARG00000023188,ENSDARG00000023916,ENSDARG00000023940,ENSDARG00000023963,ENSDARG00000024209,ENSDARG00000024694,ENSDARG00000024785,ENSDARG00000025091,ENSDARG00000025218,ENSDARG00000025567,ENSDARG00000026350,ENSDARG00000026829,ENSDARG00000027063,ENSDARG00000027172,ENSDARG00000027310,ENSDARG00000027600,ENSDARG00000028327,ENSDARG00000028393,ENSDARG00000028740,ENSDARG00000028943,ENSDARG00000029856,ENSDARG00000030107,ENSDARG00000030490,ENSDARG00000030722,ENSDARG00000032221,ENSDARG00000032482,ENSDARG00000032630,ENSDARG00000033683,ENSDARG00000033854,ENSDARG00000034240,ENSDARG00000034643,ENSDARG00000035322,ENSDARG00000035398,ENSDARG00000035433,ENSDARG00000035438,ENSDARG00000035598,ENSDARG00000035629,ENSDARG00000035650,ENSDARG00000035858,ENSDARG00000035868,ENSDARG00000036179,ENSDARG00000036245,ENSDARG00000037266,ENSDARG00000037539,ENSDARG00000037655,ENSDARG00000037747,ENSDARG00000038445,ENSDARG00000038583,ENSDARG00000038938,ENSDARG00000039142,ENSDARG00000039272,ENSDARG00000039974,ENSDARG00000040466,ENSDARG00000040874,ENSDARG00000041720,ENSDARG00000042141,ENSDARG00000043710,ENSDARG00000044016,ENSDARG00000044405,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000044968,ENSDARG00000045064,ENSDARG00000045262,ENSDARG00000045298,ENSDARG00000045880,ENSDARG00000051876,ENSDARG00000052247,ENSDARG00000053484,ENSDARG00000053956,ENSDARG00000054060,ENSDARG00000054063,ENSDARG00000054610,ENSDARG00000054911,ENSDARG00000055075,ENSDARG00000055223,ENSDARG00000055632,ENSDARG00000055713,ENSDARG00000056090,ENSDARG00000056209,ENSDARG00000056250,ENSDARG00000056322,ENSDARG00000056504,ENSDARG00000057867,ENSDARG00000057882,ENSDARG00000057984,ENSDARG00000058108,ENSDARG00000058128,ENSDARG00000058243,ENSDARG00000058322,ENSDARG00000058348,ENSDARG00000059342,ENSDARG00000059466,ENSDARG00000059574,ENSDARG00000059601,ENSDARG00000059604,ENSDARG00000059680,ENSDARG00000059701,ENSDARG00000059774,ENSDARG00000059902,ENSDARG00000060010,ENSDARG00000060149,ENSDARG00000060326,ENSDARG00000060349,ENSDARG00000060368,ENSDARG00000060434,ENSDARG00000060805,ENSDARG00000061304,ENSDARG00000061579,ENSDARG00000061635,ENSDARG00000061810,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000062003,ENSDARG00000062481,ENSDARG00000062590,ENSDARG00000062662,ENSDARG00000062948,ENSDARG00000062972,ENSDARG00000063068,ENSDARG00000063195,ENSDARG00000063295,ENSDARG00000063457,ENSDARG00000063580,ENSDARG00000063604,ENSDARG00000063682,ENSDARG00000067701,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000067997,ENSDARG00000068973,ENSDARG00000069113,ENSDARG00000069600,ENSDARG00000070076,ENSDARG00000070835,ENSDARG00000070991,ENSDARG00000071084,ENSDARG00000071113,ENSDARG00000071445,ENSDARG00000071709,ENSDARG00000073732,ENSDARG00000073761,ENSDARG00000073843,ENSDARG00000074143,ENSDARG00000074201,ENSDARG00000074275,ENSDARG00000074396,ENSDARG00000074443,ENSDARG00000074575,ENSDARG00000074581,ENSDARG00000074723,ENSDARG00000075041,ENSDARG00000075292,ENSDARG00000075295,ENSDARG00000075433,ENSDARG00000075608,ENSDARG00000075706,ENSDARG00000075752,ENSDARG00000075867,ENSDARG00000075989,ENSDARG00000076060,ENSDARG00000076075,ENSDARG00000076229,ENSDARG00000076364,ENSDARG00000076371,ENSDARG00000076414,ENSDARG00000076416,ENSDARG00000077157,ENSDARG00000077201,ENSDARG00000077410,ENSDARG00000077777,ENSDARG00000078313,ENSDARG00000078440,ENSDARG00000078582,ENSDARG00000078603,ENSDARG00000078696,ENSDARG00000078803,ENSDARG00000079017,ENSDARG00000079366,ENSDARG00000079440,ENSDARG00000079564,ENSDARG00000079591,ENSDARG00000079782,ENSDARG00000079900,ENSDARG00000086391,ENSDARG00000087260,ENSDARG00000087402,ENSDARG00000088091,ENSDARG00000088168,ENSDARG00000088440,ENSDARG00000089310,ENSDARG00000089616,ENSDARG00000089858,ENSDARG00000090369,ENSDARG00000090637,ENSDARG00000090785,ENSDARG00000091006,ENSDARG00000091090,ENSDARG00000092281,ENSDARG00000092624,ENSDARG00000092970,ENSDARG00000093000,ENSDARG00000093374,ENSDARG00000094181,ENSDARG00000094732,ENSDARG00000094760,ENSDARG00000094792,ENSDARG00000095217,ENSDARG00000095930,ENSDARG00000097683,ENSDARG00000098374,ENSDARG00000098650,ENSDARG00000098695,ENSDARG00000098747,ENSDARG00000098955,ENSDARG00000099283,ENSDARG00000099385,ENSDARG00000099510,ENSDARG00000099672,ENSDARG00000099720,ENSDARG00000099786,ENSDARG00000099871,ENSDARG00000099959,ENSDARG00000099974,ENSDARG00000100222,ENSDARG00000100252,ENSDARG00000100729,ENSDARG00000101441,ENSDARG00000101777,ENSDARG00000101858,ENSDARG00000102056,ENSDARG00000102081,ENSDARG00000102128,ENSDARG00000102180,ENSDARG00000102272,ENSDARG00000102398,ENSDARG00000102414,ENSDARG00000102415,ENSDARG00000102441,ENSDARG00000102458,ENSDARG00000102829,ENSDARG00000102883,ENSDARG00000103917,ENSDARG00000103962,ENSDARG00000103969,ENSDARG00000104118,ENSDARG00000104181,ENSDARG00000104315,ENSDARG00000104478,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000104836,ENSDARG00000105209,ENSDARG00000106873,ENSDARG00000110192,ENSDARG00000110206,ENSDARG00000110291,ENSDARG00000110596,ENSDARG00000110698,ENSDARG00000110973,ENSDARG00000112287,ENSDARG00000112527,ENSDARG00000114022,ENSDARG00000114031,ENSDARG00000114870,ENSDARG00000115082,ENSDARG00000115712
GO:0044877	protein-containing complex binding	376	3	0.35	0.0045	ENSDARG00000000103,ENSDARG00000001014,ENSDARG00000001431,ENSDARG00000001909,ENSDARG00000001993,ENSDARG00000002013,ENSDARG00000002084,ENSDARG00000002192,ENSDARG00000002494,ENSDARG00000003984,ENSDARG00000004049,ENSDARG00000004658,ENSDARG00000005162,ENSDARG00000005210,ENSDARG00000005827,ENSDARG00000006385,ENSDARG00000007216,ENSDARG00000007219,ENSDARG00000008170,ENSDARG00000008383,ENSDARG00000008487,ENSDARG00000008790,ENSDARG00000008803,ENSDARG00000009133,ENSDARG00000009336,ENSDARG00000009567,ENSDARG00000009727,ENSDARG00000009782,ENSDARG00000010002,ENSDARG00000010194,ENSDARG00000010280,ENSDARG00000010728,ENSDARG00000011188,ENSDARG00000011400,ENSDARG00000011459,ENSDARG00000011487,ENSDARG00000011661,ENSDARG00000011777,ENSDARG00000011855,ENSDARG00000012066,ENSDARG00000012586,ENSDARG00000012688,ENSDARG00000012776,ENSDARG00000012942,ENSDARG00000012944,ENSDARG00000012972,ENSDARG00000013110,ENSDARG00000013335,ENSDARG00000013434,ENSDARG00000013755,ENSDARG00000014106,ENSDARG00000014651,ENSDARG00000015206,ENSDARG00000015254,ENSDARG00000015676,ENSDARG00000015887,ENSDARG00000015937,ENSDARG00000015970,ENSDARG00000016016,ENSDARG00000016364,ENSDARG00000016676,ENSDARG00000016994,ENSDARG00000017036,ENSDARG00000017235,ENSDARG00000017294,ENSDARG00000017439,ENSDARG00000017494,ENSDARG00000017901,ENSDARG00000018022,ENSDARG00000018162,ENSDARG00000018174,ENSDARG00000018566,ENSDARG00000018742,ENSDARG00000018820,ENSDARG00000018968,ENSDARG00000019062,ENSDARG00000019128,ENSDARG00000019231,ENSDARG00000019353,ENSDARG00000019808,ENSDARG00000019815,ENSDARG00000019949,ENSDARG00000020009,ENSDARG00000020232,ENSDARG00000020581,ENSDARG00000020820,ENSDARG00000020890,ENSDARG00000021124,ENSDARG00000021193,ENSDARG00000021370,ENSDARG00000021550,ENSDARG00000021647,ENSDARG00000021864,ENSDARG00000022689,ENSDARG00000022810,ENSDARG00000023026,ENSDARG00000023062,ENSDARG00000023188,ENSDARG00000023963,ENSDARG00000024209,ENSDARG00000024694,ENSDARG00000024785,ENSDARG00000024829,ENSDARG00000025218,ENSDARG00000025605,ENSDARG00000025670,ENSDARG00000025826,ENSDARG00000026595,ENSDARG00000026829,ENSDARG00000027063,ENSDARG00000027360,ENSDARG00000028327,ENSDARG00000028507,ENSDARG00000029088,ENSDARG00000029445,ENSDARG00000029476,ENSDARG00000029724,ENSDARG00000030107,ENSDARG00000030490,ENSDARG00000030641,ENSDARG00000030644,ENSDARG00000031496,ENSDARG00000032129,ENSDARG00000032482,ENSDARG00000032630,ENSDARG00000032639,ENSDARG00000034174,ENSDARG00000034240,ENSDARG00000035018,ENSDARG00000035178,ENSDARG00000035256,ENSDARG00000035322,ENSDARG00000035433,ENSDARG00000035438,ENSDARG00000035598,ENSDARG00000036058,ENSDARG00000036179,ENSDARG00000036414,ENSDARG00000036754,ENSDARG00000037099,ENSDARG00000037539,ENSDARG00000037655,ENSDARG00000037747,ENSDARG00000037924,ENSDARG00000038559,ENSDARG00000039142,ENSDARG00000039272,ENSDARG00000039649,ENSDARG00000040466,ENSDARG00000040874,ENSDARG00000040985,ENSDARG00000041720,ENSDARG00000041974,ENSDARG00000042094,ENSDARG00000042141,ENSDARG00000042252,ENSDARG00000042529,ENSDARG00000042934,ENSDARG00000043006,ENSDARG00000043077,ENSDARG00000043094,ENSDARG00000044001,ENSDARG00000044016,ENSDARG00000044199,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000044760,ENSDARG00000044968,ENSDARG00000045064,ENSDARG00000045070,ENSDARG00000045262,ENSDARG00000045401,ENSDARG00000045415,ENSDARG00000045524,ENSDARG00000045880,ENSDARG00000045958,ENSDARG00000051876,ENSDARG00000052057,ENSDARG00000052142,ENSDARG00000052178,ENSDARG00000052348,ENSDARG00000052652,ENSDARG00000053196,ENSDARG00000053232,ENSDARG00000053326,ENSDARG00000053484,ENSDARG00000053956,ENSDARG00000054060,ENSDARG00000054063,ENSDARG00000054087,ENSDARG00000054574,ENSDARG00000054610,ENSDARG00000055075,ENSDARG00000055133,ENSDARG00000055136,ENSDARG00000055223,ENSDARG00000055713,ENSDARG00000056090,ENSDARG00000056186,ENSDARG00000056250,ENSDARG00000056504,ENSDARG00000056767,ENSDARG00000056978,ENSDARG00000057867,ENSDARG00000057882,ENSDARG00000057992,ENSDARG00000058348,ENSDARG00000058419,ENSDARG00000058543,ENSDARG00000058695,ENSDARG00000059342,ENSDARG00000059574,ENSDARG00000059680,ENSDARG00000059701,ENSDARG00000059774,ENSDARG00000060010,ENSDARG00000060326,ENSDARG00000060330,ENSDARG00000060349,ENSDARG00000060805,ENSDARG00000061124,ENSDARG00000061304,ENSDARG00000061579,ENSDARG00000061635,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000062003,ENSDARG00000062326,ENSDARG00000062532,ENSDARG00000062688,ENSDARG00000062972,ENSDARG00000063068,ENSDARG00000063100,ENSDARG00000063295,ENSDARG00000063580,ENSDARG00000063604,ENSDARG00000063682,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000067997,ENSDARG00000068289,ENSDARG00000069600,ENSDARG00000069671,ENSDARG00000070477,ENSDARG00000070835,ENSDARG00000070857,ENSDARG00000071048,ENSDARG00000071113,ENSDARG00000071586,ENSDARG00000071709,ENSDARG00000073732,ENSDARG00000073761,ENSDARG00000073765,ENSDARG00000073858,ENSDARG00000073892,ENSDARG00000074201,ENSDARG00000074396,ENSDARG00000074443,ENSDARG00000074575,ENSDARG00000074581,ENSDARG00000074989,ENSDARG00000075041,ENSDARG00000075282,ENSDARG00000075295,ENSDARG00000075433,ENSDARG00000075571,ENSDARG00000075752,ENSDARG00000075850,ENSDARG00000075954,ENSDARG00000075989,ENSDARG00000076075,ENSDARG00000076371,ENSDARG00000076414,ENSDARG00000076416,ENSDARG00000077504,ENSDARG00000077515,ENSDARG00000077686,ENSDARG00000077850,ENSDARG00000078523,ENSDARG00000078582,ENSDARG00000078603,ENSDARG00000078707,ENSDARG00000078803,ENSDARG00000079326,ENSDARG00000079366,ENSDARG00000079440,ENSDARG00000079496,ENSDARG00000079564,ENSDARG00000079782,ENSDARG00000079900,ENSDARG00000079934,ENSDARG00000079949,ENSDARG00000086551,ENSDARG00000087165,ENSDARG00000087402,ENSDARG00000087636,ENSDARG00000087911,ENSDARG00000088168,ENSDARG00000088805,ENSDARG00000089616,ENSDARG00000090369,ENSDARG00000090637,ENSDARG00000091090,ENSDARG00000092503,ENSDARG00000093000,ENSDARG00000094181,ENSDARG00000094760,ENSDARG00000095217,ENSDARG00000095930,ENSDARG00000097102,ENSDARG00000097803,ENSDARG00000098215,ENSDARG00000098374,ENSDARG00000098551,ENSDARG00000098650,ENSDARG00000098695,ENSDARG00000098764,ENSDARG00000099572,ENSDARG00000099672,ENSDARG00000099844,ENSDARG00000099871,ENSDARG00000099959,ENSDARG00000100011,ENSDARG00000100084,ENSDARG00000100222,ENSDARG00000100252,ENSDARG00000100371,ENSDARG00000100499,ENSDARG00000100729,ENSDARG00000100741,ENSDARG00000101209,ENSDARG00000101441,ENSDARG00000101557,ENSDARG00000101618,ENSDARG00000102056,ENSDARG00000102081,ENSDARG00000102180,ENSDARG00000102272,ENSDARG00000102415,ENSDARG00000102441,ENSDARG00000102458,ENSDARG00000102797,ENSDARG00000102859,ENSDARG00000102902,ENSDARG00000103011,ENSDARG00000103203,ENSDARG00000103404,ENSDARG00000103459,ENSDARG00000103830,ENSDARG00000103856,ENSDARG00000103917,ENSDARG00000103919,ENSDARG00000103962,ENSDARG00000103969,ENSDARG00000103996,ENSDARG00000104089,ENSDARG00000104292,ENSDARG00000104358,ENSDARG00000104541,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000104836,ENSDARG00000105209,ENSDARG00000105288,ENSDARG00000109929,ENSDARG00000110192,ENSDARG00000110291,ENSDARG00000110596,ENSDARG00000110698,ENSDARG00000110973,ENSDARG00000112287,ENSDARG00000112527,ENSDARG00000114022,ENSDARG00000114031,ENSDARG00000114670,ENSDARG00000114796
GO:0005523	tropomyosin binding	12	1	0.01	0.0112	ENSDARG00000002571,ENSDARG00000002988,ENSDARG00000020610,ENSDARG00000020890,ENSDARG00000030270,ENSDARG00000032242,ENSDARG00000037954,ENSDARG00000045822,ENSDARG00000045864,ENSDARG00000056111,ENSDARG00000062662,ENSDARG00000068457
