GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0015629	actin cytoskeleton	113	2	0.13	0.0063	ENSDARG00000000103,ENSDARG00000002988,ENSDARG00000004049,ENSDARG00000004904,ENSDARG00000006385,ENSDARG00000009336,ENSDARG00000009689,ENSDARG00000009693,ENSDARG00000011400,ENSDARG00000011661,ENSDARG00000011777,ENSDARG00000012311,ENSDARG00000013110,ENSDARG00000013752,ENSDARG00000014248,ENSDARG00000019231,ENSDARG00000020610,ENSDARG00000020924,ENSDARG00000021193,ENSDARG00000023318,ENSDARG00000023578,ENSDARG00000023988,ENSDARG00000024785,ENSDARG00000028533,ENSDARG00000028943,ENSDARG00000033466,ENSDARG00000035322,ENSDARG00000035433,ENSDARG00000035438,ENSDARG00000036371,ENSDARG00000036671,ENSDARG00000036764,ENSDARG00000037266,ENSDARG00000037747,ENSDARG00000041414,ENSDARG00000042141,ENSDARG00000042559,ENSDARG00000043643,ENSDARG00000043710,ENSDARG00000044016,ENSDARG00000044632,ENSDARG00000044968,ENSDARG00000045064,ENSDARG00000055075,ENSDARG00000055223,ENSDARG00000055607,ENSDARG00000055618,ENSDARG00000056111,ENSDARG00000057882,ENSDARG00000057911,ENSDARG00000059773,ENSDARG00000061304,ENSDARG00000061635,ENSDARG00000061778,ENSDARG00000061810,ENSDARG00000061862,ENSDARG00000067701,ENSDARG00000067990,ENSDARG00000067995,ENSDARG00000067997,ENSDARG00000069331,ENSDARG00000070076,ENSDARG00000070991,ENSDARG00000071113,ENSDARG00000071709,ENSDARG00000073732,ENSDARG00000073761,ENSDARG00000073843,ENSDARG00000074184,ENSDARG00000074443,ENSDARG00000074575,ENSDARG00000074723,ENSDARG00000075292,ENSDARG00000075334,ENSDARG00000075706,ENSDARG00000075752,ENSDARG00000076075,ENSDARG00000077201,ENSDARG00000077410,ENSDARG00000078582,ENSDARG00000079111,ENSDARG00000079366,ENSDARG00000079564,ENSDARG00000079782,ENSDARG00000079895,ENSDARG00000079994,ENSDARG00000086391,ENSDARG00000088168,ENSDARG00000094181,ENSDARG00000095217,ENSDARG00000095930,ENSDARG00000099352,ENSDARG00000099871,ENSDARG00000099959,ENSDARG00000100222,ENSDARG00000100694,ENSDARG00000100805,ENSDARG00000101777,ENSDARG00000102056,ENSDARG00000102081,ENSDARG00000102414,ENSDARG00000102441,ENSDARG00000102883,ENSDARG00000103969,ENSDARG00000104118,ENSDARG00000104283,ENSDARG00000104315,ENSDARG00000104713,ENSDARG00000105209,ENSDARG00000110192,ENSDARG00000110596,ENSDARG00000112287,ENSDARG00000114031
GO:0001725	stress fiber	10	1	0.01	0.0112	ENSDARG00000009689,ENSDARG00000014248,ENSDARG00000023578,ENSDARG00000045064,ENSDARG00000069331,ENSDARG00000071113,ENSDARG00000088168,ENSDARG00000101777,ENSDARG00000104315,ENSDARG00000104713
GO:0097517	contractile actin filament bundle	10	1	0.01	0.0112	ENSDARG00000009689,ENSDARG00000014248,ENSDARG00000023578,ENSDARG00000045064,ENSDARG00000069331,ENSDARG00000071113,ENSDARG00000088168,ENSDARG00000101777,ENSDARG00000104315,ENSDARG00000104713
GO:0032432	actin filament bundle	11	1	0.01	0.0123	ENSDARG00000004049,ENSDARG00000009689,ENSDARG00000014248,ENSDARG00000023578,ENSDARG00000045064,ENSDARG00000069331,ENSDARG00000071113,ENSDARG00000088168,ENSDARG00000101777,ENSDARG00000104315,ENSDARG00000104713
GO:0030426	growth cone	11	1	0.01	0.0123	ENSDARG00000004621,ENSDARG00000016260,ENSDARG00000035056,ENSDARG00000037747,ENSDARG00000045639,ENSDARG00000055455,ENSDARG00000056633,ENSDARG00000070537,ENSDARG00000074723,ENSDARG00000075539,ENSDARG00000099744
GO:0042641	actomyosin	11	1	0.01	0.0123	ENSDARG00000009689,ENSDARG00000014248,ENSDARG00000023578,ENSDARG00000045064,ENSDARG00000069331,ENSDARG00000071113,ENSDARG00000088168,ENSDARG00000101777,ENSDARG00000104283,ENSDARG00000104315,ENSDARG00000104713
GO:0030427	site of polarized growth	14	1	0.02	0.0157	ENSDARG00000004621,ENSDARG00000011777,ENSDARG00000013921,ENSDARG00000016260,ENSDARG00000035056,ENSDARG00000037747,ENSDARG00000040001,ENSDARG00000045639,ENSDARG00000055455,ENSDARG00000056633,ENSDARG00000070537,ENSDARG00000074723,ENSDARG00000075539,ENSDARG00000099744
GO:0030175	filopodium	16	1	0.02	0.0179	ENSDARG00000004621,ENSDARG00000014875,ENSDARG00000016260,ENSDARG00000035056,ENSDARG00000036371,ENSDARG00000037560,ENSDARG00000037747,ENSDARG00000042141,ENSDARG00000044016,ENSDARG00000055455,ENSDARG00000056633,ENSDARG00000057911,ENSDARG00000058207,ENSDARG00000062799,ENSDARG00000070917,ENSDARG00000099744
GO:0005924	cell-substrate adherens junction	19	1	0.02	0.0212	ENSDARG00000003046,ENSDARG00000004672,ENSDARG00000012942,ENSDARG00000017901,ENSDARG00000021896,ENSDARG00000022689,ENSDARG00000023578,ENSDARG00000039577,ENSDARG00000043710,ENSDARG00000056525,ENSDARG00000056767,ENSDARG00000060766,ENSDARG00000069331,ENSDARG00000071113,ENSDARG00000100456,ENSDARG00000100973,ENSDARG00000101858,ENSDARG00000103747,ENSDARG00000110973
GO:0005925	focal adhesion	19	1	0.02	0.0212	ENSDARG00000003046,ENSDARG00000004672,ENSDARG00000012942,ENSDARG00000017901,ENSDARG00000021896,ENSDARG00000022689,ENSDARG00000023578,ENSDARG00000039577,ENSDARG00000043710,ENSDARG00000056525,ENSDARG00000056767,ENSDARG00000060766,ENSDARG00000069331,ENSDARG00000071113,ENSDARG00000100456,ENSDARG00000100973,ENSDARG00000101858,ENSDARG00000103747,ENSDARG00000110973
