GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000005172	0	-0.052143915540226946	dynll2b	dynein, light chain, LC8-type 2b [Source:ZFIN;Acc:ZDB-GENE-050320-132]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000006862	0	-0.1367884923025164	kifap3b	kinesin-associated protein 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2219]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000008022	0	-0.12019276134978761	kif18a	kinesin family member 18A [Source:ZFIN;Acc:ZDB-GENE-040426-862]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000009733	0	-0.3002738150978758	kif21b	kinesin family member 21B [Source:ZFIN;Acc:ZDB-GENE-130530-537]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000012485	0	-0.005683351729223717	aurka	aurora kinase A [Source:ZFIN;Acc:ZDB-GENE-040801-161]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000014717	0	-0.08407035287831674	dync1h1	dynein, cytoplasmic 1, heavy chain 1 [Source:ZFIN;Acc:ZDB-GENE-030131-7050]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000014943	0	-0.050951794415824446	kif23	kinesin family member 23 [Source:ZFIN;Acc:ZDB-GENE-991019-4]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000015016	0	-0.019475917007508982	kif26ab	kinesin family member 26Ab [Source:ZFIN;Acc:ZDB-GENE-100716-6]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000016594	0	-0.003900796455762305	haus4	HAUS augmin-like complex, subunit 4 [Source:NCBI gene;Acc:436698]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000021582	0	-0.04613144675783444	dynlrb1	dynein, light chain, roadblock-type 1 [Source:ZFIN;Acc:ZDB-GENE-040426-989]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000022045	0	-0.034139564558035025	map1ab	microtubule-associated protein 1Ab [Source:ZFIN;Acc:ZDB-GENE-100426-3]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000026595	0	-0.04214830015610726	pafah1b1b	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1b [Source:NCBI gene;Acc:394247]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000031116	0	-0.3276457443105239	dnal4a	dynein, axonemal, light chain 4a [Source:ZFIN;Acc:ZDB-GENE-040801-122]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000031388	0	-0.04970308781034496	dctn2	dynactin 2 (p50) [Source:NCBI gene;Acc:394141]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000037020	0	-0.02564731133600193	kif1b	kinesin family member 1B [Source:ZFIN;Acc:ZDB-GENE-030820-1]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000038432	0	-0.04056829733602304	actr10	actin related protein 10 [Source:ZFIN;Acc:ZDB-GENE-040426-768]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000042182	0	-0.505840209259179	drc1	dynein regulatory complex subunit 1 homolog (Chlamydomonas) [Source:NCBI gene;Acc:100034551]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000042368	0	-0.018743602050733416	kif26aa	kinesin family member 26Aa [Source:ZFIN;Acc:ZDB-GENE-041001-148]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000042535	0	-0.32285427105456055	actc1a	actin alpha cardiac muscle 1a [Source:ZFIN;Acc:ZDB-GENE-040520-4]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000044400	0	-0.4282303434530021	wdr78	WD repeat domain 78 [Source:ZFIN;Acc:ZDB-GENE-050522-322]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000045909	0	-0.18913095189063708	dynlt1	dynein, light chain, Tctex-type 1 [Source:ZFIN;Acc:ZDB-GENE-041210-9]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000046132	0	-0.016521655122733337	dynlt3	dynein, light chain, Tctex-type 3 [Source:ZFIN;Acc:ZDB-GENE-040927-24]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000053026	0	-0.14684249251569037	kif19	kinesin family member 19 [Source:ZFIN;Acc:ZDB-GENE-080215-2]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000053240	0	-0.4696626036352521	kif6	kinesin family member 6 [Source:ZFIN;Acc:ZDB-GENE-061027-130]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000054255	0	-0.293645327887422	tctex1d2	Tctex1 domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-081104-219]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000054448	0	-0.2202658742459825	kif1c	kinesin family member 1C [Source:ZFIN;Acc:ZDB-GENE-090312-119]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000055965	0	-0.06018534285417411	klc3	kinesin light chain 3 [Source:ZFIN;Acc:ZDB-GENE-060929-772]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000056888	0	-0.15744805717966376	dnah5l	dynein, axonemal, heavy chain 5 like [Source:ZFIN;Acc:ZDB-GENE-091204-287]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000057635	0	-0.39399398104228645	wdr34	WD repeat domain 34 [Source:ZFIN;Acc:ZDB-GENE-070928-9]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000058968	0	-0.07635573418965756	haus1	HAUS augmin-like complex, subunit 1 [Source:ZFIN;Acc:ZDB-GENE-091204-387]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000060165	0	-0.05339322119784452	dnah7	dynein, axonemal, heavy chain 7 [Source:ZFIN;Acc:ZDB-GENE-070912-282]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000060434	0	-0.13206053295457196	map1b	microtubule-associated protein 1B [Source:ZFIN;Acc:ZDB-GENE-130530-690]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000060805	0	-0.04354625753520899	map1sa	microtubule-associated protein 1Sa [Source:ZFIN;Acc:ZDB-GENE-030131-3982]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000060948	0	-0.21544480926241258	dync1i1	dynein, cytoplasmic 1, intermediate chain 1 [Source:ZFIN;Acc:ZDB-GENE-061215-62]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000061131	0	-0.12165041700614426	kif21a	kinesin family member 21A [Source:ZFIN;Acc:ZDB-GENE-110411-237]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000061817	0	-0.06979643565675579	kif1aa	kinesin family member 1Aa [Source:ZFIN;Acc:ZDB-GENE-100913-3]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000062630	0	-0.2687792726264916	dnah9l	dynein, axonemal, heavy polypeptide 9 like [Source:ZFIN;Acc:ZDB-GENE-050506-1]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000069594	0	-0.11813041938628789	kif13a	kinesin family member 13A [Source:ZFIN;Acc:ZDB-GENE-090901-1]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000069790	0	-0.04066553650757498	dynll2a	dynein, light chain, LC8-type 2a [Source:ZFIN;Acc:ZDB-GENE-030828-11]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000076126	0	-0.22080931070792714	actc1a	actin alpha cardiac muscle 1a [Source:ZFIN;Acc:ZDB-GENE-040520-4]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000076934	0	-0.015703100934474648	wdr60	WD repeat domain 60 [Source:ZFIN;Acc:ZDB-GENE-140821-1]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000087352	0	-0.08079454225218236	dnah2	dynein, axonemal, heavy chain 2 [Source:ZFIN;Acc:ZDB-GENE-130530-910]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000087373	0	-0.1020061338694507	dnah5	dynein, axonemal, heavy chain 5 [Source:ZFIN;Acc:ZDB-GENE-110411-177]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000087538	0	-0.08461427586988979	kif3a	kinesin family member 3A [Source:ZFIN;Acc:ZDB-GENE-050417-71]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000088841	0	-0.03022668018141277	dnal4b	dynein, axonemal, light chain 4b [Source:ZFIN;Acc:ZDB-GENE-050208-510]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000098090	0	-0.04449193168855811	CABZ01088308.1	NA
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000098317	0	-0.026341403205216	dync1li1	dynein, cytoplasmic 1, light intermediate chain 1 [Source:ZFIN;Acc:ZDB-GENE-030131-4108]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000103195	0	-0.12991178144552043	dync1i2b	dynein, cytoplasmic 1, intermediate chain 2b [Source:ZFIN;Acc:ZDB-GENE-090121-1]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000103902	0	-0.24742073751228744	nde1	nudE neurodevelopment protein 1 [Source:ZFIN;Acc:ZDB-GENE-050913-61]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000105093	0	-0.14447277183935797	DNAI3	WD repeat domain 63 [Source:NCBI gene;Acc:100333131]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000113761	0	-0.23011036988248548	DYNC2H1	dynein cytoplasmic 2 heavy chain 1 [Source:NCBI gene;Acc:100332402]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000036371	1	-1.1857477726743348	acta1a	actin alpha 1, skeletal muscle a [Source:ZFIN;Acc:ZDB-GENE-050417-267]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000055618	1	-1.3659305471220933	acta1b	actin alpha 1, skeletal muscle b [Source:ZFIN;Acc:ZDB-GENE-030131-55]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000079111	1	-1.04847791758915	actc1c	actin alpha cardiac muscle 1c [Source:ZFIN;Acc:ZDB-GENE-040625-46]
GO:0005875	microtubule associated complex	55	4	0.23	7.3e-05	ENSDARG00000099197	1	-0.5000951581315892	actc1b	actin alpha cardiac muscle 1b [Source:ZFIN;Acc:ZDB-GENE-000322-1]
GO:0015629	actin cytoskeleton	111	4	0.47	0.0011	ENSDARG00000006385	0	-0.03933125731608022	triobpb	TRIO and F-actin binding protein b [Source:ZFIN;Acc:ZDB-GENE-061215-80]
GO:0015629	actin cytoskeleton	111	4	0.47	0.0011	ENSDARG00000008170	0	-0.3190942629311584	dbnla	drebrin-like a [Source:ZFIN;Acc:ZDB-GENE-040704-42]
GO:0015629	actin cytoskeleton	111	4	0.47	0.0011	ENSDARG00000008803	0	-0.08636302227413771	marcksb	myristoylated alanine-rich protein kinase C substrate b [Source:ZFIN;Acc:ZDB-GENE-030131-1921]
