GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0004198	calcium-dependent cysteine-type endopept...	12	2	0.04	0.00059	ENSDARG00000034211,ENSDARG00000041864,ENSDARG00000043035,ENSDARG00000045199,ENSDARG00000052702,ENSDARG00000052748,ENSDARG00000052917,ENSDARG00000055715,ENSDARG00000061850,ENSDARG00000091699,ENSDARG00000091723,ENSDARG00000098239
GO:0071949	FAD binding	21	2	0.06	0.00185	ENSDARG00000005891,ENSDARG00000011890,ENSDARG00000014727,ENSDARG00000015228,ENSDARG00000017034,ENSDARG00000019498,ENSDARG00000020054,ENSDARG00000020395,ENSDARG00000021154,ENSDARG00000035602,ENSDARG00000038845,ENSDARG00000045768,ENSDARG00000055240,ENSDARG00000060210,ENSDARG00000060380,ENSDARG00000069074,ENSDARG00000075608,ENSDARG00000091131,ENSDARG00000094732,ENSDARG00000102403,ENSDARG00000103915
GO:0030246	carbohydrate binding	45	2	0.14	0.00832	ENSDARG00000012144,ENSDARG00000015657,ENSDARG00000016011,ENSDARG00000025903,ENSDARG00000032553,ENSDARG00000033382,ENSDARG00000033537,ENSDARG00000037613,ENSDARG00000038996,ENSDARG00000039422,ENSDARG00000040048,ENSDARG00000040100,ENSDARG00000042418,ENSDARG00000044001,ENSDARG00000053831,ENSDARG00000055525,ENSDARG00000056211,ENSDARG00000056379,ENSDARG00000057879,ENSDARG00000060656,ENSDARG00000060797,ENSDARG00000063101,ENSDARG00000063636,ENSDARG00000069356,ENSDARG00000071005,ENSDARG00000071212,ENSDARG00000074282,ENSDARG00000075899,ENSDARG00000077850,ENSDARG00000078135,ENSDARG00000078592,ENSDARG00000079463,ENSDARG00000088711,ENSDARG00000089292,ENSDARG00000090624,ENSDARG00000095082,ENSDARG00000099755,ENSDARG00000101214,ENSDARG00000102657,ENSDARG00000103026,ENSDARG00000105344,ENSDARG00000105568,ENSDARG00000112310,ENSDARG00000114227,ENSDARG00000116493
GO:0003677	DNA binding	988	7	3.05	0.02559	ENSDARG00000000175,ENSDARG00000000567,ENSDARG00000000796,ENSDARG00000001210,ENSDARG00000001621,ENSDARG00000001785,ENSDARG00000001829,ENSDARG00000001910,ENSDARG00000002006,ENSDARG00000002216,ENSDARG00000002330,ENSDARG00000002445,ENSDARG00000002510,ENSDARG00000002601,ENSDARG00000002613,ENSDARG00000002758,ENSDARG00000002779,ENSDARG00000002933,ENSDARG00000002971,ENSDARG00000003098,ENSDARG00000003165,ENSDARG00000003200,ENSDARG00000003207,ENSDARG00000003293,ENSDARG00000003607,ENSDARG00000003631,ENSDARG00000003803,ENSDARG00000003820,ENSDARG00000003827,ENSDARG00000003877,ENSDARG00000003904,ENSDARG00000003965,ENSDARG00000004023,ENSDARG00000004060,ENSDARG00000004074,ENSDARG00000004274,ENSDARG00000004415,ENSDARG00000004529,ENSDARG00000004588,ENSDARG00000004697,ENSDARG00000004712,ENSDARG00000004843,ENSDARG00000004851,ENSDARG00000004861,ENSDARG00000005026,ENSDARG00000005218,ENSDARG00000005559,ENSDARG00000005883,ENSDARG00000006206,ENSDARG00000006389,ENSDARG00000006514,ENSDARG00000006524,ENSDARG00000006615,ENSDARG00000006640,ENSDARG00000006791,ENSDARG00000006837,ENSDARG00000007097,ENSDARG00000007136,ENSDARG00000007198,ENSDARG00000007271,ENSDARG00000007369,ENSDARG00000007406,ENSDARG00000007407,ENSDARG00000007824,ENSDARG00000007941,ENSDARG00000007944,ENSDARG00000007982,ENSDARG00000007996,ENSDARG00000008119,ENSDARG00000008133,ENSDARG00000008203,ENSDARG00000008209,ENSDARG00000008247,ENSDARG00000008551,ENSDARG00000008818,ENSDARG00000008861,ENSDARG00000009242,ENSDARG00000009473,ENSDARG00000009494,ENSDARG00000009525,ENSDARG00000009550,ENSDARG00000009594,ENSDARG00000009822,ENSDARG00000009823,ENSDARG00000009922,ENSDARG00000009950,ENSDARG00000010331,ENSDARG00000010519,ENSDARG00000010591,ENSDARG00000010732,ENSDARG00000011235,ENSDARG00000011273,ENSDARG00000011376,ENSDARG00000011570,ENSDARG00000011609,ENSDARG00000011703,ENSDARG00000011870,ENSDARG00000011890,ENSDARG00000011989,ENSDARG00000012078,ENSDARG00000012435,ENSDARG00000012539,ENSDARG00000012672,ENSDARG00000012699,ENSDARG00000012776,ENSDARG00000012788,ENSDARG00000012833,ENSDARG00000013057,ENSDARG00000013125,ENSDARG00000013224,ENSDARG00000013251,ENSDARG00000013279,ENSDARG00000013533,ENSDARG00000013575,ENSDARG00000013615,ENSDARG00000013704,ENSDARG00000013789,ENSDARG00000013794,ENSDARG00000014181,ENSDARG00000014201,ENSDARG00000014218,ENSDARG00000014321,ENSDARG00000014550,ENSDARG00000014655,ENSDARG00000014680,ENSDARG00000014825,ENSDARG00000015064,ENSDARG00000015072,ENSDARG00000015206,ENSDARG00000015312,ENSDARG00000015399,ENSDARG00000015495,ENSDARG00000015536,ENSDARG00000015554,ENSDARG00000015567,ENSDARG00000015674,ENSDARG00000015879,ENSDARG00000015966,ENSDARG00000015968,ENSDARG00000016022,ENSDARG00000016363,ENSDARG00000016526,ENSDARG00000016536,ENSDARG00000016854,ENSDARG00000016858,ENSDARG00000016871,ENSDARG00000017007,ENSDARG00000017121,ENSDARG00000017174,ENSDARG00000017195,ENSDARG00000017366,ENSDARG00000017615,ENSDARG00000017780,ENSDARG00000017835,ENSDARG00000018000,ENSDARG00000018004,ENSDARG00000018025,ENSDARG00000018109,ENSDARG00000018303,ENSDARG00000018611,ENSDARG00000018619,ENSDARG00000018688,ENSDARG00000018757,ENSDARG00000018765,ENSDARG00000018898,ENSDARG00000018907,ENSDARG00000018918,ENSDARG00000019013,ENSDARG00000019335,ENSDARG00000019392,ENSDARG00000019459,ENSDARG00000019498,ENSDARG00000019516,ENSDARG00000019835,ENSDARG00000019950,ENSDARG00000020001,ENSDARG00000020133,ENSDARG00000020417,ENSDARG00000020655,ENSDARG00000020746,ENSDARG00000020759,ENSDARG00000020872,ENSDARG00000020926,ENSDARG00000021833,ENSDARG00000021891,ENSDARG00000021916,ENSDARG00000021938,ENSDARG00000021985,ENSDARG00000022905,ENSDARG00000022952,ENSDARG00000022996,ENSDARG00000023031,ENSDARG00000023537,ENSDARG00000023678,ENSDARG00000023861,ENSDARG00000023933,ENSDARG00000024195,ENSDARG00000024306,ENSDARG00000024431,ENSDARG00000024598,ENSDARG00000024619,ENSDARG00000024844,ENSDARG00000025032,ENSDARG00000025131,ENSDARG00000025187,ENSDARG00000025226,ENSDARG00000025495,ENSDARG00000025718,ENSDARG00000025891,ENSDARG00000026453,ENSDARG00000026473,ENSDARG00000026513,ENSDARG00000026599,ENSDARG00000027612,ENSDARG00000027777,ENSDARG00000027938,ENSDARG00000028148,ENSDARG00000028213,ENSDARG00000028348,ENSDARG00000028517,ENSDARG00000028957,ENSDARG00000029179,ENSDARG00000029250,ENSDARG00000029263,ENSDARG00000029766,ENSDARG00000029783,ENSDARG00000029930,ENSDARG00000030125,ENSDARG00000030350,ENSDARG00000030402,ENSDARG00000030479,ENSDARG00000030560,ENSDARG00000030583,ENSDARG00000030616,ENSDARG00000030844,ENSDARG00000030896,ENSDARG00000030999,ENSDARG00000031046,ENSDARG00000031138,ENSDARG00000031198,ENSDARG00000031387,ENSDARG00000031420,ENSDARG00000031426,ENSDARG00000031647,ENSDARG00000031680,ENSDARG00000031683,ENSDARG00000031756,ENSDARG00000031763,ENSDARG00000031768,ENSDARG00000031894,ENSDARG00000032039,ENSDARG00000032263,ENSDARG00000032285,ENSDARG00000032317,ENSDARG00000032578,ENSDARG00000032705,ENSDARG00000032963,ENSDARG00000033009,ENSDARG00000033498,ENSDARG00000034043,ENSDARG00000034117,ENSDARG00000034181,ENSDARG00000034293,ENSDARG00000034503,ENSDARG00000034785,ENSDARG00000035066,ENSDARG00000035074,ENSDARG00000035127,ENSDARG00000035508,ENSDARG00000035519,ENSDARG00000035622,ENSDARG00000035648,ENSDARG00000035732,ENSDARG00000035735,ENSDARG00000035821,ENSDARG00000035823,ENSDARG00000035887,ENSDARG00000035889,ENSDARG00000035984,ENSDARG00000036073,ENSDARG00000036096,ENSDARG00000036161,ENSDARG00000036168,ENSDARG00000036194,ENSDARG00000036235,ENSDARG00000036542,ENSDARG00000036569,ENSDARG00000036575,ENSDARG00000036698,ENSDARG00000036754,ENSDARG00000036816,ENSDARG00000036855,ENSDARG00000036868,ENSDARG00000036956,ENSDARG00000037046,ENSDARG00000037068,ENSDARG00000037073,ENSDARG00000037154,ENSDARG00000037188,ENSDARG00000037196,ENSDARG00000037532,ENSDARG00000037588,ENSDARG00000037639,ENSDARG00000037760,ENSDARG00000037872,ENSDARG00000037891,ENSDARG00000038133,ENSDARG00000038141,ENSDARG00000038205,ENSDARG00000038476,ENSDARG00000038559,ENSDARG00000038687,ENSDARG00000038780,ENSDARG00000038868,ENSDARG00000039117,ENSDARG00000039185,ENSDARG00000039400,ENSDARG00000039412,ENSDARG00000039613,ENSDARG00000039701,ENSDARG00000039754,ENSDARG00000040137,ENSDARG00000040214,ENSDARG00000040237,ENSDARG00000040253,ENSDARG00000040432,ENSDARG00000040465,ENSDARG00000040487,ENSDARG00000040606,ENSDARG00000040926,ENSDARG00000041080,ENSDARG00000041098,ENSDARG00000041140,ENSDARG00000041243,ENSDARG00000041359,ENSDARG00000041411,ENSDARG00000041481,ENSDARG00000041689,ENSDARG00000041830,ENSDARG00000041952,ENSDARG00000042027,ENSDARG00000042032,ENSDARG00000042041,ENSDARG00000042056,ENSDARG00000042106,ENSDARG00000042291,ENSDARG00000042296,ENSDARG00000042477,ENSDARG00000042526,ENSDARG00000042667,ENSDARG00000042725,ENSDARG00000042824,ENSDARG00000042826,ENSDARG00000042835,ENSDARG00000042857,ENSDARG00000042904,ENSDARG00000043134,ENSDARG00000043322,ENSDARG00000043483,ENSDARG00000043553,ENSDARG00000043720,ENSDARG00000043797,ENSDARG00000043821,ENSDARG00000044098,ENSDARG00000044155,ENSDARG00000044301,ENSDARG00000044356,ENSDARG00000044375,ENSDARG00000044511,ENSDARG00000044525,ENSDARG00000044532,ENSDARG00000044669,ENSDARG00000044847,ENSDARG00000044852,ENSDARG00000045094,ENSDARG00000045105,ENSDARG00000045248,ENSDARG00000045413,ENSDARG00000045556,ENSDARG00000045595,ENSDARG00000045660,ENSDARG00000045661,ENSDARG00000045681,ENSDARG00000045768,ENSDARG00000045842,ENSDARG00000045843,ENSDARG00000045936,ENSDARG00000046010,ENSDARG00000046019,ENSDARG00000051926,ENSDARG00000052091,ENSDARG00000052115,ENSDARG00000052131,ENSDARG00000052150,ENSDARG00000052387,ENSDARG00000052402,ENSDARG00000052695,ENSDARG00000053097,ENSDARG00000053165,ENSDARG00000053260,ENSDARG00000053263,ENSDARG00000053298,ENSDARG00000053364,ENSDARG00000053446,ENSDARG00000053583,ENSDARG00000053586,ENSDARG00000053650,ENSDARG00000053695,ENSDARG00000053792,ENSDARG00000053868,ENSDARG00000053990,ENSDARG00000054025,ENSDARG00000054030,ENSDARG00000054058,ENSDARG00000054304,ENSDARG00000054307,ENSDARG00000054560,ENSDARG00000054562,ENSDARG00000054632,ENSDARG00000054879,ENSDARG00000054903,ENSDARG00000055158,ENSDARG00000055162,ENSDARG00000055276,ENSDARG00000055349,ENSDARG00000055481,ENSDARG00000055493,ENSDARG00000055588,ENSDARG00000055690,ENSDARG00000055792,ENSDARG00000055798,ENSDARG00000055969,ENSDARG00000056027,ENSDARG00000056226,ENSDARG00000056292,ENSDARG00000056395,ENSDARG00000056407,ENSDARG00000056438,ENSDARG00000056483,ENSDARG00000056490,ENSDARG00000056594,ENSDARG00000056605,ENSDARG00000056695,ENSDARG00000056729,ENSDARG00000056732,ENSDARG00000056783,ENSDARG00000056979,ENSDARG00000057093,ENSDARG00000057231,ENSDARG00000057562,ENSDARG00000057649,ENSDARG00000057707,ENSDARG00000057782,ENSDARG00000057859,ENSDARG00000057863,ENSDARG00000057936,ENSDARG00000058008,ENSDARG00000058011,ENSDARG00000058039,ENSDARG00000058094,ENSDARG00000058533,ENSDARG00000058562,ENSDARG00000058598,ENSDARG00000058719,ENSDARG00000058978,ENSDARG00000058992,ENSDARG00000059073,ENSDARG00000059233,ENSDARG00000059263,ENSDARG00000059276,ENSDARG00000059279,ENSDARG00000059337,ENSDARG00000059483,ENSDARG00000059794,ENSDARG00000059963,ENSDARG00000060002,ENSDARG00000060113,ENSDARG00000060529,ENSDARG00000060661,ENSDARG00000060697,ENSDARG00000060734,ENSDARG00000060767,ENSDARG00000060862,ENSDARG00000060900,ENSDARG00000060925,ENSDARG00000060937,ENSDARG00000061174,ENSDARG00000061352,ENSDARG00000061368,ENSDARG00000061424,ENSDARG00000061548,ENSDARG00000061549,ENSDARG00000061687,ENSDARG00000061759,ENSDARG00000061810,ENSDARG00000061836,ENSDARG00000061974,ENSDARG00000062002,ENSDARG00000062060,ENSDARG00000062106,ENSDARG00000062231,ENSDARG00000062267,ENSDARG00000062269,ENSDARG00000062326,ENSDARG00000062401,ENSDARG00000062593,ENSDARG00000062801,ENSDARG00000062824,ENSDARG00000062892,ENSDARG00000062983,ENSDARG00000063031,ENSDARG00000063186,ENSDARG00000063255,ENSDARG00000063258,ENSDARG00000067591,ENSDARG00000067658,ENSDARG00000067913,ENSDARG00000067976,ENSDARG00000068096,ENSDARG00000068194,ENSDARG00000068406,ENSDARG00000068417,ENSDARG00000068436,ENSDARG00000068822,ENSDARG00000068919,ENSDARG00000068976,ENSDARG00000068995,ENSDARG00000068996,ENSDARG00000069074,ENSDARG00000069111,ENSDARG00000069196,ENSDARG00000069274,ENSDARG00000069326,ENSDARG00000069327,ENSDARG00000069729,ENSDARG00000069737,ENSDARG00000069763,ENSDARG00000069796,ENSDARG00000069869,ENSDARG00000069910,ENSDARG00000069957,ENSDARG00000069988,ENSDARG00000069989,ENSDARG00000070053,ENSDARG00000070069,ENSDARG00000070098,ENSDARG00000070107,ENSDARG00000070119,ENSDARG00000070127,ENSDARG00000070162,ENSDARG00000070337,ENSDARG00000070338,ENSDARG00000070343,ENSDARG00000070346,ENSDARG00000070432,ENSDARG00000070538,ENSDARG00000070704,ENSDARG00000070721,ENSDARG00000070769,ENSDARG00000070786,ENSDARG00000070809,ENSDARG00000070913,ENSDARG00000070951,ENSDARG00000070954,ENSDARG00000070959,ENSDARG00000070981,ENSDARG00000071418,ENSDARG00000071496,ENSDARG00000071497,ENSDARG00000071551,ENSDARG00000071560,ENSDARG00000071684,ENSDARG00000071714,ENSDARG00000071741,ENSDARG00000071790,ENSDARG00000073814,ENSDARG00000073915,ENSDARG00000073944,ENSDARG00000073957,ENSDARG00000073988,ENSDARG00000074009,ENSDARG00000074125,ENSDARG00000074146,ENSDARG00000074253,ENSDARG00000074293,ENSDARG00000074298,ENSDARG00000074319,ENSDARG00000074326,ENSDARG00000074365,ENSDARG00000074378,ENSDARG00000074451,ENSDARG00000074453,ENSDARG00000074526,ENSDARG00000074752,ENSDARG00000074820,ENSDARG00000074889,ENSDARG00000075107,ENSDARG00000075116,ENSDARG00000075194,ENSDARG00000075226,ENSDARG00000075269,ENSDARG00000075417,ENSDARG00000075450,ENSDARG00000075542,ENSDARG00000075569,ENSDARG00000075670,ENSDARG00000075672,ENSDARG00000075713,ENSDARG00000075774,ENSDARG00000075783,ENSDARG00000075826,ENSDARG00000075834,ENSDARG00000075904,ENSDARG00000075928,ENSDARG00000075952,ENSDARG00000076120,ENSDARG00000076251,ENSDARG00000076262,ENSDARG00000076297,ENSDARG00000076380,ENSDARG00000076437,ENSDARG00000076501,ENSDARG00000076571,ENSDARG00000076611,ENSDARG00000076657,ENSDARG00000076763,ENSDARG00000076766,ENSDARG00000076807,ENSDARG00000076903,ENSDARG00000077085,ENSDARG00000077089,ENSDARG00000077143,ENSDARG00000077227,ENSDARG00000077237,ENSDARG00000077353,ENSDARG00000077428,ENSDARG00000077456,ENSDARG00000077471,ENSDARG00000077762,ENSDARG00000077785,ENSDARG00000077799,ENSDARG00000077811,ENSDARG00000077840,ENSDARG00000077852,ENSDARG00000078055,ENSDARG00000078133,ENSDARG00000078159,ENSDARG00000078191,ENSDARG00000078266,ENSDARG00000078324,ENSDARG00000078416,ENSDARG00000078459,ENSDARG00000078541,ENSDARG00000078572,ENSDARG00000078759,ENSDARG00000078865,ENSDARG00000078954,ENSDARG00000079010,ENSDARG00000079015,ENSDARG00000079035,ENSDARG00000079201,ENSDARG00000079236,ENSDARG00000079547,ENSDARG00000079626,ENSDARG00000079699,ENSDARG00000079760,ENSDARG00000079915,ENSDARG00000079964,ENSDARG00000086107,ENSDARG00000086345,ENSDARG00000086362,ENSDARG00000086393,ENSDARG00000086405,ENSDARG00000086449,ENSDARG00000086626,ENSDARG00000086825,ENSDARG00000086831,ENSDARG00000086892,ENSDARG00000086944,ENSDARG00000086980,ENSDARG00000087046,ENSDARG00000087094,ENSDARG00000087186,ENSDARG00000087303,ENSDARG00000087330,ENSDARG00000087394,ENSDARG00000087438,ENSDARG00000087636,ENSDARG00000088000,ENSDARG00000088039,ENSDARG00000088123,ENSDARG00000088214,ENSDARG00000088290,ENSDARG00000088507,ENSDARG00000088810,ENSDARG00000088820,ENSDARG00000089032,ENSDARG00000089042,ENSDARG00000089262,ENSDARG00000089368,ENSDARG00000089883,ENSDARG00000089940,ENSDARG00000089947,ENSDARG00000090304,ENSDARG00000090679,ENSDARG00000090740,ENSDARG00000090814,ENSDARG00000090836,ENSDARG00000090871,ENSDARG00000090903,ENSDARG00000090914,ENSDARG00000090942,ENSDARG00000090998,ENSDARG00000091029,ENSDARG00000091131,ENSDARG00000091271,ENSDARG00000091595,ENSDARG00000091726,ENSDARG00000091728,ENSDARG00000091762,ENSDARG00000091821,ENSDARG00000092174,ENSDARG00000092305,ENSDARG00000092503,ENSDARG00000092507,ENSDARG00000092608,ENSDARG00000092765,ENSDARG00000092766,ENSDARG00000092816,ENSDARG00000092849,ENSDARG00000093143,ENSDARG00000093170,ENSDARG00000093240,ENSDARG00000093420,ENSDARG00000093424,ENSDARG00000093496,ENSDARG00000093799,ENSDARG00000093831,ENSDARG00000093833,ENSDARG00000093875,ENSDARG00000093978,ENSDARG00000094214,ENSDARG00000094426,ENSDARG00000094563,ENSDARG00000094992,ENSDARG00000095007,ENSDARG00000095135,ENSDARG00000095170,ENSDARG00000095241,ENSDARG00000095283,ENSDARG00000095455,ENSDARG00000095651,ENSDARG00000095704,ENSDARG00000095708,ENSDARG00000095745,ENSDARG00000095896,ENSDARG00000096030,ENSDARG00000096172,ENSDARG00000096428,ENSDARG00000096575,ENSDARG00000096711,ENSDARG00000097102,ENSDARG00000097215,ENSDARG00000097244,ENSDARG00000097255,ENSDARG00000097346,ENSDARG00000097385,ENSDARG00000097394,ENSDARG00000097501,ENSDARG00000097521,ENSDARG00000097546,ENSDARG00000097637,ENSDARG00000097842,ENSDARG00000098027,ENSDARG00000098087,ENSDARG00000098122,ENSDARG00000098176,ENSDARG00000098231,ENSDARG00000098270,ENSDARG00000098273,ENSDARG00000098348,ENSDARG00000098439,ENSDARG00000098613,ENSDARG00000098664,ENSDARG00000098730,ENSDARG00000098800,ENSDARG00000098834,ENSDARG00000098892,ENSDARG00000098903,ENSDARG00000098986,ENSDARG00000098991,ENSDARG00000099021,ENSDARG00000099039,ENSDARG00000099048,ENSDARG00000099164,ENSDARG00000099175,ENSDARG00000099187,ENSDARG00000099373,ENSDARG00000099427,ENSDARG00000099519,ENSDARG00000099555,ENSDARG00000099564,ENSDARG00000099572,ENSDARG00000099618,ENSDARG00000099635,ENSDARG00000099743,ENSDARG00000099849,ENSDARG00000099917,ENSDARG00000099945,ENSDARG00000099999,ENSDARG00000100055,ENSDARG00000100112,ENSDARG00000100142,ENSDARG00000100244,ENSDARG00000100262,ENSDARG00000100361,ENSDARG00000100401,ENSDARG00000100421,ENSDARG00000100434,ENSDARG00000100466,ENSDARG00000100479,ENSDARG00000100486,ENSDARG00000100494,ENSDARG00000100503,ENSDARG00000100560,ENSDARG00000100607,ENSDARG00000100723,ENSDARG00000100803,ENSDARG00000100821,ENSDARG00000100826,ENSDARG00000100896,ENSDARG00000100947,ENSDARG00000101029,ENSDARG00000101106,ENSDARG00000101112,ENSDARG00000101131,ENSDARG00000101137,ENSDARG00000101205,ENSDARG00000101244,ENSDARG00000101347,ENSDARG00000101369,ENSDARG00000101425,ENSDARG00000101462,ENSDARG00000101464,ENSDARG00000101542,ENSDARG00000101559,ENSDARG00000101593,ENSDARG00000101618,ENSDARG00000101623,ENSDARG00000101694,ENSDARG00000101710,ENSDARG00000101817,ENSDARG00000101831,ENSDARG00000101843,ENSDARG00000101926,ENSDARG00000101959,ENSDARG00000101989,ENSDARG00000101996,ENSDARG00000102025,ENSDARG00000102033,ENSDARG00000102139,ENSDARG00000102321,ENSDARG00000102389,ENSDARG00000102403,ENSDARG00000102449,ENSDARG00000102501,ENSDARG00000102550,ENSDARG00000102556,ENSDARG00000102586,ENSDARG00000102601,ENSDARG00000102606,ENSDARG00000102631,ENSDARG00000102658,ENSDARG00000102673,ENSDARG00000102800,ENSDARG00000102867,ENSDARG00000102899,ENSDARG00000102950,ENSDARG00000102976,ENSDARG00000103057,ENSDARG00000103310,ENSDARG00000103361,ENSDARG00000103375,ENSDARG00000103379,ENSDARG00000103405,ENSDARG00000103417,ENSDARG00000103450,ENSDARG00000103470,ENSDARG00000103477,ENSDARG00000103497,ENSDARG00000103530,ENSDARG00000103648,ENSDARG00000103658,ENSDARG00000103691,ENSDARG00000103697,ENSDARG00000103751,ENSDARG00000103777,ENSDARG00000103795,ENSDARG00000103853,ENSDARG00000103865,ENSDARG00000103871,ENSDARG00000103919,ENSDARG00000103947,ENSDARG00000103977,ENSDARG00000103980,ENSDARG00000104030,ENSDARG00000104041,ENSDARG00000104078,ENSDARG00000104082,ENSDARG00000104107,ENSDARG00000104199,ENSDARG00000104361,ENSDARG00000104407,ENSDARG00000104485,ENSDARG00000104501,ENSDARG00000104561,ENSDARG00000104584,ENSDARG00000104605,ENSDARG00000104613,ENSDARG00000104651,ENSDARG00000104678,ENSDARG00000104709,ENSDARG00000104735,ENSDARG00000104798,ENSDARG00000104904,ENSDARG00000104985,ENSDARG00000105073,ENSDARG00000105075,ENSDARG00000105083,ENSDARG00000105114,ENSDARG00000105127,ENSDARG00000105219,ENSDARG00000105306,ENSDARG00000105562,ENSDARG00000105692,ENSDARG00000105713,ENSDARG00000105806,ENSDARG00000105816,ENSDARG00000105831,ENSDARG00000105834,ENSDARG00000106565,ENSDARG00000107408,ENSDARG00000109287,ENSDARG00000110003,ENSDARG00000110016,ENSDARG00000110106,ENSDARG00000110178,ENSDARG00000110298,ENSDARG00000110427,ENSDARG00000110637,ENSDARG00000110710,ENSDARG00000110922,ENSDARG00000110991,ENSDARG00000111043,ENSDARG00000111506,ENSDARG00000111659,ENSDARG00000111716,ENSDARG00000111934,ENSDARG00000112451,ENSDARG00000112452,ENSDARG00000112541,ENSDARG00000112884,ENSDARG00000112895,ENSDARG00000112960,ENSDARG00000113011,ENSDARG00000113012,ENSDARG00000113365,ENSDARG00000113607,ENSDARG00000113837,ENSDARG00000114108,ENSDARG00000114182,ENSDARG00000114349,ENSDARG00000114554,ENSDARG00000114670,ENSDARG00000114894,ENSDARG00000115456,ENSDARG00000115868,ENSDARG00000116118,ENSDARG00000116181,ENSDARG00000116271,ENSDARG00000116393,ENSDARG00000116608,ENSDARG00000116765,ENSDARG00000116769,ENSDARG00000116814,ENSDARG00000116815,ENSDARG00000117076,ENSDARG00000117163
GO:0048029	monosaccharide binding	11	1	0.03	0.03342	ENSDARG00000032553,ENSDARG00000033537,ENSDARG00000038996,ENSDARG00000039422,ENSDARG00000056211,ENSDARG00000057879,ENSDARG00000060797,ENSDARG00000071212,ENSDARG00000099755,ENSDARG00000102657,ENSDARG00000103026
GO:0004806	triglyceride lipase activity	12	1	0.04	0.03641	ENSDARG00000005332,ENSDARG00000007108,ENSDARG00000017490,ENSDARG00000034667,ENSDARG00000062956,ENSDARG00000063037,ENSDARG00000069834,ENSDARG00000076765,ENSDARG00000089390,ENSDARG00000090486,ENSDARG00000098720,ENSDARG00000102020
GO:0004112	cyclic-nucleotide phosphodiesterase acti...	13	1	0.04	0.03938	ENSDARG00000000380,ENSDARG00000002411,ENSDARG00000003449,ENSDARG00000011671,ENSDARG00000032868,ENSDARG00000060280,ENSDARG00000060875,ENSDARG00000062190,ENSDARG00000063732,ENSDARG00000075929,ENSDARG00000079064,ENSDARG00000101984,ENSDARG00000102558
GO:0004114	3',5'-cyclic-nucleotide phosphodiesteras...	13	1	0.04	0.03938	ENSDARG00000000380,ENSDARG00000002411,ENSDARG00000003449,ENSDARG00000011671,ENSDARG00000032868,ENSDARG00000060280,ENSDARG00000060875,ENSDARG00000062190,ENSDARG00000063732,ENSDARG00000075929,ENSDARG00000079064,ENSDARG00000101984,ENSDARG00000102558
GO:0008374	O-acyltransferase activity	13	1	0.04	0.03938	ENSDARG00000016545,ENSDARG00000036549,ENSDARG00000037278,ENSDARG00000040248,ENSDARG00000040352,ENSDARG00000041421,ENSDARG00000053010,ENSDARG00000058285,ENSDARG00000059824,ENSDARG00000074169,ENSDARG00000096594,ENSDARG00000099424,ENSDARG00000103271
GO:0015662	ATPase activity, coupled to transmembran...	14	1	0.04	0.04235	ENSDARG00000001870,ENSDARG00000002840,ENSDARG00000003699,ENSDARG00000018259,ENSDARG00000019856,ENSDARG00000023445,ENSDARG00000029439,ENSDARG00000030694,ENSDARG00000039131,ENSDARG00000043474,ENSDARG00000044902,ENSDARG00000060978,ENSDARG00000063433,ENSDARG00000104139
