GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0006695	cholesterol biosynthetic process	12	3	0.07	4e-05	ENSDARG00000004130	0	0.33108567839713526	mvk	mevalonate kinase [Source:ZFIN;Acc:ZDB-GENE-041114-37]
GO:0006695	cholesterol biosynthetic process	12	3	0.07	4e-05	ENSDARG00000014013	0	0.07332756032331263	lbr	lamin B receptor [Source:ZFIN;Acc:ZDB-GENE-030804-11]
GO:0006695	cholesterol biosynthetic process	12	3	0.07	4e-05	ENSDARG00000070798	0	0.643694943701141	pmvk	phosphomevalonate kinase [Source:ZFIN;Acc:ZDB-GENE-070410-91]
GO:0006695	cholesterol biosynthetic process	12	3	0.07	4e-05	ENSDARG00000088140	0	0.4939116156705123	hsd17b7	hydroxysteroid (17-beta) dehydrogenase 7 [Source:ZFIN;Acc:ZDB-GENE-061013-378]
GO:0006695	cholesterol biosynthetic process	12	3	0.07	4e-05	ENSDARG00000099336	0	0.752902286145897	mvda	mevalonate (diphospho) decarboxylase a [Source:NCBI gene;Acc:492781]
GO:0006695	cholesterol biosynthetic process	12	3	0.07	4e-05	ENSDARG00000101062	0	0.5038905551524887	fdft1	farnesyl-diphosphate farnesyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-081104-242]
GO:0006695	cholesterol biosynthetic process	12	3	0.07	4e-05	ENSDARG00000101324	0	0.05239499161708192	apoa1b	apolipoprotein A-Ib [Source:ZFIN;Acc:ZDB-GENE-050302-172]
GO:0006695	cholesterol biosynthetic process	12	3	0.07	4e-05	ENSDARG00000103226	0	0.3833716843682386	dhcr7	7-dehydrocholesterol reductase [Source:NCBI gene;Acc:378446]
GO:0006695	cholesterol biosynthetic process	12	3	0.07	4e-05	ENSDARG00000105206	0	0.053913525940693485	hmgcrb	3-hydroxy-3-methylglutaryl-CoA reductase b [Source:ZFIN;Acc:ZDB-GENE-051108-1]
GO:0006695	cholesterol biosynthetic process	12	3	0.07	4e-05	ENSDARG00000046098	1	0.8229197990541017	ebp	EBP cholestenol delta-isomerase [Source:ZFIN;Acc:ZDB-GENE-040718-12]
GO:0006695	cholesterol biosynthetic process	12	3	0.07	4e-05	ENSDARG00000052734	1	1.0248488826831654	hmgcra	3-hydroxy-3-methylglutaryl-CoA reductase a [Source:ZFIN;Acc:ZDB-GENE-040401-2]
GO:0006695	cholesterol biosynthetic process	12	3	0.07	4e-05	ENSDARG00000103025	1	1.0943091108311267	hmgcs1	3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble) [Source:ZFIN;Acc:ZDB-GENE-040426-1042]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000000563	0	0.08311638125186298	ttn.1	titin, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030616-413]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000004049	0	0.10243872144527189	marcksa	myristoylated alanine-rich protein kinase C substrate a [Source:ZFIN;Acc:ZDB-GENE-050522-145]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000004452	0	0.01949661896153296	tardbpl	TAR DNA binding protein, like [Source:ZFIN;Acc:ZDB-GENE-031030-1]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000006757	0	0.4440674185190878	klhl41b	kelch-like family member 41b [Source:NCBI gene;Acc:321064]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000007277	0	0.7291424849189435	myf5	myogenic factor 5 [Source:ZFIN;Acc:ZDB-GENE-000616-6]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000009280	0	0.412766671345198	smyd1a	SET and MYND domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9825]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000009438	0	0.24975532339689746	myog	myogenin [Source:ZFIN;Acc:ZDB-GENE-980526-265]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000010472	0	0.14925479922425544	atp1a2a	ATPase Na+/K+ transporting subunit alpha 2 [Source:ZFIN;Acc:ZDB-GENE-001212-6]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000011821	0	1.7920386905495318e-4	plod2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:ZFIN;Acc:ZDB-GENE-070326-1]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000012944	0	0.3269491362665045	myhz2	myosin, heavy polypeptide 2, fast muscle specific [Source:ZFIN;Acc:ZDB-GENE-020604-1]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000014196	0	0.14882887395701416	myl1	myosin, light chain 1, alkali; skeletal, fast [Source:ZFIN;Acc:ZDB-GENE-030131-8109]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000016153	0	0.029806461746321716	dag1	dystroglycan 1 [Source:ZFIN;Acc:ZDB-GENE-021223-1]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000019125	0	0.37295299543119553	klhl40b	kelch-like family member 40b [Source:NCBI gene;Acc:795319]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000019316	0	0.16825318445235432	fer1l6	fer-1 like family member 6 [Source:ZFIN;Acc:ZDB-GENE-070912-312]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000019717	0	0.09887696960496331	pbx2	pre-B-cell leukemia homeobox 2 [Source:ZFIN;Acc:ZDB-GENE-000405-5]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000021987	0	0.1115400822766243	plecb	plectin b [Source:ZFIN;Acc:ZDB-GENE-100917-2]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000022968	0	0.20725324107066526	fxr1	fragile X mental retardation, autosomal homolog 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5431]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000031809	0	0.30965579230894624	rbm24b	RNA binding motif protein 24b [Source:ZFIN;Acc:ZDB-GENE-060312-43]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000039052	0	0.8741318277019842	klhl40a	kelch-like family member 40a [Source:NCBI gene;Acc:553257]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000039878	0	0.208454250518245	ambra1b	autophagy/beclin-1 regulator 1b [Source:ZFIN;Acc:ZDB-GENE-050208-235]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000042282	0	0.12183667414457885	itga6a	integrin, alpha 6a [Source:ZFIN;Acc:ZDB-GENE-050309-23]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000045560	0	0.0797800323484928	mybpc1	myosin binding protein C, slow type [Source:ZFIN;Acc:ZDB-GENE-041114-196]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000054942	0	0.439774192624769	lgals2a	lectin, galactoside-binding, soluble, 2a [Source:ZFIN;Acc:ZDB-GENE-050318-2]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000055154	0	0.07846429512613479	slc8a4a	solute carrier family 8 member 4a [Source:ZFIN;Acc:ZDB-GENE-060110-2]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000055185	0	0.011844418898686076	tm4sf5	transmembrane 4 L six family member 5 [Source:ZFIN;Acc:ZDB-GENE-040718-65]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000055518	0	0.06936439173389781	pygma	phosphorylase, glycogen, muscle A [Source:ZFIN;Acc:ZDB-GENE-050522-482]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000056322	0	0.2680695967523111	ldb3a	LIM domain binding 3a [Source:ZFIN;Acc:ZDB-GENE-040121-6]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000056621	0	0.001562853284835111	ctcf	CCCTC-binding factor (zinc finger protein) [Source:ZFIN;Acc:ZDB-GENE-040624-5]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000057465	0	0.17095566838234172	gfpt1	glutamine--fructose-6-phosphate transaminase 1 [Source:ZFIN;Acc:ZDB-GENE-070423-1]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000060236	0	0.18368804537692285	dok7	docking protein 7 [Source:ZFIN;Acc:ZDB-GENE-090312-103]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000061862	0	0.09112964078684743	myo18ab	myosin XVIIIAb [Source:ZFIN;Acc:ZDB-GENE-080423-1]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000062590	0	0.007080273775694961	pleca	plectin a [Source:ZFIN;Acc:ZDB-GENE-030131-8984]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000063197	0	0.04810897468283479	golga2	golgin A2 [Source:NCBI gene;Acc:565431]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000071498	0	0.45691477598585195	fhl1a	four and a half LIM domains 1a [Source:ZFIN;Acc:ZDB-GENE-040206-1]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000074131	0	0.03850063636525995	kif5ba	kinesin family member 5B, a [Source:ZFIN;Acc:ZDB-GENE-070629-2]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000076554	0	0.5646676500635396	cdkn1a	cyclin-dependent kinase inhibitor 1A [Source:ZFIN;Acc:ZDB-GENE-070705-7]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000076564	0	0.11598052661444729	hspg2	heparan sulfate proteoglycan 2 [Source:ZFIN;Acc:ZDB-GENE-080807-4]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000078618	0	0.07829565695228845	inpp5kb	inositol polyphosphate-5-phosphatase Kb [Source:ZFIN;Acc:ZDB-GENE-100408-3]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000079605	0	0.194203268742376	prmt5	protein arginine methyltransferase 5 [Source:ZFIN;Acc:ZDB-GENE-030616-585]
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000088590	0	0.055133887038998554	pxna	paxillin a [Source:NCBI gene;Acc:399546]
