GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0006695	cholesterol biosynthetic process	12	3	0.07	4e-05	ENSDARG00000004130,ENSDARG00000014013,ENSDARG00000046098,ENSDARG00000052734,ENSDARG00000070798,ENSDARG00000088140,ENSDARG00000099336,ENSDARG00000101062,ENSDARG00000101324,ENSDARG00000103025,ENSDARG00000103226,ENSDARG00000105206
GO:0007519	skeletal muscle tissue development	48	4	0.28	0.00017	ENSDARG00000000563,ENSDARG00000004049,ENSDARG00000004452,ENSDARG00000006757,ENSDARG00000007277,ENSDARG00000008487,ENSDARG00000009280,ENSDARG00000009438,ENSDARG00000010472,ENSDARG00000011821,ENSDARG00000012944,ENSDARG00000014196,ENSDARG00000016153,ENSDARG00000019125,ENSDARG00000019316,ENSDARG00000019717,ENSDARG00000021987,ENSDARG00000022968,ENSDARG00000031809,ENSDARG00000039052,ENSDARG00000039878,ENSDARG00000042282,ENSDARG00000045560,ENSDARG00000052734,ENSDARG00000054942,ENSDARG00000055154,ENSDARG00000055185,ENSDARG00000055518,ENSDARG00000056322,ENSDARG00000056621,ENSDARG00000057465,ENSDARG00000058656,ENSDARG00000060236,ENSDARG00000061862,ENSDARG00000062590,ENSDARG00000063197,ENSDARG00000071498,ENSDARG00000074131,ENSDARG00000076554,ENSDARG00000076564,ENSDARG00000078618,ENSDARG00000078696,ENSDARG00000079605,ENSDARG00000088590,ENSDARG00000091253,ENSDARG00000100564,ENSDARG00000101380,ENSDARG00000104260
GO:0090257	regulation of muscle system process	23	3	0.14	0.00031	ENSDARG00000002988,ENSDARG00000008487,ENSDARG00000011317,ENSDARG00000011400,ENSDARG00000013335,ENSDARG00000018105,ENSDARG00000019008,ENSDARG00000020574,ENSDARG00000030270,ENSDARG00000032242,ENSDARG00000037539,ENSDARG00000037954,ENSDARG00000041065,ENSDARG00000041173,ENSDARG00000045822,ENSDARG00000054510,ENSDARG00000054667,ENSDARG00000058656,ENSDARG00000059003,ENSDARG00000068457,ENSDARG00000070835,ENSDARG00000091126,ENSDARG00000098612
GO:0051017	actin filament bundle assembly	28	3	0.16	0.00056	ENSDARG00000003952,ENSDARG00000008487,ENSDARG00000012682,ENSDARG00000013110,ENSDARG00000016483,ENSDARG00000017785,ENSDARG00000023188,ENSDARG00000037655,ENSDARG00000039272,ENSDARG00000051768,ENSDARG00000052482,ENSDARG00000061904,ENSDARG00000063682,ENSDARG00000071113,ENSDARG00000073765,ENSDARG00000074396,ENSDARG00000075540,ENSDARG00000077157,ENSDARG00000078696,ENSDARG00000079869,ENSDARG00000086391,ENSDARG00000088091,ENSDARG00000093112,ENSDARG00000103467,ENSDARG00000106873,ENSDARG00000110206,ENSDARG00000112015,ENSDARG00000113723
GO:0061061	muscle structure development	138	8	0.81	0.00056	ENSDARG00000000563,ENSDARG00000001431,ENSDARG00000002084,ENSDARG00000002988,ENSDARG00000003776,ENSDARG00000004049,ENSDARG00000004452,ENSDARG00000005162,ENSDARG00000005221,ENSDARG00000005915,ENSDARG00000006603,ENSDARG00000006757,ENSDARG00000007219,ENSDARG00000007277,ENSDARG00000007329,ENSDARG00000007370,ENSDARG00000008487,ENSDARG00000009280,ENSDARG00000009418,ENSDARG00000009438,ENSDARG00000010472,ENSDARG00000011615,ENSDARG00000011821,ENSDARG00000012944,ENSDARG00000013422,ENSDARG00000013755,ENSDARG00000014196,ENSDARG00000014248,ENSDARG00000016153,ENSDARG00000017400,ENSDARG00000017821,ENSDARG00000018643,ENSDARG00000018820,ENSDARG00000019125,ENSDARG00000019316,ENSDARG00000019342,ENSDARG00000019717,ENSDARG00000020890,ENSDARG00000021987,ENSDARG00000022101,ENSDARG00000022968,ENSDARG00000023963,ENSDARG00000024141,ENSDARG00000025641,ENSDARG00000028699,ENSDARG00000029639,ENSDARG00000029764,ENSDARG00000029830,ENSDARG00000030110,ENSDARG00000030270,ENSDARG00000031809,ENSDARG00000032242,ENSDARG00000032630,ENSDARG00000033307,ENSDARG00000037954,ENSDARG00000039052,ENSDARG00000039878,ENSDARG00000040623,ENSDARG00000040917,ENSDARG00000042282,ENSDARG00000044811,ENSDARG00000044968,ENSDARG00000045399,ENSDARG00000045560,ENSDARG00000045822,ENSDARG00000045864,ENSDARG00000045930,ENSDARG00000052734,ENSDARG00000053254,ENSDARG00000054942,ENSDARG00000055154,ENSDARG00000055185,ENSDARG00000055518,ENSDARG00000055635,ENSDARG00000055678,ENSDARG00000056111,ENSDARG00000056322,ENSDARG00000056621,ENSDARG00000056920,ENSDARG00000056964,ENSDARG00000057011,ENSDARG00000057465,ENSDARG00000058650,ENSDARG00000058656,ENSDARG00000060236,ENSDARG00000060397,ENSDARG00000061328,ENSDARG00000061351,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000062003,ENSDARG00000062590,ENSDARG00000063197,ENSDARG00000063682,ENSDARG00000067719,ENSDARG00000068457,ENSDARG00000069937,ENSDARG00000071498,ENSDARG00000074131,ENSDARG00000074335,ENSDARG00000074849,ENSDARG00000075867,ENSDARG00000076229,ENSDARG00000076554,ENSDARG00000076564,ENSDARG00000077261,ENSDARG00000077499,ENSDARG00000077722,ENSDARG00000077818,ENSDARG00000078618,ENSDARG00000078696,ENSDARG00000079564,ENSDARG00000079578,ENSDARG00000079605,ENSDARG00000079637,ENSDARG00000087646,ENSDARG00000088307,ENSDARG00000088590,ENSDARG00000090637,ENSDARG00000091253,ENSDARG00000098573,ENSDARG00000099390,ENSDARG00000099959,ENSDARG00000099974,ENSDARG00000100564,ENSDARG00000101380,ENSDARG00000101592,ENSDARG00000101706,ENSDARG00000101777,ENSDARG00000101844,ENSDARG00000103643,ENSDARG00000104260,ENSDARG00000104314,ENSDARG00000104665,ENSDARG00000104713,ENSDARG00000105630,ENSDARG00000113992,ENSDARG00000114870
GO:0030036	actin cytoskeleton organization	227	10	1.34	0.00135	ENSDARG00000000103,ENSDARG00000000563,ENSDARG00000001431,ENSDARG00000002571,ENSDARG00000002988,ENSDARG00000003046,ENSDARG00000003084,ENSDARG00000003952,ENSDARG00000004049,ENSDARG00000004301,ENSDARG00000004658,ENSDARG00000004877,ENSDARG00000005162,ENSDARG00000006283,ENSDARG00000006603,ENSDARG00000006757,ENSDARG00000007219,ENSDARG00000007278,ENSDARG00000007396,ENSDARG00000008383,ENSDARG00000008487,ENSDARG00000009133,ENSDARG00000009280,ENSDARG00000009693,ENSDARG00000011459,ENSDARG00000011777,ENSDARG00000012196,ENSDARG00000012682,ENSDARG00000012729,ENSDARG00000013110,ENSDARG00000013422,ENSDARG00000013755,ENSDARG00000014106,ENSDARG00000014113,ENSDARG00000014248,ENSDARG00000014651,ENSDARG00000016016,ENSDARG00000016483,ENSDARG00000016513,ENSDARG00000017036,ENSDARG00000017105,ENSDARG00000017400,ENSDARG00000017500,ENSDARG00000017785,ENSDARG00000018566,ENSDARG00000018820,ENSDARG00000019117,ENSDARG00000019231,ENSDARG00000019342,ENSDARG00000019917,ENSDARG00000020890,ENSDARG00000020929,ENSDARG00000021124,ENSDARG00000021193,ENSDARG00000021987,ENSDARG00000022101,ENSDARG00000022841,ENSDARG00000023188,ENSDARG00000023318,ENSDARG00000023484,ENSDARG00000023963,ENSDARG00000024141,ENSDARG00000024209,ENSDARG00000024694,ENSDARG00000026350,ENSDARG00000026829,ENSDARG00000027063,ENSDARG00000029019,ENSDARG00000029305,ENSDARG00000029764,ENSDARG00000030270,ENSDARG00000030490,ENSDARG00000030722,ENSDARG00000031496,ENSDARG00000032049,ENSDARG00000032242,ENSDARG00000032324,ENSDARG00000032630,ENSDARG00000032865,ENSDARG00000034643,ENSDARG00000035433,ENSDARG00000035598,ENSDARG00000035650,ENSDARG00000037655,ENSDARG00000037954,ENSDARG00000038010,ENSDARG00000038445,ENSDARG00000039142,ENSDARG00000039272,ENSDARG00000039577,ENSDARG00000040466,ENSDARG00000040917,ENSDARG00000041257,ENSDARG00000041720,ENSDARG00000043710,ENSDARG00000044016,ENSDARG00000044441,ENSDARG00000044968,ENSDARG00000045399,ENSDARG00000045417,ENSDARG00000045822,ENSDARG00000045864,ENSDARG00000045880,ENSDARG00000051768,ENSDARG00000052247,ENSDARG00000052438,ENSDARG00000052482,ENSDARG00000052783,ENSDARG00000052903,ENSDARG00000054063,ENSDARG00000054389,ENSDARG00000054610,ENSDARG00000055075,ENSDARG00000055713,ENSDARG00000056111,ENSDARG00000056322,ENSDARG00000056525,ENSDARG00000058225,ENSDARG00000058656,ENSDARG00000059342,ENSDARG00000059473,ENSDARG00000059574,ENSDARG00000059680,ENSDARG00000059701,ENSDARG00000060010,ENSDARG00000060349,ENSDARG00000060860,ENSDARG00000061304,ENSDARG00000061351,ENSDARG00000061635,ENSDARG00000061862,ENSDARG00000061904,ENSDARG00000062003,ENSDARG00000062263,ENSDARG00000062390,ENSDARG00000062662,ENSDARG00000062948,ENSDARG00000063604,ENSDARG00000063682,ENSDARG00000068457,ENSDARG00000071084,ENSDARG00000071113,ENSDARG00000071709,ENSDARG00000073761,ENSDARG00000073765,ENSDARG00000074275,ENSDARG00000074396,ENSDARG00000074443,ENSDARG00000074581,ENSDARG00000074828,ENSDARG00000074849,ENSDARG00000075369,ENSDARG00000075540,ENSDARG00000076566,ENSDARG00000077157,ENSDARG00000077261,ENSDARG00000077656,ENSDARG00000077709,ENSDARG00000077722,ENSDARG00000078014,ENSDARG00000078318,ENSDARG00000078335,ENSDARG00000078582,ENSDARG00000078696,ENSDARG00000079317,ENSDARG00000079468,ENSDARG00000079549,ENSDARG00000079564,ENSDARG00000079622,ENSDARG00000079869,ENSDARG00000086391,ENSDARG00000087954,ENSDARG00000088091,ENSDARG00000088130,ENSDARG00000089616,ENSDARG00000090369,ENSDARG00000090637,ENSDARG00000091090,ENSDARG00000091138,ENSDARG00000091253,ENSDARG00000092455,ENSDARG00000093112,ENSDARG00000094792,ENSDARG00000096433,ENSDARG00000098374,ENSDARG00000098955,ENSDARG00000099690,ENSDARG00000099850,ENSDARG00000099959,ENSDARG00000099974,ENSDARG00000100095,ENSDARG00000100222,ENSDARG00000100788,ENSDARG00000100805,ENSDARG00000100810,ENSDARG00000101380,ENSDARG00000101706,ENSDARG00000101777,ENSDARG00000102081,ENSDARG00000102272,ENSDARG00000102398,ENSDARG00000102415,ENSDARG00000102424,ENSDARG00000102441,ENSDARG00000102458,ENSDARG00000103011,ENSDARG00000103467,ENSDARG00000103962,ENSDARG00000104300,ENSDARG00000104325,ENSDARG00000104682,ENSDARG00000104713,ENSDARG00000105117,ENSDARG00000105209,ENSDARG00000106873,ENSDARG00000110192,ENSDARG00000110206,ENSDARG00000110291,ENSDARG00000112015,ENSDARG00000112527,ENSDARG00000112944,ENSDARG00000113723,ENSDARG00000114237,ENSDARG00000114796,ENSDARG00000114870,ENSDARG00000116994,ENSDARG00000117069
GO:0007507	heart development	149	5	0.88	0.00169	ENSDARG00000000606,ENSDARG00000002791,ENSDARG00000003398,ENSDARG00000004877,ENSDARG00000005122,ENSDARG00000006603,ENSDARG00000007025,ENSDARG00000007329,ENSDARG00000008034,ENSDARG00000008947,ENSDARG00000009418,ENSDARG00000010432,ENSDARG00000010472,ENSDARG00000010844,ENSDARG00000011257,ENSDARG00000011400,ENSDARG00000011615,ENSDARG00000011648,ENSDARG00000012397,ENSDARG00000012820,ENSDARG00000012982,ENSDARG00000013477,ENSDARG00000014248,ENSDARG00000014731,ENSDARG00000015427,ENSDARG00000017115,ENSDARG00000017400,ENSDARG00000017494,ENSDARG00000017500,ENSDARG00000017821,ENSDARG00000017882,ENSDARG00000018441,ENSDARG00000018721,ENSDARG00000018820,ENSDARG00000019008,ENSDARG00000019137,ENSDARG00000019316,ENSDARG00000019717,ENSDARG00000019838,ENSDARG00000020201,ENSDARG00000020334,ENSDARG00000020527,ENSDARG00000021124,ENSDARG00000022968,ENSDARG00000023026,ENSDARG00000023290,ENSDARG00000023645,ENSDARG00000023963,ENSDARG00000026348,ENSDARG00000027423,ENSDARG00000027916,ENSDARG00000029639,ENSDARG00000029764,ENSDARG00000030530,ENSDARG00000031809,ENSDARG00000032630,ENSDARG00000032801,ENSDARG00000033971,ENSDARG00000035095,ENSDARG00000036090,ENSDARG00000036687,ENSDARG00000036987,ENSDARG00000037060,ENSDARG00000037677,ENSDARG00000038583,ENSDARG00000040123,ENSDARG00000040623,ENSDARG00000041799,ENSDARG00000042796,ENSDARG00000043716,ENSDARG00000043884,ENSDARG00000043923,ENSDARG00000044491,ENSDARG00000044811,ENSDARG00000044968,ENSDARG00000045131,ENSDARG00000045219,ENSDARG00000045543,ENSDARG00000052348,ENSDARG00000052674,ENSDARG00000052960,ENSDARG00000054239,ENSDARG00000055128,ENSDARG00000055136,ENSDARG00000055154,ENSDARG00000056322,ENSDARG00000056920,ENSDARG00000056929,ENSDARG00000056964,ENSDARG00000059327,ENSDARG00000059774,ENSDARG00000060361,ENSDARG00000061351,ENSDARG00000061509,ENSDARG00000061904,ENSDARG00000062003,ENSDARG00000062248,ENSDARG00000062909,ENSDARG00000063089,ENSDARG00000063682,ENSDARG00000067719,ENSDARG00000069185,ENSDARG00000069893,ENSDARG00000070795,ENSDARG00000070914,ENSDARG00000071113,ENSDARG00000071192,ENSDARG00000071498,ENSDARG00000073765,ENSDARG00000075211,ENSDARG00000075621,ENSDARG00000077226,ENSDARG00000077722,ENSDARG00000077818,ENSDARG00000077842,ENSDARG00000078696,ENSDARG00000079564,ENSDARG00000079637,ENSDARG00000086391,ENSDARG00000087446,ENSDARG00000087646,ENSDARG00000090637,ENSDARG00000091126,ENSDARG00000091253,ENSDARG00000091834,ENSDARG00000092060,ENSDARG00000096433,ENSDARG00000098237,ENSDARG00000098573,ENSDARG00000098612,ENSDARG00000098687,ENSDARG00000099045,ENSDARG00000099974,ENSDARG00000100232,ENSDARG00000101717,ENSDARG00000101777,ENSDARG00000101814,ENSDARG00000102893,ENSDARG00000103251,ENSDARG00000103296,ENSDARG00000103515,ENSDARG00000103589,ENSDARG00000104314,ENSDARG00000104837,ENSDARG00000105112,ENSDARG00000105206,ENSDARG00000105630,ENSDARG00000114870,ENSDARG00000115925
GO:0008299	isoprenoid biosynthetic process	17	2	0.1	0.00435	ENSDARG00000004130,ENSDARG00000005034,ENSDARG00000012563,ENSDARG00000017910,ENSDARG00000019976,ENSDARG00000023627,ENSDARG00000027813,ENSDARG00000038742,ENSDARG00000039851,ENSDARG00000040890,ENSDARG00000052734,ENSDARG00000059510,ENSDARG00000061274,ENSDARG00000070798,ENSDARG00000099336,ENSDARG00000103025,ENSDARG00000105206
GO:0034620	cellular response to unfolded protein	18	2	0.11	0.00487	ENSDARG00000003035,ENSDARG00000012381,ENSDARG00000012656,ENSDARG00000015793,ENSDARG00000017740,ENSDARG00000021905,ENSDARG00000021924,ENSDARG00000039008,ENSDARG00000042401,ENSDARG00000056160,ENSDARG00000058365,ENSDARG00000058475,ENSDARG00000063563,ENSDARG00000075369,ENSDARG00000086309,ENSDARG00000092362,ENSDARG00000099439,ENSDARG00000103846
GO:0030835	negative regulation of actin filament de...	20	2	0.12	0.00601	ENSDARG00000002571,ENSDARG00000011459,ENSDARG00000014651,ENSDARG00000017036,ENSDARG00000019231,ENSDARG00000020890,ENSDARG00000030490,ENSDARG00000040466,ENSDARG00000045864,ENSDARG00000055075,ENSDARG00000056111,ENSDARG00000059342,ENSDARG00000062662,ENSDARG00000071113,ENSDARG00000074581,ENSDARG00000077261,ENSDARG00000078318,ENSDARG00000102415,ENSDARG00000103962,ENSDARG00000110291
