ID	p	p.adjusted	name
ZFA:0005145	1.1865127533660292E-10	5.8613730016281844E-8	"muscle"
ZFA:0009025	1.444344750413054E-10	7.135063067040487E-8	"myoblast"
ZFA:0000155	1.4930519577772614E-10	7.375676671419672E-8	"somite"
ZFA:0000548	4.1018932735900956E-10	2.026335277153507E-7	"musculature system"
ZFA:0000279	5.841088183079671E-10	2.8854975624413574E-7	"segmental plate"
ZFA:0009291	6.127638412663229E-10	3.027053375855635E-7	"muscle precursor cell"
ZFA:0009013	2.5695931261028904E-9	1.269379004294828E-6	"single fate stem cell"
ZFA:0000003	3.047438151207302E-9	1.5054344466964072E-6	"adaxial cell"
ZFA:0001373	2.091509082780584E-8	1.0332054868936086E-5	"migratory slow muscle precursor cell"
ZFA:0000393	2.7804437712755943E-8	1.3735392230101435E-5	"mesenchyme"
ZFA:0000255	1.0780055826312955E-7	5.3253475781986E-5	"paraxial mesoderm"
ZFA:0000591	1.1159466233273591E-7	5.512776319237154E-5	"presumptive paraxial mesoderm"
ZFA:0009114	2.3187774714541715E-7	1.1454760708983607E-4	"muscle cell"
ZFA:0000077	3.376342744841247E-6	0.0016679133159515761	"tail bud"
ZFA:0001115	1.1694786841278497E-5	0.0057772246995915775	"trunk"
ZFA:0009138	1.7977128885878767E-5	0.008880701669624111	"mesodermal cell"
ZFA:0009115	3.702255206770355E-5	0.018289140721445555	"skeletal muscle cell"
ZFA:0000038	1.055750668331699E-4	0.05215408301558593	"margin"
ZFA:0001308	1.1332271422612574E-4	0.055981420827706116	"organism subdivision"
ZFA:0000360	1.4966337125809067E-4	0.0739337054014968	"heart tube"
ZFA:0005594	2.69899917505796E-4	0.13333055924786322	"anatomical surface"
ZFA:0000382	3.7815295945029735E-4	0.1868075619684469	"acellular anatomical structure"
ZFA:0001056	3.7898585630593206E-4	0.18721901301513044	"myotome"
ZFA:0000473	4.35301886502797E-4	0.2150391319323817	"trunk musculature"
ZFA:0000028	4.651222537867693E-4	0.22977039337066404	"heart primordium"
