GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0043153	entrainment of circadian clock by photop...	14	4	0.15	1.3e-05	ENSDARG00000010519	0	-0.15631672123644572	per3	period circadian clock 3 [Source:ZFIN;Acc:ZDB-GENE-000804-1]
GO:0043153	entrainment of circadian clock by photop...	14	4	0.15	1.3e-05	ENSDARG00000011890	0	-0.15928450860846652	cry4	cryptochrome circadian regulator 4 [Source:ZFIN;Acc:ZDB-GENE-010426-7]
GO:0043153	entrainment of circadian clock by photop...	14	4	0.15	1.3e-05	ENSDARG00000012499	0	0.10720144508698733	per1b	period circadian clock 1b [Source:ZFIN;Acc:ZDB-GENE-040419-1]
GO:0043153	entrainment of circadian clock by photop...	14	4	0.15	1.3e-05	ENSDARG00000021882	0	-0.15107734330366665	fbxl3b	F-box and leucine-rich repeat protein 3b [Source:ZFIN;Acc:ZDB-GENE-041010-178]
GO:0043153	entrainment of circadian clock by photop...	14	4	0.15	1.3e-05	ENSDARG00000037738	0	-0.15483083540989367	fbxl3l	F-box and leucine-rich repeat protein 3, like [Source:ZFIN;Acc:ZDB-GENE-130530-598]
GO:0043153	entrainment of circadian clock by photop...	14	4	0.15	1.3e-05	ENSDARG00000054222	0	0.017621276319938702	fbxl8	F-box and leucine-rich repeat protein 8 [Source:ZFIN;Acc:ZDB-GENE-051120-81]
GO:0043153	entrainment of circadian clock by photop...	14	4	0.15	1.3e-05	ENSDARG00000056885	0	0.2189527698162251	per1a	period circadian clock 1a [Source:ZFIN;Acc:ZDB-GENE-011220-1]
GO:0043153	entrainment of circadian clock by photop...	14	4	0.15	1.3e-05	ENSDARG00000069074	0	-0.19376021132682578	cry3a	cryptochrome circadian regulator 3a [Source:ZFIN;Acc:ZDB-GENE-010426-4]
GO:0043153	entrainment of circadian clock by photop...	14	4	0.15	1.3e-05	ENSDARG00000102403	0	-0.02824135411894612	cry2	cryptochrome circadian regulator 2 [Source:ZFIN;Acc:ZDB-GENE-010426-6]
GO:0043153	entrainment of circadian clock by photop...	14	4	0.15	1.3e-05	ENSDARG00000103505	0	0.025302321279647325	fbxl3a	F-box and leucine-rich repeat protein 3a [Source:ZFIN;Acc:ZDB-GENE-030912-5]
GO:0043153	entrainment of circadian clock by photop...	14	4	0.15	1.3e-05	ENSDARG00000019498	1	-0.5522690924128613	cry5	cryptochrome circadian regulator 5 [Source:ZFIN;Acc:ZDB-GENE-010426-8]
GO:0043153	entrainment of circadian clock by photop...	14	4	0.15	1.3e-05	ENSDARG00000034503	1	-0.7690287082689146	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]
GO:0043153	entrainment of circadian clock by photop...	14	4	0.15	1.3e-05	ENSDARG00000045768	1	-0.18756608717163117	cry1a	cryptochrome circadian regulator 1a [Source:ZFIN;Acc:ZDB-GENE-010426-2]
GO:0043153	entrainment of circadian clock by photop...	14	4	0.15	1.3e-05	ENSDARG00000091131	1	-0.7330900489321739	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]
GO:0048741	skeletal muscle fiber development	37	5	0.4	4.8e-05	ENSDARG00000002952	0	-0.03344643707115561	smo	smoothened, frizzled class receptor [Source:ZFIN;Acc:ZDB-GENE-980526-89]
GO:0048741	skeletal muscle fiber development	37	5	0.4	4.8e-05	ENSDARG00000006757	0	0.3021326107186526	klhl41b	kelch-like family member 41b [Source:NCBI gene;Acc:321064]
GO:0048741	skeletal muscle fiber development	37	5	0.4	4.8e-05	ENSDARG00000007277	0	0.40258044983919655	myf5	myogenic factor 5 [Source:ZFIN;Acc:ZDB-GENE-000616-6]
GO:0048741	skeletal muscle fiber development	37	5	0.4	4.8e-05	ENSDARG00000008322	0	-0.0345939344715199	ambra1a	autophagy/beclin-1 regulator 1a [Source:ZFIN;Acc:ZDB-GENE-111104-2]
GO:0048741	skeletal muscle fiber development	37	5	0.4	4.8e-05	ENSDARG00000009438	0	0.23898781061967167	myog	myogenin [Source:ZFIN;Acc:ZDB-GENE-980526-265]
