GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0005869	dynactin complex	12	5	0.14	1.4e-07	ENSDARG00000023988	0	0.08793857188611878	dctn4	dynactin 4 [Source:ZFIN;Acc:ZDB-GENE-050417-306]
GO:0005869	dynactin complex	12	5	0.14	1.4e-07	ENSDARG00000031388	0	-0.07621669494255262	dctn2	dynactin 2 (p50) [Source:NCBI gene;Acc:394141]
GO:0005869	dynactin complex	12	5	0.14	1.4e-07	ENSDARG00000038432	0	-0.08944561529556647	actr10	actin related protein 10 [Source:ZFIN;Acc:ZDB-GENE-040426-768]
GO:0005869	dynactin complex	12	5	0.14	1.4e-07	ENSDARG00000041363	0	-0.003039479511923624	dctn3	dynactin 3 (p22) [Source:ZFIN;Acc:ZDB-GENE-040704-65]
GO:0005869	dynactin complex	12	5	0.14	1.4e-07	ENSDARG00000045180	0	-0.23465944820981613	acta2	actin alpha 2, smooth muscle [Source:ZFIN;Acc:ZDB-GENE-030131-1229]
GO:0005869	dynactin complex	12	5	0.14	1.4e-07	ENSDARG00000057911	0	-0.3821870529803235	ACTC1	zgc:86709 [Source:ZFIN;Acc:ZDB-GENE-040625-35]
GO:0005869	dynactin complex	12	5	0.14	1.4e-07	ENSDARG00000076126	0	-0.3986597488281726	actc1a	actin alpha cardiac muscle 1a [Source:ZFIN;Acc:ZDB-GENE-040520-4]
GO:0005869	dynactin complex	12	5	0.14	1.4e-07	ENSDARG00000036371	1	-1.5850586406649405	acta1a	actin alpha 1, skeletal muscle a [Source:ZFIN;Acc:ZDB-GENE-050417-267]
GO:0005869	dynactin complex	12	5	0.14	1.4e-07	ENSDARG00000042535	1	-0.4274540671816279	actc1a	actin alpha cardiac muscle 1a [Source:ZFIN;Acc:ZDB-GENE-040520-4]
GO:0005869	dynactin complex	12	5	0.14	1.4e-07	ENSDARG00000055618	1	-1.7354466090989071	acta1b	actin alpha 1, skeletal muscle b [Source:ZFIN;Acc:ZDB-GENE-030131-55]
GO:0005869	dynactin complex	12	5	0.14	1.4e-07	ENSDARG00000079111	1	-1.435607836823989	actc1c	actin alpha cardiac muscle 1c [Source:ZFIN;Acc:ZDB-GENE-040625-46]
GO:0005869	dynactin complex	12	5	0.14	1.4e-07	ENSDARG00000099197	1	-0.5824189782239271	actc1b	actin alpha cardiac muscle 1b [Source:ZFIN;Acc:ZDB-GENE-000322-1]
