GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0005882	intermediate filament	73	8	1.27	3.7e-05	ENSDARG00000000212	0	-0.2074297462717054	krt97	keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]
GO:0005882	intermediate filament	73	8	1.27	3.7e-05	ENSDARG00000003146	0	-0.2346501333336359	si:dkey-27m7.4	si:dkey-27m7.4 [Source:ZFIN;Acc:ZDB-GENE-090313-297]
GO:0005882	intermediate filament	73	8	1.27	3.7e-05	ENSDARG00000005221	0	0.08647338914939115	desmb	desmin b [Source:ZFIN;Acc:ZDB-GENE-061027-102]
GO:0005882	intermediate filament	73	8	1.27	3.7e-05	ENSDARG00000007751	0	-0.1256041238286203	lmnl3	lamin L3 [Source:ZFIN;Acc:ZDB-GENE-020424-4]
GO:0005882	intermediate filament	73	8	1.27	3.7e-05	ENSDARG00000010008	0	-0.3728457048940984	vim	vimentin [Source:ZFIN;Acc:ZDB-GENE-011212-3]
GO:0005882	intermediate filament	73	8	1.27	3.7e-05	ENSDARG00000011862	0	0.019075515346799705	inaa	internexin neuronal intermediate filament protein, alpha a [Source:ZFIN;Acc:ZDB-GENE-060531-65]
GO:0005882	intermediate filament	73	8	1.27	3.7e-05	ENSDARG00000011998	0	-0.0084178480264691935	bfsp2	beaded filament structural protein 2, phakinin [Source:ZFIN;Acc:ZDB-GENE-041212-58]
GO:0005882	intermediate filament	73	8	1.27	3.7e-05	ENSDARG00000012281	0	-0.05715124999689965	zgc:65851	zgc:65851 [Source:ZFIN;Acc:ZDB-GENE-030131-9669]
GO:0005882	intermediate filament	73	8	1.27	3.7e-05	ENSDARG00000012426	0	0.011571475130961444	neflb	neurofilament, light polypeptide b [Source:ZFIN;Acc:ZDB-GENE-060312-44]
GO:0005882	intermediate filament	73	8	1.27	3.7e-05	ENSDARG00000013415	0	-0.15666644995020543	lmna	lamin A [Source:ZFIN;Acc:ZDB-GENE-020424-3]
GO:0005882	intermediate filament	73	8	1.27	3.7e-05	ENSDARG00000014356	0	-0.5593253390738867	krt95	kertain 95 [Source:ZFIN;Acc:ZDB-GENE-040718-88]
GO:0005882	intermediate filament	73	8	1.27	3.7e-05	ENSDARG00000019365	0	-0.037011017107383595	krt99	keratin 99 [Source:ZFIN;Acc:ZDB-GENE-050417-50]
