GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000005891,ENSDARG00000011890,ENSDARG00000013236,ENSDARG00000014727,ENSDARG00000015228,ENSDARG00000019498,ENSDARG00000020054,ENSDARG00000020149,ENSDARG00000020395,ENSDARG00000035601,ENSDARG00000035603,ENSDARG00000042821,ENSDARG00000045768,ENSDARG00000053087,ENSDARG00000055240,ENSDARG00000060210,ENSDARG00000069074,ENSDARG00000075608,ENSDARG00000086512,ENSDARG00000086746,ENSDARG00000091131,ENSDARG00000094732,ENSDARG00000097017,ENSDARG00000102403
GO:0048306	calcium-dependent protein binding	10	2	0.08	0.0030	ENSDARG00000009978,ENSDARG00000011400,ENSDARG00000015543,ENSDARG00000025254,ENSDARG00000036773,ENSDARG00000038729,ENSDARG00000055514,ENSDARG00000055589,ENSDARG00000089441,ENSDARG00000101181
GO:0020037	heme binding	75	4	0.63	0.0036	ENSDARG00000002249,ENSDARG00000004539,ENSDARG00000004964,ENSDARG00000008858,ENSDARG00000013524,ENSDARG00000013787,ENSDARG00000017982,ENSDARG00000020898,ENSDARG00000022631,ENSDARG00000022650,ENSDARG00000023176,ENSDARG00000026548,ENSDARG00000031506,ENSDARG00000032896,ENSDARG00000033802,ENSDARG00000035564,ENSDARG00000037874,ENSDARG00000038957,ENSDARG00000042630,ENSDARG00000042641,ENSDARG00000042677,ENSDARG00000042953,ENSDARG00000042956,ENSDARG00000042978,ENSDARG00000042980,ENSDARG00000042982,ENSDARG00000042990,ENSDARG00000053475,ENSDARG00000055295,ENSDARG00000057262,ENSDARG00000060094,ENSDARG00000061585,ENSDARG00000062132,ENSDARG00000062632,ENSDARG00000063297,ENSDARG00000063905,ENSDARG00000068283,ENSDARG00000068493,ENSDARG00000068910,ENSDARG00000069186,ENSDARG00000070021,ENSDARG00000070148,ENSDARG00000070775,ENSDARG00000071429,ENSDARG00000073764,ENSDARG00000075015,ENSDARG00000086790,ENSDARG00000088013,ENSDARG00000089177,ENSDARG00000089879,ENSDARG00000091574,ENSDARG00000092091,ENSDARG00000092660,ENSDARG00000093185,ENSDARG00000094057,ENSDARG00000097556,ENSDARG00000097559,ENSDARG00000098589,ENSDARG00000098733,ENSDARG00000099371,ENSDARG00000101190,ENSDARG00000101423,ENSDARG00000101861,ENSDARG00000102805,ENSDARG00000102981,ENSDARG00000103277,ENSDARG00000103295,ENSDARG00000103456,ENSDARG00000103766,ENSDARG00000104529,ENSDARG00000104593,ENSDARG00000104702,ENSDARG00000105151,ENSDARG00000110366,ENSDARG00000114695
GO:0016684	oxidoreductase activity, acting on perox...	15	2	0.13	0.0069	ENSDARG00000003077,ENSDARG00000004539,ENSDARG00000015822,ENSDARG00000020693,ENSDARG00000032102,ENSDARG00000033364,ENSDARG00000043511,ENSDARG00000056510,ENSDARG00000062632,ENSDARG00000068478,ENSDARG00000071345,ENSDARG00000098733,ENSDARG00000102379,ENSDARG00000102744,ENSDARG00000104702
GO:0042626	ATPase activity, coupled to transmembran...	47	3	0.4	0.0071	ENSDARG00000001788,ENSDARG00000001870,ENSDARG00000003699,ENSDARG00000006370,ENSDARG00000007739,ENSDARG00000010149,ENSDARG00000010936,ENSDARG00000013050,ENSDARG00000015985,ENSDARG00000016818,ENSDARG00000018259,ENSDARG00000019404,ENSDARG00000021787,ENSDARG00000023445,ENSDARG00000029439,ENSDARG00000030694,ENSDARG00000039131,ENSDARG00000040252,ENSDARG00000043474,ENSDARG00000044902,ENSDARG00000045514,ENSDARG00000051879,ENSDARG00000056200,ENSDARG00000057169,ENSDARG00000058953,ENSDARG00000059409,ENSDARG00000060978,ENSDARG00000061233,ENSDARG00000062519,ENSDARG00000062661,ENSDARG00000063297,ENSDARG00000063433,ENSDARG00000063475,ENSDARG00000070083,ENSDARG00000070440,ENSDARG00000074041,ENSDARG00000074221,ENSDARG00000074635,ENSDARG00000074749,ENSDARG00000076318,ENSDARG00000076622,ENSDARG00000095897,ENSDARG00000100524,ENSDARG00000104085,ENSDARG00000104139,ENSDARG00000104719,ENSDARG00000105403
GO:0016830	carbon-carbon lyase activity	23	2	0.19	0.0158	ENSDARG00000002396,ENSDARG00000013522,ENSDARG00000015537,ENSDARG00000016494,ENSDARG00000018944,ENSDARG00000019498,ENSDARG00000019702,ENSDARG00000027419,ENSDARG00000033539,ENSDARG00000034470,ENSDARG00000035869,ENSDARG00000043856,ENSDARG00000052462,ENSDARG00000053684,ENSDARG00000055370,ENSDARG00000061375,ENSDARG00000062549,ENSDARG00000067805,ENSDARG00000078479,ENSDARG00000088740,ENSDARG00000093411,ENSDARG00000099519,ENSDARG00000104732
GO:0005198	structural molecule activity	279	6	2.35	0.0298	ENSDARG00000000212,ENSDARG00000001889,ENSDARG00000002255,ENSDARG00000002696,ENSDARG00000002831,ENSDARG00000002916,ENSDARG00000003146,ENSDARG00000003599,ENSDARG00000003701,ENSDARG00000004280,ENSDARG00000004358,ENSDARG00000005791,ENSDARG00000006316,ENSDARG00000006413,ENSDARG00000006603,ENSDARG00000006691,ENSDARG00000007320,ENSDARG00000007576,ENSDARG00000007912,ENSDARG00000008219,ENSDARG00000009014,ENSDARG00000009194,ENSDARG00000009215,ENSDARG00000009285,ENSDARG00000009941,ENSDARG00000010160,ENSDARG00000010516,ENSDARG00000011201,ENSDARG00000011405,ENSDARG00000011407,ENSDARG00000011929,ENSDARG00000011961,ENSDARG00000011998,ENSDARG00000012066,ENSDARG00000012281,ENSDARG00000012422,ENSDARG00000012593,ENSDARG00000013075,ENSDARG00000014059,ENSDARG00000014356,ENSDARG00000014690,ENSDARG00000014803,ENSDARG00000014867,ENSDARG00000015053,ENSDARG00000015128,ENSDARG00000015445,ENSDARG00000015610,ENSDARG00000015862,ENSDARG00000015964,ENSDARG00000016081,ENSDARG00000016212,ENSDARG00000016421,ENSDARG00000016793,ENSDARG00000016908,ENSDARG00000018073,ENSDARG00000018334,ENSDARG00000018404,ENSDARG00000018797,ENSDARG00000019278,ENSDARG00000019365,ENSDARG00000019778,ENSDARG00000019782,ENSDARG00000019917,ENSDARG00000020007,ENSDARG00000020197,ENSDARG00000021351,ENSDARG00000021590,ENSDARG00000021838,ENSDARG00000022698,ENSDARG00000023082,ENSDARG00000023298,ENSDARG00000024785,ENSDARG00000024847,ENSDARG00000025073,ENSDARG00000025301,ENSDARG00000026165,ENSDARG00000026979,ENSDARG00000027618,ENSDARG00000028213,ENSDARG00000028306,ENSDARG00000028533,ENSDARG00000028618,ENSDARG00000029533,ENSDARG00000030094,ENSDARG00000030215,ENSDARG00000030349,ENSDARG00000030408,ENSDARG00000030723,ENSDARG00000030980,ENSDARG00000031678,ENSDARG00000032929,ENSDARG00000033950,ENSDARG00000035357,ENSDARG00000035692,ENSDARG00000035809,ENSDARG00000035860,ENSDARG00000036186,ENSDARG00000036298,ENSDARG00000036316,ENSDARG00000036376,ENSDARG00000036558,ENSDARG00000036830,ENSDARG00000036832,ENSDARG00000036834,ENSDARG00000036840,ENSDARG00000036875,ENSDARG00000037071,ENSDARG00000037350,ENSDARG00000037402,ENSDARG00000037997,ENSDARG00000039347,ENSDARG00000039522,ENSDARG00000039828,ENSDARG00000040045,ENSDARG00000040118,ENSDARG00000040738,ENSDARG00000041179,ENSDARG00000041232,ENSDARG00000041295,ENSDARG00000041339,ENSDARG00000041925,ENSDARG00000042566,ENSDARG00000042864,ENSDARG00000043309,ENSDARG00000043442,ENSDARG00000043493,ENSDARG00000043697,ENSDARG00000043716,ENSDARG00000044093,ENSDARG00000044387,ENSDARG00000044875,ENSDARG00000044975,ENSDARG00000044976,ENSDARG00000045014,ENSDARG00000045268,ENSDARG00000045487,ENSDARG00000045696,ENSDARG00000045913,ENSDARG00000046157,ENSDARG00000051763,ENSDARG00000051824,ENSDARG00000051896,ENSDARG00000052061,ENSDARG00000053058,ENSDARG00000053365,ENSDARG00000053875,ENSDARG00000053956,ENSDARG00000054321,ENSDARG00000054616,ENSDARG00000054818,ENSDARG00000055216,ENSDARG00000055475,ENSDARG00000055996,ENSDARG00000056903,ENSDARG00000057460,ENSDARG00000057536,ENSDARG00000057556,ENSDARG00000058105,ENSDARG00000058332,ENSDARG00000058451,ENSDARG00000058543,ENSDARG00000058880,ENSDARG00000058906,ENSDARG00000059067,ENSDARG00000059369,ENSDARG00000059558,ENSDARG00000060199,ENSDARG00000060489,ENSDARG00000061832,ENSDARG00000061848,ENSDARG00000062319,ENSDARG00000062325,ENSDARG00000062531,ENSDARG00000062590,ENSDARG00000062756,ENSDARG00000062916,ENSDARG00000063054,ENSDARG00000063332,ENSDARG00000068305,ENSDARG00000068460,ENSDARG00000068507,ENSDARG00000068923,ENSDARG00000068974,ENSDARG00000069017,ENSDARG00000069046,ENSDARG00000069624,ENSDARG00000069792,ENSDARG00000069826,ENSDARG00000070437,ENSDARG00000070589,ENSDARG00000070597,ENSDARG00000070849,ENSDARG00000071518,ENSDARG00000074001,ENSDARG00000074531,ENSDARG00000074919,ENSDARG00000074955,ENSDARG00000075422,ENSDARG00000075989,ENSDARG00000076137,ENSDARG00000076321,ENSDARG00000076364,ENSDARG00000077084,ENSDARG00000077291,ENSDARG00000077717,ENSDARG00000078142,ENSDARG00000078189,ENSDARG00000079011,ENSDARG00000079994,ENSDARG00000081096,ENSDARG00000082753,ENSDARG00000083050,ENSDARG00000086658,ENSDARG00000086917,ENSDARG00000087087,ENSDARG00000087164,ENSDARG00000087187,ENSDARG00000087765,ENSDARG00000088030,ENSDARG00000090268,ENSDARG00000092567,ENSDARG00000092807,ENSDARG00000092947,ENSDARG00000093318,ENSDARG00000093374,ENSDARG00000093606,ENSDARG00000094041,ENSDARG00000095147,ENSDARG00000095843,ENSDARG00000096620,ENSDARG00000096717,ENSDARG00000097826,ENSDARG00000098237,ENSDARG00000098880,ENSDARG00000099022,ENSDARG00000099283,ENSDARG00000099380,ENSDARG00000099390,ENSDARG00000099536,ENSDARG00000099930,ENSDARG00000100105,ENSDARG00000100288,ENSDARG00000100392,ENSDARG00000100781,ENSDARG00000101209,ENSDARG00000101286,ENSDARG00000101380,ENSDARG00000101406,ENSDARG00000101660,ENSDARG00000101816,ENSDARG00000101858,ENSDARG00000102317,ENSDARG00000102443,ENSDARG00000102883,ENSDARG00000103007,ENSDARG00000103198,ENSDARG00000103433,ENSDARG00000103459,ENSDARG00000104467,ENSDARG00000104528,ENSDARG00000104643,ENSDARG00000105042,ENSDARG00000108005,ENSDARG00000109861,ENSDARG00000110964,ENSDARG00000110973,ENSDARG00000110985,ENSDARG00000111040,ENSDARG00000111843,ENSDARG00000112019,ENSDARG00000112334,ENSDARG00000113498,ENSDARG00000114854,ENSDARG00000115234,ENSDARG00000115271,ENSDARG00000115956,ENSDARG00000116164,ENSDARG00000116939,ENSDARG00000117097
GO:0016758	transferase activity, transferring hexos...	88	3	0.74	0.0379	ENSDARG00000001939,ENSDARG00000002021,ENSDARG00000006220,ENSDARG00000006372,ENSDARG00000011026,ENSDARG00000011283,ENSDARG00000012840,ENSDARG00000015449,ENSDARG00000016460,ENSDARG00000016479,ENSDARG00000016875,ENSDARG00000018971,ENSDARG00000019207,ENSDARG00000019746,ENSDARG00000020447,ENSDARG00000021408,ENSDARG00000021938,ENSDARG00000026811,ENSDARG00000027699,ENSDARG00000030733,ENSDARG00000032862,ENSDARG00000035273,ENSDARG00000035555,ENSDARG00000036065,ENSDARG00000036619,ENSDARG00000036987,ENSDARG00000037879,ENSDARG00000038348,ENSDARG00000040048,ENSDARG00000040608,ENSDARG00000041040,ENSDARG00000041791,ENSDARG00000042418,ENSDARG00000043482,ENSDARG00000044755,ENSDARG00000045175,ENSDARG00000045753,ENSDARG00000046133,ENSDARG00000046150,ENSDARG00000052025,ENSDARG00000052376,ENSDARG00000052408,ENSDARG00000053463,ENSDARG00000053917,ENSDARG00000054373,ENSDARG00000054963,ENSDARG00000055027,ENSDARG00000058048,ENSDARG00000058100,ENSDARG00000058299,ENSDARG00000059056,ENSDARG00000059961,ENSDARG00000061400,ENSDARG00000063149,ENSDARG00000063330,ENSDARG00000068947,ENSDARG00000069472,ENSDARG00000073723,ENSDARG00000073917,ENSDARG00000076218,ENSDARG00000076317,ENSDARG00000076701,ENSDARG00000077352,ENSDARG00000077994,ENSDARG00000079013,ENSDARG00000079027,ENSDARG00000079700,ENSDARG00000086603,ENSDARG00000088117,ENSDARG00000089094,ENSDARG00000089233,ENSDARG00000091624,ENSDARG00000093521,ENSDARG00000094415,ENSDARG00000097231,ENSDARG00000099455,ENSDARG00000099524,ENSDARG00000100352,ENSDARG00000101019,ENSDARG00000101176,ENSDARG00000101495,ENSDARG00000102061,ENSDARG00000103155,ENSDARG00000105243,ENSDARG00000106630,ENSDARG00000107385,ENSDARG00000113928,ENSDARG00000116986
GO:0004722	protein serine/threonine phosphatase act...	37	2	0.31	0.0386	ENSDARG00000001888,ENSDARG00000004988,ENSDARG00000010031,ENSDARG00000010655,ENSDARG00000011496,ENSDARG00000013858,ENSDARG00000014962,ENSDARG00000017522,ENSDARG00000021483,ENSDARG00000025106,ENSDARG00000026499,ENSDARG00000032155,ENSDARG00000036102,ENSDARG00000036613,ENSDARG00000038397,ENSDARG00000040674,ENSDARG00000044688,ENSDARG00000057456,ENSDARG00000057625,ENSDARG00000059695,ENSDARG00000060130,ENSDARG00000061255,ENSDARG00000062116,ENSDARG00000062241,ENSDARG00000063218,ENSDARG00000067564,ENSDARG00000070914,ENSDARG00000074690,ENSDARG00000076308,ENSDARG00000078694,ENSDARG00000079591,ENSDARG00000088440,ENSDARG00000098301,ENSDARG00000098955,ENSDARG00000100515,ENSDARG00000103752,ENSDARG00000116119
GO:0004857	enzyme inhibitor activity	103	3	0.87	0.0559	ENSDARG00000003216,ENSDARG00000004932,ENSDARG00000005924,ENSDARG00000007795,ENSDARG00000008434,ENSDARG00000009477,ENSDARG00000010878,ENSDARG00000012896,ENSDARG00000015065,ENSDARG00000019304,ENSDARG00000021720,ENSDARG00000023532,ENSDARG00000025855,ENSDARG00000026726,ENSDARG00000027172,ENSDARG00000027423,ENSDARG00000027867,ENSDARG00000028164,ENSDARG00000029353,ENSDARG00000029668,ENSDARG00000030161,ENSDARG00000034168,ENSDARG00000034718,ENSDARG00000035859,ENSDARG00000036063,ENSDARG00000036445,ENSDARG00000036968,ENSDARG00000038941,ENSDARG00000040944,ENSDARG00000043102,ENSDARG00000044092,ENSDARG00000044254,ENSDARG00000044541,ENSDARG00000045517,ENSDARG00000045929,ENSDARG00000052207,ENSDARG00000052423,ENSDARG00000053625,ENSDARG00000054007,ENSDARG00000054271,ENSDARG00000054864,ENSDARG00000055416,ENSDARG00000055543,ENSDARG00000056314,ENSDARG00000056530,ENSDARG00000056720,ENSDARG00000056795,ENSDARG00000057263,ENSDARG00000058003,ENSDARG00000058053,ENSDARG00000058082,ENSDARG00000058243,ENSDARG00000058693,ENSDARG00000059139,ENSDARG00000060609,ENSDARG00000061226,ENSDARG00000061351,ENSDARG00000061644,ENSDARG00000063095,ENSDARG00000067975,ENSDARG00000068923,ENSDARG00000069048,ENSDARG00000070918,ENSDARG00000071403,ENSDARG00000073900,ENSDARG00000074166,ENSDARG00000074425,ENSDARG00000076128,ENSDARG00000076170,ENSDARG00000076229,ENSDARG00000076321,ENSDARG00000077084,ENSDARG00000077139,ENSDARG00000077341,ENSDARG00000077648,ENSDARG00000079388,ENSDARG00000079752,ENSDARG00000086471,ENSDARG00000087087,ENSDARG00000089187,ENSDARG00000089640,ENSDARG00000090185,ENSDARG00000090675,ENSDARG00000091801,ENSDARG00000093677,ENSDARG00000094602,ENSDARG00000095152,ENSDARG00000096888,ENSDARG00000097256,ENSDARG00000099719,ENSDARG00000100781,ENSDARG00000101387,ENSDARG00000102076,ENSDARG00000102171,ENSDARG00000102617,ENSDARG00000102891,ENSDARG00000103800,ENSDARG00000103978,ENSDARG00000104279,ENSDARG00000104758,ENSDARG00000104903,ENSDARG00000110496,ENSDARG00000112637
