GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000005891	0	-0.04480600620244326	cyb5r3	cytochrome b5 reductase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-3281]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000011890	0	-0.30056442917636705	cry4	cryptochrome circadian regulator 4 [Source:ZFIN;Acc:ZDB-GENE-010426-7]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000013236	0	-0.029837154061622084	dhcr24	24-dehydrocholesterol reductase [Source:ZFIN;Acc:ZDB-GENE-041212-73]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000014727	0	-0.1011381180508208	acox1	acyl-CoA oxidase 1, palmitoyl [Source:ZFIN;Acc:ZDB-GENE-041010-219]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000015228	0	-0.8820019264401352	ero1a	endoplasmic reticulum oxidoreductase alpha [Source:NCBI gene;Acc:393321]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000020054	0	-0.24669759819478262	aox6	aldehyde oxidase 6 [Source:ZFIN;Acc:ZDB-GENE-050208-742]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000020149	0	-0.05827906956885611	acoxl	acyl-CoA oxidase-like [Source:ZFIN;Acc:ZDB-GENE-081107-18]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000020395	0	-0.17050490868937204	mical2b	microtubule associated monooxygenase, calponin and LIM domain containing 2b [Source:NCBI gene;Acc:569564]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000035601	0	-0.18917691826812644	dao.3	D-amino-acid oxidase, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-040426-1894]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000035603	0	-0.1338050253422517	dao.2	D-amino-acid oxidase, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2634]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000042821	0	-0.001938475933849695	agps	alkylglycerone phosphate synthase [Source:ZFIN;Acc:ZDB-GENE-031118-14]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000053087	0	-0.036747073377128896	mthfr	methylenetetrahydrofolate reductase (NAD(P)H) [Source:ZFIN;Acc:ZDB-GENE-041111-215]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000055240	0	-0.09621504495960936	xdh	xanthine dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-070719-9]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000060210	0	-0.024293494035704865	d2hgdh	D-2-hydroxyglutarate dehydrogenase [Source:NCBI gene;Acc:565889]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000075608	0	-0.30922267833415074	mical2a	microtubule associated monooxygenase, calponin and LIM domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-110110-2]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000086512	0	-0.1170821106749212	prodhb	proline dehydrogenase (oxidase) 1b [Source:ZFIN;Acc:ZDB-GENE-101116-1]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000086746	0	-0.12136953436248903	prodha	proline dehydrogenase (oxidase) 1a [Source:ZFIN;Acc:ZDB-GENE-041008-73]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000094732	0	-0.011726548654092003	mical3b	Danio rerio microtubule associated monooxygenase, calponin and LIM domain containing 3b (mical3b), mRNA. [Source:RefSeq mRNA;Acc:NM_001353875]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000097017	0	-0.1972424497659982	mical3a	microtubule associated monooxygenase, calponin and LIM domain containing 3a [Source:NCBI gene;Acc:402881]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000102403	0	-0.015073195700842897	cry2	cryptochrome circadian regulator 2 [Source:ZFIN;Acc:ZDB-GENE-010426-6]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000019498	1	-0.6179268440150073	cry5	cryptochrome circadian regulator 5 [Source:ZFIN;Acc:ZDB-GENE-010426-8]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000045768	1	-0.2736249191746583	cry1a	cryptochrome circadian regulator 1a [Source:ZFIN;Acc:ZDB-GENE-010426-2]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000069074	1	-0.3895762249389938	cry3a	cryptochrome circadian regulator 3a [Source:ZFIN;Acc:ZDB-GENE-010426-4]
GO:0071949	FAD binding	24	4	0.2	4.3e-05	ENSDARG00000091131	1	-0.8155336830687965	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]
