GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000007219	0	0.017563191918183136	actn1	actinin, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-081113-4]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000011023	0	0.23861757979559664	pdlim3a	PDZ and LIM domain 3a [Source:ZFIN;Acc:ZDB-GENE-050505-1]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000014248	0	0.5774942792727344	pdlim3b	PDZ and LIM domain 3b [Source:ZFIN;Acc:ZDB-GENE-060130-104]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000018105	0	0.06613460084768752	casq1b	calsequestrin 1b [Source:ZFIN;Acc:ZDB-GENE-060929-1070]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000019117	0	0.173743402128891	parvb	parvin, beta [Source:ZFIN;Acc:ZDB-GENE-030131-4411]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000026985	0	0.07183613175689094	lims1	LIM and senescent cell antigen-like domains 1 [Source:ZFIN;Acc:ZDB-GENE-050522-236]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000027600	0	0.03569838281107768	pdlim5b	PDZ and LIM domain 5b [Source:ZFIN;Acc:ZDB-GENE-040426-908]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000029907	0	0.8066852812894673	trim54	tripartite motif containing 54 [Source:ZFIN;Acc:ZDB-GENE-041014-342]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000034240	0	0.05035987029699322	capza1a	capping actin protein of muscle Z-line subunit alpha 1a [Source:ZFIN;Acc:ZDB-GENE-030131-5237]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000037266	0	0.057653845470350795	myoz2b	myozenin 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1853]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000040917	0	0.0827420908366466	cbfb	core-binding factor subunit beta [Source:ZFIN;Acc:ZDB-GENE-980526-440]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000045228	0	0.23337033027591836	stub1	STIP1 homology and U-Box containing protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2963]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000056322	0	0.26091077617186625	ldb3a	LIM domain binding 3a [Source:ZFIN;Acc:ZDB-GENE-040121-6]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000056964	0	0.1493594845841288	ilk	integrin-linked kinase [Source:ZFIN;Acc:ZDB-GENE-040426-1435]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000057317	0	0.11347729000509538	nexn	nexilin (F actin binding protein) [Source:ZFIN;Acc:ZDB-GENE-041114-92]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000067701	0	0.5607178776538221	myoz3a	myozenin 3a [Source:ZFIN;Acc:ZDB-GENE-111012-4]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000068973	0	0.008907778574179896	pdlim4	PDZ and LIM domain 4 [Source:ZFIN;Acc:ZDB-GENE-070308-5]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000071445	0	0.1692609404724643	myoz1b	myozenin 1b [Source:ZFIN;Acc:ZDB-GENE-040718-146]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000071498	0	0.27361913078136857	fhl1a	four and a half LIM domains 1a [Source:ZFIN;Acc:ZDB-GENE-040206-1]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000077157	0	0.05303482805476932	synpo2b	synaptopodin 2b [Source:ZFIN;Acc:ZDB-GENE-101230-1]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000104713	0	0.3399681409857915	zgc:165653	zgc:165653 [Source:ZFIN;Acc:ZDB-GENE-070620-24]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000114870	0	0.3030854477517125	CABZ01078594.1	NA
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000001431	1	0.2807791930741183	actn3b	actinin alpha 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2040]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000012311	1	0.6411516139426208	myoz2a	myozenin 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1880]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000058656	1	1.2626744559239766	desma	desmin a [Source:ZFIN;Acc:ZDB-GENE-980526-221]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000078696	1	0.7744984058405521	synpo2lb	synaptopodin 2-like b [Source:ZFIN;Acc:ZDB-GENE-090828-5]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000099974	1	0.4465441013987689	ldb3b	LIM domain binding 3b [Source:ZFIN;Acc:ZDB-GENE-030131-6032]
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000101706	1	0.9676564624488356	csrp3	cysteine and glycine-rich protein 3 (cardiac LIM protein) [Source:ZFIN;Acc:ZDB-GENE-041010-119]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000001470	0	0.10376040354184538	mhc1zea	major histocompatibility complex class I ZEA [Source:ZFIN;Acc:ZDB-GENE-070705-176]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000001760	0	0.060862699463523	tnxba	tenascin XBa [Source:ZFIN;Acc:ZDB-GENE-070103-5]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000001818	0	0.028818079721471365	c3b.2	complement component c3b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3063]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000002760	0	0.18976999850788984	gdf5	growth differentiation factor 5 [Source:ZFIN;Acc:ZDB-GENE-990415-39]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000003395	0	0.007589178386652558	col4a3	collagen, type IV, alpha 3 [Source:ZFIN;Acc:ZDB-GENE-070802-4]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000003523	0	1.1976882615061046	itln3	intelectin 3 [Source:ZFIN;Acc:ZDB-GENE-090527-4]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000003533	0	0.546612041379541	col8a1b	collagen, type VIII, alpha 1b [Source:ZFIN;Acc:ZDB-GENE-060503-140]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000004757	0	0.06984282866309535	ybx1	Y box binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-000629-3]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000005941	0	0.04484351403449631	clul1	clusterin-like 1 (retinal) [Source:ZFIN;Acc:ZDB-GENE-031118-57]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000007534	0	1.216978191201226	itln1	intelectin 1 [Source:ZFIN;Acc:ZDB-GENE-060929-564]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000007560	0	0.007134278702157888	sema3bl	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3bl [Source:ZFIN;Acc:ZDB-GENE-030131-2956]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000007743	0	0.09785182284940595	il15l	interleukin 15, like [Source:ZFIN;Acc:ZDB-GENE-041111-173]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000007836	0	0.05763715470189047	ctsla	cathepsin La [Source:ZFIN;Acc:ZDB-GENE-030131-106]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000008969	0	0.11821120888860581	fgb	fibrinogen beta chain [Source:ZFIN;Acc:ZDB-GENE-030131-9261]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000010097	0	0.17321192020049161	f9a	coagulation factor IXa [Source:ZFIN;Acc:ZDB-GENE-030714-2]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000010130	0	0.20823960951914797	smpdl3b	sphingomyelin phosphodiesterase acid like 3B [Source:ZFIN;Acc:ZDB-GENE-041008-132]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000010294	0	0.3047502909712681	fmodb	fibromodulin b [Source:ZFIN;Acc:ZDB-GENE-080327-28]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000010700	0	0.24724394441708394	il17d	interleukin 17d [Source:ZFIN;Acc:ZDB-GENE-061031-4]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000010785	0	0.054255322509860066	thbs1b	thrombospondin 1b [Source:ZFIN;Acc:ZDB-GENE-020708-1]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000011257	0	0.1636974255977014	enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1156]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000011459	0	0.1384534334305727	gsna	gelsolin a [Source:ZFIN;Acc:ZDB-GENE-030131-9653]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000011769	0	0.02130762372867577	cpm	carboxypeptidase M [Source:ZFIN;Acc:ZDB-GENE-041210-191]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000012013	0	0.1231268041804886	cpa6	carboxypeptidase A6 [Source:ZFIN;Acc:ZDB-GENE-091204-331]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000012405	0	0.03788213037601533	col1a1a	collagen, type I, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9102]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000012506	0	0.09902854496870123	rnpep	arginyl aminopeptidase (aminopeptidase B) [Source:ZFIN;Acc:ZDB-GENE-040718-241]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000012535	0	0.12427540300239052	epx	eosinophil peroxidase [Source:ZFIN;Acc:ZDB-GENE-130425-2]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000012945	0	0.6013909485894159	tnfsf13b	TNF superfamily member 13b [Source:ZFIN;Acc:ZDB-GENE-080204-44]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000012987	0	0.05694422475937865	gpia	glucose-6-phosphate isomerase a [Source:ZFIN;Acc:ZDB-GENE-020513-2]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000013293	0	0.1464304674445683	crispld1b	cysteine-rich secretory protein LCCL domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-040426-1204]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000013968	0	0.039687173545628056	psap	prosaposin [Source:ZFIN;Acc:ZDB-GENE-020108-1]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000014190	0	0.11331654368235193	sst2	somatostatin 2 [Source:ZFIN;Acc:ZDB-GENE-010219-2]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000014556	0	0.005374620933495823	serpinb1l3	serpin peptidase inhibitor, clade B (ovalbumin), member 1, like 3 [Source:ZFIN;Acc:ZDB-GENE-030131-7059]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000015623	0	0.9448295690570722	ada2b	adenosine deaminase 2b [Source:ZFIN;Acc:ZDB-GENE-041210-77]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000016056	0	0.08899474256402798	mhc1laa	major histocompatibility complex class I LAA [Source:ZFIN;Acc:ZDB-GENE-050417-464]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000016153	0	0.07130143148858559	dag1	dystroglycan 1 [Source:ZFIN;Acc:ZDB-GENE-021223-1]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000016227	0	0.5644703518993422	mhc1lba	major histocompatibility complex class I LBA [Source:ZFIN;Acc:ZDB-GENE-140820-3]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000016412	0	0.13839214922535825	agt	angiotensinogen [Source:ZFIN;Acc:ZDB-GENE-030131-1205]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000016771	0	0.3009022686990667	tfa	transferrin-a [Source:ZFIN;Acc:ZDB-GENE-980526-35]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000016837	0	0.028769529485665593	glipr2l	GLI pathogenesis-related 2, like [Source:ZFIN;Acc:ZDB-GENE-041010-53]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000016918	0	0.08441081715454471	ace2	angiotensin I converting enzyme 2 [Source:ZFIN;Acc:ZDB-GENE-041114-6]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000017314	0	0.63048486739553	cela1.6	chymotrypsin like elastase family member 1, tandem duplicate 6 [Source:ZFIN;Acc:ZDB-GENE-040808-55]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000018643	0	0.3703863588598813	igf2a	insulin-like growth factor 2a [Source:ZFIN;Acc:ZDB-GENE-991111-3]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000019367	0	0.0796572651050531	tgfb3	transforming growth factor, beta 3 [Source:ZFIN;Acc:ZDB-GENE-030723-4]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000019521	0	0.6644616868679507	mpx	myeloid-specific peroxidase [Source:ZFIN;Acc:ZDB-GENE-030131-9460]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000019861	0	0.25867173661118753	fgl2a	fibrinogen-like 2a [Source:ZFIN;Acc:ZDB-GENE-030131-9506]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000020265	0	0.06606276835269428	angptl6	angiopoietin-like 6 [Source:ZFIN;Acc:ZDB-GENE-030131-9735]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000020292	0	0.004137058525174383	si:ch211-254n4.3	si:ch211-254n4.3 [Source:ZFIN;Acc:ZDB-GENE-081105-89]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000020741	0	0.19341504551909272	fga	fibrinogen alpha chain [Source:ZFIN;Acc:ZDB-GENE-031010-21]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000021004	0	0.08418260180786946	c5	complement component 5 [Source:ZFIN;Acc:ZDB-GENE-120510-2]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000021208	0	0.007402978181423813	serpind1	serpin peptidase inhibitor, clade D (heparin cofactor), member 1 [Source:ZFIN;Acc:ZDB-GENE-030711-2]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000021339	0	0.6460658649893428	cpa5	carboxypeptidase A5 [Source:ZFIN;Acc:ZDB-GENE-020514-1]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000022858	0	0.07157155141886368	wnt7ba	wingless-type MMTV integration site family, member 7Ba [Source:ZFIN;Acc:ZDB-GENE-041210-178]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000023203	0	1.940881824723675	mhc1lda	major histocompatibility complex class I LDA [Source:ZFIN;Acc:ZDB-GENE-140820-5]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000024030	0	0.15524878384309435	angptl2a	angiopoietin-like 2a [Source:NCBI gene;Acc:569092]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000029493	0	0.3220705884771501	f9b	coagulation factor IXb [Source:ZFIN;Acc:ZDB-GENE-060421-7346]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000031044	0	0.18736300617070215	lipg	lipase, endothelial [Source:ZFIN;Acc:ZDB-GENE-040426-699]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000031246	0	0.11475475383988339	hbegfb	heparin-binding EGF-like growth factor b [Source:ZFIN;Acc:ZDB-GENE-070820-6]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000031649	0	0.0833313404313146	cort	cortistatin [Source:ZFIN;Acc:ZDB-GENE-030813-3]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000033307	0	0.1258262505001926	igf2b	insulin-like growth factor 2b [Source:ZFIN;Acc:ZDB-GENE-030131-2935]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000033726	0	0.5933697273274054	tshba	thyroid stimulating hormone subunit beta a [Source:ZFIN;Acc:ZDB-GENE-030513-3]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000034300	0	0.1620162593363241	sema3c	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C [Source:ZFIN;Acc:ZDB-GENE-050513-5]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000034700	0	0.12886524130511887	vegfab	vascular endothelial growth factor Ab [Source:ZFIN;Acc:ZDB-GENE-030131-4605]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000035327	0	0.10140499282003679	ckma	creatine kinase, muscle a [Source:ZFIN;Acc:ZDB-GENE-980526-109]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000035377	0	0.008023685281096175	fgf5	fibroblast growth factor 5 [Source:ZFIN;Acc:ZDB-GENE-050201-6]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000035521	0	0.2718358407236062	sfrp1a	secreted frizzled-related protein 1a [Source:ZFIN;Acc:ZDB-GENE-040310-5]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000036041	0	0.2194346019920794	f2	coagulation factor II (thrombin) [Source:ZFIN;Acc:ZDB-GENE-030131-4606]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000036588	0	0.5882710516587539	mhc1zba	major histocompatibility complex class I ZBA [Source:ZFIN;Acc:ZDB-GENE-040426-2149]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000036912	0	0.00116346898998548	edn1	endothelin 1 [Source:ZFIN;Acc:ZDB-GENE-000920-1]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000037062	0	0.037046329175232845	dhh	desert hedgehog signaling molecule [Source:NCBI gene;Acc:558147]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000037144	0	0.17610706017371824	cpb2	carboxypeptidase B2 (plasma) [Source:ZFIN;Acc:ZDB-GENE-050522-259]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000037176	0	0.017689672399518425	ggh	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase) [Source:ZFIN;Acc:ZDB-GENE-040426-2615]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000037191	0	0.1445173230822095	ttr	transthyretin (prealbumin, amyloidosis type I) [Source:ZFIN;Acc:ZDB-GENE-040927-14]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000037281	0	0.20258599474516864	fgg	fibrinogen gamma chain [Source:ZFIN;Acc:ZDB-GENE-040426-1998]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000037425	0	0.025285762494909342	s100a10a	S100 calcium binding protein A10a [Source:ZFIN;Acc:ZDB-GENE-041010-35]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000037517	0	0.12225449186397892	slc35c2	solute carrier family 35 member C2 [Source:ZFIN;Acc:ZDB-GENE-030131-2202]
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000037836	0	0.7607786670426859	igfals	insulin-like growth factor binding protein, acid labile subunit [Source:ZFIN;Acc:ZDB-GENE-061009-25]
