GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0030018	Z disc	28	6	0.65	3.6e-05	ENSDARG00000001431,ENSDARG00000007219,ENSDARG00000011023,ENSDARG00000012311,ENSDARG00000014248,ENSDARG00000018105,ENSDARG00000019117,ENSDARG00000026985,ENSDARG00000027600,ENSDARG00000029907,ENSDARG00000034240,ENSDARG00000037266,ENSDARG00000040917,ENSDARG00000045228,ENSDARG00000056322,ENSDARG00000056964,ENSDARG00000057317,ENSDARG00000058656,ENSDARG00000067701,ENSDARG00000068973,ENSDARG00000071445,ENSDARG00000071498,ENSDARG00000077157,ENSDARG00000078696,ENSDARG00000099974,ENSDARG00000101706,ENSDARG00000104713,ENSDARG00000114870
GO:0005615	extracellular space	345	19	8.06	0.0004	ENSDARG00000001470,ENSDARG00000001760,ENSDARG00000001818,ENSDARG00000002760,ENSDARG00000003395,ENSDARG00000003523,ENSDARG00000003533,ENSDARG00000004757,ENSDARG00000005941,ENSDARG00000007534,ENSDARG00000007560,ENSDARG00000007743,ENSDARG00000007836,ENSDARG00000008969,ENSDARG00000010097,ENSDARG00000010130,ENSDARG00000010294,ENSDARG00000010700,ENSDARG00000010785,ENSDARG00000011257,ENSDARG00000011459,ENSDARG00000011769,ENSDARG00000012013,ENSDARG00000012405,ENSDARG00000012506,ENSDARG00000012535,ENSDARG00000012694,ENSDARG00000012945,ENSDARG00000012987,ENSDARG00000013293,ENSDARG00000013771,ENSDARG00000013968,ENSDARG00000014190,ENSDARG00000014556,ENSDARG00000015623,ENSDARG00000016056,ENSDARG00000016153,ENSDARG00000016227,ENSDARG00000016412,ENSDARG00000016771,ENSDARG00000016837,ENSDARG00000016918,ENSDARG00000017314,ENSDARG00000018643,ENSDARG00000019367,ENSDARG00000019521,ENSDARG00000019861,ENSDARG00000019949,ENSDARG00000020265,ENSDARG00000020292,ENSDARG00000020741,ENSDARG00000021004,ENSDARG00000021208,ENSDARG00000021339,ENSDARG00000022858,ENSDARG00000023203,ENSDARG00000024030,ENSDARG00000029493,ENSDARG00000031044,ENSDARG00000031246,ENSDARG00000031649,ENSDARG00000033307,ENSDARG00000033726,ENSDARG00000034300,ENSDARG00000034700,ENSDARG00000035327,ENSDARG00000035377,ENSDARG00000035521,ENSDARG00000036041,ENSDARG00000036588,ENSDARG00000036912,ENSDARG00000037062,ENSDARG00000037144,ENSDARG00000037176,ENSDARG00000037191,ENSDARG00000037281,ENSDARG00000037425,ENSDARG00000037517,ENSDARG00000037836,ENSDARG00000037889,ENSDARG00000038191,ENSDARG00000038258,ENSDARG00000038424,ENSDARG00000038681,ENSDARG00000038683,ENSDARG00000039041,ENSDARG00000039264,ENSDARG00000039459,ENSDARG00000039579,ENSDARG00000040159,ENSDARG00000040251,ENSDARG00000040479,ENSDARG00000040513,ENSDARG00000040565,ENSDARG00000040582,ENSDARG00000040799,ENSDARG00000041430,ENSDARG00000041645,ENSDARG00000041685,ENSDARG00000041858,ENSDARG00000041917,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000042684,ENSDARG00000042753,ENSDARG00000042780,ENSDARG00000042784,ENSDARG00000042993,ENSDARG00000043079,ENSDARG00000043081,ENSDARG00000043171,ENSDARG00000043175,ENSDARG00000043719,ENSDARG00000043722,ENSDARG00000043962,ENSDARG00000044655,ENSDARG00000044754,ENSDARG00000044894,ENSDARG00000045224,ENSDARG00000045299,ENSDARG00000045442,ENSDARG00000045544,ENSDARG00000045608,ENSDARG00000045832,ENSDARG00000046140,ENSDARG00000051710,ENSDARG00000051712,ENSDARG00000051713,ENSDARG00000051746,ENSDARG00000051890,ENSDARG00000051912,ENSDARG00000052012,ENSDARG00000052057,ENSDARG00000052063,ENSDARG00000052361,ENSDARG00000052779,ENSDARG00000052960,ENSDARG00000053119,ENSDARG00000053906,ENSDARG00000053973,ENSDARG00000054054,ENSDARG00000054055,ENSDARG00000054202,ENSDARG00000054942,ENSDARG00000055100,ENSDARG00000055373,ENSDARG00000055595,ENSDARG00000055648,ENSDARG00000056075,ENSDARG00000056324,ENSDARG00000056499,ENSDARG00000056590,ENSDARG00000056624,ENSDARG00000057108,ENSDARG00000057598,ENSDARG00000057678,ENSDARG00000057992,ENSDARG00000058389,ENSDARG00000058567,ENSDARG00000058960,ENSDARG00000059029,ENSDARG00000059387,ENSDARG00000061231,ENSDARG00000061292,ENSDARG00000061383,ENSDARG00000061769,ENSDARG00000061858,ENSDARG00000062357,ENSDARG00000062471,ENSDARG00000062707,ENSDARG00000063177,ENSDARG00000063230,ENSDARG00000067801,ENSDARG00000068263,ENSDARG00000068303,ENSDARG00000069093,ENSDARG00000069192,ENSDARG00000069293,ENSDARG00000069305,ENSDARG00000069376,ENSDARG00000069446,ENSDARG00000069471,ENSDARG00000069481,ENSDARG00000069692,ENSDARG00000069752,ENSDARG00000070050,ENSDARG00000070396,ENSDARG00000070427,ENSDARG00000070675,ENSDARG00000070702,ENSDARG00000070873,ENSDARG00000070892,ENSDARG00000070930,ENSDARG00000071306,ENSDARG00000071679,ENSDARG00000071879,ENSDARG00000073699,ENSDARG00000073716,ENSDARG00000073742,ENSDARG00000073935,ENSDARG00000074216,ENSDARG00000074372,ENSDARG00000074640,ENSDARG00000074656,ENSDARG00000074712,ENSDARG00000074764,ENSDARG00000074765,ENSDARG00000074930,ENSDARG00000074989,ENSDARG00000075016,ENSDARG00000075121,ENSDARG00000075159,ENSDARG00000075261,ENSDARG00000075265,ENSDARG00000075343,ENSDARG00000075441,ENSDARG00000075501,ENSDARG00000075737,ENSDARG00000075827,ENSDARG00000075954,ENSDARG00000075963,ENSDARG00000076121,ENSDARG00000076196,ENSDARG00000076420,ENSDARG00000076448,ENSDARG00000076569,ENSDARG00000076830,ENSDARG00000077058,ENSDARG00000077174,ENSDARG00000077231,ENSDARG00000077245,ENSDARG00000077403,ENSDARG00000077664,ENSDARG00000077677,ENSDARG00000077818,ENSDARG00000077850,ENSDARG00000077960,ENSDARG00000078527,ENSDARG00000078561,ENSDARG00000078757,ENSDARG00000079274,ENSDARG00000079371,ENSDARG00000079446,ENSDARG00000079515,ENSDARG00000079611,ENSDARG00000079862,ENSDARG00000086778,ENSDARG00000087143,ENSDARG00000087227,ENSDARG00000087241,ENSDARG00000087359,ENSDARG00000088022,ENSDARG00000088255,ENSDARG00000088595,ENSDARG00000088745,ENSDARG00000089361,ENSDARG00000089383,ENSDARG00000089667,ENSDARG00000090286,ENSDARG00000090344,ENSDARG00000090557,ENSDARG00000090720,ENSDARG00000090850,ENSDARG00000090873,ENSDARG00000091136,ENSDARG00000091625,ENSDARG00000091996,ENSDARG00000092283,ENSDARG00000092890,ENSDARG00000093068,ENSDARG00000093079,ENSDARG00000093198,ENSDARG00000093199,ENSDARG00000093750,ENSDARG00000094132,ENSDARG00000094324,ENSDARG00000094511,ENSDARG00000095378,ENSDARG00000095409,ENSDARG00000095462,ENSDARG00000095512,ENSDARG00000095698,ENSDARG00000095807,ENSDARG00000095830,ENSDARG00000095901,ENSDARG00000096252,ENSDARG00000096645,ENSDARG00000096830,ENSDARG00000097275,ENSDARG00000097299,ENSDARG00000097766,ENSDARG00000098481,ENSDARG00000098538,ENSDARG00000098602,ENSDARG00000098663,ENSDARG00000098700,ENSDARG00000098752,ENSDARG00000099144,ENSDARG00000099376,ENSDARG00000099980,ENSDARG00000099982,ENSDARG00000100095,ENSDARG00000100248,ENSDARG00000100295,ENSDARG00000100621,ENSDARG00000100782,ENSDARG00000100795,ENSDARG00000101040,ENSDARG00000101279,ENSDARG00000101324,ENSDARG00000101334,ENSDARG00000101980,ENSDARG00000102004,ENSDARG00000102211,ENSDARG00000102299,ENSDARG00000102565,ENSDARG00000102687,ENSDARG00000102758,ENSDARG00000102776,ENSDARG00000102823,ENSDARG00000103466,ENSDARG00000103580,ENSDARG00000103775,ENSDARG00000103799,ENSDARG00000103826,ENSDARG00000104138,ENSDARG00000104293,ENSDARG00000104314,ENSDARG00000104359,ENSDARG00000104495,ENSDARG00000104795,ENSDARG00000105118,ENSDARG00000105230,ENSDARG00000105263,ENSDARG00000105274,ENSDARG00000105568,ENSDARG00000109310,ENSDARG00000109371,ENSDARG00000111840,ENSDARG00000112125,ENSDARG00000112431,ENSDARG00000113315,ENSDARG00000114393,ENSDARG00000115359,ENSDARG00000116445
GO:0022624	proteasome accessory complex	22	4	0.51	0.0015	ENSDARG00000002165,ENSDARG00000003189,ENSDARG00000007141,ENSDARG00000012234,ENSDARG00000015315,ENSDARG00000016239,ENSDARG00000018124,ENSDARG00000020101,ENSDARG00000020454,ENSDARG00000023279,ENSDARG00000027099,ENSDARG00000027899,ENSDARG00000030537,ENSDARG00000033144,ENSDARG00000037038,ENSDARG00000052377,ENSDARG00000063100,ENSDARG00000070674,ENSDARG00000099653,ENSDARG00000101295,ENSDARG00000102417,ENSDARG00000103190
GO:0005839	proteasome core complex	22	3	0.51	0.0139	ENSDARG00000000656,ENSDARG00000001303,ENSDARG00000001656,ENSDARG00000002240,ENSDARG00000003526,ENSDARG00000009640,ENSDARG00000010965,ENSDARG00000013938,ENSDARG00000013966,ENSDARG00000019398,ENSDARG00000031511,ENSDARG00000031885,ENSDARG00000035679,ENSDARG00000037962,ENSDARG00000040121,ENSDARG00000043781,ENSDARG00000043899,ENSDARG00000045928,ENSDARG00000054696,ENSDARG00000075445,ENSDARG00000086618,ENSDARG00000101560
GO:0012506	vesicle membrane	63	5	1.47	0.0155	ENSDARG00000000690,ENSDARG00000001414,ENSDARG00000002230,ENSDARG00000002792,ENSDARG00000004173,ENSDARG00000006112,ENSDARG00000007370,ENSDARG00000008170,ENSDARG00000008377,ENSDARG00000014954,ENSDARG00000016016,ENSDARG00000017844,ENSDARG00000019360,ENSDARG00000019581,ENSDARG00000025535,ENSDARG00000026925,ENSDARG00000026967,ENSDARG00000028816,ENSDARG00000029928,ENSDARG00000031214,ENSDARG00000033320,ENSDARG00000034823,ENSDARG00000035868,ENSDARG00000037361,ENSDARG00000038743,ENSDARG00000038979,ENSDARG00000040912,ENSDARG00000042350,ENSDARG00000043093,ENSDARG00000043555,ENSDARG00000044246,ENSDARG00000044278,ENSDARG00000045065,ENSDARG00000045618,ENSDARG00000045946,ENSDARG00000046002,ENSDARG00000052368,ENSDARG00000053070,ENSDARG00000054320,ENSDARG00000054807,ENSDARG00000055290,ENSDARG00000055292,ENSDARG00000056557,ENSDARG00000056803,ENSDARG00000056877,ENSDARG00000061741,ENSDARG00000067713,ENSDARG00000069446,ENSDARG00000071347,ENSDARG00000071906,ENSDARG00000078014,ENSDARG00000078106,ENSDARG00000090716,ENSDARG00000090899,ENSDARG00000091618,ENSDARG00000094417,ENSDARG00000100751,ENSDARG00000102394,ENSDARG00000103032,ENSDARG00000103516,ENSDARG00000103687,ENSDARG00000104230,ENSDARG00000104470
GO:0000502	proteasome complex	48	7	1.12	0.0207	ENSDARG00000000656,ENSDARG00000001303,ENSDARG00000001656,ENSDARG00000002165,ENSDARG00000002240,ENSDARG00000003189,ENSDARG00000003526,ENSDARG00000007141,ENSDARG00000009640,ENSDARG00000010965,ENSDARG00000012234,ENSDARG00000013938,ENSDARG00000013966,ENSDARG00000015315,ENSDARG00000015628,ENSDARG00000016239,ENSDARG00000018124,ENSDARG00000019398,ENSDARG00000020101,ENSDARG00000020454,ENSDARG00000023279,ENSDARG00000027099,ENSDARG00000027899,ENSDARG00000030537,ENSDARG00000031511,ENSDARG00000031885,ENSDARG00000033144,ENSDARG00000035679,ENSDARG00000037038,ENSDARG00000037962,ENSDARG00000040121,ENSDARG00000043561,ENSDARG00000043781,ENSDARG00000043899,ENSDARG00000045928,ENSDARG00000052377,ENSDARG00000054696,ENSDARG00000055737,ENSDARG00000058560,ENSDARG00000063100,ENSDARG00000070674,ENSDARG00000075445,ENSDARG00000086618,ENSDARG00000099653,ENSDARG00000101295,ENSDARG00000101560,ENSDARG00000102417,ENSDARG00000103190
GO:1905369	endopeptidase complex	48	7	1.12	0.0207	ENSDARG00000000656,ENSDARG00000001303,ENSDARG00000001656,ENSDARG00000002165,ENSDARG00000002240,ENSDARG00000003189,ENSDARG00000003526,ENSDARG00000007141,ENSDARG00000009640,ENSDARG00000010965,ENSDARG00000012234,ENSDARG00000013938,ENSDARG00000013966,ENSDARG00000015315,ENSDARG00000015628,ENSDARG00000016239,ENSDARG00000018124,ENSDARG00000019398,ENSDARG00000020101,ENSDARG00000020454,ENSDARG00000023279,ENSDARG00000027099,ENSDARG00000027899,ENSDARG00000030537,ENSDARG00000031511,ENSDARG00000031885,ENSDARG00000033144,ENSDARG00000035679,ENSDARG00000037038,ENSDARG00000037962,ENSDARG00000040121,ENSDARG00000043561,ENSDARG00000043781,ENSDARG00000043899,ENSDARG00000045928,ENSDARG00000052377,ENSDARG00000054696,ENSDARG00000055737,ENSDARG00000058560,ENSDARG00000063100,ENSDARG00000070674,ENSDARG00000075445,ENSDARG00000086618,ENSDARG00000099653,ENSDARG00000101295,ENSDARG00000101560,ENSDARG00000102417,ENSDARG00000103190
GO:0005773	vacuole	98	6	2.29	0.0267	ENSDARG00000003269,ENSDARG00000006169,ENSDARG00000006397,ENSDARG00000006869,ENSDARG00000007836,ENSDARG00000008238,ENSDARG00000008832,ENSDARG00000008890,ENSDARG00000011837,ENSDARG00000013771,ENSDARG00000013795,ENSDARG00000013968,ENSDARG00000014208,ENSDARG00000014303,ENSDARG00000014914,ENSDARG00000016835,ENSDARG00000019033,ENSDARG00000020405,ENSDARG00000020497,ENSDARG00000020847,ENSDARG00000021287,ENSDARG00000022315,ENSDARG00000023815,ENSDARG00000025147,ENSDARG00000027200,ENSDARG00000027687,ENSDARG00000029955,ENSDARG00000034368,ENSDARG00000035557,ENSDARG00000035565,ENSDARG00000035890,ENSDARG00000036155,ENSDARG00000037091,ENSDARG00000037176,ENSDARG00000037484,ENSDARG00000037487,ENSDARG00000037865,ENSDARG00000039980,ENSDARG00000040251,ENSDARG00000042753,ENSDARG00000042899,ENSDARG00000043081,ENSDARG00000044073,ENSDARG00000044813,ENSDARG00000045790,ENSDARG00000054032,ENSDARG00000054807,ENSDARG00000055292,ENSDARG00000055504,ENSDARG00000057698,ENSDARG00000057853,ENSDARG00000059902,ENSDARG00000061231,ENSDARG00000062362,ENSDARG00000062385,ENSDARG00000062489,ENSDARG00000062515,ENSDARG00000063573,ENSDARG00000067566,ENSDARG00000069114,ENSDARG00000069420,ENSDARG00000069674,ENSDARG00000069829,ENSDARG00000074656,ENSDARG00000075629,ENSDARG00000076121,ENSDARG00000076386,ENSDARG00000076755,ENSDARG00000077664,ENSDARG00000077804,ENSDARG00000077828,ENSDARG00000078022,ENSDARG00000078105,ENSDARG00000078363,ENSDARG00000079980,ENSDARG00000086332,ENSDARG00000087093,ENSDARG00000087243,ENSDARG00000087596,ENSDARG00000088402,ENSDARG00000090194,ENSDARG00000093176,ENSDARG00000095698,ENSDARG00000098312,ENSDARG00000098700,ENSDARG00000099313,ENSDARG00000099376,ENSDARG00000099430,ENSDARG00000099954,ENSDARG00000100420,ENSDARG00000101116,ENSDARG00000101334,ENSDARG00000101785,ENSDARG00000102758,ENSDARG00000104149,ENSDARG00000104500,ENSDARG00000105118,ENSDARG00000105142
GO:0005925	focal adhesion	29	3	0.68	0.0293	ENSDARG00000002494,ENSDARG00000003632,ENSDARG00000013335,ENSDARG00000014976,ENSDARG00000017901,ENSDARG00000019117,ENSDARG00000021987,ENSDARG00000022841,ENSDARG00000024141,ENSDARG00000026985,ENSDARG00000035629,ENSDARG00000039577,ENSDARG00000043710,ENSDARG00000051857,ENSDARG00000052652,ENSDARG00000053232,ENSDARG00000056964,ENSDARG00000069331,ENSDARG00000070923,ENSDARG00000071113,ENSDARG00000075733,ENSDARG00000079315,ENSDARG00000079317,ENSDARG00000088590,ENSDARG00000091090,ENSDARG00000100287,ENSDARG00000100729,ENSDARG00000100973,ENSDARG00000107053
GO:0005764	lysosome	75	5	1.75	0.0304	ENSDARG00000003269,ENSDARG00000006169,ENSDARG00000006397,ENSDARG00000007836,ENSDARG00000008238,ENSDARG00000008832,ENSDARG00000008890,ENSDARG00000013771,ENSDARG00000013795,ENSDARG00000013968,ENSDARG00000014208,ENSDARG00000014914,ENSDARG00000019033,ENSDARG00000020497,ENSDARG00000021287,ENSDARG00000025147,ENSDARG00000034368,ENSDARG00000035890,ENSDARG00000036155,ENSDARG00000037091,ENSDARG00000037484,ENSDARG00000037487,ENSDARG00000037865,ENSDARG00000039980,ENSDARG00000040251,ENSDARG00000042753,ENSDARG00000042899,ENSDARG00000043081,ENSDARG00000044073,ENSDARG00000044813,ENSDARG00000045790,ENSDARG00000054807,ENSDARG00000055504,ENSDARG00000057698,ENSDARG00000059902,ENSDARG00000061231,ENSDARG00000062362,ENSDARG00000062385,ENSDARG00000062489,ENSDARG00000062515,ENSDARG00000063573,ENSDARG00000067566,ENSDARG00000069114,ENSDARG00000069420,ENSDARG00000069829,ENSDARG00000074656,ENSDARG00000075629,ENSDARG00000076121,ENSDARG00000076386,ENSDARG00000076755,ENSDARG00000077664,ENSDARG00000077804,ENSDARG00000077828,ENSDARG00000078022,ENSDARG00000078105,ENSDARG00000078363,ENSDARG00000079980,ENSDARG00000086332,ENSDARG00000087093,ENSDARG00000087243,ENSDARG00000087596,ENSDARG00000090194,ENSDARG00000093176,ENSDARG00000095698,ENSDARG00000098312,ENSDARG00000098700,ENSDARG00000099313,ENSDARG00000099376,ENSDARG00000099954,ENSDARG00000100420,ENSDARG00000101116,ENSDARG00000101334,ENSDARG00000101785,ENSDARG00000104149,ENSDARG00000104500
