GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0005875	microtubule associated complex	70	6	0.91	0.00028	ENSDARG00000000606,ENSDARG00000001558,ENSDARG00000005456,ENSDARG00000006862,ENSDARG00000008022,ENSDARG00000009733,ENSDARG00000009796,ENSDARG00000010332,ENSDARG00000013343,ENSDARG00000014717,ENSDARG00000014943,ENSDARG00000015016,ENSDARG00000019743,ENSDARG00000022045,ENSDARG00000023988,ENSDARG00000024575,ENSDARG00000026595,ENSDARG00000031116,ENSDARG00000031388,ENSDARG00000032005,ENSDARG00000036371,ENSDARG00000037020,ENSDARG00000039770,ENSDARG00000040110,ENSDARG00000042182,ENSDARG00000042368,ENSDARG00000042535,ENSDARG00000044400,ENSDARG00000045180,ENSDARG00000045909,ENSDARG00000053026,ENSDARG00000053240,ENSDARG00000053455,ENSDARG00000054255,ENSDARG00000054448,ENSDARG00000055238,ENSDARG00000055618,ENSDARG00000058416,ENSDARG00000059601,ENSDARG00000060165,ENSDARG00000060434,ENSDARG00000060805,ENSDARG00000060948,ENSDARG00000061131,ENSDARG00000061486,ENSDARG00000061817,ENSDARG00000062630,ENSDARG00000068468,ENSDARG00000069594,ENSDARG00000069790,ENSDARG00000071009,ENSDARG00000074131,ENSDARG00000076126,ENSDARG00000076934,ENSDARG00000079111,ENSDARG00000086985,ENSDARG00000087373,ENSDARG00000087538,ENSDARG00000088841,ENSDARG00000089952,ENSDARG00000091585,ENSDARG00000094627,ENSDARG00000098090,ENSDARG00000098317,ENSDARG00000098655,ENSDARG00000099197,ENSDARG00000100225,ENSDARG00000103195,ENSDARG00000112433,ENSDARG00000113761
GO:0016528	sarcoplasm	10	2	0.13	0.00704	ENSDARG00000002840,ENSDARG00000005122,ENSDARG00000008982,ENSDARG00000011909,ENSDARG00000029439,ENSDARG00000036764,ENSDARG00000057903,ENSDARG00000058603,ENSDARG00000098856,ENSDARG00000102204
GO:0015629	actin cytoskeleton	144	6	1.87	0.01094	ENSDARG00000000103,ENSDARG00000001014,ENSDARG00000002988,ENSDARG00000003219,ENSDARG00000004049,ENSDARG00000004904,ENSDARG00000005841,ENSDARG00000006892,ENSDARG00000008803,ENSDARG00000009336,ENSDARG00000009689,ENSDARG00000009693,ENSDARG00000009727,ENSDARG00000009782,ENSDARG00000010186,ENSDARG00000011400,ENSDARG00000011661,ENSDARG00000011975,ENSDARG00000013752,ENSDARG00000013755,ENSDARG00000015059,ENSDARG00000019128,ENSDARG00000019231,ENSDARG00000019845,ENSDARG00000020610,ENSDARG00000020924,ENSDARG00000021124,ENSDARG00000023318,ENSDARG00000023578,ENSDARG00000023963,ENSDARG00000023988,ENSDARG00000024694,ENSDARG00000024785,ENSDARG00000028533,ENSDARG00000031388,ENSDARG00000032482,ENSDARG00000033466,ENSDARG00000034643,ENSDARG00000035322,ENSDARG00000035560,ENSDARG00000036104,ENSDARG00000036179,ENSDARG00000036371,ENSDARG00000036671,ENSDARG00000036764,ENSDARG00000036863,ENSDARG00000037747,ENSDARG00000037954,ENSDARG00000040466,ENSDARG00000042141,ENSDARG00000042535,ENSDARG00000042559,ENSDARG00000043643,ENSDARG00000044016,ENSDARG00000044441,ENSDARG00000044632,ENSDARG00000045064,ENSDARG00000045180,ENSDARG00000053956,ENSDARG00000054060,ENSDARG00000055223,ENSDARG00000055607,ENSDARG00000055618,ENSDARG00000056090,ENSDARG00000056111,ENSDARG00000057882,ENSDARG00000059342,ENSDARG00000059442,ENSDARG00000059773,ENSDARG00000061304,ENSDARG00000061579,ENSDARG00000061635,ENSDARG00000061778,ENSDARG00000061810,ENSDARG00000061968,ENSDARG00000062003,ENSDARG00000062481,ENSDARG00000068973,ENSDARG00000069331,ENSDARG00000070991,ENSDARG00000071709,ENSDARG00000073732,ENSDARG00000073761,ENSDARG00000073843,ENSDARG00000074143,ENSDARG00000074184,ENSDARG00000074396,ENSDARG00000074443,ENSDARG00000074723,ENSDARG00000075292,ENSDARG00000075334,ENSDARG00000075540,ENSDARG00000075706,ENSDARG00000075989,ENSDARG00000076075,ENSDARG00000076126,ENSDARG00000076357,ENSDARG00000077201,ENSDARG00000077288,ENSDARG00000078582,ENSDARG00000078603,ENSDARG00000078803,ENSDARG00000079111,ENSDARG00000079366,ENSDARG00000079869,ENSDARG00000079895,ENSDARG00000079900,ENSDARG00000079994,ENSDARG00000086300,ENSDARG00000086391,ENSDARG00000087402,ENSDARG00000088168,ENSDARG00000090234,ENSDARG00000090369,ENSDARG00000092999,ENSDARG00000094181,ENSDARG00000095217,ENSDARG00000095930,ENSDARG00000098695,ENSDARG00000098747,ENSDARG00000099197,ENSDARG00000099352,ENSDARG00000099871,ENSDARG00000100252,ENSDARG00000100805,ENSDARG00000101777,ENSDARG00000101812,ENSDARG00000102003,ENSDARG00000102056,ENSDARG00000102081,ENSDARG00000102414,ENSDARG00000102883,ENSDARG00000103837,ENSDARG00000104118,ENSDARG00000104283,ENSDARG00000104315,ENSDARG00000104682,ENSDARG00000104924,ENSDARG00000106873,ENSDARG00000110192,ENSDARG00000110596,ENSDARG00000112015,ENSDARG00000114031,ENSDARG00000114818
GO:0099512	supramolecular fiber	215	7	2.8	0.02157	ENSDARG00000000212,ENSDARG00000000606,ENSDARG00000001558,ENSDARG00000001889,ENSDARG00000002344,ENSDARG00000002659,ENSDARG00000002988,ENSDARG00000003991,ENSDARG00000004472,ENSDARG00000005841,ENSDARG00000006260,ENSDARG00000006603,ENSDARG00000007751,ENSDARG00000008019,ENSDARG00000008022,ENSDARG00000008982,ENSDARG00000009014,ENSDARG00000009336,ENSDARG00000009727,ENSDARG00000009733,ENSDARG00000009796,ENSDARG00000010008,ENSDARG00000010042,ENSDARG00000010280,ENSDARG00000010332,ENSDARG00000011400,ENSDARG00000011661,ENSDARG00000011862,ENSDARG00000011961,ENSDARG00000011975,ENSDARG00000012281,ENSDARG00000012426,ENSDARG00000012593,ENSDARG00000013343,ENSDARG00000013415,ENSDARG00000013752,ENSDARG00000013755,ENSDARG00000014356,ENSDARG00000014805,ENSDARG00000014943,ENSDARG00000015016,ENSDARG00000015206,ENSDARG00000015610,ENSDARG00000016301,ENSDARG00000017624,ENSDARG00000019128,ENSDARG00000019185,ENSDARG00000019208,ENSDARG00000019743,ENSDARG00000019845,ENSDARG00000020007,ENSDARG00000020231,ENSDARG00000020610,ENSDARG00000021895,ENSDARG00000022045,ENSDARG00000023082,ENSDARG00000023318,ENSDARG00000023963,ENSDARG00000024575,ENSDARG00000024847,ENSDARG00000025301,ENSDARG00000026595,ENSDARG00000028306,ENSDARG00000028533,ENSDARG00000028618,ENSDARG00000030463,ENSDARG00000030980,ENSDARG00000031116,ENSDARG00000031678,ENSDARG00000032238,ENSDARG00000032482,ENSDARG00000032630,ENSDARG00000034643,ENSDARG00000034836,ENSDARG00000034871,ENSDARG00000035056,ENSDARG00000036671,ENSDARG00000036832,ENSDARG00000036834,ENSDARG00000036840,ENSDARG00000037020,ENSDARG00000037276,ENSDARG00000037560,ENSDARG00000037954,ENSDARG00000037997,ENSDARG00000038024,ENSDARG00000039522,ENSDARG00000039770,ENSDARG00000040110,ENSDARG00000041339,ENSDARG00000042018,ENSDARG00000042368,ENSDARG00000042559,ENSDARG00000042946,ENSDARG00000043242,ENSDARG00000043550,ENSDARG00000043643,ENSDARG00000043697,ENSDARG00000044261,ENSDARG00000044299,ENSDARG00000044975,ENSDARG00000044976,ENSDARG00000045014,ENSDARG00000045367,ENSDARG00000045612,ENSDARG00000051795,ENSDARG00000053026,ENSDARG00000053201,ENSDARG00000053240,ENSDARG00000053248,ENSDARG00000053431,ENSDARG00000054060,ENSDARG00000054321,ENSDARG00000054448,ENSDARG00000054456,ENSDARG00000054978,ENSDARG00000055052,ENSDARG00000055192,ENSDARG00000055216,ENSDARG00000055238,ENSDARG00000056111,ENSDARG00000056248,ENSDARG00000056633,ENSDARG00000056836,ENSDARG00000057568,ENSDARG00000058332,ENSDARG00000058358,ENSDARG00000058416,ENSDARG00000058462,ENSDARG00000059442,ENSDARG00000059596,ENSDARG00000059601,ENSDARG00000059965,ENSDARG00000060112,ENSDARG00000060326,ENSDARG00000060434,ENSDARG00000060482,ENSDARG00000060805,ENSDARG00000061131,ENSDARG00000061486,ENSDARG00000061778,ENSDARG00000061817,ENSDARG00000062101,ENSDARG00000062173,ENSDARG00000062590,ENSDARG00000062630,ENSDARG00000062976,ENSDARG00000068589,ENSDARG00000068745,ENSDARG00000068973,ENSDARG00000069046,ENSDARG00000069594,ENSDARG00000069790,ENSDARG00000071009,ENSDARG00000071518,ENSDARG00000074073,ENSDARG00000074131,ENSDARG00000074379,ENSDARG00000074443,ENSDARG00000074597,ENSDARG00000074919,ENSDARG00000075539,ENSDARG00000076371,ENSDARG00000076449,ENSDARG00000077442,ENSDARG00000078803,ENSDARG00000079148,ENSDARG00000079483,ENSDARG00000079777,ENSDARG00000079895,ENSDARG00000086985,ENSDARG00000087402,ENSDARG00000087538,ENSDARG00000087616,ENSDARG00000088841,ENSDARG00000089314,ENSDARG00000090268,ENSDARG00000090560,ENSDARG00000090778,ENSDARG00000091359,ENSDARG00000091585,ENSDARG00000092947,ENSDARG00000092999,ENSDARG00000094181,ENSDARG00000096620,ENSDARG00000098317,ENSDARG00000098591,ENSDARG00000098655,ENSDARG00000098856,ENSDARG00000099156,ENSDARG00000099352,ENSDARG00000099943,ENSDARG00000100145,ENSDARG00000100225,ENSDARG00000100236,ENSDARG00000100805,ENSDARG00000101777,ENSDARG00000101858,ENSDARG00000102003,ENSDARG00000102674,ENSDARG00000102878,ENSDARG00000102911,ENSDARG00000103459,ENSDARG00000104315,ENSDARG00000104643,ENSDARG00000104663,ENSDARG00000104682,ENSDARG00000104801,ENSDARG00000104817,ENSDARG00000104924,ENSDARG00000105188,ENSDARG00000106873,ENSDARG00000114038,ENSDARG00000115956,ENSDARG00000116937
GO:0099080	supramolecular complex	218	7	2.83	0.02307	ENSDARG00000000212,ENSDARG00000000606,ENSDARG00000001558,ENSDARG00000001889,ENSDARG00000002344,ENSDARG00000002659,ENSDARG00000002988,ENSDARG00000003991,ENSDARG00000004472,ENSDARG00000005841,ENSDARG00000006260,ENSDARG00000006603,ENSDARG00000007751,ENSDARG00000008019,ENSDARG00000008022,ENSDARG00000008982,ENSDARG00000009014,ENSDARG00000009336,ENSDARG00000009727,ENSDARG00000009733,ENSDARG00000009796,ENSDARG00000010008,ENSDARG00000010042,ENSDARG00000010280,ENSDARG00000010332,ENSDARG00000011400,ENSDARG00000011661,ENSDARG00000011862,ENSDARG00000011961,ENSDARG00000011975,ENSDARG00000012281,ENSDARG00000012426,ENSDARG00000012593,ENSDARG00000013343,ENSDARG00000013415,ENSDARG00000013752,ENSDARG00000013755,ENSDARG00000014356,ENSDARG00000014805,ENSDARG00000014943,ENSDARG00000015016,ENSDARG00000015206,ENSDARG00000015610,ENSDARG00000016301,ENSDARG00000017624,ENSDARG00000019128,ENSDARG00000019185,ENSDARG00000019208,ENSDARG00000019743,ENSDARG00000019845,ENSDARG00000020007,ENSDARG00000020231,ENSDARG00000020610,ENSDARG00000021895,ENSDARG00000022045,ENSDARG00000023082,ENSDARG00000023318,ENSDARG00000023963,ENSDARG00000024575,ENSDARG00000024847,ENSDARG00000025301,ENSDARG00000026595,ENSDARG00000028306,ENSDARG00000028533,ENSDARG00000028618,ENSDARG00000030463,ENSDARG00000030980,ENSDARG00000031116,ENSDARG00000031678,ENSDARG00000032238,ENSDARG00000032482,ENSDARG00000032630,ENSDARG00000034643,ENSDARG00000034836,ENSDARG00000034871,ENSDARG00000035056,ENSDARG00000036671,ENSDARG00000036832,ENSDARG00000036834,ENSDARG00000036840,ENSDARG00000037020,ENSDARG00000037276,ENSDARG00000037560,ENSDARG00000037954,ENSDARG00000037997,ENSDARG00000038024,ENSDARG00000039522,ENSDARG00000039770,ENSDARG00000040110,ENSDARG00000041339,ENSDARG00000042018,ENSDARG00000042368,ENSDARG00000042559,ENSDARG00000042946,ENSDARG00000043242,ENSDARG00000043550,ENSDARG00000043643,ENSDARG00000043697,ENSDARG00000044261,ENSDARG00000044299,ENSDARG00000044975,ENSDARG00000044976,ENSDARG00000045014,ENSDARG00000045367,ENSDARG00000045612,ENSDARG00000051795,ENSDARG00000052061,ENSDARG00000053026,ENSDARG00000053201,ENSDARG00000053240,ENSDARG00000053248,ENSDARG00000053431,ENSDARG00000054060,ENSDARG00000054321,ENSDARG00000054448,ENSDARG00000054456,ENSDARG00000054978,ENSDARG00000055052,ENSDARG00000055192,ENSDARG00000055216,ENSDARG00000055238,ENSDARG00000056111,ENSDARG00000056248,ENSDARG00000056633,ENSDARG00000056836,ENSDARG00000057568,ENSDARG00000058332,ENSDARG00000058358,ENSDARG00000058416,ENSDARG00000058462,ENSDARG00000058960,ENSDARG00000059442,ENSDARG00000059596,ENSDARG00000059601,ENSDARG00000059965,ENSDARG00000060112,ENSDARG00000060326,ENSDARG00000060434,ENSDARG00000060482,ENSDARG00000060805,ENSDARG00000061131,ENSDARG00000061486,ENSDARG00000061778,ENSDARG00000061817,ENSDARG00000062101,ENSDARG00000062173,ENSDARG00000062590,ENSDARG00000062630,ENSDARG00000062976,ENSDARG00000068589,ENSDARG00000068745,ENSDARG00000068973,ENSDARG00000069046,ENSDARG00000069594,ENSDARG00000069790,ENSDARG00000071009,ENSDARG00000071518,ENSDARG00000074073,ENSDARG00000074131,ENSDARG00000074379,ENSDARG00000074443,ENSDARG00000074597,ENSDARG00000074919,ENSDARG00000075539,ENSDARG00000076371,ENSDARG00000076449,ENSDARG00000077442,ENSDARG00000078803,ENSDARG00000079148,ENSDARG00000079483,ENSDARG00000079777,ENSDARG00000079895,ENSDARG00000086985,ENSDARG00000087402,ENSDARG00000087538,ENSDARG00000087616,ENSDARG00000088841,ENSDARG00000089314,ENSDARG00000090268,ENSDARG00000090560,ENSDARG00000090778,ENSDARG00000091359,ENSDARG00000091585,ENSDARG00000092947,ENSDARG00000092999,ENSDARG00000094181,ENSDARG00000095843,ENSDARG00000096620,ENSDARG00000098317,ENSDARG00000098591,ENSDARG00000098655,ENSDARG00000098856,ENSDARG00000099156,ENSDARG00000099352,ENSDARG00000099943,ENSDARG00000100145,ENSDARG00000100225,ENSDARG00000100236,ENSDARG00000100805,ENSDARG00000101777,ENSDARG00000101858,ENSDARG00000102003,ENSDARG00000102674,ENSDARG00000102878,ENSDARG00000102911,ENSDARG00000103459,ENSDARG00000104315,ENSDARG00000104643,ENSDARG00000104663,ENSDARG00000104682,ENSDARG00000104801,ENSDARG00000104817,ENSDARG00000104924,ENSDARG00000105188,ENSDARG00000106873,ENSDARG00000114038,ENSDARG00000115956,ENSDARG00000116937
GO:0099081	supramolecular polymer	218	7	2.83	0.02307	ENSDARG00000000212,ENSDARG00000000606,ENSDARG00000001558,ENSDARG00000001889,ENSDARG00000002344,ENSDARG00000002659,ENSDARG00000002988,ENSDARG00000003991,ENSDARG00000004472,ENSDARG00000005841,ENSDARG00000006260,ENSDARG00000006603,ENSDARG00000007751,ENSDARG00000008019,ENSDARG00000008022,ENSDARG00000008982,ENSDARG00000009014,ENSDARG00000009336,ENSDARG00000009727,ENSDARG00000009733,ENSDARG00000009796,ENSDARG00000010008,ENSDARG00000010042,ENSDARG00000010280,ENSDARG00000010332,ENSDARG00000011400,ENSDARG00000011661,ENSDARG00000011862,ENSDARG00000011961,ENSDARG00000011975,ENSDARG00000012281,ENSDARG00000012426,ENSDARG00000012593,ENSDARG00000013343,ENSDARG00000013415,ENSDARG00000013752,ENSDARG00000013755,ENSDARG00000014356,ENSDARG00000014805,ENSDARG00000014943,ENSDARG00000015016,ENSDARG00000015206,ENSDARG00000015610,ENSDARG00000016301,ENSDARG00000017624,ENSDARG00000019128,ENSDARG00000019185,ENSDARG00000019208,ENSDARG00000019743,ENSDARG00000019845,ENSDARG00000020007,ENSDARG00000020231,ENSDARG00000020610,ENSDARG00000021895,ENSDARG00000022045,ENSDARG00000023082,ENSDARG00000023318,ENSDARG00000023963,ENSDARG00000024575,ENSDARG00000024847,ENSDARG00000025301,ENSDARG00000026595,ENSDARG00000028306,ENSDARG00000028533,ENSDARG00000028618,ENSDARG00000030463,ENSDARG00000030980,ENSDARG00000031116,ENSDARG00000031678,ENSDARG00000032238,ENSDARG00000032482,ENSDARG00000032630,ENSDARG00000034643,ENSDARG00000034836,ENSDARG00000034871,ENSDARG00000035056,ENSDARG00000036671,ENSDARG00000036832,ENSDARG00000036834,ENSDARG00000036840,ENSDARG00000037020,ENSDARG00000037276,ENSDARG00000037560,ENSDARG00000037954,ENSDARG00000037997,ENSDARG00000038024,ENSDARG00000039522,ENSDARG00000039770,ENSDARG00000040110,ENSDARG00000041339,ENSDARG00000042018,ENSDARG00000042368,ENSDARG00000042559,ENSDARG00000042946,ENSDARG00000043242,ENSDARG00000043550,ENSDARG00000043643,ENSDARG00000043697,ENSDARG00000044261,ENSDARG00000044299,ENSDARG00000044975,ENSDARG00000044976,ENSDARG00000045014,ENSDARG00000045367,ENSDARG00000045612,ENSDARG00000051795,ENSDARG00000052061,ENSDARG00000053026,ENSDARG00000053201,ENSDARG00000053240,ENSDARG00000053248,ENSDARG00000053431,ENSDARG00000054060,ENSDARG00000054321,ENSDARG00000054448,ENSDARG00000054456,ENSDARG00000054978,ENSDARG00000055052,ENSDARG00000055192,ENSDARG00000055216,ENSDARG00000055238,ENSDARG00000056111,ENSDARG00000056248,ENSDARG00000056633,ENSDARG00000056836,ENSDARG00000057568,ENSDARG00000058332,ENSDARG00000058358,ENSDARG00000058416,ENSDARG00000058462,ENSDARG00000058960,ENSDARG00000059442,ENSDARG00000059596,ENSDARG00000059601,ENSDARG00000059965,ENSDARG00000060112,ENSDARG00000060326,ENSDARG00000060434,ENSDARG00000060482,ENSDARG00000060805,ENSDARG00000061131,ENSDARG00000061486,ENSDARG00000061778,ENSDARG00000061817,ENSDARG00000062101,ENSDARG00000062173,ENSDARG00000062590,ENSDARG00000062630,ENSDARG00000062976,ENSDARG00000068589,ENSDARG00000068745,ENSDARG00000068973,ENSDARG00000069046,ENSDARG00000069594,ENSDARG00000069790,ENSDARG00000071009,ENSDARG00000071518,ENSDARG00000074073,ENSDARG00000074131,ENSDARG00000074379,ENSDARG00000074443,ENSDARG00000074597,ENSDARG00000074919,ENSDARG00000075539,ENSDARG00000076371,ENSDARG00000076449,ENSDARG00000077442,ENSDARG00000078803,ENSDARG00000079148,ENSDARG00000079483,ENSDARG00000079777,ENSDARG00000079895,ENSDARG00000086985,ENSDARG00000087402,ENSDARG00000087538,ENSDARG00000087616,ENSDARG00000088841,ENSDARG00000089314,ENSDARG00000090268,ENSDARG00000090560,ENSDARG00000090778,ENSDARG00000091359,ENSDARG00000091585,ENSDARG00000092947,ENSDARG00000092999,ENSDARG00000094181,ENSDARG00000095843,ENSDARG00000096620,ENSDARG00000098317,ENSDARG00000098591,ENSDARG00000098655,ENSDARG00000098856,ENSDARG00000099156,ENSDARG00000099352,ENSDARG00000099943,ENSDARG00000100145,ENSDARG00000100225,ENSDARG00000100236,ENSDARG00000100805,ENSDARG00000101777,ENSDARG00000101858,ENSDARG00000102003,ENSDARG00000102674,ENSDARG00000102878,ENSDARG00000102911,ENSDARG00000103459,ENSDARG00000104315,ENSDARG00000104643,ENSDARG00000104663,ENSDARG00000104682,ENSDARG00000104801,ENSDARG00000104817,ENSDARG00000104924,ENSDARG00000105188,ENSDARG00000106873,ENSDARG00000114038,ENSDARG00000115956,ENSDARG00000116937
GO:0005882	intermediate filament	48	3	0.62	0.02417	ENSDARG00000000212,ENSDARG00000007751,ENSDARG00000010008,ENSDARG00000011862,ENSDARG00000012281,ENSDARG00000012426,ENSDARG00000013415,ENSDARG00000014356,ENSDARG00000017624,ENSDARG00000023082,ENSDARG00000025301,ENSDARG00000028306,ENSDARG00000028533,ENSDARG00000028618,ENSDARG00000034836,ENSDARG00000036832,ENSDARG00000036834,ENSDARG00000036840,ENSDARG00000041339,ENSDARG00000043242,ENSDARG00000043697,ENSDARG00000044261,ENSDARG00000044299,ENSDARG00000044975,ENSDARG00000044976,ENSDARG00000053201,ENSDARG00000053248,ENSDARG00000054321,ENSDARG00000055192,ENSDARG00000056248,ENSDARG00000057568,ENSDARG00000058332,ENSDARG00000058358,ENSDARG00000058462,ENSDARG00000062101,ENSDARG00000062590,ENSDARG00000062976,ENSDARG00000068589,ENSDARG00000069046,ENSDARG00000071518,ENSDARG00000074919,ENSDARG00000090268,ENSDARG00000092947,ENSDARG00000101858,ENSDARG00000102911,ENSDARG00000103459,ENSDARG00000105188,ENSDARG00000115956
GO:1902562	H4 histone acetyltransferase complex	19	2	0.25	0.02478	ENSDARG00000007485,ENSDARG00000020840,ENSDARG00000025071,ENSDARG00000027187,ENSDARG00000034107,ENSDARG00000034326,ENSDARG00000038737,ENSDARG00000039430,ENSDARG00000041708,ENSDARG00000045951,ENSDARG00000055999,ENSDARG00000060054,ENSDARG00000070828,ENSDARG00000074734,ENSDARG00000088238,ENSDARG00000090223,ENSDARG00000090895,ENSDARG00000101216,ENSDARG00000101579
GO:0045111	intermediate filament cytoskeleton	49	3	0.64	0.02551	ENSDARG00000000212,ENSDARG00000007751,ENSDARG00000010008,ENSDARG00000011862,ENSDARG00000012281,ENSDARG00000012426,ENSDARG00000013415,ENSDARG00000014356,ENSDARG00000017624,ENSDARG00000021895,ENSDARG00000023082,ENSDARG00000025301,ENSDARG00000028306,ENSDARG00000028533,ENSDARG00000028618,ENSDARG00000034836,ENSDARG00000036832,ENSDARG00000036834,ENSDARG00000036840,ENSDARG00000041339,ENSDARG00000043242,ENSDARG00000043697,ENSDARG00000044261,ENSDARG00000044299,ENSDARG00000044975,ENSDARG00000044976,ENSDARG00000053201,ENSDARG00000053248,ENSDARG00000054321,ENSDARG00000055192,ENSDARG00000056248,ENSDARG00000057568,ENSDARG00000058332,ENSDARG00000058358,ENSDARG00000058462,ENSDARG00000062101,ENSDARG00000062590,ENSDARG00000062976,ENSDARG00000068589,ENSDARG00000069046,ENSDARG00000071518,ENSDARG00000074919,ENSDARG00000090268,ENSDARG00000092947,ENSDARG00000101858,ENSDARG00000102911,ENSDARG00000103459,ENSDARG00000105188,ENSDARG00000115956
GO:0099513	polymeric cytoskeletal fiber	180	6	2.34	0.02946	ENSDARG00000000212,ENSDARG00000000606,ENSDARG00000001558,ENSDARG00000001889,ENSDARG00000002344,ENSDARG00000002659,ENSDARG00000004472,ENSDARG00000006260,ENSDARG00000007751,ENSDARG00000008019,ENSDARG00000008022,ENSDARG00000009336,ENSDARG00000009727,ENSDARG00000009733,ENSDARG00000009796,ENSDARG00000010008,ENSDARG00000010042,ENSDARG00000010280,ENSDARG00000010332,ENSDARG00000011661,ENSDARG00000011862,ENSDARG00000011975,ENSDARG00000012281,ENSDARG00000012426,ENSDARG00000013343,ENSDARG00000013415,ENSDARG00000014356,ENSDARG00000014943,ENSDARG00000015016,ENSDARG00000015206,ENSDARG00000015610,ENSDARG00000016301,ENSDARG00000017624,ENSDARG00000019128,ENSDARG00000019185,ENSDARG00000019208,ENSDARG00000019743,ENSDARG00000019845,ENSDARG00000020231,ENSDARG00000021895,ENSDARG00000022045,ENSDARG00000023082,ENSDARG00000023318,ENSDARG00000023963,ENSDARG00000024575,ENSDARG00000025301,ENSDARG00000026595,ENSDARG00000028306,ENSDARG00000028533,ENSDARG00000028618,ENSDARG00000030463,ENSDARG00000031116,ENSDARG00000032238,ENSDARG00000032482,ENSDARG00000034836,ENSDARG00000034871,ENSDARG00000035056,ENSDARG00000036832,ENSDARG00000036834,ENSDARG00000036840,ENSDARG00000037020,ENSDARG00000037276,ENSDARG00000037997,ENSDARG00000038024,ENSDARG00000039522,ENSDARG00000039770,ENSDARG00000040110,ENSDARG00000041339,ENSDARG00000042368,ENSDARG00000042946,ENSDARG00000043242,ENSDARG00000043550,ENSDARG00000043643,ENSDARG00000043697,ENSDARG00000044261,ENSDARG00000044299,ENSDARG00000044975,ENSDARG00000044976,ENSDARG00000045014,ENSDARG00000045367,ENSDARG00000051795,ENSDARG00000053026,ENSDARG00000053201,ENSDARG00000053240,ENSDARG00000053248,ENSDARG00000053431,ENSDARG00000054060,ENSDARG00000054321,ENSDARG00000054448,ENSDARG00000054456,ENSDARG00000054978,ENSDARG00000055052,ENSDARG00000055192,ENSDARG00000055216,ENSDARG00000055238,ENSDARG00000056248,ENSDARG00000056633,ENSDARG00000057568,ENSDARG00000058332,ENSDARG00000058358,ENSDARG00000058416,ENSDARG00000058462,ENSDARG00000059442,ENSDARG00000059596,ENSDARG00000059601,ENSDARG00000059965,ENSDARG00000060112,ENSDARG00000060326,ENSDARG00000060434,ENSDARG00000060482,ENSDARG00000060805,ENSDARG00000061131,ENSDARG00000061486,ENSDARG00000061778,ENSDARG00000061817,ENSDARG00000062101,ENSDARG00000062173,ENSDARG00000062590,ENSDARG00000062630,ENSDARG00000062976,ENSDARG00000068589,ENSDARG00000068745,ENSDARG00000068973,ENSDARG00000069046,ENSDARG00000069594,ENSDARG00000069790,ENSDARG00000071009,ENSDARG00000071518,ENSDARG00000074073,ENSDARG00000074131,ENSDARG00000074379,ENSDARG00000074443,ENSDARG00000074597,ENSDARG00000074919,ENSDARG00000075539,ENSDARG00000076371,ENSDARG00000077442,ENSDARG00000078803,ENSDARG00000079148,ENSDARG00000079483,ENSDARG00000079777,ENSDARG00000079895,ENSDARG00000086985,ENSDARG00000087402,ENSDARG00000087538,ENSDARG00000087616,ENSDARG00000088841,ENSDARG00000089314,ENSDARG00000090268,ENSDARG00000090778,ENSDARG00000091359,ENSDARG00000091585,ENSDARG00000092947,ENSDARG00000094181,ENSDARG00000096620,ENSDARG00000098317,ENSDARG00000098591,ENSDARG00000098655,ENSDARG00000099156,ENSDARG00000099352,ENSDARG00000099943,ENSDARG00000100145,ENSDARG00000100225,ENSDARG00000100236,ENSDARG00000100805,ENSDARG00000101777,ENSDARG00000101858,ENSDARG00000102003,ENSDARG00000102674,ENSDARG00000102878,ENSDARG00000102911,ENSDARG00000103459,ENSDARG00000104643,ENSDARG00000104663,ENSDARG00000104682,ENSDARG00000104801,ENSDARG00000105188,ENSDARG00000114038,ENSDARG00000115956,ENSDARG00000116937
