ID	p	p.adjusted	name
ZFA:0001185	2.18391896731914E-13	2.2079420759596507E-10	"periderm"
ZFA:0000003	2.8416096614767897E-13	2.8728673677530344E-10	"adaxial cell"
ZFA:0001484	6.108604764022796E-13	6.175799416427047E-10	"superficial blastomere"
ZFA:0005145	9.370778248702989E-13	9.473856809438722E-10	"muscle"
ZFA:0000086	5.977167931742966E-12	6.0429167789921385E-9	"EVL"
ZFA:0001373	2.2284031011940262E-11	2.2529155353071605E-8	"migratory slow muscle precursor cell"
ZFA:0000548	1.6270491023470908E-10	1.644946642472909E-7	"musculature system"
ZFA:0000155	2.408823983987663E-10	2.435321047811527E-7	"somite"
ZFA:0000279	1.0112051083397838E-9	1.0223283645315213E-6	"segmental plate"
ZFA:0000393	6.345132985790474E-9	6.41492944863417E-6	"mesenchyme"
ZFA:0009138	1.2995583348600167E-8	1.313853476543477E-5	"mesodermal cell"
ZFA:0005277	3.819673303470042E-8	3.8616897098082124E-5	"skeletal muscle"
ZFA:0001122	4.799655379333993E-8	4.8524515885066665E-5	"primary germ layer"
ZFA:0009025	1.0064529714726866E-7	1.0175239541588861E-4	"myoblast"
ZFA:0009291	1.3041484986602472E-7	1.31849413214551E-4	"muscle precursor cell"
ZFA:0001377	1.4942096657581504E-7	1.51064597208149E-4	"presumptive mesoderm"
ZFA:0000473	1.8977801575078422E-7	1.9186557392404283E-4	"trunk musculature"
ZFA:0001056	2.6654187032304355E-7	2.69473830896597E-4	"myotome"
ZFA:0009013	9.782693220546784E-7	9.890302845972799E-4	"single fate stem cell"
ZFA:0000328	9.809423396905556E-7	9.917327054271517E-4	"cephalic musculature"
ZFA:0001115	1.1113187087252046E-6	0.001123543214521182	"trunk"
ZFA:0009251	1.3764834656753E-6	0.0013916247837977283	"granulocyte monocyte progenitor cell"
ZFA:0000591	2.6334417282049454E-6	0.0026624095872151998	"presumptive paraxial mesoderm"
ZFA:0009114	3.8147797334011975E-6	0.0038567423104686107	"muscle cell"
ZFA:0000255	4.494699215933866E-6	0.004544140907309139	"paraxial mesoderm"
ZFA:0000105	8.419179188409751E-6	0.008511790159482259	"epidermis"
ZFA:0000077	1.1305414247328572E-5	0.011429773804049187	"tail bud"
ZFA:0001085	2.2591250776993878E-5	0.02283975453554081	"hypaxial myotome region"
ZFA:0000038	5.150609107707499E-5	0.052072658078922814	"margin"
ZFA:0001688	1.073625299949012E-4	0.10854351782484511	"corneal primordium"
ZFA:0009258	1.1412272665021319E-4	0.11537807664336554	"angioblastic mesenchymal cell"
ZFA:0001307	1.310830757878485E-4	0.13252498962151485	"pharyngeal musculature"
ZFA:0001308	1.4334854027832277E-4	0.14492537422138432	"organism subdivision"
ZFA:0000360	1.677453373450839E-4	0.16959053605587981	"heart tube"
ZFA:0000521	1.9931115225684385E-4	0.20150357493166915	"hyoid muscle"
ZFA:0000114	3.378841917102383E-4	0.3416009178190509	"heart"
ZFA:0005781	3.386509772775657E-4	0.3423761380276189	"cloaca"
ZFA:0001159	3.5438054511114573E-4	0.35827873110736835	"immune system"
ZFA:0000640	3.5793908702253706E-4	0.36187641697978495	"cornea"
ZFA:0005594	3.77869854419832E-4	0.3820264228184502	"anatomical surface"
ZFA:0000236	3.8221404287519306E-4	0.3864183973468202	"mandibular muscle"
ZFA:0009253	3.8517316781165747E-4	0.3894100726575857	"promonocyte"
ZFA:0009136	4.340709557510488E-4	0.43884573626431034	"motile cell"
ZFA:0009236	4.5585030278752226E-4	0.460864656118185	"skeletal muscle myoblast"
ZFA:0000048	4.996134543933867E-4	0.505109202391714	"olfactory placode"
ZFA:0000150	6.516150190391546E-4	0.6587827842485853	"pronephric duct"
ZFA:0007062	8.015126006813229E-4	0.8103292392888175	"olfactory field"
ZFA:0005922	8.464478688251944E-4	0.8557587953822715	"migratory muscle precursor stream"
ZFA:0009368	9.022133702316303E-4	0.9121377173041783	"slow muscle myoblast"
ZFA:0001652	9.636726989220742E-4	0.974273098610217	"head muscle"
ZFA:0009309	9.924949744386268E-4	1.0	"leukocyte"
ZFA:0009000	0.0010211452370578948	1.0	"cell"
ZFA:0000149	0.0011331835566906136	1.0	"primitive heart tube"
ZFA:0009116	0.0011930602649534937	1.0	"slow muscle cell"
ZFA:0007115	0.0013809917661415678	1.0	"pericardial region"
ZFA:0000047	0.001570538367233054	1.0	"peripheral olfactory organ"
ZFA:0001086	0.0015852164382820228	1.0	"muscle pioneer"
ZFA:0009014	0.0016635705890299252	1.0	"hematopoietic stem cell"
ZFA:0000382	0.001943690421669646	1.0	"acellular anatomical structure"
ZFA:0000172	0.0024675006107585822	1.0	"branchial muscle"
ZFA:0000436	0.0028994963674643143	1.0	"spleen"
ZFA:0001179	0.0031884965017684513	1.0	"epidermal superficial stratum"
ZFA:0001486	0.003444586633340311	1.0	"epithelium"
ZFA:0000368	0.0037879240735037177	1.0	"integument"
ZFA:0000009	0.004436183459271989	1.0	"cardiac ventricle"
ZFA:0001719	0.0045647501717653435	1.0	"presumptive cardiac ventricle heart tube"
ZFA:0001720	0.0045647501717653435	1.0	"presumptive cardiac ventricle primitive heart tube"
ZFA:0001683	0.005334065888675913	1.0	"corneal epithelium"
ZFA:0000034	0.005616101904146127	1.0	"lateral line system"
ZFA:0000547	0.006007580201730872	1.0	"mouth"
ZFA:0000037	0.006100656434961622	1.0	"anatomical structure"
ZFA:0000115	0.006404163921382799	1.0	"heart rudiment"
ZFA:0000563	0.00663497985475353	1.0	"pectoral fin musculature"
ZFA:0001149	0.0068677028974169045	1.0	"olfactory system"
ZFA:0000056	0.007244244389592598	1.0	"pharynx"
ZFA:0000028	0.007840340806538393	1.0	"heart primordium"
ZFA:0009039	0.007982710467117043	1.0	"squamous epithelial cell"
ZFA:0000026	0.008018780921193545	1.0	"hatching gland"
ZFA:0009362	0.00852211599893514	1.0	"neuromast mantle cell"
ZFA:0000243	0.010068161969391635	1.0	"neuromast"
ZFA:0005227	0.01092395351370097	1.0	"protoneuromast"
ZFA:0009021	0.01137142695880455	1.0	"common myeloid progenitor"
ZFA:0009115	0.011496619777354026	1.0	"skeletal muscle cell"
ZFA:0001290	0.011649971905441698	1.0	"stomodeum"
ZFA:0000041	0.011702022008754831	1.0	"mesoderm"
ZFA:0005041	0.01367986887068822	1.0	"anterior lateral plate mesoderm"
ZFA:0000529	0.014703512779292991	1.0	"kidney"
ZFA:0000058	0.015817734047555314	1.0	"polster"
ZFA:0005023	0.016718392402307297	1.0	"hematopoietic system"
ZFA:0001105	0.017967948130576235	1.0	"embryonic structure"
ZFA:0001477	0.018469117019836157	1.0	"portion of tissue"
ZFA:0000010	0.020450740577444115	1.0	"cardiovascular system"
ZFA:0000286	0.022253168067428063	1.0	"superficial lateralis"
ZFA:0005044	0.024078995956068876	1.0	"optic artery"
ZFA:0000081	0.02428167415834617	1.0	"trunk mesenchyme"
ZFA:0000053	0.026178136466755268	1.0	"presumptive segmental plate"
ZFA:0009081	0.026687102416345178	1.0	"mesenchymal cell"
ZFA:0005120	0.028067329914575646	1.0	"peritoneum"
ZFA:0001462	0.02893354260346499	1.0	"somite border"
ZFA:0000861	0.02953046650721117	1.0	"ventral oblique extraocular muscle"
ZFA:0000060	0.030997725478738747	1.0	"prechordal plate"
ZFA:0000292	0.03248265667327272	1.0	"surface structure"
ZFA:0000004	0.03277484523874422	1.0	"anterior axial hypoblast"
ZFA:0000443	0.03489952961186044	1.0	"supraorbital lateral line"
ZFA:0001470	0.03506675049234618	1.0	"anterior lateral line"
ZFA:0000204	0.03675292061997174	1.0	"esophagus"
ZFA:0000138	0.03689113649502101	1.0	"otic placode"
ZFA:0005004	0.03727675297360569	1.0	"aortic arch"
ZFA:0000786	0.03766601349871918	1.0	"medial migration pathway mesenchyme"
ZFA:0000550	0.03822152886134915	1.0	"naris"
ZFA:0009356	0.03939419120933911	1.0	"myeloid lineage restricted progenitor cell"
ZFA:0000154	0.04009745763530113	1.0	"sinus venosus"
ZFA:0001439	0.040896090797993806	1.0	"anatomical system"
ZFA:0000259	0.04129092345548922	1.0	"mandibular lateral line"
ZFA:0005061	0.0420291168066879	1.0	"ventricular myocardium"
ZFA:0000400	0.048111778545527215	1.0	"occipital lateral line"
ZFA:0000424	0.048111778545527215	1.0	"opercular lateral line"
ZFA:0005923	0.04821810050457413	1.0	"anterior migratory muscle precursor stream"
ZFA:0005294	0.04878048780487835	1.0	"collecting duct"
ZFA:0005003	0.04889783541746846	1.0	"pharyngeal vasculature"
ZFA:0001722	0.04918891939790646	1.0	"presumptive sinus venosus"
ZFA:0009017	0.050584538466588766	1.0	"monoblast"
ZFA:0007084	0.05512613813541028	1.0	"premigratory neural crest cell"
ZFA:0000524	0.05533970067878528	1.0	"infraorbital lateral line"
ZFA:0000789	0.055576674838121926	1.0	"mesoderm pectoral fin bud"
ZFA:0000669	0.056608012382560684	1.0	"head kidney"
ZFA:0009141	0.05761547302564077	1.0	"macrophage"
ZFA:0005029	0.059107866204695624	1.0	"rostral blood island"
ZFA:0005425	0.06100764576204637	1.0	"serous membrane"
ZFA:0001260	0.06235596821336377	1.0	"endocrine pancreas"
ZFA:0005619	0.06396887423854937	1.0	"skeletal tissue"
ZFA:0001662	0.06440337461604387	1.0	"preglomerular nucleus"
ZFA:0009064	0.0653043788798438	1.0	"mononuclear phagocyte"
ZFA:0001637	0.06987049928886681	1.0	"bony projection"
ZFA:0000354	0.07046552489857653	1.0	"gill"
ZFA:0001315	0.07047774453768671	1.0	"atrioventricular canal"
ZFA:0000464	0.07093026430759156	1.0	"otic lateral line"
ZFA:0005333	0.07119177087876696	1.0	"tongue"
ZFA:0009393	0.07249252949737632	1.0	"lymphangioblast"
ZFA:0009280	0.07289306726106481	1.0	"Muller cell"
ZFA:0001624	0.07360848874576192	1.0	"pronephric distal late tubule"
ZFA:0001510	0.07417155122930787	1.0	"basihyal cartilage"
ZFA:0005596	0.07472297728901092	1.0	"paired fin"
ZFA:0005898	0.07781501933655992	1.0	"caudal hematopoietic tissue"
ZFA:0009179	0.07975112591051499	1.0	"muscle stem cell"
ZFA:0009102	0.07976532352506133	1.0	"pancreatic B cell"
ZFA:0001378	0.0827374187044182	1.0	"axial hypoblast"
ZFA:0000435	0.08338389705990522	1.0	"cranial nerve II"
ZFA:0009307	0.08573397851447018	1.0	"somatic stem cell"
ZFA:0001512	0.0857536250183461	1.0	"anatomical group"
ZFA:0005498	0.08583943010905169	1.0	"epihyal-branchiostegal ray joint"
ZFA:0005633	0.08600035870019483	1.0	"lepidotrichium segment"
ZFA:0009100	0.08608316426028868	1.0	"peptide hormone secreting cell"
ZFA:0001723	0.08618581888798667	1.0	"presumptive atrioventricular canal"
ZFA:0005039	0.08676082044118898	1.0	"anterior lateral mesoderm"
ZFA:0000330	0.08878166161956752	1.0	"cloacal chamber"
ZFA:0001026	0.0907025112949265	1.0	"supraorbital lateral line neuromast"
ZFA:0001055	0.09073343248319607	1.0	"pronephric duct opening"
ZFA:0000301	0.09184815257882942	1.0	"medial rectus"
ZFA:0007049	0.09349887757359054	1.0	"adductor mandibulae"
ZFA:0009088	0.09504672689100047	1.0	"professional antigen presenting cell"
ZFA:0001370	0.09575711142089482	1.0	"posterior pancreatic bud"
ZFA:0007122	0.09809864988258843	1.0	"epidermal stem cell"
ZFA:0000117	0.09843372045316678	1.0	"hypoblast"
ZFA:0000071	0.10045388509928313	1.0	"shield"
ZFA:0000069	0.1027499299442691	1.0	"rhombomere 6"
ZFA:0005659	0.1048826965656251	1.0	"intestinal lamina propria mucosa"
ZFA:0009228	0.10548216154658034	1.0	"D cell"
ZFA:0007086	0.1074284121086147	1.0	"migratory neural crest cell"
ZFA:0000339	0.1082165519329349	1.0	"digestive system"
ZFA:0009159	0.10861988879692959	1.0	"mucus secreting cell"
ZFA:0009079	0.11075350711248913	1.0	"corneal endothelial cell"
ZFA:0005473	0.11146236549462438	1.0	"interhyal-epihyal joint"
ZFA:0005561	0.11375218683226339	1.0	"vitreous"
