GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000002494	0	-0.1038785962124691	itgb6	integrin, beta 6 [Source:ZFIN;Acc:ZDB-GENE-100812-2]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000008969	0	0.1003924999192178	fgb	fibrinogen beta chain [Source:ZFIN;Acc:ZDB-GENE-030131-9261]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000009387	0	-0.024938633059153045	robo4	roundabout, axon guidance receptor, homolog 4 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-020809-1]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000011299	0	-0.03543533797052612	blzf1	basic leucine zipper nuclear factor 1 [Source:ZFIN;Acc:ZDB-GENE-010724-1]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000012942	0	0.06358488836293506	itgb5	integrin, beta 5 [Source:ZFIN;Acc:ZDB-GENE-030131-6022]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000016939	0	0.17529562935122533	itgb2	integrin, beta 2 [Source:ZFIN;Acc:ZDB-GENE-110411-4]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000019117	0	0.19485375136340502	parvb	parvin, beta [Source:ZFIN;Acc:ZDB-GENE-030131-4411]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000019815	0	-0.1999043895598166	fn1a	fibronectin 1a [Source:ZFIN;Acc:ZDB-GENE-000426-1]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000021789	0	-0.36807158577731475	myoc	myocilin [Source:ZFIN;Acc:ZDB-GENE-050425-2]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000022689	0	-0.09190337721554864	itgb1b.2	integrin, beta 1b.2 [Source:ZFIN;Acc:ZDB-GENE-040426-2598]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000024829	0	-0.021433453725650368	tnn	tenascin N [Source:ZFIN;Acc:ZDB-GENE-990415-262]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000028222	0	0.11638583955147588	itgb8	integrin, beta 8 [Source:ZFIN;Acc:ZDB-GENE-071213-3]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000028507	0	-0.2878466060402648	itgb4	integrin, beta 4 [Source:ZFIN;Acc:ZDB-GENE-030131-7209]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000028533	0	0.008103259229346557	macf1a	microtubule actin crosslinking factor 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3606]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000037281	0	0.19424979101785236	fgg	fibrinogen gamma chain [Source:ZFIN;Acc:ZDB-GENE-040426-1998]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000040985	0	-0.10387107598920273	itgbl1	integrin, beta-like 1 [Source:ZFIN;Acc:ZDB-GENE-050522-410]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000044318	0	-0.16687235538863796	itgb7	integrin, beta 7 [Source:ZFIN;Acc:ZDB-GENE-100728-2]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000044433	0	-0.20329454798218966	sned1	sushi, nidogen and EGF-like domains 1 [Source:ZFIN;Acc:ZDB-GENE-100913-1]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000045070	0	-0.18157324629784094	itgb3b	integrin beta 3b [Source:ZFIN;Acc:ZDB-GENE-071207-2]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000045420	0	0.020544012591497896	epdr1	ependymin related 1 [Source:ZFIN;Acc:ZDB-GENE-040718-113]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000052652	0	-0.007303642294337065	fermt1	fermitin family member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-3264]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000053232	0	0.007592480294237903	itgb1b.1	integrin, beta 1b.1 [Source:ZFIN;Acc:ZDB-GENE-060803-3]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000055539	0	-0.5108469754713325	epdl2	ependymin-like 2 [Source:ZFIN;Acc:ZDB-GENE-091204-250]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000056767	0	-0.30202671185548696	itgb3a	integrin beta 3a [Source:ZFIN;Acc:ZDB-GENE-071207-1]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000056964	0	0.016147232230669713	ilk	integrin-linked kinase [Source:ZFIN;Acc:ZDB-GENE-040426-1435]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000059558	0	-0.19545318301237927	tecta	tectorin alpha [Source:ZFIN;Acc:ZDB-GENE-110411-120]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000060415	0	0.1099779085180522	arhgef28a	Rho guanine nucleotide exchange factor (GEF) 28a [Source:ZFIN;Acc:ZDB-GENE-060531-28]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000061862	0	0.09551952477643541	myo18ab	myosin XVIIIAb [Source:ZFIN;Acc:ZDB-GENE-080423-1]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000068710	0	-0.05259881037188957	nid1a	nidogen 1a [Source:ZFIN;Acc:ZDB-GENE-050302-58]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000069473	0	-0.09333289652354773	frem1a	Fras1 related extracellular matrix 1a [Source:ZFIN;Acc:ZDB-GENE-081119-1]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000071863	0	-0.07803404626641218	itgb1a	integrin, beta 1a [Source:ZFIN;Acc:ZDB-GENE-060803-2]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000075441	0	-0.35735673749082747	vwa2	von Willebrand factor A domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-100302-1]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000075707	0	-0.2936664927475293	nid2a	nidogen 2a (osteonidogen) [Source:ZFIN;Acc:ZDB-GENE-030827-2]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000079336	0	0.07782849760737644	strc1	stereocilin 1 [Source:ZFIN;Acc:ZDB-GENE-110411-215]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000080675	0	0.2174435753687625	si:dkey-71b5.7	si:dkey-71b5.7 [Source:ZFIN;Acc:ZDB-GENE-100922-124]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000088590	0	-0.024877814589134267	pxna	paxillin a [Source:NCBI gene;Acc:399546]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000089271	0	-0.03092999337438469	nexmifa	neurite extension and migration factor a [Source:ZFIN;Acc:ZDB-GENE-110411-102]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000089435	0	-0.20546510826881054	macf1b	microtubule actin crosslinking factor 1b [Source:ZFIN;Acc:ZDB-GENE-100922-36]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000097080	0	1.543585200246777	si:ch73-181m17.1	si:ch73-181m17.1 [Source:ZFIN;Acc:ZDB-GENE-131122-49]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000097539	0	1.344657162439319	si:ch211-39f2.3	si:ch211-39f2.3 [Source:ZFIN;Acc:ZDB-GENE-131126-52]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000100190	0	0.29594907925765374	si:ch211-188p14.4	si:ch211-188p14.4 [Source:ZFIN;Acc:ZDB-GENE-121214-355]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000100739	0	0.010994694875734993	CABZ01052573.1	NA
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000101200	0	-0.15567573265793272	zgc:112964	zgc:112964 [Source:ZFIN;Acc:ZDB-GENE-050306-47]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000103129	0	0.06688670100086477	nid1b	nidogen 1b [Source:ZFIN;Acc:ZDB-GENE-070802-3]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000103498	0	-0.0034301867819771462	epd	ependymin [Source:NCBI gene;Acc:30199]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000103634	0	0.7795908993050142	CU914622.2	si:ch73-329n5.6 [Source:NCBI gene;Acc:101883339]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000103973	0	0.900150816796191	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000104324	0	0.891821211135189	si:ch211-182p11.1	si:ch211-182p11.1 [Source:ZFIN;Acc:ZDB-GENE-131127-323]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000104484	0	-0.05999081140380958	itgb1b	integrin, beta 1b [Source:ZFIN;Acc:ZDB-GENE-030909-10]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000105341	0	-0.19931505111171582	si:dkey-9l20.3	si:dkey-9l20.3 [Source:ZFIN;Acc:ZDB-GENE-090313-369]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000105391	0	-0.07590967060694968	strc	stereocilin [Source:ZFIN;Acc:ZDB-GENE-160114-58]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000109929	0	-0.18808774983883192	CABZ01058721.1	NA
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000115301	0	0.0029169820157650085	lurap1	leucine rich adaptor protein 1 [Source:ZFIN;Acc:ZDB-GENE-070928-35]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000116430	0	0.25543129687001453	si:ch73-329n5.2	si:ch73-329n5.2 [Source:ZFIN;Acc:ZDB-GENE-131121-66]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000031588	1	2.823494541738634	si:dkey-239b22.1	si:dkey-239b22.1 [Source:ZFIN;Acc:ZDB-GENE-131119-12]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000076386	1	0.49383003798662545	epdl1	ependymin-like 1 [Source:ZFIN;Acc:ZDB-GENE-090710-3]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000098256	1	1.6258773755635456	si:ch73-329n5.6	si:ch73-329n5.6 [Source:ZFIN;Acc:ZDB-GENE-131121-171]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000098736	1	2.5321693032529486	si:dkey-201i2.4	si:dkey-201i2.4 [Source:ZFIN;Acc:ZDB-GENE-141215-24]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000100106	1	2.7381360461256716	CR385054.1	NA
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000103650	1	1.4875851923440775	si:ch73-329n5.1	si:ch73-329n5.1 [Source:ZFIN;Acc:ZDB-GENE-131121-475]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000104642	1	1.4934959014278024	si:dkey-31i7.2	si:dkey-31i7.2 [Source:ZFIN;Acc:ZDB-GENE-131121-104]
GO:0007160	cell-matrix adhesion	62	8	0.89	2.7e-06	ENSDARG00000113076	1	2.7644239345273194	si:ch211-182p11.1	si:ch211-182p11.1 [Source:ZFIN;Acc:ZDB-GENE-131127-323]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000004301	0	0.09647430960618052	rhogb	ras homolog family member Gb [Source:ZFIN;Acc:ZDB-GENE-030131-8877]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000005774	0	-0.08222252225084388	ddx3xb	DEAD-box helicase 3 X-linked b [Source:ZFIN;Acc:ZDB-GENE-980526-150]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000020573	0	-0.06134734224534691	ddx3xa	DEAD-box helicase 3 X-linked a [Source:ZFIN;Acc:ZDB-GENE-030131-1565]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000028401	0	0.010983576240256466	rhogc	ras homolog gene family, member Gc [Source:ZFIN;Acc:ZDB-GENE-030131-3402]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000030608	0	0.12485918270349974	rhogd	ras homolog gene family, member Gd [Source:ZFIN;Acc:ZDB-GENE-040426-1504]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000035632	0	0.6491363297346352	ccl19a.2	chemokine (C-C motif) ligand 19a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-081022-55]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000037116	0	0.043486454914690595	cxcl12a	chemokine (C-X-C motif) ligand 12a (stromal cell-derived factor 1) [Source:ZFIN;Acc:ZDB-GENE-030318-1]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000038010	0	-0.01726592598388672	rac2	Rac family small GTPase 2 [Source:ZFIN;Acc:ZDB-GENE-040625-27]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000041917	0	0.8466228782740435	ccl38a.4	chemokine (C-C motif) ligand 38, duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-041014-163]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000041919	0	0.6200283326335808	ccl38.1	chemokine (C-C motif) ligand 38, duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-041014-320]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000041923	0	1.5163555617134674	ccl38.6	chemokine (C-C motif) ligand 38, duplicate 6 [Source:ZFIN;Acc:ZDB-GENE-041014-165]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000041959	0	-0.30000739570841034	cxcr4b	chemokine (C-X-C motif), receptor 4b [Source:ZFIN;Acc:ZDB-GENE-010614-1]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000044001	0	-0.0674032632327279	lgals3b	lectin, galactoside binding soluble 3b [Source:ZFIN;Acc:ZDB-GENE-030131-4324]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000045999	0	-0.5526458670074988	saa	serum amyloid A [Source:ZFIN;Acc:ZDB-GENE-040927-15]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000051975	0	0.09643523902370808	cd99	CD99 molecule [Source:ZFIN;Acc:ZDB-GENE-061103-391]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000058389	0	-0.06065454236488033	ccl19a.1	chemokine (C-C motif) ligand 19a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-060526-181]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000062632	0	-0.7308182051113521	duox	dual oxidase [Source:ZFIN;Acc:ZDB-GENE-091117-14]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000067916	0	0.2869202813597529	lyn	LYN proto-oncogene, Src family tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-040912-7]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000068653	0	0.25455560505532904	rhoga	ras homolog family member Ga [Source:ZFIN;Acc:ZDB-GENE-060503-820]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000068923	0	-0.09944913483945217	umodl1	uromodulin-like 1 [Source:ZFIN;Acc:ZDB-GENE-091204-140]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000070121	0	-0.19233530592863932	rhoh	ras homolog family member H [Source:ZFIN;Acc:ZDB-GENE-060228-7]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000070873	0	0.2279308283659227	ccl25b	chemokine (C-C motif) ligand 25b [Source:ZFIN;Acc:ZDB-GENE-110222-2]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000071499	0	-0.3073486486758861	cxcl32b.1	chemokine (C-X-C motif) ligand 32b, duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-140715-4]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000074283	0	0.1752021956076371	inpp5d	inositol polyphosphate-5-phosphatase D [Source:ZFIN;Acc:ZDB-GENE-100922-30]
GO:1990266	neutrophil migration	62	7	0.89	2.8e-05	ENSDARG00000074772	0	0.07581932792245669	ccl44	chemokine (C-C motif) ligand 44 [Source:ZFIN;Acc:ZDB-GENE-131121-642]
