GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000000103	0	-0.0596138540315942	myh10	myosin, heavy chain 10, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030616-162]
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000001014	0	-0.2540568069687926	myh9b	myosin, heavy chain 9b, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030131-998]
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000001431	0	0.19554976624464715	actn3b	actinin alpha 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2040]
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000001909	0	-0.23940346301823415	vill	villin-like [Source:ZFIN;Acc:ZDB-GENE-081222-1]
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000001993	0	0.32815204344341403	myhb	myosin, heavy chain b [Source:ZFIN;Acc:ZDB-GENE-081124-1]
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000002255	0	-0.03657508952753721	epb41l3a	erythrocyte membrane protein band 4.1-like 3a [Source:ZFIN;Acc:ZDB-GENE-040822-8]
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000003084	0	0.25426215754390413	spire2	spire-type actin nucleation factor 2 [Source:NCBI gene;Acc:492470]
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000003313	0	0.06093557450401481	eps8l1b	eps8 like 1b [Source:ZFIN;Acc:ZDB-GENE-050506-143]
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000003952	0	-0.09654074852916492	pfn2	profilin 2 [Source:ZFIN;Acc:ZDB-GENE-040115-4]
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000004049	0	0.027456447393695987	marcksa	myristoylated alanine-rich protein kinase C substrate a [Source:ZFIN;Acc:ZDB-GENE-050522-145]
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000004372	0	-0.21050311486475334	fmnl3	formin-like 3 [Source:NCBI gene;Acc:407694]
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000004658	0	0.1479415879564689	zgc:101810	zgc:101810 [Source:ZFIN;Acc:ZDB-GENE-041121-7]
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000005162	0	-0.05449871976310177	tpm3	tropomyosin 3 [Source:ZFIN;Acc:ZDB-GENE-030826-16]
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000005210	0	-0.19177160125478704	coro2a	coronin, actin binding protein, 2A [Source:ZFIN;Acc:ZDB-GENE-030131-2258]
GO:0003779	actin binding	384	16	5.53	0.00015	ENSDARG00000005704	0	-0.026816430749555715	eps8l3b	EPS8-like 3b [Source:ZFIN;Acc:ZDB-GENE-040426-1335]
