GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0043153	entrainment of circadian clock by photop...	10	3	0.07	4.4e-05	ENSDARG00000011890,ENSDARG00000019498,ENSDARG00000021882,ENSDARG00000034503,ENSDARG00000045768,ENSDARG00000054222,ENSDARG00000069074,ENSDARG00000091131,ENSDARG00000102403,ENSDARG00000103505
GO:0032922	circadian regulation of gene expression	20	3	0.15	0.00040	ENSDARG00000003631,ENSDARG00000004060,ENSDARG00000011890,ENSDARG00000016536,ENSDARG00000019498,ENSDARG00000027183,ENSDARG00000029544,ENSDARG00000033160,ENSDARG00000034503,ENSDARG00000040764,ENSDARG00000041691,ENSDARG00000045768,ENSDARG00000054823,ENSDARG00000055283,ENSDARG00000058094,ENSDARG00000069074,ENSDARG00000088171,ENSDARG00000091131,ENSDARG00000094965,ENSDARG00000102403
GO:0060485	mesenchyme development	89	5	0.66	0.00047	ENSDARG00000000189,ENSDARG00000002445,ENSDARG00000002952,ENSDARG00000003961,ENSDARG00000007277,ENSDARG00000007329,ENSDARG00000007560,ENSDARG00000008740,ENSDARG00000010192,ENSDARG00000010583,ENSDARG00000010721,ENSDARG00000011163,ENSDARG00000011533,ENSDARG00000013607,ENSDARG00000014986,ENSDARG00000015554,ENSDARG00000015851,ENSDARG00000018765,ENSDARG00000020708,ENSDARG00000021895,ENSDARG00000021948,ENSDARG00000027087,ENSDARG00000031894,ENSDARG00000032221,ENSDARG00000033971,ENSDARG00000034300,ENSDARG00000035095,ENSDARG00000036371,ENSDARG00000036558,ENSDARG00000037178,ENSDARG00000038446,ENSDARG00000040387,ENSDARG00000040606,ENSDARG00000041609,ENSDARG00000041921,ENSDARG00000042535,ENSDARG00000042545,ENSDARG00000042616,ENSDARG00000044422,ENSDARG00000044525,ENSDARG00000045180,ENSDARG00000045219,ENSDARG00000045601,ENSDARG00000045694,ENSDARG00000045776,ENSDARG00000052091,ENSDARG00000052150,ENSDARG00000053493,ENSDARG00000055373,ENSDARG00000057633,ENSDARG00000058821,ENSDARG00000059279,ENSDARG00000061471,ENSDARG00000062338,ENSDARG00000062352,ENSDARG00000062824,ENSDARG00000068726,ENSDARG00000069014,ENSDARG00000075211,ENSDARG00000075648,ENSDARG00000076317,ENSDARG00000076595,ENSDARG00000077226,ENSDARG00000077467,ENSDARG00000077469,ENSDARG00000077473,ENSDARG00000077818,ENSDARG00000077847,ENSDARG00000078592,ENSDARG00000078707,ENSDARG00000079111,ENSDARG00000091293,ENSDARG00000091563,ENSDARG00000098349,ENSDARG00000098375,ENSDARG00000099481,ENSDARG00000099979,ENSDARG00000100252,ENSDARG00000100729,ENSDARG00000101209,ENSDARG00000101980,ENSDARG00000103025,ENSDARG00000103515,ENSDARG00000103959,ENSDARG00000104566,ENSDARG00000105301,ENSDARG00000110069,ENSDARG00000111701,ENSDARG00000113719
GO:0009636	response to toxic substance	53	4	0.39	0.00059	ENSDARG00000003077,ENSDARG00000004539,ENSDARG00000004687,ENSDARG00000008243,ENSDARG00000010936,ENSDARG00000012535,ENSDARG00000019236,ENSDARG00000019496,ENSDARG00000019521,ENSDARG00000021787,ENSDARG00000024278,ENSDARG00000024669,ENSDARG00000025350,ENSDARG00000025977,ENSDARG00000026726,ENSDARG00000029766,ENSDARG00000032102,ENSDARG00000033285,ENSDARG00000033364,ENSDARG00000034503,ENSDARG00000038980,ENSDARG00000042644,ENSDARG00000042854,ENSDARG00000043511,ENSDARG00000044795,ENSDARG00000045143,ENSDARG00000045768,ENSDARG00000053896,ENSDARG00000055064,ENSDARG00000056510,ENSDARG00000057378,ENSDARG00000058734,ENSDARG00000058953,ENSDARG00000062632,ENSDARG00000068415,ENSDARG00000068478,ENSDARG00000068663,ENSDARG00000070168,ENSDARG00000071345,ENSDARG00000076836,ENSDARG00000080010,ENSDARG00000087059,ENSDARG00000087262,ENSDARG00000088366,ENSDARG00000091211,ENSDARG00000091342,ENSDARG00000092052,ENSDARG00000100374,ENSDARG00000101702,ENSDARG00000102744,ENSDARG00000103019,ENSDARG00000104702,ENSDARG00000117204
GO:0048729	tissue morphogenesis	163	6	1.2	0.00120	ENSDARG00000001769,ENSDARG00000002216,ENSDARG00000002235,ENSDARG00000002589,ENSDARG00000002952,ENSDARG00000003293,ENSDARG00000003751,ENSDARG00000003963,ENSDARG00000004588,ENSDARG00000005159,ENSDARG00000006603,ENSDARG00000006624,ENSDARG00000007231,ENSDARG00000007302,ENSDARG00000007329,ENSDARG00000008803,ENSDARG00000009046,ENSDARG00000009418,ENSDARG00000009534,ENSDARG00000009689,ENSDARG00000009782,ENSDARG00000010583,ENSDARG00000011257,ENSDARG00000011299,ENSDARG00000011863,ENSDARG00000012066,ENSDARG00000012078,ENSDARG00000012422,ENSDARG00000012553,ENSDARG00000013847,ENSDARG00000013855,ENSDARG00000014796,ENSDARG00000014986,ENSDARG00000015427,ENSDARG00000015554,ENSDARG00000015681,ENSDARG00000015707,ENSDARG00000015891,ENSDARG00000016139,ENSDARG00000017500,ENSDARG00000017803,ENSDARG00000017821,ENSDARG00000018260,ENSDARG00000018968,ENSDARG00000019353,ENSDARG00000019815,ENSDARG00000020527,ENSDARG00000020610,ENSDARG00000021124,ENSDARG00000021889,ENSDARG00000021895,ENSDARG00000023026,ENSDARG00000023472,ENSDARG00000023578,ENSDARG00000025091,ENSDARG00000027589,ENSDARG00000029439,ENSDARG00000032221,ENSDARG00000032631,ENSDARG00000033971,ENSDARG00000035095,ENSDARG00000035521,ENSDARG00000036036,ENSDARG00000036090,ENSDARG00000036371,ENSDARG00000036930,ENSDARG00000036987,ENSDARG00000037276,ENSDARG00000037373,ENSDARG00000038879,ENSDARG00000039041,ENSDARG00000040387,ENSDARG00000040432,ENSDARG00000040534,ENSDARG00000040606,ENSDARG00000041430,ENSDARG00000042535,ENSDARG00000044048,ENSDARG00000044356,ENSDARG00000045092,ENSDARG00000045180,ENSDARG00000045612,ENSDARG00000046019,ENSDARG00000053254,ENSDARG00000053493,ENSDARG00000053535,ENSDARG00000053586,ENSDARG00000053868,ENSDARG00000055678,ENSDARG00000056012,ENSDARG00000056410,ENSDARG00000057975,ENSDARG00000058543,ENSDARG00000058822,ENSDARG00000059177,ENSDARG00000059279,ENSDARG00000059774,ENSDARG00000060298,ENSDARG00000060983,ENSDARG00000061509,ENSDARG00000061759,ENSDARG00000061885,ENSDARG00000062003,ENSDARG00000062338,ENSDARG00000063437,ENSDARG00000069014,ENSDARG00000069515,ENSDARG00000069640,ENSDARG00000070794,ENSDARG00000070795,ENSDARG00000071395,ENSDARG00000075169,ENSDARG00000075211,ENSDARG00000075549,ENSDARG00000075707,ENSDARG00000076060,ENSDARG00000076227,ENSDARG00000076510,ENSDARG00000077177,ENSDARG00000077226,ENSDARG00000077353,ENSDARG00000077364,ENSDARG00000077467,ENSDARG00000077540,ENSDARG00000077777,ENSDARG00000077818,ENSDARG00000077840,ENSDARG00000078802,ENSDARG00000078864,ENSDARG00000079027,ENSDARG00000079111,ENSDARG00000079217,ENSDARG00000086391,ENSDARG00000088091,ENSDARG00000090444,ENSDARG00000090724,ENSDARG00000091126,ENSDARG00000092060,ENSDARG00000098650,ENSDARG00000098834,ENSDARG00000099144,ENSDARG00000099481,ENSDARG00000099761,ENSDARG00000100232,ENSDARG00000100483,ENSDARG00000100729,ENSDARG00000101626,ENSDARG00000101980,ENSDARG00000102180,ENSDARG00000102332,ENSDARG00000102389,ENSDARG00000102505,ENSDARG00000102855,ENSDARG00000103515,ENSDARG00000103589,ENSDARG00000103959,ENSDARG00000104138,ENSDARG00000104566,ENSDARG00000104815,ENSDARG00000105112,ENSDARG00000105301,ENSDARG00000110069,ENSDARG00000116118
GO:0003007	heart morphogenesis	65	4	0.48	0.00129	ENSDARG00000002216,ENSDARG00000002952,ENSDARG00000003751,ENSDARG00000006603,ENSDARG00000007329,ENSDARG00000009418,ENSDARG00000012078,ENSDARG00000014796,ENSDARG00000014986,ENSDARG00000015427,ENSDARG00000015681,ENSDARG00000016139,ENSDARG00000017500,ENSDARG00000017803,ENSDARG00000017821,ENSDARG00000018260,ENSDARG00000019815,ENSDARG00000019969,ENSDARG00000020610,ENSDARG00000021889,ENSDARG00000023026,ENSDARG00000029439,ENSDARG00000033971,ENSDARG00000035095,ENSDARG00000036987,ENSDARG00000037677,ENSDARG00000040237,ENSDARG00000040387,ENSDARG00000040432,ENSDARG00000042535,ENSDARG00000045612,ENSDARG00000046019,ENSDARG00000052150,ENSDARG00000053535,ENSDARG00000053868,ENSDARG00000059774,ENSDARG00000060983,ENSDARG00000061509,ENSDARG00000062003,ENSDARG00000063089,ENSDARG00000071395,ENSDARG00000071498,ENSDARG00000075169,ENSDARG00000075211,ENSDARG00000077226,ENSDARG00000077777,ENSDARG00000077818,ENSDARG00000077840,ENSDARG00000078864,ENSDARG00000079027,ENSDARG00000079111,ENSDARG00000086391,ENSDARG00000087446,ENSDARG00000090637,ENSDARG00000090724,ENSDARG00000091126,ENSDARG00000092060,ENSDARG00000098237,ENSDARG00000099481,ENSDARG00000100232,ENSDARG00000103515,ENSDARG00000103589,ENSDARG00000103959,ENSDARG00000105112,ENSDARG00000110069
GO:0051241	negative regulation of multicellular org...	72	4	0.53	0.00188	ENSDARG00000000189,ENSDARG00000000767,ENSDARG00000001807,ENSDARG00000007560,ENSDARG00000010785,ENSDARG00000011163,ENSDARG00000011533,ENSDARG00000011989,ENSDARG00000012248,ENSDARG00000013607,ENSDARG00000016173,ENSDARG00000016363,ENSDARG00000016404,ENSDARG00000016470,ENSDARG00000018260,ENSDARG00000020574,ENSDARG00000021948,ENSDARG00000023484,ENSDARG00000024831,ENSDARG00000026406,ENSDARG00000026726,ENSDARG00000028393,ENSDARG00000033604,ENSDARG00000034268,ENSDARG00000034300,ENSDARG00000034503,ENSDARG00000036227,ENSDARG00000037677,ENSDARG00000040432,ENSDARG00000040747,ENSDARG00000040764,ENSDARG00000041060,ENSDARG00000041430,ENSDARG00000042545,ENSDARG00000042616,ENSDARG00000045092,ENSDARG00000046081,ENSDARG00000055373,ENSDARG00000055416,ENSDARG00000056410,ENSDARG00000058821,ENSDARG00000060012,ENSDARG00000060397,ENSDARG00000060410,ENSDARG00000060994,ENSDARG00000061259,ENSDARG00000061352,ENSDARG00000061471,ENSDARG00000061654,ENSDARG00000062352,ENSDARG00000062892,ENSDARG00000068261,ENSDARG00000069048,ENSDARG00000069484,ENSDARG00000070787,ENSDARG00000073810,ENSDARG00000075110,ENSDARG00000075549,ENSDARG00000075648,ENSDARG00000076595,ENSDARG00000076857,ENSDARG00000077467,ENSDARG00000078592,ENSDARG00000078707,ENSDARG00000089271,ENSDARG00000093498,ENSDARG00000093931,ENSDARG00000101186,ENSDARG00000101347,ENSDARG00000105112,ENSDARG00000113719,ENSDARG00000114760
GO:0010035	response to inorganic substance	36	3	0.27	0.00228	ENSDARG00000003699,ENSDARG00000004415,ENSDARG00000007180,ENSDARG00000011640,ENSDARG00000013961,ENSDARG00000014169,ENSDARG00000014496,ENSDARG00000021787,ENSDARG00000024669,ENSDARG00000025350,ENSDARG00000026376,ENSDARG00000026726,ENSDARG00000029874,ENSDARG00000034503,ENSDARG00000036505,ENSDARG00000038980,ENSDARG00000041411,ENSDARG00000042644,ENSDARG00000044795,ENSDARG00000045768,ENSDARG00000051939,ENSDARG00000053858,ENSDARG00000053896,ENSDARG00000054288,ENSDARG00000055723,ENSDARG00000058476,ENSDARG00000058734,ENSDARG00000069920,ENSDARG00000070168,ENSDARG00000075536,ENSDARG00000089936,ENSDARG00000098252,ENSDARG00000100917,ENSDARG00000101776,ENSDARG00000104058,ENSDARG00000115094
GO:0046677	response to antibiotic	10	2	0.07	0.00231	ENSDARG00000017905,ENSDARG00000024669,ENSDARG00000026726,ENSDARG00000034503,ENSDARG00000038980,ENSDARG00000044795,ENSDARG00000045768,ENSDARG00000053858,ENSDARG00000061355,ENSDARG00000091342
GO:0048646	anatomical structure formation involved ...	262	7	1.93	0.00294	ENSDARG00000001437,ENSDARG00000001807,ENSDARG00000001889,ENSDARG00000002235,ENSDARG00000002937,ENSDARG00000002952,ENSDARG00000002988,ENSDARG00000003293,ENSDARG00000003693,ENSDARG00000003751,ENSDARG00000003961,ENSDARG00000003963,ENSDARG00000004588,ENSDARG00000004753,ENSDARG00000004939,ENSDARG00000005162,ENSDARG00000005185,ENSDARG00000006112,ENSDARG00000006603,ENSDARG00000007329,ENSDARG00000007358,ENSDARG00000008029,ENSDARG00000008279,ENSDARG00000008384,ENSDARG00000008803,ENSDARG00000009387,ENSDARG00000009418,ENSDARG00000009488,ENSDARG00000010717,ENSDARG00000010785,ENSDARG00000011257,ENSDARG00000011571,ENSDARG00000011961,ENSDARG00000012078,ENSDARG00000013150,ENSDARG00000013422,ENSDARG00000013576,ENSDARG00000014159,ENSDARG00000014986,ENSDARG00000015015,ENSDARG00000015427,ENSDARG00000015554,ENSDARG00000015707,ENSDARG00000015752,ENSDARG00000016350,ENSDARG00000017128,ENSDARG00000017400,ENSDARG00000017500,ENSDARG00000017803,ENSDARG00000017821,ENSDARG00000018179,ENSDARG00000018260,ENSDARG00000018765,ENSDARG00000018968,ENSDARG00000019096,ENSDARG00000019335,ENSDARG00000019339,ENSDARG00000019353,ENSDARG00000019371,ENSDARG00000019516,ENSDARG00000019601,ENSDARG00000019743,ENSDARG00000019815,ENSDARG00000019838,ENSDARG00000020610,ENSDARG00000020708,ENSDARG00000020795,ENSDARG00000021895,ENSDARG00000021987,ENSDARG00000022968,ENSDARG00000023963,ENSDARG00000024167,ENSDARG00000025641,ENSDARG00000025902,ENSDARG00000026712,ENSDARG00000026726,ENSDARG00000027290,ENSDARG00000028213,ENSDARG00000029069,ENSDARG00000030058,ENSDARG00000030270,ENSDARG00000030307,ENSDARG00000030402,ENSDARG00000030756,ENSDARG00000030980,ENSDARG00000031761,ENSDARG00000031894,ENSDARG00000032221,ENSDARG00000032389,ENSDARG00000032435,ENSDARG00000032963,ENSDARG00000033955,ENSDARG00000034195,ENSDARG00000034503,ENSDARG00000034559,ENSDARG00000034700,ENSDARG00000035095,ENSDARG00000035521,ENSDARG00000035859,ENSDARG00000036036,ENSDARG00000036090,ENSDARG00000036292,ENSDARG00000036427,ENSDARG00000036930,ENSDARG00000036987,ENSDARG00000037012,ENSDARG00000037677,ENSDARG00000037883,ENSDARG00000037954,ENSDARG00000038153,ENSDARG00000038428,ENSDARG00000038442,ENSDARG00000038446,ENSDARG00000038585,ENSDARG00000039041,ENSDARG00000039577,ENSDARG00000040237,ENSDARG00000040387,ENSDARG00000040432,ENSDARG00000040606,ENSDARG00000040917,ENSDARG00000040926,ENSDARG00000041232,ENSDARG00000041430,ENSDARG00000041530,ENSDARG00000041864,ENSDARG00000041869,ENSDARG00000041895,ENSDARG00000041921,ENSDARG00000042277,ENSDARG00000042485,ENSDARG00000042535,ENSDARG00000042561,ENSDARG00000042796,ENSDARG00000043130,ENSDARG00000043821,ENSDARG00000044573,ENSDARG00000045399,ENSDARG00000045444,ENSDARG00000045544,ENSDARG00000045776,ENSDARG00000045822,ENSDARG00000045958,ENSDARG00000046019,ENSDARG00000052091,ENSDARG00000052094,ENSDARG00000053493,ENSDARG00000053586,ENSDARG00000053868,ENSDARG00000054632,ENSDARG00000054807,ENSDARG00000054942,ENSDARG00000055100,ENSDARG00000055563,ENSDARG00000056012,ENSDARG00000056111,ENSDARG00000056831,ENSDARG00000057633,ENSDARG00000057830,ENSDARG00000058179,ENSDARG00000058598,ENSDARG00000058822,ENSDARG00000059279,ENSDARG00000059327,ENSDARG00000060115,ENSDARG00000060298,ENSDARG00000060410,ENSDARG00000060661,ENSDARG00000060994,ENSDARG00000061904,ENSDARG00000062338,ENSDARG00000062552,ENSDARG00000063295,ENSDARG00000063570,ENSDARG00000068460,ENSDARG00000068516,ENSDARG00000069048,ENSDARG00000069484,ENSDARG00000069640,ENSDARG00000070013,ENSDARG00000070903,ENSDARG00000070914,ENSDARG00000073810,ENSDARG00000074182,ENSDARG00000074804,ENSDARG00000074829,ENSDARG00000074849,ENSDARG00000075110,ENSDARG00000075211,ENSDARG00000075437,ENSDARG00000075549,ENSDARG00000075707,ENSDARG00000076010,ENSDARG00000076020,ENSDARG00000076510,ENSDARG00000076564,ENSDARG00000076624,ENSDARG00000076787,ENSDARG00000077226,ENSDARG00000077261,ENSDARG00000077264,ENSDARG00000077403,ENSDARG00000077469,ENSDARG00000077818,ENSDARG00000077866,ENSDARG00000078308,ENSDARG00000078322,ENSDARG00000078802,ENSDARG00000078864,ENSDARG00000078992,ENSDARG00000079027,ENSDARG00000079111,ENSDARG00000079217,ENSDARG00000079397,ENSDARG00000079564,ENSDARG00000086391,ENSDARG00000086778,ENSDARG00000087020,ENSDARG00000088590,ENSDARG00000089042,ENSDARG00000089871,ENSDARG00000090637,ENSDARG00000091563,ENSDARG00000092060,ENSDARG00000098242,ENSDARG00000098349,ENSDARG00000098749,ENSDARG00000098834,ENSDARG00000099144,ENSDARG00000099339,ENSDARG00000099761,ENSDARG00000099979,ENSDARG00000100483,ENSDARG00000100729,ENSDARG00000101209,ENSDARG00000101380,ENSDARG00000101980,ENSDARG00000102153,ENSDARG00000102180,ENSDARG00000102389,ENSDARG00000102490,ENSDARG00000102855,ENSDARG00000103533,ENSDARG00000103554,ENSDARG00000103589,ENSDARG00000103643,ENSDARG00000103747,ENSDARG00000103791,ENSDARG00000103985,ENSDARG00000104138,ENSDARG00000104566,ENSDARG00000104665,ENSDARG00000104795,ENSDARG00000104815,ENSDARG00000105112,ENSDARG00000110069,ENSDARG00000112049,ENSDARG00000113643,ENSDARG00000114554,ENSDARG00000115359,ENSDARG00000116118,ENSDARG00000116139
