GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000001431	0	0.19554976624464832	actn3b	actinin alpha 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2040]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000019117	0	0.19485375136340502	parvb	parvin, beta [Source:ZFIN;Acc:ZDB-GENE-030131-4411]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000029907	0	0.5260466696312728	trim54	tripartite motif containing 54 [Source:ZFIN;Acc:ZDB-GENE-041014-342]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000032630	0	0.010511216071408216	neb	nebulin [Source:ZFIN;Acc:ZDB-GENE-041111-216]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000037266	0	0.1274570580919757	myoz2b	myozenin 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1853]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000045228	0	0.19461605101825014	stub1	STIP1 homology and U-Box containing protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2963]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000056322	0	0.19335868477449838	ldb3a	LIM domain binding 3a [Source:ZFIN;Acc:ZDB-GENE-040121-6]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000056964	0	0.016147232230669713	ilk	integrin-linked kinase [Source:ZFIN;Acc:ZDB-GENE-040426-1435]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000057317	0	0.1708467260903499	nexn	nexilin (F actin binding protein) [Source:ZFIN;Acc:ZDB-GENE-041114-92]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000067701	0	0.8777229050133714	myoz3a	myozenin 3a [Source:ZFIN;Acc:ZDB-GENE-111012-4]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000071445	0	0.1680458736949681	myoz1b	myozenin 1b [Source:ZFIN;Acc:ZDB-GENE-040718-146]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000098856	0	0.13886161506831915	ENSDARG00000098856	ryanodine receptor 2a (cardiac) [Source:NCBI gene;Acc:100126126]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000101706	0	0.5729408136838178	csrp3	cysteine and glycine-rich protein 3 (cardiac LIM protein) [Source:ZFIN;Acc:ZDB-GENE-041010-119]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000101777	0	0.05115561578255683	pdlim5a	PDZ and LIM domain 5a [Source:NCBI gene;Acc:436927]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000104713	0	0.26692773810017856	zgc:165653	zgc:165653 [Source:ZFIN;Acc:ZDB-GENE-070620-24]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000114870	0	0.19093899520400154	CABZ01078594.1	NA
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000012311	1	0.6860411795732635	myoz2a	myozenin 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1880]
GO:0030018	Z disc	21	5	0.44	5.7e-05	ENSDARG00000014248	1	0.8445907324690255	pdlim3b	PDZ and LIM domain 3b [Source:ZFIN;Acc:ZDB-GENE-060130-104]
