GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0043153	entrainment of circadian clock by photop...	10	3	0.1	0.00011	ENSDARG00000011890,ENSDARG00000019498,ENSDARG00000021882,ENSDARG00000034503,ENSDARG00000037738,ENSDARG00000045768,ENSDARG00000069074,ENSDARG00000091131,ENSDARG00000102403,ENSDARG00000103505
GO:0003007	heart morphogenesis	66	5	0.66	0.00049	ENSDARG00000002216,ENSDARG00000002952,ENSDARG00000003751,ENSDARG00000006603,ENSDARG00000007329,ENSDARG00000009418,ENSDARG00000012078,ENSDARG00000014796,ENSDARG00000015427,ENSDARG00000015681,ENSDARG00000016139,ENSDARG00000017500,ENSDARG00000017803,ENSDARG00000017821,ENSDARG00000018260,ENSDARG00000019815,ENSDARG00000019969,ENSDARG00000020610,ENSDARG00000021232,ENSDARG00000021889,ENSDARG00000026784,ENSDARG00000027423,ENSDARG00000029439,ENSDARG00000033971,ENSDARG00000035095,ENSDARG00000036471,ENSDARG00000037677,ENSDARG00000040237,ENSDARG00000040387,ENSDARG00000040432,ENSDARG00000042535,ENSDARG00000042667,ENSDARG00000045612,ENSDARG00000046019,ENSDARG00000052150,ENSDARG00000053535,ENSDARG00000053617,ENSDARG00000053868,ENSDARG00000061509,ENSDARG00000062003,ENSDARG00000063089,ENSDARG00000071395,ENSDARG00000071498,ENSDARG00000075169,ENSDARG00000075211,ENSDARG00000077226,ENSDARG00000077777,ENSDARG00000077840,ENSDARG00000079027,ENSDARG00000079111,ENSDARG00000086391,ENSDARG00000087446,ENSDARG00000090724,ENSDARG00000092060,ENSDARG00000096433,ENSDARG00000098237,ENSDARG00000099045,ENSDARG00000099481,ENSDARG00000100232,ENSDARG00000100944,ENSDARG00000103515,ENSDARG00000103589,ENSDARG00000103937,ENSDARG00000103959,ENSDARG00000105112,ENSDARG00000110069
GO:0051016	barbed-end actin filament capping	16	3	0.16	0.00049	ENSDARG00000009727,ENSDARG00000011459,ENSDARG00000011661,ENSDARG00000018206,ENSDARG00000034240,ENSDARG00000040466,ENSDARG00000040874,ENSDARG00000045262,ENSDARG00000056090,ENSDARG00000058348,ENSDARG00000059342,ENSDARG00000099672,ENSDARG00000100252,ENSDARG00000102056,ENSDARG00000102415,ENSDARG00000103962
GO:0032922	circadian regulation of gene expression	17	3	0.17	0.00059	ENSDARG00000003631,ENSDARG00000011703,ENSDARG00000011890,ENSDARG00000016536,ENSDARG00000019498,ENSDARG00000029544,ENSDARG00000034503,ENSDARG00000040764,ENSDARG00000045768,ENSDARG00000054823,ENSDARG00000055283,ENSDARG00000058094,ENSDARG00000069074,ENSDARG00000091131,ENSDARG00000094965,ENSDARG00000100321,ENSDARG00000102403
GO:0006281	DNA repair	146	7	1.46	0.00061	ENSDARG00000000476,ENSDARG00000002304,ENSDARG00000002385,ENSDARG00000002396,ENSDARG00000002591,ENSDARG00000003749,ENSDARG00000003904,ENSDARG00000003938,ENSDARG00000003961,ENSDARG00000004274,ENSDARG00000007198,ENSDARG00000008472,ENSDARG00000009494,ENSDARG00000010732,ENSDARG00000011462,ENSDARG00000012325,ENSDARG00000013004,ENSDARG00000013933,ENSDARG00000014161,ENSDARG00000015239,ENSDARG00000016044,ENSDARG00000016514,ENSDARG00000018022,ENSDARG00000018061,ENSDARG00000018891,ENSDARG00000018918,ENSDARG00000019498,ENSDARG00000019529,ENSDARG00000020001,ENSDARG00000020079,ENSDARG00000020289,ENSDARG00000021550,ENSDARG00000021985,ENSDARG00000026035,ENSDARG00000026224,ENSDARG00000026400,ENSDARG00000027689,ENSDARG00000027938,ENSDARG00000028523,ENSDARG00000030573,ENSDARG00000031680,ENSDARG00000032263,ENSDARG00000033231,ENSDARG00000033273,ENSDARG00000035634,ENSDARG00000035700,ENSDARG00000036071,ENSDARG00000037046,ENSDARG00000037188,ENSDARG00000038114,ENSDARG00000038686,ENSDARG00000038917,ENSDARG00000039613,ENSDARG00000039754,ENSDARG00000040041,ENSDARG00000040443,ENSDARG00000041140,ENSDARG00000041411,ENSDARG00000042236,ENSDARG00000042458,ENSDARG00000042527,ENSDARG00000043480,ENSDARG00000043720,ENSDARG00000044622,ENSDARG00000044811,ENSDARG00000045606,ENSDARG00000045843,ENSDARG00000045853,ENSDARG00000045877,ENSDARG00000051731,ENSDARG00000053574,ENSDARG00000054799,ENSDARG00000055232,ENSDARG00000055536,ENSDARG00000056099,ENSDARG00000056414,ENSDARG00000057683,ENSDARG00000058203,ENSDARG00000058533,ENSDARG00000058719,ENSDARG00000059856,ENSDARG00000060002,ENSDARG00000060041,ENSDARG00000060620,ENSDARG00000061414,ENSDARG00000061992,ENSDARG00000062269,ENSDARG00000063076,ENSDARG00000067560,ENSDARG00000068870,ENSDARG00000069283,ENSDARG00000069729,ENSDARG00000070231,ENSDARG00000070432,ENSDARG00000070485,ENSDARG00000071116,ENSDARG00000071551,ENSDARG00000074326,ENSDARG00000074410,ENSDARG00000074431,ENSDARG00000074889,ENSDARG00000074933,ENSDARG00000075083,ENSDARG00000075612,ENSDARG00000075826,ENSDARG00000076379,ENSDARG00000076716,ENSDARG00000076913,ENSDARG00000077479,ENSDARG00000078473,ENSDARG00000078759,ENSDARG00000079202,ENSDARG00000079457,ENSDARG00000079949,ENSDARG00000087985,ENSDARG00000089291,ENSDARG00000091538,ENSDARG00000091768,ENSDARG00000091821,ENSDARG00000092134,ENSDARG00000092305,ENSDARG00000093798,ENSDARG00000095046,ENSDARG00000096229,ENSDARG00000096566,ENSDARG00000098242,ENSDARG00000098605,ENSDARG00000098832,ENSDARG00000099298,ENSDARG00000099519,ENSDARG00000100455,ENSDARG00000101180,ENSDARG00000101611,ENSDARG00000102118,ENSDARG00000102265,ENSDARG00000103137,ENSDARG00000103422,ENSDARG00000103470,ENSDARG00000103933,ENSDARG00000103961,ENSDARG00000104541,ENSDARG00000104709,ENSDARG00000109022,ENSDARG00000112136,ENSDARG00000113848,ENSDARG00000113858
GO:0048646	anatomical structure formation involved ...	272	9	2.71	0.00148	ENSDARG00000001437,ENSDARG00000001807,ENSDARG00000001889,ENSDARG00000002235,ENSDARG00000002937,ENSDARG00000002952,ENSDARG00000003293,ENSDARG00000003751,ENSDARG00000003961,ENSDARG00000003963,ENSDARG00000004049,ENSDARG00000004588,ENSDARG00000004753,ENSDARG00000004939,ENSDARG00000005162,ENSDARG00000005185,ENSDARG00000006353,ENSDARG00000006603,ENSDARG00000006640,ENSDARG00000007329,ENSDARG00000008029,ENSDARG00000008279,ENSDARG00000008384,ENSDARG00000008803,ENSDARG00000009387,ENSDARG00000009418,ENSDARG00000010717,ENSDARG00000010785,ENSDARG00000011146,ENSDARG00000011571,ENSDARG00000011635,ENSDARG00000011961,ENSDARG00000012078,ENSDARG00000014159,ENSDARG00000014215,ENSDARG00000015015,ENSDARG00000015427,ENSDARG00000015554,ENSDARG00000015707,ENSDARG00000015752,ENSDARG00000016350,ENSDARG00000017128,ENSDARG00000017500,ENSDARG00000017803,ENSDARG00000017821,ENSDARG00000017927,ENSDARG00000018179,ENSDARG00000018260,ENSDARG00000018765,ENSDARG00000018907,ENSDARG00000018968,ENSDARG00000019096,ENSDARG00000019335,ENSDARG00000019339,ENSDARG00000019353,ENSDARG00000019371,ENSDARG00000019516,ENSDARG00000019601,ENSDARG00000019815,ENSDARG00000019838,ENSDARG00000020610,ENSDARG00000020708,ENSDARG00000020795,ENSDARG00000020840,ENSDARG00000021232,ENSDARG00000021895,ENSDARG00000021987,ENSDARG00000022968,ENSDARG00000023236,ENSDARG00000023963,ENSDARG00000024017,ENSDARG00000024167,ENSDARG00000025641,ENSDARG00000025902,ENSDARG00000026726,ENSDARG00000026784,ENSDARG00000027290,ENSDARG00000028213,ENSDARG00000029069,ENSDARG00000030058,ENSDARG00000030270,ENSDARG00000030307,ENSDARG00000030402,ENSDARG00000030417,ENSDARG00000030756,ENSDARG00000030980,ENSDARG00000031761,ENSDARG00000031894,ENSDARG00000032221,ENSDARG00000032435,ENSDARG00000032963,ENSDARG00000033327,ENSDARG00000033955,ENSDARG00000034195,ENSDARG00000034503,ENSDARG00000035095,ENSDARG00000035521,ENSDARG00000035859,ENSDARG00000036036,ENSDARG00000036090,ENSDARG00000036292,ENSDARG00000036375,ENSDARG00000036427,ENSDARG00000036471,ENSDARG00000036930,ENSDARG00000037012,ENSDARG00000037677,ENSDARG00000037883,ENSDARG00000037954,ENSDARG00000038153,ENSDARG00000038428,ENSDARG00000038442,ENSDARG00000038446,ENSDARG00000038585,ENSDARG00000038695,ENSDARG00000039392,ENSDARG00000040237,ENSDARG00000040387,ENSDARG00000040432,ENSDARG00000040606,ENSDARG00000040917,ENSDARG00000040926,ENSDARG00000041430,ENSDARG00000041530,ENSDARG00000041864,ENSDARG00000041869,ENSDARG00000041895,ENSDARG00000041921,ENSDARG00000042277,ENSDARG00000042485,ENSDARG00000042535,ENSDARG00000042561,ENSDARG00000042667,ENSDARG00000043035,ENSDARG00000043130,ENSDARG00000043332,ENSDARG00000043548,ENSDARG00000043821,ENSDARG00000044573,ENSDARG00000045399,ENSDARG00000045544,ENSDARG00000045776,ENSDARG00000045958,ENSDARG00000046019,ENSDARG00000052091,ENSDARG00000052094,ENSDARG00000052139,ENSDARG00000053493,ENSDARG00000053586,ENSDARG00000053868,ENSDARG00000054632,ENSDARG00000054807,ENSDARG00000055100,ENSDARG00000055563,ENSDARG00000055635,ENSDARG00000056111,ENSDARG00000056623,ENSDARG00000056624,ENSDARG00000056831,ENSDARG00000057571,ENSDARG00000057633,ENSDARG00000057830,ENSDARG00000058179,ENSDARG00000058598,ENSDARG00000058822,ENSDARG00000059279,ENSDARG00000059327,ENSDARG00000059770,ENSDARG00000059832,ENSDARG00000059965,ENSDARG00000060115,ENSDARG00000060298,ENSDARG00000060372,ENSDARG00000060410,ENSDARG00000060661,ENSDARG00000060994,ENSDARG00000061351,ENSDARG00000061904,ENSDARG00000062338,ENSDARG00000062478,ENSDARG00000063475,ENSDARG00000063570,ENSDARG00000068460,ENSDARG00000068516,ENSDARG00000069048,ENSDARG00000069484,ENSDARG00000070013,ENSDARG00000070903,ENSDARG00000071018,ENSDARG00000073810,ENSDARG00000074182,ENSDARG00000074804,ENSDARG00000074849,ENSDARG00000075110,ENSDARG00000075211,ENSDARG00000075437,ENSDARG00000075549,ENSDARG00000075621,ENSDARG00000075707,ENSDARG00000075949,ENSDARG00000076010,ENSDARG00000076020,ENSDARG00000076510,ENSDARG00000076564,ENSDARG00000076787,ENSDARG00000077226,ENSDARG00000077261,ENSDARG00000077403,ENSDARG00000077469,ENSDARG00000077499,ENSDARG00000077710,ENSDARG00000077811,ENSDARG00000077866,ENSDARG00000078322,ENSDARG00000078335,ENSDARG00000078416,ENSDARG00000078417,ENSDARG00000078802,ENSDARG00000078992,ENSDARG00000079027,ENSDARG00000079111,ENSDARG00000079217,ENSDARG00000079397,ENSDARG00000086391,ENSDARG00000086778,ENSDARG00000087020,ENSDARG00000088590,ENSDARG00000088810,ENSDARG00000089042,ENSDARG00000089871,ENSDARG00000091563,ENSDARG00000092060,ENSDARG00000096546,ENSDARG00000098242,ENSDARG00000098349,ENSDARG00000098749,ENSDARG00000098834,ENSDARG00000099144,ENSDARG00000099339,ENSDARG00000099761,ENSDARG00000099979,ENSDARG00000100483,ENSDARG00000100729,ENSDARG00000100944,ENSDARG00000101209,ENSDARG00000101380,ENSDARG00000101735,ENSDARG00000101980,ENSDARG00000102153,ENSDARG00000102180,ENSDARG00000102389,ENSDARG00000102490,ENSDARG00000102855,ENSDARG00000102889,ENSDARG00000103533,ENSDARG00000103554,ENSDARG00000103589,ENSDARG00000103643,ENSDARG00000103747,ENSDARG00000103985,ENSDARG00000104138,ENSDARG00000104665,ENSDARG00000104795,ENSDARG00000104815,ENSDARG00000105112,ENSDARG00000110069,ENSDARG00000113458,ENSDARG00000113643,ENSDARG00000114554,ENSDARG00000115359,ENSDARG00000116118,ENSDARG00000116139
GO:0007009	plasma membrane organization	26	3	0.26	0.00211	ENSDARG00000003219,ENSDARG00000017246,ENSDARG00000017785,ENSDARG00000019316,ENSDARG00000020581,ENSDARG00000027222,ENSDARG00000029305,ENSDARG00000032849,ENSDARG00000052000,ENSDARG00000054645,ENSDARG00000058638,ENSDARG00000060933,ENSDARG00000061544,ENSDARG00000069432,ENSDARG00000078676,ENSDARG00000087260,ENSDARG00000091614,ENSDARG00000093078,ENSDARG00000099339,ENSDARG00000100828,ENSDARG00000103017,ENSDARG00000103747,ENSDARG00000104264,ENSDARG00000104834,ENSDARG00000105001,ENSDARG00000113723
GO:0060485	mesenchyme development	97	5	0.97	0.00275	ENSDARG00000000189,ENSDARG00000002445,ENSDARG00000002748,ENSDARG00000002795,ENSDARG00000002952,ENSDARG00000003961,ENSDARG00000004537,ENSDARG00000007277,ENSDARG00000007329,ENSDARG00000007560,ENSDARG00000009953,ENSDARG00000010192,ENSDARG00000010583,ENSDARG00000010721,ENSDARG00000011163,ENSDARG00000011533,ENSDARG00000013607,ENSDARG00000015554,ENSDARG00000018765,ENSDARG00000018907,ENSDARG00000020708,ENSDARG00000021895,ENSDARG00000021948,ENSDARG00000027087,ENSDARG00000031894,ENSDARG00000032221,ENSDARG00000033971,ENSDARG00000034300,ENSDARG00000035095,ENSDARG00000036371,ENSDARG00000036471,ENSDARG00000036558,ENSDARG00000037178,ENSDARG00000038446,ENSDARG00000040387,ENSDARG00000040606,ENSDARG00000040920,ENSDARG00000041609,ENSDARG00000041921,ENSDARG00000042535,ENSDARG00000042545,ENSDARG00000042616,ENSDARG00000042667,ENSDARG00000043241,ENSDARG00000044422,ENSDARG00000044525,ENSDARG00000045180,ENSDARG00000045219,ENSDARG00000045601,ENSDARG00000045694,ENSDARG00000045776,ENSDARG00000052091,ENSDARG00000052139,ENSDARG00000052150,ENSDARG00000053493,ENSDARG00000057633,ENSDARG00000058821,ENSDARG00000059279,ENSDARG00000061471,ENSDARG00000062338,ENSDARG00000062352,ENSDARG00000062824,ENSDARG00000068726,ENSDARG00000069014,ENSDARG00000074414,ENSDARG00000075211,ENSDARG00000075648,ENSDARG00000076317,ENSDARG00000076595,ENSDARG00000077226,ENSDARG00000077467,ENSDARG00000077469,ENSDARG00000077847,ENSDARG00000078416,ENSDARG00000078592,ENSDARG00000078707,ENSDARG00000079111,ENSDARG00000088143,ENSDARG00000091293,ENSDARG00000091563,ENSDARG00000096546,ENSDARG00000098349,ENSDARG00000098375,ENSDARG00000099481,ENSDARG00000099979,ENSDARG00000100252,ENSDARG00000100729,ENSDARG00000100944,ENSDARG00000101209,ENSDARG00000101980,ENSDARG00000102956,ENSDARG00000103025,ENSDARG00000103515,ENSDARG00000103959,ENSDARG00000105301,ENSDARG00000110069,ENSDARG00000113719
GO:0009314	response to radiation	75	7	0.75	0.00346	ENSDARG00000002193,ENSDARG00000003631,ENSDARG00000006791,ENSDARG00000007198,ENSDARG00000008127,ENSDARG00000009637,ENSDARG00000010732,ENSDARG00000011259,ENSDARG00000011703,ENSDARG00000011890,ENSDARG00000012504,ENSDARG00000014201,ENSDARG00000015918,ENSDARG00000016536,ENSDARG00000019498,ENSDARG00000019902,ENSDARG00000021150,ENSDARG00000021882,ENSDARG00000021985,ENSDARG00000024208,ENSDARG00000025032,ENSDARG00000025671,ENSDARG00000026726,ENSDARG00000027234,ENSDARG00000027822,ENSDARG00000030867,ENSDARG00000031680,ENSDARG00000032246,ENSDARG00000034503,ENSDARG00000035732,ENSDARG00000036460,ENSDARG00000037738,ENSDARG00000039117,ENSDARG00000039534,ENSDARG00000041381,ENSDARG00000042840,ENSDARG00000044199,ENSDARG00000045677,ENSDARG00000045768,ENSDARG00000045808,ENSDARG00000052223,ENSDARG00000052775,ENSDARG00000053326,ENSDARG00000053858,ENSDARG00000053929,ENSDARG00000054181,ENSDARG00000054890,ENSDARG00000054937,ENSDARG00000058803,ENSDARG00000062467,ENSDARG00000069074,ENSDARG00000069283,ENSDARG00000070231,ENSDARG00000070666,ENSDARG00000071551,ENSDARG00000075297,ENSDARG00000075612,ENSDARG00000079129,ENSDARG00000086756,ENSDARG00000089042,ENSDARG00000091131,ENSDARG00000091640,ENSDARG00000098242,ENSDARG00000098724,ENSDARG00000099298,ENSDARG00000101209,ENSDARG00000102403,ENSDARG00000102430,ENSDARG00000103259,ENSDARG00000103505,ENSDARG00000103574,ENSDARG00000103674,ENSDARG00000111213,ENSDARG00000111860,ENSDARG00000116976
GO:0007517	muscle organ development	63	4	0.63	0.00351	ENSDARG00000002952,ENSDARG00000003259,ENSDARG00000003776,ENSDARG00000004049,ENSDARG00000004452,ENSDARG00000007277,ENSDARG00000008322,ENSDARG00000008803,ENSDARG00000011490,ENSDARG00000011821,ENSDARG00000016404,ENSDARG00000018460,ENSDARG00000019316,ENSDARG00000020610,ENSDARG00000020785,ENSDARG00000021889,ENSDARG00000021987,ENSDARG00000022968,ENSDARG00000025641,ENSDARG00000028213,ENSDARG00000036371,ENSDARG00000037560,ENSDARG00000039878,ENSDARG00000040031,ENSDARG00000040432,ENSDARG00000042282,ENSDARG00000042667,ENSDARG00000044811,ENSDARG00000045560,ENSDARG00000052150,ENSDARG00000052734,ENSDARG00000053254,ENSDARG00000053505,ENSDARG00000055185,ENSDARG00000055618,ENSDARG00000056621,ENSDARG00000058551,ENSDARG00000060397,ENSDARG00000061436,ENSDARG00000061752,ENSDARG00000062003,ENSDARG00000062590,ENSDARG00000071498,ENSDARG00000074131,ENSDARG00000075226,ENSDARG00000075450,ENSDARG00000076564,ENSDARG00000078618,ENSDARG00000079605,ENSDARG00000079752,ENSDARG00000087646,ENSDARG00000087704,ENSDARG00000088590,ENSDARG00000093714,ENSDARG00000099563,ENSDARG00000100729,ENSDARG00000101209,ENSDARG00000101380,ENSDARG00000103643,ENSDARG00000104260,ENSDARG00000104267,ENSDARG00000110016,ENSDARG00000115301
