ID	p	p.adjusted	name
ZFA:0000155	2.3790275968241357E-11	2.2148746926432704E-8	"somite"
ZFA:0000279	3.868150372512087E-11	3.601247996808753E-8	"segmental plate"
ZFA:0001484	6.365064401868741E-11	5.925874958139798E-8	"superficial blastomere"
ZFA:0001185	1.0567827287492196E-10	9.838647204655235E-8	"periderm"
ZFA:0000086	1.438625296065428E-10	1.3393601506369136E-7	"EVL"
ZFA:0000003	2.236908706561227E-10	2.0825620058085022E-7	"adaxial cell"
ZFA:0005145	4.331212923962095E-10	4.03235923220871E-7	"muscle"
ZFA:0000591	1.7262594440621816E-9	1.6071475424218911E-6	"presumptive paraxial mesoderm"
ZFA:0000255	3.838350844100783E-9	3.573504635857829E-6	"paraxial mesoderm"
ZFA:0000393	5.6185153046219775E-9	5.230837748603061E-6	"mesenchyme"
ZFA:0001373	2.036737277464251E-8	1.8962024053192176E-5	"migratory slow muscle precursor cell"
ZFA:0009291	2.796542255189533E-8	2.6035808395814553E-5	"muscle precursor cell"
ZFA:0009025	4.7191287628524286E-8	4.393508878215611E-5	"myoblast"
ZFA:0009013	1.5827464863155721E-7	1.4735369787597977E-4	"single fate stem cell"
ZFA:0000548	1.9553412037993744E-7	1.8204226607372175E-4	"musculature system"
ZFA:0001115	4.975421882660737E-7	4.6321177727571465E-4	"trunk"
ZFA:0009114	8.586502106511625E-7	7.994033461162322E-4	"muscle cell"
ZFA:0000077	8.95184809550355E-7	8.334170576913805E-4	"tail bud"
ZFA:0001122	1.0442958028564703E-6	9.722393924593739E-4	"primary germ layer"
ZFA:0000473	1.8273765654142318E-6	0.0017012875824006497	"trunk musculature"
ZFA:0009138	1.9559100378883348E-6	0.0018209522452740396	"mesodermal cell"
ZFA:0001486	3.2107222240476953E-6	0.0029891823905884045	"epithelium"
ZFA:0001308	7.43719347466844E-6	0.006924027124916318	"organism subdivision"
ZFA:0000037	1.583911280063432E-5	0.014746214017390553	"anatomical structure"
ZFA:0001056	1.7898043800090498E-5	0.016663078777884255	"myotome"
ZFA:0005277	4.3336497236945676E-5	0.04034627892759642	"skeletal muscle"
ZFA:0000328	4.483004191322867E-5	0.04173676902121589	"cephalic musculature"
ZFA:0000360	6.203955830102627E-5	0.05775882877825545	"heart tube"
ZFA:0000105	1.5446016026186143E-4	0.143802409203793	"epidermis"
ZFA:0009251	1.736351422135344E-4	0.16165431740080052	"granulocyte monocyte progenitor cell"
ZFA:0009362	3.016367961187571E-4	0.2808238571865629	"neuromast mantle cell"
ZFA:0000114	3.342528446927058E-4	0.3111893984089091	"heart"
ZFA:0000149	4.078492290053924E-4	0.3797076322040203	"primitive heart tube"
ZFA:0005594	6.519388583090783E-4	0.6069550770857519	"anatomical surface"
ZFA:0000038	7.421455398095879E-4	0.6909374975627264	"margin"
ZFA:0001377	9.001918068481552E-4	0.8380785721756325	"presumptive mesoderm"
ZFA:0000081	9.859332758061232E-4	0.9179038797755007	"trunk mesenchyme"
ZFA:0009000	0.001115817826998035	1.0	"cell"
ZFA:0000368	0.0012661143891929134	1.0	"integument"
ZFA:0005781	0.0012955301782199046	1.0	"cloaca"
ZFA:0001719	0.0013859996447645275	1.0	"presumptive cardiac ventricle heart tube"
ZFA:0001720	0.0013859996447645275	1.0	"presumptive cardiac ventricle primitive heart tube"
ZFA:0001179	0.0014689828203232507	1.0	"epidermal superficial stratum"
ZFA:0000034	0.0015241563397548454	1.0	"lateral line system"
ZFA:0000009	0.0015326378880758692	1.0	"cardiac ventricle"
ZFA:0001105	0.0016062238629106509	1.0	"embryonic structure"
ZFA:0000115	0.002196092296080229	1.0	"heart rudiment"
ZFA:0000521	0.0024814692790096184	1.0	"hyoid muscle"
ZFA:0001652	0.002641774314889065	1.0	"head muscle"
ZFA:0000028	0.0026939003022241753	1.0	"heart primordium"
ZFA:0001688	0.00284380269800686	1.0	"corneal primordium"
ZFA:0001477	0.003110889898247654	1.0	"portion of tissue"
ZFA:0000154	0.003852728860018394	1.0	"sinus venosus"
ZFA:0001722	0.0049759565039571	1.0	"presumptive sinus venosus"
ZFA:0001307	0.005747129898089226	1.0	"pharyngeal musculature"
ZFA:0009253	0.0067329561219693634	1.0	"promonocyte"
ZFA:0001086	0.006817547897129449	1.0	"muscle pioneer"
ZFA:0007115	0.006908507645115023	1.0	"pericardial region"
ZFA:0000382	0.0070928981113929455	1.0	"acellular anatomical structure"
ZFA:0000236	0.007343621590293425	1.0	"mandibular muscle"
ZFA:0000112	0.008649797018520209	1.0	"gut"
ZFA:0000010	0.009591927251354182	1.0	"cardiovascular system"
ZFA:0000640	0.00965678229818839	1.0	"cornea"
ZFA:0000243	0.009868912202071967	1.0	"neuromast"
ZFA:0001055	0.0102476061037653	1.0	"pronephric duct opening"
ZFA:0005227	0.010646005475349812	1.0	"protoneuromast"
ZFA:0000053	0.011642523578171188	1.0	"presumptive segmental plate"
ZFA:0000056	0.011977532560883457	1.0	"pharynx"
ZFA:0009368	0.012292851191650994	1.0	"slow muscle myoblast"
