GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000001818	0	-0.31068022330651274	c3b.2	complement component c3b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3063]
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000019772	0	-0.35387826640836667	si:ch1073-280e3.1	si:ch1073-280e3.1 [Source:ZFIN;Acc:ZDB-GENE-110411-261]
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000026335	0	-0.07808011189774394	susd4	sushi domain containing 4 [Source:NCBI gene;Acc:560304]
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000040130	0	-0.5823191074368057	si:ch211-215k15.4	si:ch211-215k15.4 [Source:ZFIN;Acc:ZDB-GENE-131127-215]
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000052207	0	-0.7785988953651297	c3a.3	complement component c3a, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-990415-37]
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000058053	0	-0.029573602371841295	serping1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1262]
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000088745	0	-1.0294481053416713	MFAP4	zgc:173915 [Source:ZFIN;Acc:ZDB-GENE-071004-112]
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000090783	0	-1.4903589139594664	mfap4	microfibril associated protein 4 [Source:ZFIN;Acc:ZDB-GENE-040426-2246]
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000093052	0	-2.8439716751581607	c6	complement component 6 [Source:ZFIN;Acc:ZDB-GENE-040426-1358]
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000093198	0	-0.6586062250787584	c3a.4	complement component c3a, duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-140822-3]
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000093877	0	-0.7013048361762977	si:zfos-2330d3.7	si:zfos-2330d3.7 [Source:ZFIN;Acc:ZDB-GENE-121214-112]
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000094408	0	-0.7018797983869421	si:ch1073-110a20.1	si:ch1073-110a20.1 [Source:ZFIN;Acc:ZDB-GENE-121214-183]
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000099839	0	-0.19871279345925516	si:ch211-9d9.1	si:ch211-9d9.1 [Source:ZFIN;Acc:ZDB-GENE-030131-2657]
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000101479	0	-1.016445618222673	BX908782.2	CD59 glycoprotein-like [Source:NCBI gene;Acc:103910140]
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000102119	0	-0.24248281308607048	si:ch73-359m17.2	si:ch73-359m17.2 [Source:ZFIN;Acc:ZDB-GENE-141222-90]
