GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0072376	protein activation cascade	16	1	0.02	0.016	ENSDARG00000001818,ENSDARG00000019772,ENSDARG00000026335,ENSDARG00000040130,ENSDARG00000052207,ENSDARG00000058053,ENSDARG00000088745,ENSDARG00000090783,ENSDARG00000093052,ENSDARG00000093068,ENSDARG00000093198,ENSDARG00000093877,ENSDARG00000094408,ENSDARG00000099839,ENSDARG00000101479,ENSDARG00000102119
GO:0006956	complement activation	16	1	0.02	0.016	ENSDARG00000001818,ENSDARG00000019772,ENSDARG00000026335,ENSDARG00000040130,ENSDARG00000052207,ENSDARG00000058053,ENSDARG00000088745,ENSDARG00000090783,ENSDARG00000093052,ENSDARG00000093068,ENSDARG00000093198,ENSDARG00000093877,ENSDARG00000094408,ENSDARG00000099839,ENSDARG00000101479,ENSDARG00000102119
GO:0098869	cellular oxidant detoxification	19	1	0.02	0.019	ENSDARG00000003077,ENSDARG00000004539,ENSDARG00000012535,ENSDARG00000019521,ENSDARG00000032102,ENSDARG00000033285,ENSDARG00000033364,ENSDARG00000043511,ENSDARG00000052148,ENSDARG00000062632,ENSDARG00000068415,ENSDARG00000068478,ENSDARG00000075299,ENSDARG00000075923,ENSDARG00000087059,ENSDARG00000089124,ENSDARG00000092052,ENSDARG00000116246,ENSDARG00000117204
GO:0042074	cell migration involved in gastrulation	21	1	0.02	0.021	ENSDARG00000006603,ENSDARG00000014986,ENSDARG00000017500,ENSDARG00000023578,ENSDARG00000024865,ENSDARG00000036987,ENSDARG00000044573,ENSDARG00000045219,ENSDARG00000055100,ENSDARG00000059236,ENSDARG00000061915,ENSDARG00000069185,ENSDARG00000069266,ENSDARG00000070795,ENSDARG00000074597,ENSDARG00000074849,ENSDARG00000076060,ENSDARG00000091777,ENSDARG00000092947,ENSDARG00000095863,ENSDARG00000114237
GO:1990748	cellular detoxification	23	1	0.02	0.023	ENSDARG00000003077,ENSDARG00000004539,ENSDARG00000012535,ENSDARG00000019496,ENSDARG00000019521,ENSDARG00000032102,ENSDARG00000033285,ENSDARG00000033364,ENSDARG00000043511,ENSDARG00000052148,ENSDARG00000062632,ENSDARG00000068415,ENSDARG00000068478,ENSDARG00000075299,ENSDARG00000075923,ENSDARG00000087059,ENSDARG00000087262,ENSDARG00000088366,ENSDARG00000089124,ENSDARG00000091211,ENSDARG00000092052,ENSDARG00000116246,ENSDARG00000117204
GO:0097237	cellular response to toxic substance	25	1	0.03	0.025	ENSDARG00000003077,ENSDARG00000004539,ENSDARG00000012535,ENSDARG00000019496,ENSDARG00000019521,ENSDARG00000024669,ENSDARG00000026726,ENSDARG00000032102,ENSDARG00000033285,ENSDARG00000033364,ENSDARG00000043511,ENSDARG00000052148,ENSDARG00000062632,ENSDARG00000068415,ENSDARG00000068478,ENSDARG00000075299,ENSDARG00000075923,ENSDARG00000087059,ENSDARG00000087262,ENSDARG00000088366,ENSDARG00000089124,ENSDARG00000091211,ENSDARG00000092052,ENSDARG00000116246,ENSDARG00000117204
GO:0006959	humoral immune response	25	1	0.03	0.025	ENSDARG00000001807,ENSDARG00000001818,ENSDARG00000010794,ENSDARG00000019457,ENSDARG00000019772,ENSDARG00000026335,ENSDARG00000036084,ENSDARG00000040130,ENSDARG00000052207,ENSDARG00000056784,ENSDARG00000058053,ENSDARG00000075163,ENSDARG00000088745,ENSDARG00000089187,ENSDARG00000090783,ENSDARG00000093052,ENSDARG00000093068,ENSDARG00000093198,ENSDARG00000093877,ENSDARG00000094408,ENSDARG00000099839,ENSDARG00000101479,ENSDARG00000102119,ENSDARG00000104795,ENSDARG00000113009
GO:0098754	detoxification	27	1	0.03	0.027	ENSDARG00000003077,ENSDARG00000004539,ENSDARG00000004687,ENSDARG00000012535,ENSDARG00000019496,ENSDARG00000019521,ENSDARG00000021787,ENSDARG00000032102,ENSDARG00000033285,ENSDARG00000033364,ENSDARG00000038980,ENSDARG00000043511,ENSDARG00000052148,ENSDARG00000058953,ENSDARG00000062632,ENSDARG00000068415,ENSDARG00000068478,ENSDARG00000075299,ENSDARG00000075923,ENSDARG00000087059,ENSDARG00000087262,ENSDARG00000088366,ENSDARG00000089124,ENSDARG00000091211,ENSDARG00000092052,ENSDARG00000116246,ENSDARG00000117204
GO:0006979	response to oxidative stress	34	1	0.03	0.034	ENSDARG00000003077,ENSDARG00000004539,ENSDARG00000012535,ENSDARG00000013095,ENSDARG00000018459,ENSDARG00000019521,ENSDARG00000020693,ENSDARG00000021555,ENSDARG00000024669,ENSDARG00000026726,ENSDARG00000029587,ENSDARG00000032102,ENSDARG00000034503,ENSDARG00000038980,ENSDARG00000041617,ENSDARG00000042824,ENSDARG00000052148,ENSDARG00000055270,ENSDARG00000057437,ENSDARG00000060345,ENSDARG00000061735,ENSDARG00000062632,ENSDARG00000063310,ENSDARG00000063511,ENSDARG00000068478,ENSDARG00000078452,ENSDARG00000079397,ENSDARG00000089697,ENSDARG00000098733,ENSDARG00000101641,ENSDARG00000102379,ENSDARG00000102765,ENSDARG00000114695,ENSDARG00000116246
GO:0008544	epidermis development	34	1	0.03	0.034	ENSDARG00000004322,ENSDARG00000006921,ENSDARG00000007561,ENSDARG00000009550,ENSDARG00000012397,ENSDARG00000013144,ENSDARG00000018109,ENSDARG00000020621,ENSDARG00000025428,ENSDARG00000026726,ENSDARG00000028148,ENSDARG00000035648,ENSDARG00000042141,ENSDARG00000044016,ENSDARG00000051876,ENSDARG00000055158,ENSDARG00000056458,ENSDARG00000058848,ENSDARG00000068166,ENSDARG00000068365,ENSDARG00000069423,ENSDARG00000074749,ENSDARG00000077818,ENSDARG00000079834,ENSDARG00000093738,ENSDARG00000094454,ENSDARG00000099871,ENSDARG00000100097,ENSDARG00000101878,ENSDARG00000102890,ENSDARG00000102948,ENSDARG00000103459,ENSDARG00000104039,ENSDARG00000105434
