GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000003146	0	-0.37905769389687294	si:dkey-27m7.4	si:dkey-27m7.4 [Source:ZFIN;Acc:ZDB-GENE-090313-297]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000005221	0	-0.033552970002830966	desmb	desmin b [Source:ZFIN;Acc:ZDB-GENE-061027-102]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000011862	0	-0.0014031596147621533	inaa	internexin neuronal intermediate filament protein, alpha a [Source:ZFIN;Acc:ZDB-GENE-060531-65]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000012281	0	-0.24692376996837184	zgc:65851	zgc:65851 [Source:ZFIN;Acc:ZDB-GENE-030131-9669]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000017624	0	-0.37844770101494435	krt4	keratin 4 [Source:ZFIN;Acc:ZDB-GENE-000607-83]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000019365	0	-0.27480558202186145	krt99	keratin 99 [Source:ZFIN;Acc:ZDB-GENE-050417-50]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000021351	0	-0.12489389719202057	nefma	neurofilament, medium polypeptide a [Source:ZFIN;Acc:ZDB-GENE-050522-205]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000021987	0	-0.04868043333999737	plecb	plectin b [Source:ZFIN;Acc:ZDB-GENE-100917-2]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000023082	0	-0.12676209646552253	krt1-19d	keratin, type 1, gene 19d [Source:ZFIN;Acc:ZDB-GENE-060316-1]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000025301	0	-0.25330927196662373	gfap	glial fibrillary acidic protein [Source:NCBI gene;Acc:30646]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000028306	0	-0.07784619591713869	prph	peripherin [Source:ZFIN;Acc:ZDB-GENE-990415-207]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000028533	0	-0.14826720161985424	macf1a	microtubule actin crosslinking factor 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3606]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000028618	0	-0.159448794730122	krt18b	keratin 18b [Source:ZFIN;Acc:ZDB-GENE-040426-1508]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000034836	0	-0.19461055842940628	si:dkey-222n6.2	si:dkey-222n6.2 [Source:ZFIN;Acc:ZDB-GENE-031118-10]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000036830	0	-0.14286410946663208	krt91	keratin 91 [Source:ZFIN;Acc:ZDB-GENE-040801-181]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000036834	0	-0.10350120320132147	krt92	keratin 92 [Source:ZFIN;Acc:ZDB-GENE-050417-363]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000036840	0	-0.17091173523919156	krt15	keratin 15 [Source:ZFIN;Acc:ZDB-GENE-040426-2931]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000041339	0	-0.10450929482449499	zgc:92380	zgc:92380 [Source:ZFIN;Acc:ZDB-GENE-040801-221]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000043697	0	-0.11046276677587767	nefmb	neurofilament, medium polypeptide b [Source:ZFIN;Acc:ZDB-GENE-070103-4]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000044261	0	-0.030703026454252266	si:ch211-243g18.2	si:ch211-243g18.2 [Source:ZFIN;Acc:ZDB-GENE-030131-2830]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000044975	0	-0.05564154708411112	krt94	keratin 94 [Source:ZFIN;Acc:ZDB-GENE-061027-116]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000044976	0	-0.540289447617724	krt93	keratin 93 [Source:ZFIN;Acc:ZDB-GENE-060421-4592]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000053248	0	-0.07152157200950876	inab	internexin neuronal intermediate filament protein, alpha b [Source:ZFIN;Acc:ZDB-GENE-990415-83]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000057568	0	-0.2724403212808124	nefla	neurofilament, light polypeptide a [Source:ZFIN;Acc:ZDB-GENE-091117-1]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000058332	0	-0.47344750153641374	krt18a.2	keratin 18a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-090312-205]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000058358	0	-0.014432450583737792	krt8	keratin 8 [Source:NCBI gene;Acc:797433]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000058371	0	-0.03915306743950166	krt5	keratin 5 [Source:ZFIN;Acc:ZDB-GENE-991110-23]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000062101	0	-0.21817757956137274	iffo2a	intermediate filament family orphan 2a [Source:ZFIN;Acc:ZDB-GENE-090313-342]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000062108	0	-0.10363940250948245	iffo1b	intermediate filament family orphan 1b [Source:ZFIN;Acc:ZDB-GENE-050208-308]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000062350	0	-0.18610904901584527	synm	synemin, intermediate filament protein [Source:ZFIN;Acc:ZDB-GENE-050419-81]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000062590	0	-0.08369185511773546	pleca	plectin a [Source:ZFIN;Acc:ZDB-GENE-030131-8984]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000062976	0	-0.1075564936116681	iffo1a	intermediate filament family orphan 1a [Source:ZFIN;Acc:ZDB-GENE-060503-418]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000071518	0	-0.01516618285406885	krt222	keratin 222 [Source:ZFIN;Acc:ZDB-GENE-070912-343]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000089435	0	-0.37353014187992617	macf1b	microtubule actin crosslinking factor 1b [Source:ZFIN;Acc:ZDB-GENE-100922-36]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000090268	0	-0.18843838676199487	krtt1c19e	keratin type 1 c19e [Source:ZFIN;Acc:ZDB-GENE-050506-95]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000094041	0	-0.11995473561588962	krt17	keratin 17 [Source:ZFIN;Acc:ZDB-GENE-060503-86]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000095147	0	-0.4404854885083329	krt96	keratin 96 [Source:ZFIN;Acc:ZDB-GENE-030131-221]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000101624	0	-0.038426336136581	lmnb2	lamin B2 [Source:ZFIN;Acc:ZDB-GENE-990630-13]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000101858	0	-0.14865824121447122	DST	dystonin [Source:HGNC Symbol;Acc:HGNC:1090]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000102911	0	-0.6309989541730923	iffo2b	intermediate filament family orphan 2b [Source:ZFIN;Acc:ZDB-GENE-121030-9]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000103459	0	-0.2678498498806141	evplb	envoplakin b [Source:ZFIN;Acc:ZDB-GENE-030131-212]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000105188	0	-0.03421842761021956	vimr2	vimentin-related 2 [Source:ZFIN;Acc:ZDB-GENE-160113-76]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000036832	1	-0.7056547851139567	cyt1l	type I cytokeratin, enveloping layer, like [Source:ZFIN;Acc:ZDB-GENE-061026-4]
GO:0005882	intermediate filament	44	2	0.06	0.0014	ENSDARG00000092947	1	-0.8357831840956627	cyt1	type I cytokeratin, enveloping layer [Source:ZFIN;Acc:ZDB-GENE-991008-6]
