GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000000103	0	-0.1370180681703807	myh10	myosin, heavy chain 10, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030616-162]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000000370	0	-0.1741724691192129	triob	trio Rho guanine nucleotide exchange factor b [Source:ZFIN;Acc:ZDB-GENE-030616-399]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000000476	0	-0.12717996706920143	pms1	PMS1 homolog 1, mismatch repair system component [Source:ZFIN;Acc:ZDB-GENE-030616-528]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000000606	0	-0.15371050938823436	dnah6	dynein, axonemal, heavy chain 6 [Source:ZFIN;Acc:ZDB-GENE-030616-623]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000000853	0	-0.026580442776611552	dstyk	dual serine/threonine and tyrosine protein kinase [Source:NCBI gene;Acc:402922]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000001014	0	-0.13074274001209985	myh9b	myosin, heavy chain 9b, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030131-998]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000001129	0	-0.12096369501008797	dicer1	dicer 1, ribonuclease type III [Source:NCBI gene;Acc:324724]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000001234	0	-0.08546171913565798	map4k2	mitogen-activated protein kinase kinase kinase kinase 2 [Source:ZFIN;Acc:ZDB-GENE-030616-163]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000001558	0	-0.050484311222346034	kifc1	kinesin family member C1 [Source:ZFIN;Acc:ZDB-GENE-000208-21]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000001782	0	-0.6477416174153279	prkacba	protein kinase, cAMP-dependent, catalytic, beta a [Source:ZFIN;Acc:ZDB-GENE-040426-1351]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000001870	0	-0.0894404394657553	atp1a1a.4	ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-001212-4]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000001929	0	-0.3226510243252294	pink1	PTEN induced kinase 1 [Source:ZFIN;Acc:ZDB-GENE-041212-53]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000001953	0	-0.1977564420253252	pfkfb3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2724]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000001993	0	-0.38190254923894845	myhb	myosin, heavy chain b [Source:ZFIN;Acc:ZDB-GENE-081124-1]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000002037	0	-0.15295392361391955	pfkfb2b	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2b [Source:ZFIN;Acc:ZDB-GENE-120222-1]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000002385	0	-0.30541541709818687	atm	ATM serine/threonine kinase [Source:ZFIN;Acc:ZDB-GENE-040809-1]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000002402	0	-0.06806468541378113	ercc3	excision repair cross-complementation group 3 [Source:NCBI gene;Acc:324323]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000002791	0	-0.017715128564043246	atp1a1a.1	ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-001212-1]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000002947	0	-0.08879839145487176	abcd3b	ATP-binding cassette, sub-family D (ALD), member 3b [Source:ZFIN;Acc:ZDB-GENE-050517-29]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000003035	0	-0.1347270145420225	hspa9	heat shock protein 9 [Source:ZFIN;Acc:ZDB-GENE-030828-12]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000003208	0	-0.03158671921990672	pomk	protein O-mannose kinase [Source:NCBI gene;Acc:492773]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000003311	0	-0.1699112107174625	pank2	pantothenate kinase 2 [Source:ZFIN;Acc:ZDB-GENE-070112-1952]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000003446	0	-0.25391483337641135	ippk	inositol 1,3,4,5,6-pentakisphosphate 2-kinase [Source:NCBI gene;Acc:541511]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000003750	0	-0.12453774271295517	pfas	phosphoribosylformylglycinamidine synthase [Source:ZFIN;Acc:ZDB-GENE-030131-4420]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000003751	0	-0.13681344973893295	lats1	large tumor suppressor kinase 1 [Source:ZFIN;Acc:ZDB-GENE-050523-2]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000003776	0	-0.06173852922704601	pip4k2aa	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha a [Source:ZFIN;Acc:ZDB-GENE-080721-18]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000003867	0	-0.26468776675828076	cdk20	cyclin-dependent kinase 20 [Source:NCBI gene;Acc:494112]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000004130	0	-0.40772982065025554	mvk	mevalonate kinase [Source:ZFIN;Acc:ZDB-GENE-041114-37]
GO:0005524	ATP binding	790	4	0.92	0.0096	ENSDARG00000004176	0	-0.3049829673534132	ulk4	unc-51 like kinase 4 [Source:ZFIN;Acc:ZDB-GENE-100922-243]
