GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0007160	cell-matrix adhesion	38	4	0.11	3.6e-06	ENSDARG00000002494,ENSDARG00000008969,ENSDARG00000011299,ENSDARG00000016939,ENSDARG00000019117,ENSDARG00000019815,ENSDARG00000028222,ENSDARG00000028507,ENSDARG00000031588,ENSDARG00000037281,ENSDARG00000040985,ENSDARG00000044433,ENSDARG00000045420,ENSDARG00000052652,ENSDARG00000071863,ENSDARG00000075707,ENSDARG00000076386,ENSDARG00000080675,ENSDARG00000088590,ENSDARG00000097080,ENSDARG00000097539,ENSDARG00000098256,ENSDARG00000098736,ENSDARG00000100106,ENSDARG00000101200,ENSDARG00000103129,ENSDARG00000103498,ENSDARG00000103634,ENSDARG00000103650,ENSDARG00000103973,ENSDARG00000104324,ENSDARG00000104484,ENSDARG00000104642,ENSDARG00000105391,ENSDARG00000109929,ENSDARG00000113076,ENSDARG00000115301,ENSDARG00000116430
GO:0010770	positive regulation of cell morphogenesi...	12	2	0.03	0.00052	ENSDARG00000006385,ENSDARG00000008170,ENSDARG00000014976,ENSDARG00000015278,ENSDARG00000016016,ENSDARG00000017211,ENSDARG00000018817,ENSDARG00000030367,ENSDARG00000037116,ENSDARG00000079892,ENSDARG00000094799,ENSDARG00000098233
GO:0006954	inflammatory response	72	3	0.21	0.00110	ENSDARG00000002552,ENSDARG00000004586,ENSDARG00000007289,ENSDARG00000009473,ENSDARG00000010276,ENSDARG00000010785,ENSDARG00000014490,ENSDARG00000016188,ENSDARG00000018569,ENSDARG00000023526,ENSDARG00000026925,ENSDARG00000035552,ENSDARG00000036041,ENSDARG00000036888,ENSDARG00000037116,ENSDARG00000040076,ENSDARG00000040249,ENSDARG00000041923,ENSDARG00000042816,ENSDARG00000042984,ENSDARG00000044415,ENSDARG00000045443,ENSDARG00000052039,ENSDARG00000052322,ENSDARG00000054968,ENSDARG00000055276,ENSDARG00000055781,ENSDARG00000058045,ENSDARG00000062788,ENSDARG00000069945,ENSDARG00000070873,ENSDARG00000071499,ENSDARG00000074772,ENSDARG00000075045,ENSDARG00000076574,ENSDARG00000077138,ENSDARG00000077982,ENSDARG00000078605,ENSDARG00000086173,ENSDARG00000086314,ENSDARG00000089383,ENSDARG00000089645,ENSDARG00000090873,ENSDARG00000091280,ENSDARG00000093750,ENSDARG00000094511,ENSDARG00000097816,ENSDARG00000098481,ENSDARG00000098486,ENSDARG00000098602,ENSDARG00000098700,ENSDARG00000099817,ENSDARG00000099936,ENSDARG00000099982,ENSDARG00000100095,ENSDARG00000100184,ENSDARG00000100295,ENSDARG00000100649,ENSDARG00000101040,ENSDARG00000101621,ENSDARG00000101914,ENSDARG00000102299,ENSDARG00000102583,ENSDARG00000102776,ENSDARG00000103308,ENSDARG00000103466,ENSDARG00000103775,ENSDARG00000104045,ENSDARG00000104359,ENSDARG00000104847,ENSDARG00000112125,ENSDARG00000116628
GO:1990266	neutrophil migration	40	2	0.12	0.00582	ENSDARG00000004301,ENSDARG00000018283,ENSDARG00000018569,ENSDARG00000028401,ENSDARG00000030608,ENSDARG00000037116,ENSDARG00000038010,ENSDARG00000041923,ENSDARG00000044001,ENSDARG00000051975,ENSDARG00000052779,ENSDARG00000067916,ENSDARG00000068653,ENSDARG00000068923,ENSDARG00000070121,ENSDARG00000070873,ENSDARG00000071499,ENSDARG00000074772,ENSDARG00000075045,ENSDARG00000076196,ENSDARG00000077850,ENSDARG00000079802,ENSDARG00000090873,ENSDARG00000094511,ENSDARG00000095409,ENSDARG00000098367,ENSDARG00000098602,ENSDARG00000098700,ENSDARG00000098752,ENSDARG00000099982,ENSDARG00000100295,ENSDARG00000101040,ENSDARG00000102299,ENSDARG00000102332,ENSDARG00000102776,ENSDARG00000103466,ENSDARG00000104372,ENSDARG00000107511,ENSDARG00000112125,ENSDARG00000113315
GO:0043547	positive regulation of GTPase activity	43	2	0.12	0.00671	ENSDARG00000005861,ENSDARG00000011845,ENSDARG00000019564,ENSDARG00000027740,ENSDARG00000030269,ENSDARG00000036212,ENSDARG00000036420,ENSDARG00000037408,ENSDARG00000038151,ENSDARG00000041923,ENSDARG00000057218,ENSDARG00000059587,ENSDARG00000060096,ENSDARG00000061757,ENSDARG00000062049,ENSDARG00000062221,ENSDARG00000062385,ENSDARG00000067801,ENSDARG00000070565,ENSDARG00000070873,ENSDARG00000071213,ENSDARG00000071499,ENSDARG00000073665,ENSDARG00000074772,ENSDARG00000076729,ENSDARG00000076801,ENSDARG00000077666,ENSDARG00000079467,ENSDARG00000090873,ENSDARG00000091962,ENSDARG00000094511,ENSDARG00000095180,ENSDARG00000098233,ENSDARG00000098602,ENSDARG00000098967,ENSDARG00000099982,ENSDARG00000100293,ENSDARG00000100295,ENSDARG00000101040,ENSDARG00000101735,ENSDARG00000102070,ENSDARG00000103466,ENSDARG00000112125
GO:0098542	defense response to other organism	52	2	0.15	0.00969	ENSDARG00000003570,ENSDARG00000004586,ENSDARG00000010149,ENSDARG00000016771,ENSDARG00000018569,ENSDARG00000021572,ENSDARG00000022000,ENSDARG00000024032,ENSDARG00000025468,ENSDARG00000026049,ENSDARG00000026925,ENSDARG00000035188,ENSDARG00000038010,ENSDARG00000043093,ENSDARG00000043249,ENSDARG00000044332,ENSDARG00000044415,ENSDARG00000045681,ENSDARG00000052039,ENSDARG00000052322,ENSDARG00000052396,ENSDARG00000052673,ENSDARG00000054968,ENSDARG00000055290,ENSDARG00000056874,ENSDARG00000058045,ENSDARG00000062998,ENSDARG00000068382,ENSDARG00000068681,ENSDARG00000068966,ENSDARG00000068969,ENSDARG00000068991,ENSDARG00000068993,ENSDARG00000068995,ENSDARG00000074246,ENSDARG00000075014,ENSDARG00000089463,ENSDARG00000090615,ENSDARG00000092044,ENSDARG00000093750,ENSDARG00000095193,ENSDARG00000097181,ENSDARG00000098700,ENSDARG00000100184,ENSDARG00000102889,ENSDARG00000102894,ENSDARG00000103747,ENSDARG00000104396,ENSDARG00000104654,ENSDARG00000105177,ENSDARG00000111722,ENSDARG00000116628
GO:0009617	response to bacterium	63	2	0.18	0.01401	ENSDARG00000002355,ENSDARG00000003570,ENSDARG00000004301,ENSDARG00000004586,ENSDARG00000010149,ENSDARG00000016771,ENSDARG00000018569,ENSDARG00000021494,ENSDARG00000023526,ENSDARG00000024032,ENSDARG00000026925,ENSDARG00000029476,ENSDARG00000033227,ENSDARG00000035188,ENSDARG00000035859,ENSDARG00000038010,ENSDARG00000042613,ENSDARG00000042725,ENSDARG00000042816,ENSDARG00000043093,ENSDARG00000043182,ENSDARG00000044332,ENSDARG00000044415,ENSDARG00000052039,ENSDARG00000052322,ENSDARG00000052673,ENSDARG00000055278,ENSDARG00000055290,ENSDARG00000055705,ENSDARG00000056462,ENSDARG00000056874,ENSDARG00000057128,ENSDARG00000057698,ENSDARG00000058045,ENSDARG00000058285,ENSDARG00000062788,ENSDARG00000062909,ENSDARG00000062998,ENSDARG00000068382,ENSDARG00000068966,ENSDARG00000068969,ENSDARG00000068991,ENSDARG00000068993,ENSDARG00000068995,ENSDARG00000074246,ENSDARG00000075014,ENSDARG00000075045,ENSDARG00000086254,ENSDARG00000088680,ENSDARG00000090615,ENSDARG00000092044,ENSDARG00000095193,ENSDARG00000095949,ENSDARG00000097181,ENSDARG00000098700,ENSDARG00000100184,ENSDARG00000102299,ENSDARG00000102776,ENSDARG00000102889,ENSDARG00000102894,ENSDARG00000104045,ENSDARG00000104654,ENSDARG00000116628
GO:0050772	positive regulation of axonogenesis	10	1	0.03	0.02855	ENSDARG00000008170,ENSDARG00000015278,ENSDARG00000016016,ENSDARG00000017211,ENSDARG00000018817,ENSDARG00000030367,ENSDARG00000037116,ENSDARG00000079892,ENSDARG00000094799,ENSDARG00000098233
GO:0050773	regulation of dendrite development	10	1	0.03	0.02855	ENSDARG00000006169,ENSDARG00000008170,ENSDARG00000016016,ENSDARG00000020134,ENSDARG00000052928,ENSDARG00000053542,ENSDARG00000069843,ENSDARG00000075565,ENSDARG00000101626,ENSDARG00000101812
GO:0099173	postsynapse organization	11	1	0.03	0.03136	ENSDARG00000003020,ENSDARG00000004954,ENSDARG00000006169,ENSDARG00000008170,ENSDARG00000016016,ENSDARG00000017490,ENSDARG00000035571,ENSDARG00000043084,ENSDARG00000062415,ENSDARG00000101812,ENSDARG00000104786
