GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000003681	0	0.004841114772877253	eif5	eukaryotic translation initiation factor 5 [Source:ZFIN;Acc:ZDB-GENE-030131-975]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000004218	0	0.0708463424337635	rnd1b	Rho family GTPase 1b [Source:ZFIN;Acc:ZDB-GENE-060315-7]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000004270	0	0.013807502441503864	atl3	atlastin 3 [Source:ZFIN;Acc:ZDB-GENE-041010-109]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000004301	0	0.22314739318762175	rhogb	ras homolog family member Gb [Source:ZFIN;Acc:ZDB-GENE-030131-8877]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000005049	0	0.11894720107496486	rab20	RAB20, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-030131-9143]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000005627	0	1.2740883490423682	zmp:0000000527	zmp:0000000527 [Source:ZFIN;Acc:ZDB-GENE-130530-530]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000005651	0	0.1270779972255382	hrasb	HRas proto-oncogene, GTPase b [Source:ZFIN;Acc:ZDB-GENE-050522-466]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000006169	0	0.1383029473390465	lrrk2	leucine-rich repeat kinase 2 [Source:ZFIN;Acc:ZDB-GENE-071218-6]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000006546	0	0.04195635335879349	ak4	adenylate kinase 4 [Source:ZFIN;Acc:ZDB-GENE-040426-2505]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000006553	0	0.02112084982534218	rras	RAS related [Source:ZFIN;Acc:ZDB-GENE-041010-217]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000006915	0	0.14509700798051992	arl8ba	ADP-ribosylation factor-like 8Ba [Source:NCBI gene;Acc:337424]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000007257	0	0.05289752776500487	rab5ab	RAB5A, member RAS oncogene family, b [Source:ZFIN;Acc:ZDB-GENE-040122-3]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000007396	0	0.10979046200631214	rnd3b	Rho family GTPase 3b [Source:ZFIN;Acc:ZDB-GENE-040718-331]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000008292	0	0.011545841643083496	eif2s3	eukaryotic translation initiation factor 2, subunit 3 gamma [Source:NCBI gene;Acc:327341]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000008867	0	0.09636050133868719	rap1b	RAP1B, member of RAS oncogene family [Source:NCBI gene;Acc:321107]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000009484	0	0.07255019845747526	arf1	ADP-ribosylation factor 1 [Source:ZFIN;Acc:ZDB-GENE-010724-5]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000011581	0	0.1347514949044404	si:dkey-23k10.5	si:dkey-23k10.5 [Source:ZFIN;Acc:ZDB-GENE-030131-4787]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000012125	0	0.20708553499197588	cnga1b	cyclic nucleotide gated channel subunit alpha 1b [Source:ZFIN;Acc:ZDB-GENE-110408-39]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000012297	0	0.032707635872003635	cnga3b	cyclic nucleotide gated channel subunit alpha 3b [Source:ZFIN;Acc:ZDB-GENE-090312-121]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000012553	0	0.08941501070474564	rap1aa	RAP1A, member of RAS oncogene family a [Source:ZFIN;Acc:ZDB-GENE-040625-167]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000012763	0	0.10281143069760763	arl13b	ADP-ribosylation factor-like 13b [Source:NCBI gene;Acc:286784]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000013335	0	0.1256370878821493	anxa6	annexin A6 [Source:ZFIN;Acc:ZDB-GENE-030707-3]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000013522	0	0.2757034787347564	pck1	phosphoenolpyruvate carboxykinase 1 (soluble) [Source:ZFIN;Acc:ZDB-GENE-030909-11]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000013843	0	0.16033952469133947	sept5a	septin 5a [Source:ZFIN;Acc:ZDB-GENE-030131-7868]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000014233	0	0.40275297883136074	sept8b	septin 8b [Source:NCBI gene;Acc:571702]
GO:0019001	guanyl nucleotide binding	279	4	0.78	0.0068	ENSDARG00000014340	0	0.3242689850755707	rab11al	RAB11a, member RAS oncogene family, like [Source:ZFIN;Acc:ZDB-GENE-031118-188]
