GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0007160	cell-matrix adhesion	67	5	0.32	1.7e-05	ENSDARG00000002494,ENSDARG00000008969,ENSDARG00000009387,ENSDARG00000009471,ENSDARG00000011299,ENSDARG00000012942,ENSDARG00000016939,ENSDARG00000019117,ENSDARG00000019815,ENSDARG00000021789,ENSDARG00000022689,ENSDARG00000024829,ENSDARG00000028222,ENSDARG00000028507,ENSDARG00000028533,ENSDARG00000031588,ENSDARG00000037281,ENSDARG00000040985,ENSDARG00000044318,ENSDARG00000044433,ENSDARG00000045070,ENSDARG00000045420,ENSDARG00000052652,ENSDARG00000053232,ENSDARG00000055539,ENSDARG00000056767,ENSDARG00000056964,ENSDARG00000059558,ENSDARG00000060415,ENSDARG00000061862,ENSDARG00000068710,ENSDARG00000069473,ENSDARG00000071863,ENSDARG00000075441,ENSDARG00000075707,ENSDARG00000076386,ENSDARG00000079336,ENSDARG00000080675,ENSDARG00000088590,ENSDARG00000089271,ENSDARG00000089435,ENSDARG00000095640,ENSDARG00000097080,ENSDARG00000097539,ENSDARG00000098256,ENSDARG00000098736,ENSDARG00000100106,ENSDARG00000100190,ENSDARG00000100739,ENSDARG00000101012,ENSDARG00000101200,ENSDARG00000101930,ENSDARG00000103129,ENSDARG00000103498,ENSDARG00000103634,ENSDARG00000103650,ENSDARG00000103973,ENSDARG00000104324,ENSDARG00000104484,ENSDARG00000104642,ENSDARG00000105341,ENSDARG00000105391,ENSDARG00000109929,ENSDARG00000110394,ENSDARG00000113076,ENSDARG00000115301,ENSDARG00000116430
GO:1990266	neutrophil migration	70	4	0.34	0.00035	ENSDARG00000004301,ENSDARG00000005774,ENSDARG00000018283,ENSDARG00000018569,ENSDARG00000020573,ENSDARG00000028401,ENSDARG00000030608,ENSDARG00000035632,ENSDARG00000037116,ENSDARG00000038010,ENSDARG00000041835,ENSDARG00000041917,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000041959,ENSDARG00000044001,ENSDARG00000045999,ENSDARG00000051975,ENSDARG00000052088,ENSDARG00000052779,ENSDARG00000054975,ENSDARG00000058389,ENSDARG00000062632,ENSDARG00000067916,ENSDARG00000068653,ENSDARG00000068923,ENSDARG00000070121,ENSDARG00000070873,ENSDARG00000071499,ENSDARG00000074283,ENSDARG00000074772,ENSDARG00000074849,ENSDARG00000074851,ENSDARG00000075045,ENSDARG00000075163,ENSDARG00000076196,ENSDARG00000077850,ENSDARG00000079802,ENSDARG00000087954,ENSDARG00000090873,ENSDARG00000092283,ENSDARG00000092423,ENSDARG00000093570,ENSDARG00000093608,ENSDARG00000094511,ENSDARG00000095409,ENSDARG00000097826,ENSDARG00000098367,ENSDARG00000098602,ENSDARG00000098700,ENSDARG00000098752,ENSDARG00000099169,ENSDARG00000099506,ENSDARG00000099982,ENSDARG00000100295,ENSDARG00000100484,ENSDARG00000100520,ENSDARG00000101040,ENSDARG00000102299,ENSDARG00000102332,ENSDARG00000102776,ENSDARG00000103466,ENSDARG00000104372,ENSDARG00000104795,ENSDARG00000105089,ENSDARG00000107511,ENSDARG00000110601,ENSDARG00000112125,ENSDARG00000113315,ENSDARG00000113372
GO:0006954	inflammatory response	158	5	0.76	0.00096	ENSDARG00000001452,ENSDARG00000002552,ENSDARG00000003244,ENSDARG00000004539,ENSDARG00000004586,ENSDARG00000007289,ENSDARG00000007358,ENSDARG00000009473,ENSDARG00000010276,ENSDARG00000010700,ENSDARG00000010785,ENSDARG00000011434,ENSDARG00000013787,ENSDARG00000014218,ENSDARG00000014490,ENSDARG00000015653,ENSDARG00000016065,ENSDARG00000016188,ENSDARG00000018530,ENSDARG00000018569,ENSDARG00000018616,ENSDARG00000019521,ENSDARG00000019742,ENSDARG00000022048,ENSDARG00000023526,ENSDARG00000026335,ENSDARG00000026726,ENSDARG00000026925,ENSDARG00000031749,ENSDARG00000035415,ENSDARG00000035552,ENSDARG00000035632,ENSDARG00000036041,ENSDARG00000036888,ENSDARG00000037033,ENSDARG00000037116,ENSDARG00000038278,ENSDARG00000040076,ENSDARG00000040130,ENSDARG00000040249,ENSDARG00000041835,ENSDARG00000041917,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000041959,ENSDARG00000042816,ENSDARG00000042984,ENSDARG00000043241,ENSDARG00000044415,ENSDARG00000044525,ENSDARG00000044811,ENSDARG00000045443,ENSDARG00000045673,ENSDARG00000045776,ENSDARG00000045999,ENSDARG00000052039,ENSDARG00000052148,ENSDARG00000052322,ENSDARG00000053624,ENSDARG00000053938,ENSDARG00000054323,ENSDARG00000054968,ENSDARG00000054975,ENSDARG00000055276,ENSDARG00000055781,ENSDARG00000057180,ENSDARG00000057741,ENSDARG00000058045,ENSDARG00000058053,ENSDARG00000058389,ENSDARG00000058829,ENSDARG00000059236,ENSDARG00000062204,ENSDARG00000062632,ENSDARG00000062788,ENSDARG00000068431,ENSDARG00000068857,ENSDARG00000069945,ENSDARG00000070873,ENSDARG00000071499,ENSDARG00000074772,ENSDARG00000075045,ENSDARG00000075163,ENSDARG00000076574,ENSDARG00000077138,ENSDARG00000077982,ENSDARG00000078602,ENSDARG00000078605,ENSDARG00000078707,ENSDARG00000079907,ENSDARG00000086173,ENSDARG00000086314,ENSDARG00000089383,ENSDARG00000089645,ENSDARG00000089868,ENSDARG00000090119,ENSDARG00000090873,ENSDARG00000091280,ENSDARG00000092283,ENSDARG00000092423,ENSDARG00000093498,ENSDARG00000093570,ENSDARG00000093608,ENSDARG00000093750,ENSDARG00000094511,ENSDARG00000095640,ENSDARG00000095939,ENSDARG00000096645,ENSDARG00000097250,ENSDARG00000097816,ENSDARG00000097838,ENSDARG00000097872,ENSDARG00000098481,ENSDARG00000098486,ENSDARG00000098508,ENSDARG00000098602,ENSDARG00000098696,ENSDARG00000098700,ENSDARG00000098801,ENSDARG00000099817,ENSDARG00000099839,ENSDARG00000099936,ENSDARG00000099982,ENSDARG00000100095,ENSDARG00000100184,ENSDARG00000100295,ENSDARG00000100484,ENSDARG00000100520,ENSDARG00000100649,ENSDARG00000101040,ENSDARG00000101340,ENSDARG00000101479,ENSDARG00000101621,ENSDARG00000101914,ENSDARG00000102119,ENSDARG00000102299,ENSDARG00000102493,ENSDARG00000102583,ENSDARG00000102776,ENSDARG00000102986,ENSDARG00000103308,ENSDARG00000103409,ENSDARG00000103466,ENSDARG00000103775,ENSDARG00000104045,ENSDARG00000104359,ENSDARG00000104717,ENSDARG00000104795,ENSDARG00000104847,ENSDARG00000105089,ENSDARG00000105263,ENSDARG00000105486,ENSDARG00000109654,ENSDARG00000110362,ENSDARG00000112125,ENSDARG00000113372,ENSDARG00000116052,ENSDARG00000116628
GO:0006880	intracellular sequestering of iron ion	10	2	0.05	0.00099	ENSDARG00000007975,ENSDARG00000015551,ENSDARG00000018461,ENSDARG00000031776,ENSDARG00000045586,ENSDARG00000073936,ENSDARG00000076221,ENSDARG00000077360,ENSDARG00000094210,ENSDARG00000113977
GO:0042742	defense response to bacterium	62	3	0.3	0.00326	ENSDARG00000003570,ENSDARG00000004586,ENSDARG00000010149,ENSDARG00000010423,ENSDARG00000010756,ENSDARG00000016771,ENSDARG00000018569,ENSDARG00000019742,ENSDARG00000022048,ENSDARG00000024032,ENSDARG00000025607,ENSDARG00000026925,ENSDARG00000032639,ENSDARG00000035188,ENSDARG00000036084,ENSDARG00000038010,ENSDARG00000043093,ENSDARG00000044023,ENSDARG00000044332,ENSDARG00000044415,ENSDARG00000045673,ENSDARG00000045999,ENSDARG00000052039,ENSDARG00000052322,ENSDARG00000052673,ENSDARG00000054975,ENSDARG00000055290,ENSDARG00000056874,ENSDARG00000058045,ENSDARG00000058673,ENSDARG00000062998,ENSDARG00000068382,ENSDARG00000068966,ENSDARG00000068969,ENSDARG00000068991,ENSDARG00000068993,ENSDARG00000068995,ENSDARG00000070280,ENSDARG00000074246,ENSDARG00000075014,ENSDARG00000075161,ENSDARG00000076148,ENSDARG00000087985,ENSDARG00000089187,ENSDARG00000090615,ENSDARG00000092044,ENSDARG00000092381,ENSDARG00000092892,ENSDARG00000095193,ENSDARG00000096355,ENSDARG00000097181,ENSDARG00000098700,ENSDARG00000100184,ENSDARG00000102889,ENSDARG00000102894,ENSDARG00000103015,ENSDARG00000104654,ENSDARG00000109926,ENSDARG00000111536,ENSDARG00000113707,ENSDARG00000115875,ENSDARG00000116628
GO:0045216	cell-cell junction organization	69	3	0.33	0.00442	ENSDARG00000002909,ENSDARG00000003779,ENSDARG00000005108,ENSDARG00000009215,ENSDARG00000009544,ENSDARG00000014059,ENSDARG00000014522,ENSDARG00000014976,ENSDARG00000015955,ENSDARG00000015964,ENSDARG00000017649,ENSDARG00000018441,ENSDARG00000020031,ENSDARG00000021442,ENSDARG00000023026,ENSDARG00000023443,ENSDARG00000023542,ENSDARG00000024964,ENSDARG00000025076,ENSDARG00000026985,ENSDARG00000030723,ENSDARG00000031876,ENSDARG00000040628,ENSDARG00000042357,ENSDARG00000043128,ENSDARG00000043716,ENSDARG00000044569,ENSDARG00000045331,ENSDARG00000051861,ENSDARG00000054060,ENSDARG00000054616,ENSDARG00000055843,ENSDARG00000057826,ENSDARG00000058930,ENSDARG00000058937,ENSDARG00000059067,ENSDARG00000061371,ENSDARG00000061391,ENSDARG00000061651,ENSDARG00000061688,ENSDARG00000061797,ENSDARG00000062415,ENSDARG00000063309,ENSDARG00000069503,ENSDARG00000069505,ENSDARG00000069888,ENSDARG00000070787,ENSDARG00000074119,ENSDARG00000074524,ENSDARG00000075459,ENSDARG00000075549,ENSDARG00000075960,ENSDARG00000076873,ENSDARG00000077506,ENSDARG00000077996,ENSDARG00000078233,ENSDARG00000079647,ENSDARG00000079850,ENSDARG00000091834,ENSDARG00000094677,ENSDARG00000098749,ENSDARG00000099291,ENSDARG00000099654,ENSDARG00000100844,ENSDARG00000101109,ENSDARG00000102769,ENSDARG00000105042,ENSDARG00000106245,ENSDARG00000112049
GO:0006826	iron ion transport	21	2	0.1	0.00449	ENSDARG00000000241,ENSDARG00000007975,ENSDARG00000010312,ENSDARG00000010425,ENSDARG00000013240,ENSDARG00000015551,ENSDARG00000016771,ENSDARG00000018461,ENSDARG00000024295,ENSDARG00000031776,ENSDARG00000045586,ENSDARG00000056750,ENSDARG00000073936,ENSDARG00000076221,ENSDARG00000077360,ENSDARG00000077372,ENSDARG00000094210,ENSDARG00000101322,ENSDARG00000113150,ENSDARG00000113977,ENSDARG00000116586
GO:0048247	lymphocyte chemotaxis	24	2	0.11	0.00584	ENSDARG00000035632,ENSDARG00000041835,ENSDARG00000041917,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000058389,ENSDARG00000070873,ENSDARG00000071499,ENSDARG00000074772,ENSDARG00000090873,ENSDARG00000092283,ENSDARG00000093570,ENSDARG00000093608,ENSDARG00000094511,ENSDARG00000098602,ENSDARG00000099982,ENSDARG00000100295,ENSDARG00000100484,ENSDARG00000100520,ENSDARG00000101040,ENSDARG00000103466,ENSDARG00000105089,ENSDARG00000112125,ENSDARG00000113372
GO:0099173	postsynapse organization	25	2	0.12	0.00633	ENSDARG00000003020,ENSDARG00000003779,ENSDARG00000004954,ENSDARG00000006169,ENSDARG00000008170,ENSDARG00000016016,ENSDARG00000017490,ENSDARG00000032482,ENSDARG00000035571,ENSDARG00000043084,ENSDARG00000059773,ENSDARG00000060007,ENSDARG00000062415,ENSDARG00000069402,ENSDARG00000077710,ENSDARG00000077761,ENSDARG00000079251,ENSDARG00000089076,ENSDARG00000098751,ENSDARG00000098764,ENSDARG00000100851,ENSDARG00000101812,ENSDARG00000102424,ENSDARG00000104549,ENSDARG00000104786
GO:0010950	positive regulation of endopeptidase act...	25	2	0.12	0.00633	ENSDARG00000002165,ENSDARG00000004325,ENSDARG00000005786,ENSDARG00000012234,ENSDARG00000014956,ENSDARG00000020623,ENSDARG00000030881,ENSDARG00000033144,ENSDARG00000036375,ENSDARG00000055966,ENSDARG00000058325,ENSDARG00000060238,ENSDARG00000060627,ENSDARG00000062052,ENSDARG00000062972,ENSDARG00000068431,ENSDARG00000069290,ENSDARG00000070272,ENSDARG00000089129,ENSDARG00000089307,ENSDARG00000090234,ENSDARG00000091926,ENSDARG00000102458,ENSDARG00000104172,ENSDARG00000114237
