GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000002600	0	-0.20596128495151741	pcsk1	proprotein convertase subtilisin/kexin type 1 [Source:ZFIN;Acc:ZDB-GENE-071009-1]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000004748	0	0.7942488280267436	zgc:100868	zgc:100868 [Source:ZFIN;Acc:ZDB-GENE-040801-33]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000004925	0	0.24414363131597785	immp2l	inner mitochondrial membrane peptidase subunit 2 [Source:NCBI gene;Acc:445299]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000005616	0	-0.11291812827688355	bfb	complement component bfb [Source:ZFIN;Acc:ZDB-GENE-990415-34]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000005943	0	0.2557217805593783	htra4	HtrA serine peptidase 4 [Source:ZFIN;Acc:ZDB-GENE-131120-192]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000007276	0	0.6875222280680828	ela3l	elastase 3 like [Source:ZFIN;Acc:ZDB-GENE-060710-2]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000007988	0	0.08163452835496034	masp2	mannan-binding lectin serine peptidase 2 [Source:ZFIN;Acc:ZDB-GENE-060130-154]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000008703	0	0.09550292253790674	apeh	acylaminoacyl-peptide hydrolase [Source:ZFIN;Acc:ZDB-GENE-030131-9870]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000008936	0	0.20828064387921205	sec11a	SEC11 homolog A, signal peptidase complex subunit [Source:ZFIN;Acc:ZDB-GENE-040718-227]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000010097	0	0.3102638107916597	f9a	coagulation factor IXa [Source:ZFIN;Acc:ZDB-GENE-030714-2]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000010925	0	0.13139228987215676	HTRA3	HtrA serine peptidase 3b [Source:NCBI gene;Acc:573378]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000011171	0	-0.17007298023218964	TENM2	si:ch211-12m10.1 [Source:ZFIN;Acc:ZDB-GENE-060503-100]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000011463	0	0.36430541251913917	CABZ01044048.1	coagulation factor IX-like [Source:NCBI gene;Acc:100004411]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000012860	0	0.5683565607360879	tmprss4b	transmembrane serine protease 4b [Source:ZFIN;Acc:ZDB-GENE-030131-5862]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000014623	0	-0.16194076722965461	si:ch211-212d10.1	si:ch211-212d10.1 [Source:ZFIN;Acc:ZDB-GENE-050208-355]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000014634	0	0.04034587595328313	mbtps1	membrane-bound transcription factor peptidase, site 1 [Source:ZFIN;Acc:ZDB-GENE-030131-4909]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000014907	0	0.003001706063494395	htra1b	HtrA serine peptidase 1b [Source:NCBI gene;Acc:565082]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000016538	0	-0.34412141707646676	zgc:55888	zgc:55888 [Source:ZFIN;Acc:ZDB-GENE-040426-834]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000017314	0	0.6822342817907125	cela1.6	chymotrypsin like elastase family member 1, tandem duplicate 6 [Source:ZFIN;Acc:ZDB-GENE-040808-55]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000017367	0	0.028970749939022346	rhbdf1b	rhomboid 5 homolog 1b (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-130531-6]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000017853	0	-0.0690624144748798	prepl	prolyl endopeptidase like [Source:ZFIN;Acc:ZDB-GENE-090313-224]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000019451	0	-0.18418399387420306	pcsk2	proprotein convertase subtilisin/kexin type 2 [Source:ZFIN;Acc:ZDB-GENE-090608-1]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000019772	0	-0.23488607321325516	si:ch1073-280e3.1	si:ch1073-280e3.1 [Source:ZFIN;Acc:ZDB-GENE-110411-261]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000020679	0	0.08653628551651792	clpp	caseinolytic mitochondrial matrix peptidase proteolytic subunit [Source:ZFIN;Acc:ZDB-GENE-030131-7860]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000020891	0	-0.20952895927308493	LO018197.1	presenilin associated rhomboid like [Source:NCBI gene;Acc:792889]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000021046	0	0.0922814348392906	rhbdd1	rhomboid domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050417-85]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000023111	0	0.02396298722377802	plg	plasminogen [Source:ZFIN;Acc:ZDB-GENE-030131-1411]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000027196	0	-0.24664059059384622	si:dkey-16l2.17	si:dkey-16l2.17 [Source:ZFIN;Acc:ZDB-GENE-141212-262]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000027609	0	0.04670133988198631	hpn	hepsin [Source:ZFIN;Acc:ZDB-GENE-141212-373]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000028780	0	-0.6657891139453517	gzmk	granzyme K [Source:ZFIN;Acc:ZDB-GENE-091204-352]
GO:0004252	serine-type endopeptidase activity	169	5	0.83	0.0014	ENSDARG00000029493	0	0.23924540063010857	f9b	coagulation factor IXb [Source:ZFIN;Acc:ZDB-GENE-060421-7346]
