GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0042149	cellular response to glucose starvation	11	1	0.01	0.011	ENSDARG00000001933	0	-0.18920709288124404	prkag2b	protein kinase, AMP-activated, gamma 2 non-catalytic subunit b [Source:ZFIN;Acc:ZDB-GENE-070912-442]
GO:0042149	cellular response to glucose starvation	11	1	0.01	0.011	ENSDARG00000012625	0	-0.016475422294613743	prkag2a	protein kinase, AMP-activated, gamma 2 non-catalytic subunit a [Source:ZFIN;Acc:ZDB-GENE-060929-160]
GO:0042149	cellular response to glucose starvation	11	1	0.01	0.011	ENSDARG00000017537	0	-0.05123881986324277	prkag3a	protein kinase, AMP-activated, gamma 3a non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-091204-419]
GO:0042149	cellular response to glucose starvation	11	1	0.01	0.011	ENSDARG00000061421	0	-0.045637957908251786	BRSK2	BR serine/threonine kinase 2a [Source:NCBI gene;Acc:100334759]
GO:0042149	cellular response to glucose starvation	11	1	0.01	0.011	ENSDARG00000071652	0	-0.03664172972870077	rrp8	ribosomal RNA processing 8 [Source:ZFIN;Acc:ZDB-GENE-030131-8898]
GO:0042149	cellular response to glucose starvation	11	1	0.01	0.011	ENSDARG00000074087	0	-0.22006819657605703	nim1k	NIM1 serine/threonine protein kinase [Source:ZFIN;Acc:ZDB-GENE-130530-744]
GO:0042149	cellular response to glucose starvation	11	1	0.01	0.011	ENSDARG00000077124	0	-0.3352845213167094	si:ch211-255p10.4	si:ch211-255p10.4 [Source:ZFIN;Acc:ZDB-GENE-121214-354]
GO:0042149	cellular response to glucose starvation	11	1	0.01	0.011	ENSDARG00000077545	0	-0.13155622918780455	si:dkey-16p21.7	si:dkey-16p21.7 [Source:ZFIN;Acc:ZDB-GENE-131122-54]
GO:0042149	cellular response to glucose starvation	11	1	0.01	0.011	ENSDARG00000077791	0	-0.060125091629824164	brsk2b	BR serine/threonine kinase 2b [Source:ZFIN;Acc:ZDB-GENE-100422-3]
GO:0042149	cellular response to glucose starvation	11	1	0.01	0.011	ENSDARG00000079031	0	-0.12079961052564361	si:ch211-22d5.2	si:ch211-22d5.2 [Source:ZFIN;Acc:ZDB-GENE-091204-283]
GO:0042149	cellular response to glucose starvation	11	1	0.01	0.011	ENSDARG00000028676	1	-0.30900804492962164	nuak1b	NUAK family, SNF1-like kinase, 1b [Source:ZFIN;Acc:ZDB-GENE-131120-18]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000000370	0	-0.21507003451890097	triob	trio Rho guanine nucleotide exchange factor b [Source:ZFIN;Acc:ZDB-GENE-030616-399]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000000853	0	-0.029373068625769633	dstyk	dual serine/threonine and tyrosine protein kinase [Source:NCBI gene;Acc:402922]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000001234	0	-0.0051688394643217735	map4k2	mitogen-activated protein kinase kinase kinase kinase 2 [Source:ZFIN;Acc:ZDB-GENE-030616-163]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000001769	0	-0.13000829120585145	ptpra	protein tyrosine phosphatase receptor type A [Source:ZFIN;Acc:ZDB-GENE-020107-1]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000001782	0	-0.016215369376997472	prkacba	protein kinase, cAMP-dependent, catalytic, beta a [Source:ZFIN;Acc:ZDB-GENE-040426-1351]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000001929	0	-0.09943052920075103	pink1	PTEN induced kinase 1 [Source:ZFIN;Acc:ZDB-GENE-041212-53]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000001933	0	-0.18920709288124404	prkag2b	protein kinase, AMP-activated, gamma 2 non-catalytic subunit b [Source:ZFIN;Acc:ZDB-GENE-070912-442]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000002020	0	-0.08277840410513249	rictorb	RPTOR independent companion of MTOR, complex 2b [Source:ZFIN;Acc:ZDB-GENE-070810-5]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000002385	0	-0.21803792047266712	atm	ATM serine/threonine kinase [Source:ZFIN;Acc:ZDB-GENE-040809-1]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000002483	0	-0.24004156814067154	wnt7ab	wingless-type MMTV integration site family, member 7Ab [Source:ZFIN;Acc:ZDB-GENE-100922-44]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000002760	0	-0.2649014769461397	gdf5	growth differentiation factor 5 [Source:ZFIN;Acc:ZDB-GENE-990415-39]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000003008	0	-0.02770373178487897	prkcea	protein kinase C, epsilon a [Source:ZFIN;Acc:ZDB-GENE-030131-8191]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000003680	0	-0.15238876649927072	runx1t1	RUNX1 partner transcriptional co-repressor 1 [Source:ZFIN;Acc:ZDB-GENE-060929-164]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000003751	0	-0.08394350937565259	lats1	large tumor suppressor kinase 1 [Source:ZFIN;Acc:ZDB-GENE-050523-2]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000003867	0	-0.47664191825105034	cdk20	cyclin-dependent kinase 20 [Source:NCBI gene;Acc:494112]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000004078	0	-0.23852948940657334	acsl4a	acyl-CoA synthetase long chain family member 4a [Source:ZFIN;Acc:ZDB-GENE-040426-1565]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000004105	0	-0.10144879317113162	tie1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1 [Source:NCBI gene;Acc:30746]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000004176	0	-0.011928463091278006	ulk4	unc-51 like kinase 4 [Source:ZFIN;Acc:ZDB-GENE-100922-243]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000004561	0	-0.5832540156814549	prkcg	protein kinase C, gamma [Source:ZFIN;Acc:ZDB-GENE-090206-1]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000004576	0	-0.05723777030925681	plk4	polo-like kinase 4 (Drosophila) [Source:NCBI gene;Acc:368390]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000004635	0	-0.15496771012122143	epha7	eph receptor A7 [Source:ZFIN;Acc:ZDB-GENE-030131-3745]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000004753	0	-0.1719347694121305	mylkb	myosin light chain kinase b [Source:ZFIN;Acc:ZDB-GENE-041111-150]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000004782	0	-0.12846251947189066	fgfr3	fibroblast growth factor receptor 3 [Source:NCBI gene;Acc:58129]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000005104	0	-0.07610432639796541	limk2	LIM domain kinase 2 [Source:ZFIN;Acc:ZDB-GENE-040718-398]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000005141	0	-0.28681732853768666	camkvb	CaM kinase-like vesicle-associated b [Source:NCBI gene;Acc:393422]
GO:0006468	protein phosphorylation	573	3	0.58	0.016	ENSDARG00000005356	0	-0.1507361663030628	tyro3	TYRO3 protein tyrosine kinase [Source:NCBI gene;Acc:30709]
