GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0005615	extracellular space	374	11	3.29	0.00037	ENSDARG00000001470,ENSDARG00000001760,ENSDARG00000003259,ENSDARG00000003523,ENSDARG00000003533,ENSDARG00000003902,ENSDARG00000004757,ENSDARG00000007289,ENSDARG00000007743,ENSDARG00000007836,ENSDARG00000008969,ENSDARG00000010097,ENSDARG00000010130,ENSDARG00000010294,ENSDARG00000010434,ENSDARG00000010785,ENSDARG00000011257,ENSDARG00000011459,ENSDARG00000011769,ENSDARG00000012013,ENSDARG00000012066,ENSDARG00000012405,ENSDARG00000012506,ENSDARG00000012535,ENSDARG00000012671,ENSDARG00000012694,ENSDARG00000012945,ENSDARG00000012987,ENSDARG00000013240,ENSDARG00000013771,ENSDARG00000013968,ENSDARG00000014103,ENSDARG00000014190,ENSDARG00000014490,ENSDARG00000014556,ENSDARG00000014796,ENSDARG00000015623,ENSDARG00000016056,ENSDARG00000016227,ENSDARG00000016412,ENSDARG00000016771,ENSDARG00000016837,ENSDARG00000017314,ENSDARG00000018383,ENSDARG00000018643,ENSDARG00000018817,ENSDARG00000019353,ENSDARG00000019367,ENSDARG00000019521,ENSDARG00000019949,ENSDARG00000020007,ENSDARG00000020741,ENSDARG00000020811,ENSDARG00000021004,ENSDARG00000021208,ENSDARG00000021339,ENSDARG00000021789,ENSDARG00000024030,ENSDARG00000024831,ENSDARG00000025254,ENSDARG00000025348,ENSDARG00000025670,ENSDARG00000027472,ENSDARG00000027799,ENSDARG00000029493,ENSDARG00000029546,ENSDARG00000030872,ENSDARG00000031246,ENSDARG00000031649,ENSDARG00000033307,ENSDARG00000033726,ENSDARG00000033727,ENSDARG00000034610,ENSDARG00000034667,ENSDARG00000034895,ENSDARG00000035327,ENSDARG00000035521,ENSDARG00000035859,ENSDARG00000036041,ENSDARG00000036084,ENSDARG00000036588,ENSDARG00000036912,ENSDARG00000036968,ENSDARG00000037062,ENSDARG00000037144,ENSDARG00000037176,ENSDARG00000037191,ENSDARG00000037281,ENSDARG00000037491,ENSDARG00000037836,ENSDARG00000038258,ENSDARG00000038428,ENSDARG00000038666,ENSDARG00000038681,ENSDARG00000038683,ENSDARG00000039041,ENSDARG00000039264,ENSDARG00000039273,ENSDARG00000039459,ENSDARG00000039579,ENSDARG00000040159,ENSDARG00000040251,ENSDARG00000040282,ENSDARG00000040479,ENSDARG00000040513,ENSDARG00000040565,ENSDARG00000040582,ENSDARG00000040799,ENSDARG00000041430,ENSDARG00000041502,ENSDARG00000041835,ENSDARG00000041919,ENSDARG00000041923,ENSDARG00000042684,ENSDARG00000042753,ENSDARG00000042784,ENSDARG00000042993,ENSDARG00000043079,ENSDARG00000043081,ENSDARG00000043168,ENSDARG00000043171,ENSDARG00000043175,ENSDARG00000043257,ENSDARG00000043719,ENSDARG00000043722,ENSDARG00000043806,ENSDARG00000043962,ENSDARG00000044001,ENSDARG00000044684,ENSDARG00000044754,ENSDARG00000044894,ENSDARG00000045224,ENSDARG00000045262,ENSDARG00000045299,ENSDARG00000045442,ENSDARG00000045580,ENSDARG00000045608,ENSDARG00000045832,ENSDARG00000046140,ENSDARG00000051711,ENSDARG00000051712,ENSDARG00000051713,ENSDARG00000051746,ENSDARG00000051890,ENSDARG00000051912,ENSDARG00000052012,ENSDARG00000052057,ENSDARG00000052207,ENSDARG00000052361,ENSDARG00000052779,ENSDARG00000052960,ENSDARG00000053323,ENSDARG00000053906,ENSDARG00000053939,ENSDARG00000054055,ENSDARG00000054202,ENSDARG00000054542,ENSDARG00000054942,ENSDARG00000055416,ENSDARG00000055498,ENSDARG00000056021,ENSDARG00000056075,ENSDARG00000056214,ENSDARG00000056324,ENSDARG00000056499,ENSDARG00000056590,ENSDARG00000056627,ENSDARG00000056630,ENSDARG00000056795,ENSDARG00000057108,ENSDARG00000057180,ENSDARG00000057263,ENSDARG00000057598,ENSDARG00000057992,ENSDARG00000058570,ENSDARG00000059026,ENSDARG00000059029,ENSDARG00000060526,ENSDARG00000061226,ENSDARG00000061351,ENSDARG00000061383,ENSDARG00000062319,ENSDARG00000062352,ENSDARG00000062707,ENSDARG00000063095,ENSDARG00000063177,ENSDARG00000063230,ENSDARG00000067801,ENSDARG00000068088,ENSDARG00000068263,ENSDARG00000068303,ENSDARG00000068892,ENSDARG00000068995,ENSDARG00000069048,ENSDARG00000069089,ENSDARG00000069093,ENSDARG00000069192,ENSDARG00000069293,ENSDARG00000069305,ENSDARG00000069376,ENSDARG00000069446,ENSDARG00000069481,ENSDARG00000069640,ENSDARG00000069752,ENSDARG00000070280,ENSDARG00000070396,ENSDARG00000070427,ENSDARG00000070675,ENSDARG00000070676,ENSDARG00000070683,ENSDARG00000070702,ENSDARG00000070873,ENSDARG00000070892,ENSDARG00000070930,ENSDARG00000071306,ENSDARG00000071499,ENSDARG00000071586,ENSDARG00000071679,ENSDARG00000073699,ENSDARG00000073716,ENSDARG00000073742,ENSDARG00000073935,ENSDARG00000074216,ENSDARG00000074535,ENSDARG00000074656,ENSDARG00000074764,ENSDARG00000074765,ENSDARG00000074772,ENSDARG00000074930,ENSDARG00000075016,ENSDARG00000075045,ENSDARG00000075121,ENSDARG00000075261,ENSDARG00000075707,ENSDARG00000075827,ENSDARG00000075954,ENSDARG00000075963,ENSDARG00000076121,ENSDARG00000076148,ENSDARG00000076186,ENSDARG00000076196,ENSDARG00000076448,ENSDARG00000076569,ENSDARG00000077058,ENSDARG00000077174,ENSDARG00000077231,ENSDARG00000077245,ENSDARG00000077403,ENSDARG00000077664,ENSDARG00000077850,ENSDARG00000077858,ENSDARG00000077960,ENSDARG00000078183,ENSDARG00000078527,ENSDARG00000078561,ENSDARG00000078738,ENSDARG00000079011,ENSDARG00000079274,ENSDARG00000079371,ENSDARG00000079862,ENSDARG00000086070,ENSDARG00000086669,ENSDARG00000087143,ENSDARG00000087227,ENSDARG00000087241,ENSDARG00000089187,ENSDARG00000089383,ENSDARG00000089667,ENSDARG00000090286,ENSDARG00000090344,ENSDARG00000090557,ENSDARG00000090873,ENSDARG00000091003,ENSDARG00000091136,ENSDARG00000091625,ENSDARG00000091996,ENSDARG00000092155,ENSDARG00000092162,ENSDARG00000092283,ENSDARG00000092423,ENSDARG00000092890,ENSDARG00000093079,ENSDARG00000093198,ENSDARG00000093600,ENSDARG00000093608,ENSDARG00000093750,ENSDARG00000093877,ENSDARG00000094408,ENSDARG00000094511,ENSDARG00000094845,ENSDARG00000094908,ENSDARG00000095409,ENSDARG00000095462,ENSDARG00000095512,ENSDARG00000095698,ENSDARG00000095807,ENSDARG00000095830,ENSDARG00000095901,ENSDARG00000095939,ENSDARG00000096355,ENSDARG00000096830,ENSDARG00000096888,ENSDARG00000096975,ENSDARG00000096977,ENSDARG00000097275,ENSDARG00000097766,ENSDARG00000097826,ENSDARG00000098112,ENSDARG00000098481,ENSDARG00000098508,ENSDARG00000098700,ENSDARG00000098752,ENSDARG00000099144,ENSDARG00000099363,ENSDARG00000099376,ENSDARG00000099424,ENSDARG00000099947,ENSDARG00000099980,ENSDARG00000099982,ENSDARG00000100052,ENSDARG00000100095,ENSDARG00000100248,ENSDARG00000100484,ENSDARG00000100737,ENSDARG00000100781,ENSDARG00000100782,ENSDARG00000100795,ENSDARG00000101040,ENSDARG00000101199,ENSDARG00000101279,ENSDARG00000101324,ENSDARG00000101334,ENSDARG00000101980,ENSDARG00000102004,ENSDARG00000102211,ENSDARG00000102299,ENSDARG00000102617,ENSDARG00000102758,ENSDARG00000102776,ENSDARG00000102823,ENSDARG00000103049,ENSDARG00000103271,ENSDARG00000103308,ENSDARG00000103466,ENSDARG00000103580,ENSDARG00000103679,ENSDARG00000103775,ENSDARG00000103799,ENSDARG00000103826,ENSDARG00000104138,ENSDARG00000104267,ENSDARG00000104359,ENSDARG00000104363,ENSDARG00000104992,ENSDARG00000105118,ENSDARG00000105154,ENSDARG00000105230,ENSDARG00000105239,ENSDARG00000105263,ENSDARG00000105274,ENSDARG00000105568,ENSDARG00000109310,ENSDARG00000109371,ENSDARG00000109601,ENSDARG00000110574,ENSDARG00000113315,ENSDARG00000113707,ENSDARG00000114393,ENSDARG00000114760,ENSDARG00000115817,ENSDARG00000115875,ENSDARG00000116199,ENSDARG00000116457,ENSDARG00000117193
GO:0005764	lysosome	84	4	0.74	0.00623	ENSDARG00000003902,ENSDARG00000004889,ENSDARG00000006397,ENSDARG00000007836,ENSDARG00000008238,ENSDARG00000008832,ENSDARG00000008890,ENSDARG00000013771,ENSDARG00000013795,ENSDARG00000013968,ENSDARG00000014208,ENSDARG00000014914,ENSDARG00000019033,ENSDARG00000020497,ENSDARG00000021287,ENSDARG00000023766,ENSDARG00000025147,ENSDARG00000025693,ENSDARG00000028257,ENSDARG00000034368,ENSDARG00000034817,ENSDARG00000035870,ENSDARG00000035890,ENSDARG00000036155,ENSDARG00000037091,ENSDARG00000037244,ENSDARG00000037865,ENSDARG00000039980,ENSDARG00000040251,ENSDARG00000042753,ENSDARG00000042899,ENSDARG00000043081,ENSDARG00000044073,ENSDARG00000044241,ENSDARG00000044813,ENSDARG00000045027,ENSDARG00000045289,ENSDARG00000045420,ENSDARG00000045790,ENSDARG00000054807,ENSDARG00000055504,ENSDARG00000055757,ENSDARG00000057698,ENSDARG00000058413,ENSDARG00000059902,ENSDARG00000062362,ENSDARG00000062385,ENSDARG00000062489,ENSDARG00000063095,ENSDARG00000063573,ENSDARG00000067566,ENSDARG00000069114,ENSDARG00000069829,ENSDARG00000074656,ENSDARG00000075014,ENSDARG00000075629,ENSDARG00000076058,ENSDARG00000076121,ENSDARG00000076386,ENSDARG00000076755,ENSDARG00000077664,ENSDARG00000077828,ENSDARG00000078105,ENSDARG00000078138,ENSDARG00000078363,ENSDARG00000079980,ENSDARG00000086332,ENSDARG00000087243,ENSDARG00000087596,ENSDARG00000090194,ENSDARG00000093176,ENSDARG00000095698,ENSDARG00000098700,ENSDARG00000099313,ENSDARG00000099376,ENSDARG00000099954,ENSDARG00000100021,ENSDARG00000100420,ENSDARG00000101116,ENSDARG00000101334,ENSDARG00000101785,ENSDARG00000103271,ENSDARG00000104149,ENSDARG00000104542
GO:0005911	cell-cell junction	86	4	0.76	0.00677	ENSDARG00000003091,ENSDARG00000003701,ENSDARG00000003925,ENSDARG00000004082,ENSDARG00000005108,ENSDARG00000006272,ENSDARG00000007099,ENSDARG00000009215,ENSDARG00000009544,ENSDARG00000011863,ENSDARG00000014047,ENSDARG00000014059,ENSDARG00000014976,ENSDARG00000015076,ENSDARG00000015964,ENSDARG00000017320,ENSDARG00000020031,ENSDARG00000021889,ENSDARG00000023026,ENSDARG00000025076,ENSDARG00000026985,ENSDARG00000028096,ENSDARG00000030723,ENSDARG00000034207,ENSDARG00000034930,ENSDARG00000035553,ENSDARG00000036090,ENSDARG00000036376,ENSDARG00000037353,ENSDARG00000040045,ENSDARG00000040065,ENSDARG00000040380,ENSDARG00000040628,ENSDARG00000041787,ENSDARG00000041792,ENSDARG00000041797,ENSDARG00000041799,ENSDARG00000042357,ENSDARG00000042707,ENSDARG00000042866,ENSDARG00000043128,ENSDARG00000043133,ENSDARG00000044387,ENSDARG00000051861,ENSDARG00000053062,ENSDARG00000054616,ENSDARG00000054744,ENSDARG00000057792,ENSDARG00000058064,ENSDARG00000058930,ENSDARG00000058937,ENSDARG00000060758,ENSDARG00000061651,ENSDARG00000061797,ENSDARG00000061800,ENSDARG00000063309,ENSDARG00000068114,ENSDARG00000069378,ENSDARG00000069450,ENSDARG00000069451,ENSDARG00000069503,ENSDARG00000069505,ENSDARG00000069888,ENSDARG00000070357,ENSDARG00000070362,ENSDARG00000070781,ENSDARG00000070787,ENSDARG00000071042,ENSDARG00000071192,ENSDARG00000075854,ENSDARG00000076673,ENSDARG00000076789,ENSDARG00000086255,ENSDARG00000086453,ENSDARG00000089553,ENSDARG00000090598,ENSDARG00000094990,ENSDARG00000099291,ENSDARG00000099598,ENSDARG00000099654,ENSDARG00000099950,ENSDARG00000100844,ENSDARG00000111977,ENSDARG00000112049,ENSDARG00000115989,ENSDARG00000116895
GO:0009898	cytoplasmic side of plasma membrane	50	3	0.44	0.00951	ENSDARG00000002696,ENSDARG00000003375,ENSDARG00000004358,ENSDARG00000004378,ENSDARG00000004672,ENSDARG00000007418,ENSDARG00000007783,ENSDARG00000008186,ENSDARG00000009553,ENSDARG00000017294,ENSDARG00000021647,ENSDARG00000022841,ENSDARG00000025826,ENSDARG00000030644,ENSDARG00000034714,ENSDARG00000035798,ENSDARG00000036058,ENSDARG00000037921,ENSDARG00000039577,ENSDARG00000039830,ENSDARG00000040741,ENSDARG00000041947,ENSDARG00000044199,ENSDARG00000044760,ENSDARG00000056831,ENSDARG00000059956,ENSDARG00000067916,ENSDARG00000069433,ENSDARG00000069482,ENSDARG00000073765,ENSDARG00000074004,ENSDARG00000078741,ENSDARG00000086159,ENSDARG00000088439,ENSDARG00000094695,ENSDARG00000096661,ENSDARG00000096757,ENSDARG00000098123,ENSDARG00000100287,ENSDARG00000101036,ENSDARG00000102525,ENSDARG00000103543,ENSDARG00000103736,ENSDARG00000104043,ENSDARG00000104372,ENSDARG00000107511,ENSDARG00000115383,ENSDARG00000115627,ENSDARG00000115661,ENSDARG00000116003
GO:0045177	apical part of cell	28	2	0.25	0.02490	ENSDARG00000007906,ENSDARG00000014916,ENSDARG00000033993,ENSDARG00000034534,ENSDARG00000036090,ENSDARG00000036764,ENSDARG00000038089,ENSDARG00000039406,ENSDARG00000040251,ENSDARG00000052779,ENSDARG00000055291,ENSDARG00000055313,ENSDARG00000058498,ENSDARG00000062947,ENSDARG00000069378,ENSDARG00000076196,ENSDARG00000076318,ENSDARG00000078741,ENSDARG00000079420,ENSDARG00000089276,ENSDARG00000094055,ENSDARG00000095409,ENSDARG00000095577,ENSDARG00000096757,ENSDARG00000097826,ENSDARG00000102503,ENSDARG00000113315,ENSDARG00000113474
GO:0016324	apical plasma membrane	28	2	0.25	0.02490	ENSDARG00000007906,ENSDARG00000014916,ENSDARG00000033993,ENSDARG00000034534,ENSDARG00000036090,ENSDARG00000036764,ENSDARG00000038089,ENSDARG00000039406,ENSDARG00000040251,ENSDARG00000052779,ENSDARG00000055291,ENSDARG00000055313,ENSDARG00000058498,ENSDARG00000062947,ENSDARG00000069378,ENSDARG00000076196,ENSDARG00000076318,ENSDARG00000078741,ENSDARG00000079420,ENSDARG00000089276,ENSDARG00000094055,ENSDARG00000095409,ENSDARG00000095577,ENSDARG00000096757,ENSDARG00000097826,ENSDARG00000102503,ENSDARG00000113315,ENSDARG00000113474
GO:0030659	cytoplasmic vesicle membrane	73	3	0.64	0.02616	ENSDARG00000000690,ENSDARG00000000837,ENSDARG00000001414,ENSDARG00000002230,ENSDARG00000002792,ENSDARG00000004173,ENSDARG00000006112,ENSDARG00000007370,ENSDARG00000008170,ENSDARG00000011640,ENSDARG00000014871,ENSDARG00000014954,ENSDARG00000016016,ENSDARG00000017844,ENSDARG00000019360,ENSDARG00000020798,ENSDARG00000025034,ENSDARG00000025535,ENSDARG00000026967,ENSDARG00000027966,ENSDARG00000028816,ENSDARG00000029928,ENSDARG00000031214,ENSDARG00000033320,ENSDARG00000034572,ENSDARG00000034823,ENSDARG00000037361,ENSDARG00000038743,ENSDARG00000038979,ENSDARG00000039270,ENSDARG00000040912,ENSDARG00000042350,ENSDARG00000043093,ENSDARG00000043555,ENSDARG00000044246,ENSDARG00000044551,ENSDARG00000044956,ENSDARG00000045027,ENSDARG00000045618,ENSDARG00000046002,ENSDARG00000053070,ENSDARG00000054320,ENSDARG00000054337,ENSDARG00000054807,ENSDARG00000055206,ENSDARG00000055290,ENSDARG00000055292,ENSDARG00000055307,ENSDARG00000056151,ENSDARG00000056347,ENSDARG00000056557,ENSDARG00000056803,ENSDARG00000058504,ENSDARG00000061741,ENSDARG00000062009,ENSDARG00000069302,ENSDARG00000069446,ENSDARG00000075030,ENSDARG00000078014,ENSDARG00000078157,ENSDARG00000089821,ENSDARG00000090469,ENSDARG00000090899,ENSDARG00000091459,ENSDARG00000091618,ENSDARG00000098813,ENSDARG00000100751,ENSDARG00000103516,ENSDARG00000103687,ENSDARG00000104470,ENSDARG00000107077,ENSDARG00000110528,ENSDARG00000116433
GO:0098590	plasma membrane region	129	4	1.14	0.02653	ENSDARG00000000380,ENSDARG00000001880,ENSDARG00000003313,ENSDARG00000003420,ENSDARG00000003632,ENSDARG00000003642,ENSDARG00000003808,ENSDARG00000004618,ENSDARG00000004871,ENSDARG00000005704,ENSDARG00000006602,ENSDARG00000007906,ENSDARG00000008170,ENSDARG00000008735,ENSDARG00000009021,ENSDARG00000009336,ENSDARG00000011671,ENSDARG00000012866,ENSDARG00000012881,ENSDARG00000014916,ENSDARG00000014943,ENSDARG00000016016,ENSDARG00000016739,ENSDARG00000017140,ENSDARG00000017490,ENSDARG00000019342,ENSDARG00000019881,ENSDARG00000020450,ENSDARG00000024141,ENSDARG00000025826,ENSDARG00000026294,ENSDARG00000027153,ENSDARG00000027590,ENSDARG00000027611,ENSDARG00000028321,ENSDARG00000029170,ENSDARG00000029290,ENSDARG00000033993,ENSDARG00000034307,ENSDARG00000034534,ENSDARG00000036090,ENSDARG00000036764,ENSDARG00000037292,ENSDARG00000037747,ENSDARG00000037998,ENSDARG00000038089,ENSDARG00000038508,ENSDARG00000039406,ENSDARG00000040251,ENSDARG00000040380,ENSDARG00000040534,ENSDARG00000040627,ENSDARG00000042231,ENSDARG00000045003,ENSDARG00000045067,ENSDARG00000052000,ENSDARG00000052518,ENSDARG00000052673,ENSDARG00000052769,ENSDARG00000052779,ENSDARG00000052928,ENSDARG00000053542,ENSDARG00000054680,ENSDARG00000055291,ENSDARG00000055313,ENSDARG00000056791,ENSDARG00000057029,ENSDARG00000057468,ENSDARG00000057984,ENSDARG00000058165,ENSDARG00000058498,ENSDARG00000059362,ENSDARG00000062947,ENSDARG00000069139,ENSDARG00000069378,ENSDARG00000069774,ENSDARG00000070511,ENSDARG00000070543,ENSDARG00000070624,ENSDARG00000070923,ENSDARG00000071196,ENSDARG00000073765,ENSDARG00000074746,ENSDARG00000075802,ENSDARG00000076196,ENSDARG00000076318,ENSDARG00000078014,ENSDARG00000078149,ENSDARG00000078741,ENSDARG00000078800,ENSDARG00000079420,ENSDARG00000079585,ENSDARG00000079637,ENSDARG00000086647,ENSDARG00000086786,ENSDARG00000087071,ENSDARG00000088258,ENSDARG00000089276,ENSDARG00000091459,ENSDARG00000094055,ENSDARG00000095409,ENSDARG00000095577,ENSDARG00000096095,ENSDARG00000096757,ENSDARG00000097826,ENSDARG00000098481,ENSDARG00000099226,ENSDARG00000099744,ENSDARG00000100095,ENSDARG00000100751,ENSDARG00000100752,ENSDARG00000100991,ENSDARG00000101522,ENSDARG00000101626,ENSDARG00000101702,ENSDARG00000101984,ENSDARG00000102128,ENSDARG00000102503,ENSDARG00000104359,ENSDARG00000104719,ENSDARG00000104786,ENSDARG00000104820,ENSDARG00000111977,ENSDARG00000113315,ENSDARG00000113474,ENSDARG00000115540,ENSDARG00000115627,ENSDARG00000115778,ENSDARG00000116725
GO:0012506	vesicle membrane	75	3	0.66	0.02805	ENSDARG00000000690,ENSDARG00000000837,ENSDARG00000001414,ENSDARG00000002230,ENSDARG00000002792,ENSDARG00000004173,ENSDARG00000006112,ENSDARG00000007370,ENSDARG00000008170,ENSDARG00000011640,ENSDARG00000014871,ENSDARG00000014954,ENSDARG00000016016,ENSDARG00000017844,ENSDARG00000019360,ENSDARG00000020798,ENSDARG00000025034,ENSDARG00000025535,ENSDARG00000026925,ENSDARG00000026967,ENSDARG00000027966,ENSDARG00000028816,ENSDARG00000029928,ENSDARG00000031214,ENSDARG00000033320,ENSDARG00000034572,ENSDARG00000034823,ENSDARG00000037361,ENSDARG00000038743,ENSDARG00000038979,ENSDARG00000039270,ENSDARG00000040912,ENSDARG00000042350,ENSDARG00000043093,ENSDARG00000043555,ENSDARG00000044246,ENSDARG00000044551,ENSDARG00000044956,ENSDARG00000045027,ENSDARG00000045618,ENSDARG00000046002,ENSDARG00000053070,ENSDARG00000054320,ENSDARG00000054337,ENSDARG00000054807,ENSDARG00000055206,ENSDARG00000055290,ENSDARG00000055292,ENSDARG00000055307,ENSDARG00000056151,ENSDARG00000056347,ENSDARG00000056557,ENSDARG00000056803,ENSDARG00000058504,ENSDARG00000061741,ENSDARG00000062009,ENSDARG00000069302,ENSDARG00000069446,ENSDARG00000075030,ENSDARG00000078014,ENSDARG00000078157,ENSDARG00000089821,ENSDARG00000090469,ENSDARG00000090899,ENSDARG00000091459,ENSDARG00000091618,ENSDARG00000098813,ENSDARG00000100751,ENSDARG00000103032,ENSDARG00000103516,ENSDARG00000103687,ENSDARG00000104470,ENSDARG00000107077,ENSDARG00000110528,ENSDARG00000116433
GO:0044433	cytoplasmic vesicle part	140	4	1.23	0.03441	ENSDARG00000000690,ENSDARG00000000837,ENSDARG00000001414,ENSDARG00000002230,ENSDARG00000002792,ENSDARG00000004173,ENSDARG00000006112,ENSDARG00000007370,ENSDARG00000007418,ENSDARG00000008170,ENSDARG00000008678,ENSDARG00000010279,ENSDARG00000010531,ENSDARG00000011640,ENSDARG00000013732,ENSDARG00000014303,ENSDARG00000014474,ENSDARG00000014793,ENSDARG00000014871,ENSDARG00000014914,ENSDARG00000014954,ENSDARG00000015153,ENSDARG00000016016,ENSDARG00000016765,ENSDARG00000017010,ENSDARG00000017119,ENSDARG00000017844,ENSDARG00000019360,ENSDARG00000020798,ENSDARG00000021399,ENSDARG00000025034,ENSDARG00000025147,ENSDARG00000025220,ENSDARG00000025535,ENSDARG00000026967,ENSDARG00000027966,ENSDARG00000028816,ENSDARG00000029307,ENSDARG00000029928,ENSDARG00000031214,ENSDARG00000031836,ENSDARG00000033320,ENSDARG00000034572,ENSDARG00000034823,ENSDARG00000035571,ENSDARG00000035870,ENSDARG00000037361,ENSDARG00000037967,ENSDARG00000038743,ENSDARG00000038979,ENSDARG00000039270,ENSDARG00000039319,ENSDARG00000040362,ENSDARG00000040912,ENSDARG00000042350,ENSDARG00000043093,ENSDARG00000043555,ENSDARG00000044246,ENSDARG00000044551,ENSDARG00000044813,ENSDARG00000044956,ENSDARG00000045027,ENSDARG00000045542,ENSDARG00000045554,ENSDARG00000045618,ENSDARG00000046002,ENSDARG00000052928,ENSDARG00000053070,ENSDARG00000054302,ENSDARG00000054320,ENSDARG00000054337,ENSDARG00000054807,ENSDARG00000055206,ENSDARG00000055290,ENSDARG00000055292,ENSDARG00000055307,ENSDARG00000055504,ENSDARG00000055901,ENSDARG00000056151,ENSDARG00000056347,ENSDARG00000056557,ENSDARG00000056559,ENSDARG00000056803,ENSDARG00000057021,ENSDARG00000057075,ENSDARG00000058076,ENSDARG00000058425,ENSDARG00000058504,ENSDARG00000058746,ENSDARG00000059079,ENSDARG00000059902,ENSDARG00000061741,ENSDARG00000062009,ENSDARG00000062362,ENSDARG00000062489,ENSDARG00000062770,ENSDARG00000063573,ENSDARG00000067958,ENSDARG00000069175,ENSDARG00000069302,ENSDARG00000069324,ENSDARG00000069446,ENSDARG00000070555,ENSDARG00000071031,ENSDARG00000074246,ENSDARG00000075030,ENSDARG00000075382,ENSDARG00000078014,ENSDARG00000078157,ENSDARG00000078363,ENSDARG00000079478,ENSDARG00000089217,ENSDARG00000089821,ENSDARG00000090194,ENSDARG00000090469,ENSDARG00000090899,ENSDARG00000091459,ENSDARG00000091618,ENSDARG00000091619,ENSDARG00000097055,ENSDARG00000097451,ENSDARG00000098813,ENSDARG00000098853,ENSDARG00000099741,ENSDARG00000100751,ENSDARG00000100752,ENSDARG00000101116,ENSDARG00000101626,ENSDARG00000102050,ENSDARG00000102643,ENSDARG00000102766,ENSDARG00000103032,ENSDARG00000103203,ENSDARG00000103516,ENSDARG00000103667,ENSDARG00000103687,ENSDARG00000104470,ENSDARG00000107077,ENSDARG00000110528,ENSDARG00000116433
