ID	p	p.adjusted	name
ZFA:0009258	6.283762614213222E-4	0.31795838827918904	"angioblastic mesenchymal cell"
ZFA:0001484	8.384762932253121E-4	0.42426900437200793	"superficial blastomere"
ZFA:0009251	9.570321431320238E-4	0.4842582644248041	"granulocyte monocyte progenitor cell"
ZFA:0000086	0.0024260985423456356	1.0	"EVL"
ZFA:0009136	0.004078199222448042	1.0	"motile cell"
ZFA:0009309	0.004375795148567929	1.0	"leukocyte"
ZFA:0000047	0.0062730613460031965	1.0	"peripheral olfactory organ"
ZFA:0001185	0.00637684817845308	1.0	"periderm"
ZFA:0009356	0.007840402069541326	1.0	"myeloid lineage restricted progenitor cell"
ZFA:0000593	0.008968609865469736	1.0	"superior reticular formation medial column"
ZFA:0000600	0.009900990099009714	1.0	"cranial nerve IV"
ZFA:0000607	0.011764705882353043	1.0	"ventral rhombencephalic commissure"
ZFA:0005781	0.012140875246106375	1.0	"cloaca"
ZFA:0000048	0.013366567931230476	1.0	"olfactory placode"
ZFA:0009014	0.014138433179743368	1.0	"hematopoietic stem cell"
ZFA:0001149	0.015997818889798773	1.0	"olfactory system"
ZFA:0005146	0.01656527341012178	1.0	"area postrema"
ZFA:0007062	0.018495909776969837	1.0	"olfactory field"
ZFA:0001267	0.022091658703523268	1.0	"cranial vasculature"
ZFA:0000626	0.023529411764706087	1.0	"bulbo-spinal tract"
ZFA:0000423	0.028111070216347563	1.0	"anterior cardinal vein"
ZFA:0001159	0.02966808289019434	1.0	"immune system"
ZFA:0000056	0.029807772326761225	1.0	"pharynx"
ZFA:0001683	0.030369255167337683	1.0	"corneal epithelium"
ZFA:0000523	0.03555555555555654	1.0	"inferior reticular formation"
ZFA:0000368	0.04069864470186099	1.0	"integument"
ZFA:0005120	0.04227225227444706	1.0	"peritoneum"
ZFA:0009002	0.04257092260151106	1.0	"early embryonic cell"
ZFA:0000640	0.043025762561425256	1.0	"cornea"
ZFA:0005003	0.04323273950746834	1.0	"pharyngeal vasculature"
ZFA:0001688	0.04723268964621092	1.0	"corneal primordium"
ZFA:0000037	0.0483315670230763	1.0	"anatomical structure"
ZFA:0009081	0.04929925919533044	1.0	"mesenchymal cell"
ZFA:0001266	0.05343459222770125	1.0	"ovarian follicle stage III"
ZFA:0009088	0.05461599802405909	1.0	"professional antigen presenting cell"
ZFA:0000293	0.05625506552551193	1.0	"synencephalon"
ZFA:0009017	0.05680931156885116	1.0	"monoblast"
ZFA:0000413	0.05851431780065899	1.0	"gonad"
ZFA:0000518	0.06361323155216485	1.0	"griseum centrale"
ZFA:0001486	0.06393707726135188	1.0	"epithelium"
ZFA:0001265	0.06425261377573432	1.0	"ovarian follicle stage II"
ZFA:0009253	0.06787642170134622	1.0	"promonocyte"
ZFA:0000632	0.06955329026188924	1.0	"reproductive system"
ZFA:0000243	0.0701762202092721	1.0	"neuromast"
ZFA:0005830	0.07126903667773547	1.0	"hematopoietic cell"
ZFA:0009021	0.07164997641814999	1.0	"common myeloid progenitor"
ZFA:0005227	0.07179710424511401	1.0	"protoneuromast"
ZFA:0000302	0.07421874999998583	1.0	"ventral habenular nucleus"
ZFA:0005004	0.07788564322704873	1.0	"aortic arch"
ZFA:0001263	0.079342795868852	1.0	"ovarian follicle stage I"
ZFA:0000006	0.0806524775117536	1.0	"ball"
ZFA:0005023	0.08419937309455497	1.0	"hematopoietic system"
ZFA:0000387	0.0877192982456106	1.0	"motor nucleus of vagal nerve"
ZFA:0009126	0.09000000000000177	1.0	"taste receptor cell"
ZFA:0009349	0.0927152317880758	1.0	"pro-B cell"
ZFA:0005007	0.09632841078444868	1.0	"aortic arch 3"
ZFA:0005272	0.10445284912810016	1.0	"immature gonad"
ZFA:0000084	0.1067723139520197	1.0	"yolk"
ZFA:0005041	0.10796437526129019	1.0	"anterior lateral plate mesoderm"
ZFA:0000542	0.11174133481895246	1.0	"medial column"
ZFA:0009142	0.11570247933884421	1.0	"B cell"
ZFA:0000034	0.11778615071689603	1.0	"lateral line system"
ZFA:0000197	0.12109374999997614	1.0	"dorsal habenular nucleus"
ZFA:0000320	0.12396084550999559	1.0	"caudal commissure"
ZFA:0005029	0.12470006235397724	1.0	"rostral blood island"
