Total reads: 18680448
Fragment number: 48614955
percentile	count
0	122071
1	337230
2	577061
3	814131
4	966278
5	1104701
6	1243664
7	1415416
8	1533003
9	1628015
10	1710768
11	1818792
12	1883321
13	1885244
14	1936599
15	2012214
16	2045404
17	2142926
18	2198333
19	2219376
20	2269655
21	2278722
22	2281786
23	2320653
24	2288246
25	2289999
26	2251334
27	2193526
28	2166590
29	2166182
30	2172687
31	2184291
32	2194588
33	2239106
34	2246498
35	2243839
36	2213980
37	2214802
38	2241397
39	2222277
40	2211215
41	2212369
42	2223797
43	2232121
44	2199202
45	2166177
46	2161570
47	2187076
48	2200423
49	2205952
50	2224698
51	2260764
52	2258976
53	2207693
54	2204774
55	2212851
56	2207041
57	2219921
58	2219995
59	2216665
60	2201374
61	2182426
62	2158072
63	2143181
64	2124789
65	2108029
66	2039015
67	2034247
68	2067771
69	2091935
70	2125715
71	2140242
72	2114234
73	2095742
74	2076472
75	2062621
76	2033195
77	2003552
78	1985061
79	1959552
80	1930272
81	1891860
82	1913117
83	1885834
84	1824886
85	1759276
86	1709915
87	1637162
88	1595626
89	1550705
90	1472922
91	1399029
92	1319619
93	1242028
94	1148135
95	1030105
96	888341
97	755188
98	610739
99	448713
100	258990
