gene	Counts
ENSDARG00000000606	63
ENSDARG00000001870	4917
ENSDARG00000002190	889
ENSDARG00000002285	306
ENSDARG00000002377	123
ENSDARG00000002406	18
ENSDARG00000002791	9460
ENSDARG00000002937	448
ENSDARG00000003054	27
ENSDARG00000003398	333
ENSDARG00000003631	611
ENSDARG00000003866	1568
ENSDARG00000004246	878
ENSDARG00000004427	177
ENSDARG00000004633	62
ENSDARG00000004634	324
ENSDARG00000005210	202
ENSDARG00000005479	1955
ENSDARG00000005544	66
ENSDARG00000005578	1008
ENSDARG00000006392	150
ENSDARG00000006427	6787
ENSDARG00000006621	367
ENSDARG00000007289	24
ENSDARG00000007387	226
ENSDARG00000007534	4
ENSDARG00000007734	46
ENSDARG00000007739	1448
ENSDARG00000008131	255
ENSDARG00000008279	37
ENSDARG00000008457	254
ENSDARG00000008706	1773
ENSDARG00000008723	514
ENSDARG00000008886	131
ENSDARG00000008969	3222
ENSDARG00000009026	745
ENSDARG00000009472	152
ENSDARG00000010078	434
ENSDARG00000010376	1
ENSDARG00000010442	343
ENSDARG00000010791	452
ENSDARG00000011299	446
ENSDARG00000011876	252
ENSDARG00000012297	130
ENSDARG00000012458	1671
ENSDARG00000012672	288
ENSDARG00000012763	191
ENSDARG00000012896	565
ENSDARG00000012903	508
ENSDARG00000013023	45
ENSDARG00000013505	519
ENSDARG00000013741	315
ENSDARG00000013787	191
ENSDARG00000013881	313
ENSDARG00000014098	150
ENSDARG00000014790	786
ENSDARG00000015076	103
ENSDARG00000015266	991
ENSDARG00000015312	186
ENSDARG00000015559	96
ENSDARG00000015803	46
ENSDARG00000015946	154
ENSDARG00000016065	25
ENSDARG00000016263	650
ENSDARG00000016304	170
ENSDARG00000016470	653
ENSDARG00000016548	1499
ENSDARG00000016706	914
ENSDARG00000016793	16883
ENSDARG00000016994	205
ENSDARG00000017119	326
ENSDARG00000017255	211
ENSDARG00000017441	56193
ENSDARG00000017537	42
ENSDARG00000017591	3283
ENSDARG00000017744	709
ENSDARG00000017772	6898
ENSDARG00000017905	972
ENSDARG00000017984	11
ENSDARG00000017985	306
ENSDARG00000018117	2
ENSDARG00000018190	987
ENSDARG00000018263	492
ENSDARG00000018325	265
ENSDARG00000018460	1106
ENSDARG00000018587	2
ENSDARG00000018721	387
ENSDARG00000019581	770
ENSDARG00000019715	57
ENSDARG00000020857	132
ENSDARG00000022690	268
ENSDARG00000022845	157
ENSDARG00000022971	249
ENSDARG00000023151	2877
ENSDARG00000024785	599
ENSDARG00000024827	43
ENSDARG00000025233	32
ENSDARG00000025325	230
ENSDARG00000025350	4767
ENSDARG00000025754	339
ENSDARG00000025904	1320
ENSDARG00000026068	331
ENSDARG00000026387	69
ENSDARG00000026771	268
ENSDARG00000026902	128
ENSDARG00000027078	810
ENSDARG00000027355	10119
ENSDARG00000027497	118
ENSDARG00000027572	282
ENSDARG00000027826	52
ENSDARG00000028276	13
ENSDARG00000028982	745
ENSDARG00000029133	364
ENSDARG00000029718	28
ENSDARG00000029751	202
ENSDARG00000030368	615
ENSDARG00000030563	107
ENSDARG00000030703	56
ENSDARG00000030972	193
ENSDARG00000031164	2460
ENSDARG00000031435	2192
ENSDARG00000031632	194
ENSDARG00000031836	545
ENSDARG00000031894	416
ENSDARG00000031952	1314
ENSDARG00000032056	230
ENSDARG00000032808	10
ENSDARG00000033273	94
ENSDARG00000033604	577
ENSDARG00000033666	348
ENSDARG00000034093	219
ENSDARG00000034105	542
ENSDARG00000034785	89
ENSDARG00000034862	287
ENSDARG00000034910	1
ENSDARG00000035692	17137
ENSDARG00000036008	347
ENSDARG00000036295	807
ENSDARG00000036371	712
ENSDARG00000036415	209
ENSDARG00000036471	0
ENSDARG00000036479	6
ENSDARG00000036494	90
ENSDARG00000036545	5
ENSDARG00000036587	168
ENSDARG00000036637	31
ENSDARG00000036658	1082
ENSDARG00000036687	1203
ENSDARG00000036967	1247
ENSDARG00000036995	248
ENSDARG00000037002	2
ENSDARG00000037018	430
ENSDARG00000037099	639
ENSDARG00000037100	106
ENSDARG00000037144	196
ENSDARG00000037177	945
ENSDARG00000037178	145
ENSDARG00000037259	511
ENSDARG00000037260	118
ENSDARG00000037261	251
ENSDARG00000037278	92
ENSDARG00000037283	304
ENSDARG00000037383	12
ENSDARG00000037410	95
