gene	Counts
ENSDARG00000000606	51
ENSDARG00000001870	6416
ENSDARG00000002190	853
ENSDARG00000002285	327
ENSDARG00000002377	93
ENSDARG00000002406	14
ENSDARG00000002791	8817
ENSDARG00000002937	487
ENSDARG00000003054	40
ENSDARG00000003398	329
ENSDARG00000003631	642
ENSDARG00000003866	1689
ENSDARG00000004246	906
ENSDARG00000004427	186
ENSDARG00000004633	46
ENSDARG00000004634	258
ENSDARG00000005210	206
ENSDARG00000005479	1723
ENSDARG00000005544	56
ENSDARG00000005578	817
ENSDARG00000006392	132
ENSDARG00000006427	6038
ENSDARG00000006621	390
ENSDARG00000007289	27
ENSDARG00000007387	202
ENSDARG00000007534	1
ENSDARG00000007734	55
ENSDARG00000007739	1823
ENSDARG00000008131	233
ENSDARG00000008279	22
ENSDARG00000008457	292
ENSDARG00000008706	1922
ENSDARG00000008723	519
ENSDARG00000008886	144
ENSDARG00000008969	2771
ENSDARG00000009026	767
ENSDARG00000009472	136
ENSDARG00000010078	356
ENSDARG00000010376	2
ENSDARG00000010442	392
ENSDARG00000010791	328
ENSDARG00000011299	652
ENSDARG00000011876	283
ENSDARG00000012297	89
ENSDARG00000012458	1861
ENSDARG00000012672	258
ENSDARG00000012763	244
ENSDARG00000012896	648
ENSDARG00000012903	979
ENSDARG00000013023	38
ENSDARG00000013505	551
ENSDARG00000013741	308
ENSDARG00000013787	252
ENSDARG00000013881	284
ENSDARG00000014098	199
ENSDARG00000014790	751
ENSDARG00000015076	108
ENSDARG00000015266	1052
ENSDARG00000015312	237
ENSDARG00000015559	128
ENSDARG00000015803	38
ENSDARG00000015946	152
ENSDARG00000016065	18
ENSDARG00000016263	636
ENSDARG00000016304	167
ENSDARG00000016470	1038
ENSDARG00000016548	1514
ENSDARG00000016706	455
ENSDARG00000016793	16317
ENSDARG00000016994	231
ENSDARG00000017119	308
ENSDARG00000017255	177
ENSDARG00000017441	48536
ENSDARG00000017537	47
ENSDARG00000017591	2812
ENSDARG00000017744	401
ENSDARG00000017772	7188
ENSDARG00000017905	940
ENSDARG00000017984	9
ENSDARG00000017985	223
ENSDARG00000018117	4
ENSDARG00000018190	869
ENSDARG00000018263	2586
ENSDARG00000018325	244
ENSDARG00000018460	1088
ENSDARG00000018587	15
ENSDARG00000018721	375
ENSDARG00000019581	679
ENSDARG00000019715	57
ENSDARG00000020857	132
ENSDARG00000022690	303
ENSDARG00000022845	166
ENSDARG00000022971	291
ENSDARG00000023151	6511
ENSDARG00000024785	609
ENSDARG00000024827	46
ENSDARG00000025233	42
ENSDARG00000025325	204
ENSDARG00000025350	4986
ENSDARG00000025754	332
ENSDARG00000025904	1065
ENSDARG00000026068	362
ENSDARG00000026387	48
ENSDARG00000026771	374
ENSDARG00000026902	139
ENSDARG00000027078	861
ENSDARG00000027355	8528
ENSDARG00000027497	78
ENSDARG00000027572	243
ENSDARG00000027826	66
ENSDARG00000028276	7
ENSDARG00000028982	575
ENSDARG00000029133	358
ENSDARG00000029718	130
ENSDARG00000029751	264
ENSDARG00000030368	596
ENSDARG00000030563	113
ENSDARG00000030703	56
ENSDARG00000030972	197
ENSDARG00000031164	2488
ENSDARG00000031435	2196
ENSDARG00000031632	207
ENSDARG00000031836	528
ENSDARG00000031894	405
ENSDARG00000031952	1354
ENSDARG00000032056	239
ENSDARG00000032808	9
ENSDARG00000033273	75
ENSDARG00000033604	512
ENSDARG00000033666	403
ENSDARG00000034093	207
ENSDARG00000034105	551
ENSDARG00000034785	110
ENSDARG00000034862	394
ENSDARG00000034910	0
ENSDARG00000035692	18879
ENSDARG00000036008	313
ENSDARG00000036295	839
ENSDARG00000036371	1053
ENSDARG00000036415	222
ENSDARG00000036471	0
ENSDARG00000036479	15
ENSDARG00000036494	79
ENSDARG00000036545	5
ENSDARG00000036587	253
ENSDARG00000036637	46
ENSDARG00000036658	1106
ENSDARG00000036687	1254
ENSDARG00000036967	1282
ENSDARG00000036995	222
ENSDARG00000037002	2
ENSDARG00000037018	410
ENSDARG00000037099	662
ENSDARG00000037100	101
ENSDARG00000037144	216
ENSDARG00000037177	888
ENSDARG00000037178	103
ENSDARG00000037259	473
ENSDARG00000037260	132
ENSDARG00000037261	258
ENSDARG00000037278	88
ENSDARG00000037283	354
ENSDARG00000037383	15
ENSDARG00000037410	98
ENSDARG00000037484	106
ENSDARG00000037487	65
ENSDARG00000037576	1
ENSDARG00000037619	18
ENSDARG00000037646	70
ENSDARG00000037654	123
ENSDARG00000037679	237
ENSDARG00000037713	484
ENSDARG00000037747	453
ENSDARG00000037758	3
ENSDARG00000037760	206
ENSDARG00000037777	152
ENSDARG00000038114	55
ENSDARG00000038352	0
ENSDARG00000039063	44
ENSDARG00000039131	538
ENSDARG00000039613	132
ENSDARG00000039615	41
ENSDARG00000040048	262
ENSDARG00000040245	2455
ENSDARG00000040246	31
ENSDARG00000040250	1
ENSDARG00000040252	249
ENSDARG00000041399	0
ENSDARG00000041570	375
ENSDARG00000042688	17
ENSDARG00000042887	276
ENSDARG00000042988	1334
ENSDARG00000043226	23
