Total reads: 16760529
Fragment number: 42799570
percentile	count
0	106503
1	291630
2	495941
3	692341
4	820378
5	940318
6	1059988
7	1199065
8	1298623
9	1381685
10	1450494
11	1545679
12	1604988
13	1607346
14	1650915
15	1716569
16	1749450
17	1838585
18	1892693
19	1910479
20	1954670
21	1966355
22	1968942
23	1999893
24	1978657
25	1977777
26	1949833
27	1906551
28	1886307
29	1887209
30	1892176
31	1905339
32	1914406
33	1958221
34	1965888
35	1962415
36	1938768
37	1939912
38	1965988
39	1948530
40	1941191
41	1943739
42	1954342
43	1961924
44	1931465
45	1901973
46	1901584
47	1929026
48	1945543
49	1956454
50	1973994
51	2010913
52	2013229
53	1975206
54	1978763
55	1989333
56	1987087
57	1994604
58	1994124
59	1990511
60	1976250
61	1959436
62	1939809
63	1932549
64	1920550
65	1906080
66	1845127
67	1841654
68	1878477
69	1900410
70	1930135
71	1936552
72	1918292
73	1904362
74	1887408
75	1879894
76	1856164
77	1829411
78	1815382
79	1796081
80	1770446
81	1732377
82	1753037
83	1731775
84	1679772
85	1620560
86	1579354
87	1515769
88	1479158
89	1440898
90	1373370
91	1309219
92	1239119
93	1152494
94	1065292
95	957768
96	823129
97	704229
98	571825
99	418252
100	240074
