Total reads: 23756398
Fragment number: 61804145
percentile	count
0	126191
1	335140
2	583394
3	846428
4	1029489
5	1193283
6	1372162
7	1571358
8	1722651
9	1852815
10	1967844
11	2119738
12	2212749
13	2227488
14	2303821
15	2438023
16	2506353
17	2645037
18	2734103
19	2774546
20	2852535
21	2884348
22	2913119
23	2969917
24	2940883
25	2960573
26	2907263
27	2842723
28	2815073
29	2819004
30	2828850
31	2854697
32	2876234
33	2956885
34	2967790
35	2972933
36	2942472
37	2948895
38	2978796
39	2961579
40	2949894
41	2969352
42	2996158
43	3018126
44	2979423
45	2947011
46	2968120
47	3012375
48	3034985
49	3053195
50	3083956
51	3139331
52	3149504
53	3078605
54	3076789
55	3094697
56	3089022
57	3132792
58	3142891
59	3164688
60	3149302
61	3137760
62	3112122
63	3097452
64	3084367
65	3068710
66	2975878
67	2972114
68	3016887
69	3054166
70	3124502
71	3162530
72	3131174
73	3113746
74	3098143
75	3090926
76	3058677
77	3009746
78	2989161
79	2964307
80	2927572
81	2866622
82	2931240
83	2906965
84	2826115
85	2734315
86	2660089
87	2558088
88	2503018
89	2445899
90	2335331
91	2233757
92	2116764
93	1981189
94	1826217
95	1637679
96	1417543
97	1201081
98	967516
99	688324
100	349848
