gene	Counts
ENSDARG00000000606	44
ENSDARG00000001870	4825
ENSDARG00000002190	789
ENSDARG00000002285	333
ENSDARG00000002377	112
ENSDARG00000002406	13
ENSDARG00000002791	8867
ENSDARG00000002937	508
ENSDARG00000003054	31
ENSDARG00000003398	335
ENSDARG00000003631	730
ENSDARG00000003866	1671
ENSDARG00000004246	894
ENSDARG00000004427	200
ENSDARG00000004633	45
ENSDARG00000004634	266
ENSDARG00000005210	242
ENSDARG00000005479	1930
ENSDARG00000005544	54
ENSDARG00000005578	862
ENSDARG00000006392	136
ENSDARG00000006427	7009
ENSDARG00000006621	448
ENSDARG00000007289	17
ENSDARG00000007387	227
ENSDARG00000007534	3
ENSDARG00000007734	65
ENSDARG00000007739	1810
ENSDARG00000008131	253
ENSDARG00000008279	25
ENSDARG00000008457	316
ENSDARG00000008706	1890
ENSDARG00000008723	513
ENSDARG00000008886	149
ENSDARG00000008969	2301
ENSDARG00000009026	731
ENSDARG00000009472	142
ENSDARG00000010078	408
ENSDARG00000010376	1
ENSDARG00000010442	334
ENSDARG00000010791	475
ENSDARG00000011299	628
ENSDARG00000011876	263
ENSDARG00000012297	104
ENSDARG00000012458	1806
ENSDARG00000012672	284
ENSDARG00000012763	231
ENSDARG00000012896	566
ENSDARG00000012903	655
ENSDARG00000013023	31
ENSDARG00000013505	584
ENSDARG00000013741	328
ENSDARG00000013787	189
ENSDARG00000013881	281
ENSDARG00000014098	224
ENSDARG00000014790	811
ENSDARG00000015076	130
ENSDARG00000015266	1141
ENSDARG00000015312	237
ENSDARG00000015559	173
ENSDARG00000015803	26
ENSDARG00000015946	129
ENSDARG00000016065	10
ENSDARG00000016263	714
ENSDARG00000016304	186
ENSDARG00000016470	784
ENSDARG00000016548	1399
ENSDARG00000016706	748
ENSDARG00000016793	15887
ENSDARG00000016994	257
ENSDARG00000017119	325
ENSDARG00000017255	192
ENSDARG00000017441	55423
ENSDARG00000017537	44
ENSDARG00000017591	3089
ENSDARG00000017744	584
ENSDARG00000017772	6712
ENSDARG00000017905	993
ENSDARG00000017984	9
ENSDARG00000017985	241
ENSDARG00000018117	1
ENSDARG00000018190	961
ENSDARG00000018263	1033
ENSDARG00000018325	268
ENSDARG00000018460	1106
ENSDARG00000018587	2
ENSDARG00000018721	349
ENSDARG00000019581	759
ENSDARG00000019715	49
ENSDARG00000020857	114
ENSDARG00000022690	285
ENSDARG00000022845	179
ENSDARG00000022971	276
ENSDARG00000023151	3171
ENSDARG00000024785	647
ENSDARG00000024827	19
ENSDARG00000025233	40
ENSDARG00000025325	201
ENSDARG00000025350	5193
ENSDARG00000025754	321
ENSDARG00000025904	1284
ENSDARG00000026068	354
ENSDARG00000026387	53
ENSDARG00000026771	259
ENSDARG00000026902	159
ENSDARG00000027078	922
ENSDARG00000027355	8681
ENSDARG00000027497	103
ENSDARG00000027572	253
ENSDARG00000027826	77
ENSDARG00000028276	7
ENSDARG00000028982	611
ENSDARG00000029133	362
ENSDARG00000029718	126
ENSDARG00000029751	290
ENSDARG00000030368	569
ENSDARG00000030563	99
ENSDARG00000030703	76
ENSDARG00000030972	224
ENSDARG00000031164	2328
ENSDARG00000031435	2362
ENSDARG00000031632	198
ENSDARG00000031836	616
ENSDARG00000031894	465
ENSDARG00000031952	1626
ENSDARG00000032056	236
ENSDARG00000032808	14
ENSDARG00000033273	121
ENSDARG00000033604	613
ENSDARG00000033666	386
ENSDARG00000034093	181
ENSDARG00000034105	507
ENSDARG00000034785	107
ENSDARG00000034862	261
ENSDARG00000034910	0
ENSDARG00000035692	16959
ENSDARG00000036008	331
ENSDARG00000036295	964
ENSDARG00000036371	2905
ENSDARG00000036415	183
ENSDARG00000036471	3
ENSDARG00000036479	13
ENSDARG00000036494	78
ENSDARG00000036545	5
ENSDARG00000036587	229
ENSDARG00000036637	39
ENSDARG00000036658	1214
ENSDARG00000036687	1278
ENSDARG00000036967	1323
ENSDARG00000036995	252
ENSDARG00000037002	0
ENSDARG00000037018	451
ENSDARG00000037099	623
ENSDARG00000037100	106
ENSDARG00000037144	147
ENSDARG00000037177	829
ENSDARG00000037178	114
ENSDARG00000037259	569
ENSDARG00000037260	149
ENSDARG00000037261	216
ENSDARG00000037278	70
ENSDARG00000037283	323
ENSDARG00000037383	17
ENSDARG00000037410	129
ENSDARG00000037484	122
ENSDARG00000037487	80
ENSDARG00000037576	8
ENSDARG00000037619	6
ENSDARG00000037646	98
ENSDARG00000037654	136
ENSDARG00000037679	296
ENSDARG00000037713	503
ENSDARG00000037747	534
ENSDARG00000037758	7
ENSDARG00000037760	190
ENSDARG00000037777	156
ENSDARG00000038114	54
ENSDARG00000038352	0
ENSDARG00000039063	40
ENSDARG00000039131	580
ENSDARG00000039613	144
ENSDARG00000039615	61
ENSDARG00000040048	246
ENSDARG00000040245	2592
ENSDARG00000040246	53
ENSDARG00000040250	1
ENSDARG00000040252	232
ENSDARG00000041399	0
ENSDARG00000041570	410
ENSDARG00000042688	29
ENSDARG00000042887	284
ENSDARG00000042988	1801
ENSDARG00000043226	43
ENSDARG00000043247	141
ENSDARG00000043271	2
ENSDARG00000043431	45
ENSDARG00000043445	0
ENSDARG00000043548	302
ENSDARG00000043587	295
ENSDARG00000045618	2633
ENSDARG00000045620	412
ENSDARG00000051965	82
ENSDARG00000051981	164
