Total reads: 25886281
Fragment number: 66309219
percentile	count
0	175434
1	465783
2	795570
3	1101712
4	1311562
5	1498843
6	1689312
7	1903606
8	2051988
9	2173947
10	2271857
11	2413736
12	2495904
13	2490372
14	2556307
15	2680627
16	2732764
17	2849796
18	2922637
19	2957918
20	3035819
21	3056356
22	3066774
23	3094586
24	3047922
25	3065654
26	3016479
27	2946740
28	2907026
29	2905963
30	2905254
31	2922473
32	2933261
33	3013309
34	3015764
35	3017750
36	2974491
37	2975279
38	2995342
39	2962046
40	2948311
41	2954418
42	2972874
43	2986694
44	2941660
45	2891513
46	2904463
47	2954645
48	2968547
49	2974884
50	2992595
51	3031324
52	3031703
53	2968804
54	2960088
55	2971304
56	2962538
57	3003123
58	3008733
59	3021427
60	2998436
61	2970913
62	2937728
63	2920558
64	2899342
65	2877503
66	2787684
67	2775693
68	2810526
69	2829562
70	2895506
71	2926788
72	2893394
73	2871933
74	2845471
75	2823988
76	2783299
77	2733352
78	2711690
79	2680156
80	2628630
81	2568821
82	2614045
83	2586621
84	2501204
85	2409978
86	2343484
87	2244723
88	2191988
89	2133054
90	2032591
91	1936279
92	1832194
93	1711240
94	1579794
95	1417773
96	1227941
97	1049010
98	851241
99	625407
100	362591
