-200	-191	186294
-190	-181	107309
-180	-171	94153
-170	-161	79112
-160	-151	302114
-150	-141	776751
-140	-131	813865
-130	-121	831614
-120	-111	839616
-110	-101	823246
-100	-91	828093
-90	-81	844458
-80	-71	845827
-70	-61	835258
-60	-51	821877
-50	-41	804653
-40	-31	787432
-30	-21	757785
-20	-11	729470
-10	-1	718496
0	9	621116
10	19	553540
20	29	496902
30	39	444064
40	49	393056
50	59	349427
60	69	312734
70	79	279244
80	89	249278
90	99	224897
100	109	201498
110	119	182032
120	129	166228
130	139	152172
140	149	138278
150	159	127759
160	169	119023
170	179	109461
180	189	101779
190	199	93548
200	209	85110
210	219	78469
220	229	71188
230	239	64848
240	249	58827
250	259	54678
260	269	49225
270	279	45292
280	289	41005
290	299	37185
300	309	33917
310	319	31420
320	329	28010
330	339	25009
340	349	23276
350	359	20753
360	369	18694
370	379	17645
380	389	15918
390	399	14612
400	409	16877
410	419	12686
420	429	11861
430	439	10904
440	449	10044
450	459	9007
460	469	8312
470	479	7797
480	489	6994
490	499	6601
500	509	5957
510	519	5426
520	529	5186
530	539	4515
540	549	4139
550	559	3927
560	569	3761
570	579	3461
580	589	3147
590	599	3096
600	609	2900
610	619	2728
620	629	2658
630	639	2392
640	649	2222
650	659	2253
660	669	2205
670	679	2003
680	689	1865
690	699	1832
700	709	1715
710	719	1515
720	729	1418
730	739	1419
740	749	1342
750	759	1258
760	769	1278
770	779	1190
780	789	1094
790	799	1059
800	809	942
810	819	907
820	829	777
830	839	833
840	849	770
850	859	730
860	869	760
870	879	703
880	889	668
890	899	615
900	909	622
910	919	616
920	929	597
930	939	705
940	949	598
950	959	545
960	969	603
970	979	515
980	989	499
