gene	Counts
ENSDARG00000000606	70
ENSDARG00000001870	6824
ENSDARG00000002190	618
ENSDARG00000002285	255
ENSDARG00000002377	106
ENSDARG00000002406	18
ENSDARG00000002791	8436
ENSDARG00000002937	425
ENSDARG00000003054	26
ENSDARG00000003398	306
ENSDARG00000003631	634
ENSDARG00000003866	1484
ENSDARG00000004246	739
ENSDARG00000004427	174
ENSDARG00000004633	45
ENSDARG00000004634	184
ENSDARG00000005210	251
ENSDARG00000005479	1739
ENSDARG00000005544	72
ENSDARG00000005578	778
ENSDARG00000006392	128
ENSDARG00000006427	10122
ENSDARG00000006621	372
ENSDARG00000007289	18
ENSDARG00000007387	209
ENSDARG00000007534	5
ENSDARG00000007734	48
ENSDARG00000007739	1636
ENSDARG00000008131	211
ENSDARG00000008279	29
ENSDARG00000008457	303
ENSDARG00000008706	1802
ENSDARG00000008723	410
ENSDARG00000008886	104
ENSDARG00000008969	2937
ENSDARG00000009026	686
ENSDARG00000009472	127
ENSDARG00000010078	419
ENSDARG00000010376	1
ENSDARG00000010442	349
ENSDARG00000010791	349
ENSDARG00000011299	590
ENSDARG00000011876	240
ENSDARG00000012297	89
ENSDARG00000012458	1349
ENSDARG00000012672	271
ENSDARG00000012763	167
ENSDARG00000012896	485
ENSDARG00000012903	418
ENSDARG00000013023	35
ENSDARG00000013505	454
ENSDARG00000013741	320
ENSDARG00000013787	240
ENSDARG00000013881	313
ENSDARG00000014098	160
ENSDARG00000014790	674
ENSDARG00000015076	109
ENSDARG00000015266	1065
ENSDARG00000015312	203
ENSDARG00000015559	120
ENSDARG00000015803	26
ENSDARG00000015946	86
ENSDARG00000016065	24
ENSDARG00000016263	672
ENSDARG00000016304	174
ENSDARG00000016470	928
ENSDARG00000016548	1415
ENSDARG00000016706	617
ENSDARG00000016793	15176
ENSDARG00000016994	226
ENSDARG00000017119	260
ENSDARG00000017255	172
ENSDARG00000017441	46172
ENSDARG00000017537	31
ENSDARG00000017591	2845
ENSDARG00000017744	600
ENSDARG00000017772	6243
ENSDARG00000017905	803
ENSDARG00000017984	1
ENSDARG00000017985	342
ENSDARG00000018117	8
ENSDARG00000018190	818
ENSDARG00000018263	1918
ENSDARG00000018325	238
ENSDARG00000018460	998
ENSDARG00000018587	1
ENSDARG00000018721	339
ENSDARG00000019581	777
ENSDARG00000019715	64
ENSDARG00000020857	116
ENSDARG00000022690	244
ENSDARG00000022845	149
ENSDARG00000022971	260
ENSDARG00000023151	3261
ENSDARG00000024785	587
ENSDARG00000024827	42
ENSDARG00000025233	30
ENSDARG00000025325	188
ENSDARG00000025350	4261
ENSDARG00000025754	307
ENSDARG00000025904	1082
ENSDARG00000026068	344
ENSDARG00000026387	59
ENSDARG00000026771	110
ENSDARG00000026902	133
ENSDARG00000027078	709
ENSDARG00000027355	7405
ENSDARG00000027497	111
ENSDARG00000027572	231
ENSDARG00000027826	53
ENSDARG00000028276	19
ENSDARG00000028982	526
ENSDARG00000029133	345
ENSDARG00000029718	109
ENSDARG00000029751	182
ENSDARG00000030368	587
ENSDARG00000030563	92
ENSDARG00000030703	64
ENSDARG00000030972	148
ENSDARG00000031164	2444
ENSDARG00000031435	2158
ENSDARG00000031632	186
ENSDARG00000031836	419
ENSDARG00000031894	416
ENSDARG00000031952	667
ENSDARG00000032056	223
ENSDARG00000032808	1
ENSDARG00000033273	75
ENSDARG00000033604	533
ENSDARG00000033666	354
ENSDARG00000034093	182
ENSDARG00000034105	391
ENSDARG00000034785	90
ENSDARG00000034862	264
ENSDARG00000034910	0
ENSDARG00000035692	17314
ENSDARG00000036008	323
ENSDARG00000036295	646
ENSDARG00000036371	2817
ENSDARG00000036415	125
ENSDARG00000036471	0
