GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0005788	endoplasmic reticulum lumen	20	2	0.12	0.0064	ENSDARG00000009001	0		pdia6	protein disulfide isomerase family A, member 6 [Source:ZFIN;Acc:ZDB-GENE-030131-879]
GO:0005788	endoplasmic reticulum lumen	20	2	0.12	0.0064	ENSDARG00000010085	0		p4ha2	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide 2 [Source:ZFIN;Acc:ZDB-GENE-030827-1]
GO:0005788	endoplasmic reticulum lumen	20	2	0.12	0.0064	ENSDARG00000014015	0		pdia7	protein disulfide isomerase family A, member 7 [Source:ZFIN;Acc:ZDB-GENE-040426-2238]
GO:0005788	endoplasmic reticulum lumen	20	2	0.12	0.0064	ENSDARG00000018105	0		casq1b	calsequestrin 1b [Source:ZFIN;Acc:ZDB-GENE-060929-1070]
GO:0005788	endoplasmic reticulum lumen	20	2	0.12	0.0064	ENSDARG00000018491	0		pdia4	protein disulfide isomerase family A, member 4 [Source:ZFIN;Acc:ZDB-GENE-030131-5493]
GO:0005788	endoplasmic reticulum lumen	20	2	0.12	0.0064	ENSDARG00000020301	0		os9	OS9 endoplasmic reticulum lectin [Source:ZFIN;Acc:ZDB-GENE-060929-32]
GO:0005788	endoplasmic reticulum lumen	20	2	0.12	0.0064	ENSDARG00000033537	0		p4ha1a	prolyl 4-hydroxylase, alpha polypeptide I a [Source:ZFIN;Acc:ZDB-GENE-040724-91]
GO:0005788	endoplasmic reticulum lumen	20	2	0.12	0.0064	ENSDARG00000033599	0		pdia8	protein disulfide isomerase family A, member 8 [Source:ZFIN;Acc:ZDB-GENE-040801-20]
GO:0005788	endoplasmic reticulum lumen	20	2	0.12	0.0064	ENSDARG00000033604	0		lrpap1	low density lipoprotein receptor-related protein associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5871]
GO:0005788	endoplasmic reticulum lumen	20	2	0.12	0.0064	ENSDARG00000041199	0		alg12	ALG12 alpha-1,6-mannosyltransferase [Source:ZFIN;Acc:ZDB-GENE-041210-295]
GO:0005788	endoplasmic reticulum lumen	20	2	0.12	0.0064	ENSDARG00000045676	0		calua	calumenin a [Source:NCBI gene;Acc:415241]
GO:0005788	endoplasmic reticulum lumen	20	2	0.12	0.0064	ENSDARG00000054746	0		uggt1	UDP-glucose glycoprotein glucosyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-061103-619]
GO:0005788	endoplasmic reticulum lumen	20	2	0.12	0.0064	ENSDARG00000071082	0		p4ha1b	prolyl 4-hydroxylase, alpha polypeptide I b [Source:ZFIN;Acc:ZDB-GENE-030131-4089]
GO:0005788	endoplasmic reticulum lumen	20	2	0.12	0.0064	ENSDARG00000094609	0		si:ch73-68b22.2	si:ch73-68b22.2 [Source:ZFIN;Acc:ZDB-GENE-091204-355]
