ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	124,146,154,98,149,175	1,2,1,3,1,1	122,138,91,181,147,110	0,0,0,0,1,0	283	149
1	749,1277,895,758,1142,1015	2,1,2,2,0,0	1085,877,776,1395,1077,763	3,0,0,5,2,1	227	149
2	174,230,164,124,197,172	0,0,1,0,0,1	204,186,157,257,195,181	1,0,0,0,1,0	329	149
3	24,29,32,32,32,34	13,19,17,5,10,10	28,20,21,40,23,9	9,8,8,13,13,9	263	149
4	37,44,55,30,44,39	1,0,0,0,0,2	38,26,29,51,32,28	0,0,2,0,0,1	263	149
5	34,49,22,26,36,27	2,0,0,0,0,0	48,44,23,48,33,32	0,0,0,0,0,0	282	149
6	19,20,14,18,21,13	1,0,1,0,0,0	32,25,13,26,17,25	0,0,0,0,1,0	195	149
8	0,1,0,0,0,0	0,0,0,2,1,1	2,0,0,0,0,0	0,0,0,3,1,0	323	149
9	426,723,527,374,501,519	0,2,1,0,0,0	488,458,366,719,451,429	1,0,1,0,0,0	277	149
10	39,98,46,42,68,94	0,0,0,0,0,0	49,58,24,95,62,37	0,0,0,0,1,0	304	149
11	16,20,13,11,39,28	0,0,0,0,0,0	13,11,13,30,17,10	0,1,0,0,0,0	334	149
12	38,52,49,45,67,63	3,0,0,0,2,2	50,37,29,52,54,38	2,1,1,0,4,1	209	149
13	297,313,168,201,214,218	1,0,0,0,0,0	261,221,210,231,228,195	4,0,2,0,2,0	269	149
14	0,9,12,0,2,2	0,0,0,0,0,0	12,0,7,4,0,3	2,0,3,0,0,0	467	149
15	21,18,24,17,20,18	19,42,21,25,34,27	15,25,11,24,33,22	19,24,23,31,34,18	170	149
16	1,23,0,6,16,7	2,0,0,0,0,0	8,4,4,13,2,7	2,0,0,0,0,0	277	149
17	66,74,80,61,128,84	0,0,0,0,2,0	84,90,68,98,88,86	0,0,0,0,0,0	218	149
18	32,57,41,28,37,44	0,2,0,0,0,0	39,35,35,38,51,26	0,0,0,0,0,0	248	149
19	75,85,66,26,79,52	8,6,1,2,11,8	57,64,53,73,65,43	4,4,11,8,6,5	275	149
20	90,132,80,60,124,117	0,1,0,0,0,0	98,85,100,132,141,79	0,0,0,0,0,0	306	149
21	38,69,52,34,87,56	0,0,0,0,0,0	67,51,47,87,73,43	0,0,2,0,0,0	278	149
22	48,121,100,76,117,120	0,0,0,0,0,2	96,88,69,168,108,71	0,0,0,0,0,1	400	149
24	1,1,2,0,0,1	3,3,0,2,0,0	1,1,0,0,3,1	1,4,0,2,5,5	211	149
25	28,58,51,25,70,43	0,0,0,0,0,0	36,32,21,40,21,44	0,0,0,0,1,0	277	149
26	81,88,60,55,91,115	0,0,1,0,0,0	119,73,78,143,100,71	0,0,0,0,0,0	224	149
27	4,12,13,0,4,4	0,0,0,0,0,0	2,3,0,5,1,16	2,0,0,0,0,0	257	149
28	291,386,318,233,264,310	0,1,1,0,0,0	332,274,193,349,245,198	0,0,0,0,0,0	2039	149
29	149,183,199,95,165,152	0,1,0,0,0,0	115,129,122,209,161,137	0,0,0,0,0,0	1222	149
30	41,53,52,29,53,49	0,0,0,0,0,0	46,45,18,80,67,39	0,0,0,0,0,1	260	149
31	47,48,50,45,52,78	0,0,0,0,0,0	52,72,41,74,52,33	0,0,0,0,0,1	235	149
32	1,5,0,0,2,2	0,0,2,0,0,7	9,2,1,0,0,0	0,0,0,1,0,0	446	149
33	22,22,33,23,33,20	31,55,31,34,38,37	27,29,20,51,23,23	28,38,32,37,46,35	197	149
34	78,113,78,49,94,64	0,0,0,0,0,0	71,70,66,95,102,55	0,0,0,0,0,1	251	149
35	0,2,3,3,0,1	9,20,11,7,21,19	1,1,1,2,2,5	22,16,10,12,25,23	269	149
36	32,61,93,26,83,62	0,1,0,0,0,0	78,59,32,107,58,65	0,0,0,1,0,0	336	149
37	3,6,3,1,2,3	0,2,0,0,0,0	4,4,1,7,5,4	0,0,0,0,0,0	239	149
38	28,36,21,20,39,41	0,0,1,0,0,0	39,33,22,41,40,30	0,0,0,0,0,0	251	149
39	25,48,20,23,25,36	0,1,0,0,2,0	30,30,34,39,39,25	0,0,0,1,0,0	250	149
40	127,219,160,146,219,162	0,0,0,0,0,0	179,150,140,229,196,139	0,0,0,1,0,0	404	149
42	51,64,56,44,46,54	0,0,0,0,0,1	53,43,34,71,69,38	3,0,0,0,0,2	251	149
43	11,37,22,27,8,24	0,0,0,0,0,0	37,15,12,20,28,13	0,0,1,0,3,0	234	149
44	26,58,43,36,46,45	0,1,0,0,0,0	38,44,37,57,53,36	1,0,0,0,1,0	246	149
45	27,52,35,27,37,27	0,0,0,0,0,0	36,51,52,64,41,31	0,0,0,0,0,2	295	149
46	0,0,0,0,0,1	0,1,0,0,0,1	0,0,0,1,0,0	0,0,0,0,5,0	251	149
47	1,2,0,0,0,0	0,0,0,0,0,0	2,0,0,0,6,0	0,0,0,1,0,0	233	149
48	108,180,178,137,173,137	0,0,1,0,1,0	133,95,130,168,142,122	0,0,2,1,0,1	238	149
49	1,3,1,0,5,6	5,15,2,4,10,11	2,7,1,4,6,1	13,5,8,16,14,8	200	149
50	17,27,12,5,18,10	0,4,1,0,10,4	26,15,12,25,10,14	0,0,4,1,1,0	266	149
51	2,3,3,2,3,0	0,1,1,0,0,0	0,1,1,1,0,1	2,1,0,0,0,0	323	149
53	0,0,0,3,0,8	0,0,0,0,1,0	1,0,4,3,2,0	0,0,1,0,0,0	428	149
54	2,0,0,0,1,1	0,0,0,0,1,2	4,0,0,0,0,0	1,0,0,4,3,0	323	149
56	7,12,9,3,16,19	0,0,0,0,0,0	15,11,5,11,13,8	0,0,0,1,0,0	323	149
57	0,4,0,0,0,2	0,1,2,0,0,1	0,0,1,3,0,0	0,0,0,1,0,1	323	149
58	5,14,8,10,5,4	0,0,0,2,0,0	5,11,0,9,13,5	0,0,0,0,0,0	195	149
59	14,33,8,15,13,28	0,0,1,0,1,0	16,18,9,23,23,9	0,0,0,1,0,0	238	149
60	11,26,9,8,10,23	0,0,0,0,0,1	19,15,10,25,15,9	0,0,0,0,0,0	203	149
61	47,50,45,11,32,45	0,0,0,0,0,2	42,40,16,44,40,21	0,0,0,0,0,0	226	149
62	0,0,0,0,0,2	1,0,0,0,0,0	0,0,0,0,0,0	2,0,0,0,0,0	206	149
63	89,130,117,98,119,110	0,0,0,2,0,0	114,87,79,147,120,98	0,0,0,0,0,0	249	149
64	109,143,102,134,119,113	0,0,0,3,1,0	121,98,80,184,138,103	2,0,0,0,0,0	267	149
65	85,127,59,107,93,101	4,0,0,0,0,0	97,85,60,151,123,86	1,0,0,0,0,0	225	149
66	59,72,67,54,105,67	0,0,0,0,0,1	75,53,40,86,69,46	0,0,1,0,0,0	196	149
67	28,34,19,13,19,25	0,2,0,0,0,0	21,19,36,42,31,15	0,0,0,0,0,0	330	149
68	0,1,5,0,2,1	8,5,6,4,11,2	4,1,0,5,5,6	9,8,8,9,19,11	218	149
69	70,80,66,33,64,72	0,0,0,0,0,0	67,47,35,82,58,65	0,0,0,1,0,0	240	149
70	158,235,199,125,188,189	0,0,0,0,0,0	186,178,126,231,172,131	0,0,0,1,0,0	242	149
71	32,57,44,41,57,46	0,0,0,1,0,0	47,36,37,43,30,40	0,2,0,0,4,0	186	149
72	37,37,31,27,28,41	0,0,0,0,0,0	24,33,23,31,31,15	2,0,0,0,0,0	216	149
73	46,66,49,44,61,77	0,0,0,1,0,0	45,57,50,67,62,29	0,0,0,0,0,0	340	149
74	23,21,15,9,29,30	4,4,1,3,2,5	13,24,17,36,20,20	11,1,1,1,1,5	188	149
75	18,61,38,32,39,55	0,1,0,0,0,0	36,29,13,40,43,21	0,0,0,0,0,0	320	149
76	25,35,62,32,55,42	0,0,0,0,0,1	28,27,20,40,40,22	2,0,0,1,1,0	308	149
77	6,11,14,7,7,6	3,10,30,17,21,14	4,14,7,12,6,8	7,4,8,10,14,5	178	149
78	30,45,31,20,36,40	0,1,0,0,0,0	33,39,13,50,34,43	0,0,0,0,0,0	230	149
79	34,58,51,38,70,47	0,0,0,0,0,0	50,40,31,69,54,50	1,0,0,0,0,0	291	149
80	50,46,36,49,53,37	1,0,0,0,0,0	56,26,30,55,39,31	0,0,0,0,0,0	187	149
81	104,112,71,71,92,54	1,0,0,0,0,0	80,42,61,111,58,47	0,1,0,0,0,0	293	149
82	364,480,379,254,488,488	0,5,0,1,1,1	400,421,299,600,474,365	0,0,3,2,0,0	244	149
83	247,326,286,195,346,318	0,0,0,2,0,0	321,305,210,436,347,244	0,0,0,0,0,0	321	149
84	26,44,35,14,36,22	0,0,0,0,2,0	35,19,34,56,11,32	0,0,2,0,0,0	371	149
85	6,14,17,9,11,12	0,0,0,1,0,0	17,4,4,19,15,12	0,0,0,0,1,0	302	149
86	0,7,2,4,14,3	61,97,70,55,80,74	4,3,11,10,6,6	69,76,56,91,87,63	242	149
87	6,15,10,11,23,8	1,4,3,1,1,3	19,12,18,12,16,12	1,1,1,0,3,0	242	149
88	118,155,113,92,105,108	1,4,3,1,1,3	100,129,88,146,133,104	1,1,1,0,3,0	242	149
89	57,59,43,38,30,35	6,8,8,7,9,5	35,54,32,58,50,42	15,9,7,4,10,6	242	149
90	51,33,30,8,15,17	0,0,4,0,2,0	11,27,30,30,9,7	0,0,0,0,0,0	243	149
91	43,43,43,23,32,28	0,0,1,0,0,0	16,24,15,27,17,11	0,0,0,1,0,0	314	149
92	35,36,34,17,20,21	0,0,0,0,0,1	28,16,20,21,12,13	2,0,0,0,0,0	254	149
93	21,25,23,10,12,12	0,0,0,0,0,0	15,12,11,16,6,11	0,0,0,2,0,0	254	149
94	6,10,4,2,6,3	0,0,0,0,0,0	8,1,4,1,6,5	0,0,0,2,0,0	265	149
95	21,24,15,9,14,11	1,3,0,0,0,0	19,8,13,7,12,10	0,3,0,1,0,3	265	149
96	1,1,1,0,0,0	0,0,0,0,0,0	2,0,0,2,1,0	1,0,0,0,0,0	279	149
97	7,10,9,4,6,2	0,1,0,0,0,0	8,1,3,2,6,5	0,0,0,0,0,0	279	149
98	2,5,2,0,3,5	2,0,1,0,0,0	2,2,3,10,3,1	1,0,0,0,0,0	212	149
99	11,7,1,2,2,0	1,1,0,0,0,0	2,2,0,1,1,1	1,0,0,0,1,0	246	149
100	9,14,11,18,17,10	0,0,0,0,0,0	8,3,4,30,13,6	0,0,0,1,0,0	274	149
101	108,166,130,130,138,165	0,0,0,0,0,0	89,135,96,152,159,121	0,0,0,0,1,0	334	149
102	2,5,3,2,6,8	22,40,22,4,18,26	0,1,1,14,5,3	21,26,20,34,19,23	188	149
103	78,61,79,31,59,69	0,1,0,0,0,0	35,60,32,93,46,56	0,0,0,0,0,0	282	149
104	57,74,63,32,55,55	0,0,0,0,0,3	40,33,45,79,48,31	0,0,0,0,0,0	224	149
105	12,34,14,9,12,19	16,46,34,21,26,22	26,19,14,22,14,11	21,20,27,40,26,24	161	149
106	39,48,44,33,44,35	3,4,5,7,8,9	37,56,33,60,41,33	3,5,5,12,15,8	206	149
107	11,27,10,16,20,14	0,0,0,2,4,0	25,20,9,17,23,5	0,1,0,3,0,0	284	149
108	268,394,253,266,352,250	0,0,0,0,0,0	381,260,196,378,225,193	0,0,0,2,0,0	186	149
109	87,116,92,47,93,72	0,0,0,0,0,0	92,97,82,139,111,77	0,1,0,0,0,0	287	149
110	106,176,116,64,147,129	2,0,0,0,0,0	115,147,107,170,139,81	0,0,0,0,0,0	324	149
111	50,67,52,29,59,54	1,8,4,2,1,1	63,42,39,66,55,29	2,0,3,2,2,4	231	149
112	185,214,138,109,194,151	2,1,1,5,9,1	145,159,135,229,157,118	5,2,1,12,10,1	278	149
113	94,141,111,76,118,94	0,0,0,0,0,0	83,83,103,162,109,82	0,2,0,0,0,0	221	149
114	26,63,21,25,53,42	4,3,4,2,4,1	31,35,45,57,32,33	4,2,3,3,2,4	257	149
115	11,79,31,30,60,55	10,2,7,8,7,15	31,45,37,71,35,26	9,5,4,16,10,1	257	149
116	12,14,12,9,14,4	10,2,7,8,7,15	10,14,6,11,15,8	9,5,4,16,10,1	212	149
117	25,23,12,10,25,15	2,29,14,8,21,25	21,21,18,23,21,13	16,20,11,29,11,2	212	149
118	50,99,63,47,69,82	0,1,1,0,0,0	59,47,60,91,57,39	0,0,0,0,0,0	287	149
119	19,17,8,8,16,14	0,0,0,0,0,1	17,7,11,17,14,13	2,0,0,0,0,0	255	149
120	29,26,27,20,27,33	0,0,1,0,2,0	28,19,16,51,22,16	0,0,0,1,0,0	238	149
121	3,9,5,5,4,0	42,56,51,44,68,44	2,3,1,8,2,2	38,44,39,63,63,41	233	149
122	66,59,66,32,58,66	0,0,0,0,1,0	39,47,17,78,81,66	0,1,0,2,0,0	307	149
123	5,3,1,2,2,1	4,5,2,2,5,0	2,4,0,5,2,2	1,5,1,4,3,4	224	149
124	84,111,72,53,92,103	2,0,1,0,0,2	79,104,57,142,100,106	0,0,0,1,0,1	456	149
126	16,13,9,10,8,24	39,51,38,34,53,31	15,10,15,14,16,7	34,35,21,79,50,36	239	149
127	14,0,17,3,6,9	28,60,43,27,51,50	7,6,4,1,3,2	42,40,28,56,53,45	230	149
128	107,165,163,93,174,151	0,0,0,1,0,0	115,133,95,224,150,122	0,0,1,0,0,0	312	149
129	230,262,245,175,286,212	0,0,1,0,1,0	207,238,188,305,245,170	0,0,0,0,1,0	256	149
130	5,17,7,7,9,15	0,0,0,0,0,2	6,9,6,21,7,14	0,0,0,0,1,0	190	149
