GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0072525	pyridine-containing compound biosyntheti...	37	3	0.29	0.0029	ENSDARG00000005423,ENSDARG00000007181,ENSDARG00000012801,ENSDARG00000012987,ENSDARG00000013750,ENSDARG00000014179,ENSDARG00000017612,ENSDARG00000022456,ENSDARG00000027183,ENSDARG00000027930,ENSDARG00000028000,ENSDARG00000033594,ENSDARG00000038703,ENSDARG00000039007,ENSDARG00000039452,ENSDARG00000039914,ENSDARG00000040988,ENSDARG00000042010,ENSDARG00000053684,ENSDARG00000054191,ENSDARG00000057661,ENSDARG00000060504,ENSDARG00000060797,ENSDARG00000062549,ENSDARG00000062744,ENSDARG00000070598,ENSDARG00000070826,ENSDARG00000071524,ENSDARG00000076487,ENSDARG00000088959,ENSDARG00000099106,ENSDARG00000099546,ENSDARG00000099755,ENSDARG00000099860,ENSDARG00000101378,ENSDARG00000101482,ENSDARG00000102977
GO:0043628	ncRNA 3'-end processing	11	2	0.09	0.0032	ENSDARG00000003841,ENSDARG00000013025,ENSDARG00000028688,ENSDARG00000034060,ENSDARG00000041429,ENSDARG00000044692,ENSDARG00000053912,ENSDARG00000057986,ENSDARG00000068755,ENSDARG00000075297,ENSDARG00000100419
GO:0072330	monocarboxylic acid biosynthetic process	50	3	0.39	0.0068	ENSDARG00000000540,ENSDARG00000004880,ENSDARG00000005423,ENSDARG00000012369,ENSDARG00000012801,ENSDARG00000012987,ENSDARG00000013750,ENSDARG00000014179,ENSDARG00000014806,ENSDARG00000019532,ENSDARG00000022456,ENSDARG00000026726,ENSDARG00000027419,ENSDARG00000028000,ENSDARG00000031044,ENSDARG00000031894,ENSDARG00000036237,ENSDARG00000038703,ENSDARG00000039007,ENSDARG00000039452,ENSDARG00000039914,ENSDARG00000040988,ENSDARG00000042010,ENSDARG00000046143,ENSDARG00000053483,ENSDARG00000053684,ENSDARG00000054191,ENSDARG00000057365,ENSDARG00000057661,ENSDARG00000058463,ENSDARG00000060504,ENSDARG00000060679,ENSDARG00000060797,ENSDARG00000061994,ENSDARG00000062077,ENSDARG00000062744,ENSDARG00000068415,ENSDARG00000070598,ENSDARG00000070826,ENSDARG00000071524,ENSDARG00000078512,ENSDARG00000087657,ENSDARG00000099079,ENSDARG00000099755,ENSDARG00000099860,ENSDARG00000099960,ENSDARG00000100095,ENSDARG00000101482,ENSDARG00000103735,ENSDARG00000104732
GO:0030595	leukocyte chemotaxis	18	2	0.14	0.0085	ENSDARG00000004378,ENSDARG00000005774,ENSDARG00000018283,ENSDARG00000020573,ENSDARG00000026726,ENSDARG00000034700,ENSDARG00000038010,ENSDARG00000039577,ENSDARG00000056624,ENSDARG00000061544,ENSDARG00000077850,ENSDARG00000093608,ENSDARG00000098367,ENSDARG00000098700,ENSDARG00000100095,ENSDARG00000100295,ENSDARG00000102332,ENSDARG00000115359
GO:0043410	positive regulation of MAPK cascade	19	2	0.15	0.0094	ENSDARG00000004586,ENSDARG00000007764,ENSDARG00000011545,ENSDARG00000019549,ENSDARG00000027423,ENSDARG00000034598,ENSDARG00000035577,ENSDARG00000038139,ENSDARG00000056133,ENSDARG00000062080,ENSDARG00000071524,ENSDARG00000078142,ENSDARG00000078707,ENSDARG00000079530,ENSDARG00000079994,ENSDARG00000091993,ENSDARG00000093608,ENSDARG00000100295,ENSDARG00000103937
GO:1901607	alpha-amino acid biosynthetic process	21	2	0.16	0.0115	ENSDARG00000000540,ENSDARG00000002917,ENSDARG00000007715,ENSDARG00000013227,ENSDARG00000013430,ENSDARG00000016733,ENSDARG00000018478,ENSDARG00000020448,ENSDARG00000033361,ENSDARG00000040705,ENSDARG00000041895,ENSDARG00000051816,ENSDARG00000052816,ENSDARG00000054849,ENSDARG00000062812,ENSDARG00000069095,ENSDARG00000099579,ENSDARG00000099776,ENSDARG00000100003,ENSDARG00000103044,ENSDARG00000104906
GO:0090501	RNA phosphodiester bond hydrolysis	22	2	0.17	0.0125	ENSDARG00000001129,ENSDARG00000011152,ENSDARG00000012325,ENSDARG00000016080,ENSDARG00000017605,ENSDARG00000018891,ENSDARG00000020122,ENSDARG00000027428,ENSDARG00000027649,ENSDARG00000028688,ENSDARG00000034060,ENSDARG00000043328,ENSDARG00000044625,ENSDARG00000044692,ENSDARG00000058366,ENSDARG00000058475,ENSDARG00000060559,ENSDARG00000068755,ENSDARG00000074675,ENSDARG00000077567,ENSDARG00000090788,ENSDARG00000101900
GO:0097529	myeloid leukocyte migration	22	2	0.17	0.0125	ENSDARG00000004378,ENSDARG00000005774,ENSDARG00000006181,ENSDARG00000018283,ENSDARG00000020573,ENSDARG00000026726,ENSDARG00000034293,ENSDARG00000034700,ENSDARG00000038010,ENSDARG00000051975,ENSDARG00000056624,ENSDARG00000077850,ENSDARG00000093608,ENSDARG00000097826,ENSDARG00000098367,ENSDARG00000098700,ENSDARG00000100095,ENSDARG00000100295,ENSDARG00000102332,ENSDARG00000104372,ENSDARG00000113315,ENSDARG00000115359
GO:0008652	cellular amino acid biosynthetic process	22	2	0.17	0.0125	ENSDARG00000000540,ENSDARG00000002917,ENSDARG00000007715,ENSDARG00000013227,ENSDARG00000013430,ENSDARG00000016733,ENSDARG00000018478,ENSDARG00000020448,ENSDARG00000027419,ENSDARG00000033361,ENSDARG00000040705,ENSDARG00000041895,ENSDARG00000051816,ENSDARG00000052816,ENSDARG00000054849,ENSDARG00000062812,ENSDARG00000069095,ENSDARG00000099579,ENSDARG00000099776,ENSDARG00000100003,ENSDARG00000103044,ENSDARG00000104906
GO:0009108	coenzyme biosynthetic process	70	3	0.55	0.0170	ENSDARG00000003311,ENSDARG00000005423,ENSDARG00000007181,ENSDARG00000010098,ENSDARG00000012387,ENSDARG00000012801,ENSDARG00000012987,ENSDARG00000013750,ENSDARG00000014179,ENSDARG00000015918,ENSDARG00000017612,ENSDARG00000017910,ENSDARG00000020123,ENSDARG00000021346,ENSDARG00000022456,ENSDARG00000023583,ENSDARG00000027183,ENSDARG00000027930,ENSDARG00000028000,ENSDARG00000030514,ENSDARG00000031981,ENSDARG00000032426,ENSDARG00000033594,ENSDARG00000037057,ENSDARG00000037121,ENSDARG00000037378,ENSDARG00000037781,ENSDARG00000038703,ENSDARG00000039007,ENSDARG00000039452,ENSDARG00000039605,ENSDARG00000039914,ENSDARG00000040334,ENSDARG00000040988,ENSDARG00000042010,ENSDARG00000053684,ENSDARG00000054191,ENSDARG00000057661,ENSDARG00000059510,ENSDARG00000060380,ENSDARG00000060504,ENSDARG00000060797,ENSDARG00000061994,ENSDARG00000062594,ENSDARG00000062744,ENSDARG00000069029,ENSDARG00000070598,ENSDARG00000070826,ENSDARG00000071524,ENSDARG00000075931,ENSDARG00000076487,ENSDARG00000088959,ENSDARG00000089076,ENSDARG00000089369,ENSDARG00000098453,ENSDARG00000099079,ENSDARG00000099101,ENSDARG00000099106,ENSDARG00000099546,ENSDARG00000099755,ENSDARG00000099860,ENSDARG00000099960,ENSDARG00000100851,ENSDARG00000101378,ENSDARG00000101482,ENSDARG00000102977,ENSDARG00000103735,ENSDARG00000104732,ENSDARG00000104733,ENSDARG00000113657
GO:0046394	carboxylic acid biosynthetic process	78	5	0.61	0.0176	ENSDARG00000000540,ENSDARG00000002917,ENSDARG00000004880,ENSDARG00000005423,ENSDARG00000007715,ENSDARG00000012369,ENSDARG00000012801,ENSDARG00000012987,ENSDARG00000013227,ENSDARG00000013430,ENSDARG00000013750,ENSDARG00000014179,ENSDARG00000014806,ENSDARG00000016733,ENSDARG00000017115,ENSDARG00000018478,ENSDARG00000019532,ENSDARG00000019838,ENSDARG00000020448,ENSDARG00000022456,ENSDARG00000026726,ENSDARG00000027419,ENSDARG00000027491,ENSDARG00000028000,ENSDARG00000031044,ENSDARG00000031894,ENSDARG00000033361,ENSDARG00000036237,ENSDARG00000038703,ENSDARG00000039007,ENSDARG00000039452,ENSDARG00000039914,ENSDARG00000040705,ENSDARG00000040988,ENSDARG00000041895,ENSDARG00000042010,ENSDARG00000046143,ENSDARG00000051816,ENSDARG00000052816,ENSDARG00000053483,ENSDARG00000053684,ENSDARG00000054191,ENSDARG00000054849,ENSDARG00000057365,ENSDARG00000057661,ENSDARG00000058463,ENSDARG00000060504,ENSDARG00000060679,ENSDARG00000060797,ENSDARG00000061994,ENSDARG00000062077,ENSDARG00000062549,ENSDARG00000062744,ENSDARG00000062812,ENSDARG00000068415,ENSDARG00000069095,ENSDARG00000070598,ENSDARG00000070826,ENSDARG00000071345,ENSDARG00000071524,ENSDARG00000076487,ENSDARG00000078512,ENSDARG00000087657,ENSDARG00000099079,ENSDARG00000099101,ENSDARG00000099546,ENSDARG00000099579,ENSDARG00000099755,ENSDARG00000099776,ENSDARG00000099860,ENSDARG00000099960,ENSDARG00000100003,ENSDARG00000100095,ENSDARG00000101482,ENSDARG00000103044,ENSDARG00000103735,ENSDARG00000104732,ENSDARG00000104906
GO:0016053	organic acid biosynthetic process	79	5	0.62	0.0188	ENSDARG00000000540,ENSDARG00000002917,ENSDARG00000004880,ENSDARG00000005423,ENSDARG00000007715,ENSDARG00000012369,ENSDARG00000012801,ENSDARG00000012987,ENSDARG00000013227,ENSDARG00000013430,ENSDARG00000013750,ENSDARG00000014179,ENSDARG00000014806,ENSDARG00000016733,ENSDARG00000017115,ENSDARG00000018478,ENSDARG00000019532,ENSDARG00000019838,ENSDARG00000020448,ENSDARG00000022456,ENSDARG00000026726,ENSDARG00000027419,ENSDARG00000027491,ENSDARG00000028000,ENSDARG00000031044,ENSDARG00000031894,ENSDARG00000033361,ENSDARG00000036237,ENSDARG00000038703,ENSDARG00000039007,ENSDARG00000039452,ENSDARG00000039914,ENSDARG00000040705,ENSDARG00000040988,ENSDARG00000041895,ENSDARG00000042010,ENSDARG00000046143,ENSDARG00000051816,ENSDARG00000052816,ENSDARG00000053483,ENSDARG00000053684,ENSDARG00000054191,ENSDARG00000054849,ENSDARG00000057365,ENSDARG00000057661,ENSDARG00000058463,ENSDARG00000060504,ENSDARG00000060679,ENSDARG00000060797,ENSDARG00000061994,ENSDARG00000062077,ENSDARG00000062549,ENSDARG00000062744,ENSDARG00000062812,ENSDARG00000068415,ENSDARG00000069095,ENSDARG00000070598,ENSDARG00000070826,ENSDARG00000071345,ENSDARG00000071524,ENSDARG00000076487,ENSDARG00000078512,ENSDARG00000087657,ENSDARG00000099079,ENSDARG00000099101,ENSDARG00000099389,ENSDARG00000099546,ENSDARG00000099579,ENSDARG00000099755,ENSDARG00000099776,ENSDARG00000099860,ENSDARG00000099960,ENSDARG00000100003,ENSDARG00000100095,ENSDARG00000101482,ENSDARG00000103044,ENSDARG00000103735,ENSDARG00000104732,ENSDARG00000104906
