GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0044420	extracellular matrix component	11	2	0.08	0.0027	ENSDARG00000009014	0		col11a1b	collagen, type XI, alpha 1b [Source:ZFIN;Acc:ZDB-GENE-070912-607]
GO:0044420	extracellular matrix component	11	2	0.08	0.0027	ENSDARG00000020785	0		lama4	laminin, alpha 4 [Source:ZFIN;Acc:ZDB-GENE-040724-213]
GO:0044420	extracellular matrix component	11	2	0.08	0.0027	ENSDARG00000031678	0		col5a2a	collagen, type V, alpha 2a [Source:ZFIN;Acc:ZDB-GENE-030616-13]
GO:0044420	extracellular matrix component	11	2	0.08	0.0027	ENSDARG00000033950	0		lamb2l	laminin, beta 2-like [Source:ZFIN;Acc:ZDB-GENE-030131-4205]
GO:0044420	extracellular matrix component	11	2	0.08	0.0027	ENSDARG00000052061	0		col4a6	collagen, type IV, alpha 6 [Source:ZFIN;Acc:ZDB-GENE-101001-2]
GO:0044420	extracellular matrix component	11	2	0.08	0.0027	ENSDARG00000058543	0		lama5	laminin, alpha 5 [Source:ZFIN;Acc:ZDB-GENE-030131-9823]
GO:0044420	extracellular matrix component	11	2	0.08	0.0027	ENSDARG00000090560	0		mfap5	microfibril associated protein 5 [Source:ZFIN;Acc:ZDB-GENE-100922-279]
GO:0044420	extracellular matrix component	11	2	0.08	0.0027	ENSDARG00000095843	0		col24a1	collagen type XXIV alpha 1 [Source:ZFIN;Acc:ZDB-GENE-110411-128]
GO:0044420	extracellular matrix component	11	2	0.08	0.0027	ENSDARG00000101209	0		lamb1a	laminin, beta 1a [Source:ZFIN;Acc:ZDB-GENE-021226-1]
GO:0044420	extracellular matrix component	11	2	0.08	0.0027	ENSDARG00000012593	1		col5a1	procollagen, type V, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-041105-6]
GO:0044420	extracellular matrix component	11	2	0.08	0.0027	ENSDARG00000020007	1		col1a2	collagen, type I, alpha 2 [Source:ZFIN;Acc:ZDB-GENE-030131-8415]
GO:0099512	supramolecular fiber	177	5	1.29	0.0085	ENSDARG00000001431	0		actn3b	actinin alpha 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2040]
GO:0099512	supramolecular fiber	177	5	1.29	0.0085	ENSDARG00000002344	0		tubb4b	tubulin, beta 4B class IVb [Source:ZFIN;Acc:ZDB-GENE-030131-8625]
GO:0099512	supramolecular fiber	177	5	1.29	0.0085	ENSDARG00000002403	0		nusap1	nucleolar and spindle associated protein 1 [Source:NCBI gene;Acc:567446]
GO:0099512	supramolecular fiber	177	5	1.29	0.0085	ENSDARG00000002988	0		tnnt2d	troponin T2d, cardiac [Source:ZFIN;Acc:ZDB-GENE-050626-97]
GO:0099512	supramolecular fiber	177	5	1.29	0.0085	ENSDARG00000005162	0		tpm3	tropomyosin 3 [Source:ZFIN;Acc:ZDB-GENE-030826-16]
GO:0099512	supramolecular fiber	177	5	1.29	0.0085	ENSDARG00000005374	0		tubgcp4	tubulin, gamma complex associated protein 4 [Source:ZFIN;Acc:ZDB-GENE-081022-124]
GO:0099512	supramolecular fiber	177	5	1.29	0.0085	ENSDARG00000005841	0		tnni2a.2	troponin I type 2a (skeletal, fast), tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040426-970]
GO:0099512	supramolecular fiber	177	5	1.29	0.0085	ENSDARG00000006603	0		csrp1a	cysteine and glycine-rich protein 1a [Source:ZFIN;Acc:ZDB-GENE-030909-4]
GO:0099512	supramolecular fiber	177	5	1.29	0.0085	ENSDARG00000007219	0		actn1	actinin, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-081113-4]
GO:0099512	supramolecular fiber	177	5	1.29	0.0085	ENSDARG00000007715	0		lgsn	lengsin, lens protein with glutamine synthetase domain [Source:ZFIN;Acc:ZDB-GENE-060312-26]
GO:0099512	supramolecular fiber	177	5	1.29	0.0085	ENSDARG00000008019	0		mxg	myxovirus (influenza virus) resistance G [Source:ZFIN;Acc:ZDB-GENE-030721-10]
