GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0035591	signaling adaptor activity	10	2	0.08	0.0025	ENSDARG00000037353,ENSDARG00000043281,ENSDARG00000057679,ENSDARG00000074531,ENSDARG00000074806,ENSDARG00000078142,ENSDARG00000078688,ENSDARG00000079530,ENSDARG00000079994,ENSDARG00000102128
GO:0016796	exonuclease activity, active with either...	11	2	0.09	0.0031	ENSDARG00000008472,ENSDARG00000009806,ENSDARG00000042727,ENSDARG00000044692,ENSDARG00000056832,ENSDARG00000060559,ENSDARG00000074675,ENSDARG00000077567,ENSDARG00000101900,ENSDARG00000102634,ENSDARG00000105014
GO:0008408	3'-5' exonuclease activity	11	2	0.09	0.0031	ENSDARG00000008472,ENSDARG00000009806,ENSDARG00000037708,ENSDARG00000040559,ENSDARG00000044692,ENSDARG00000060559,ENSDARG00000060951,ENSDARG00000074675,ENSDARG00000077567,ENSDARG00000102634,ENSDARG00000105014
GO:0005126	cytokine receptor binding	14	2	0.11	0.0050	ENSDARG00000004196,ENSDARG00000012945,ENSDARG00000028058,ENSDARG00000032746,ENSDARG00000034700,ENSDARG00000041502,ENSDARG00000056624,ENSDARG00000058068,ENSDARG00000069376,ENSDARG00000093608,ENSDARG00000098700,ENSDARG00000100295,ENSDARG00000100737,ENSDARG00000115359
GO:0008201	heparin binding	17	2	0.13	0.0074	ENSDARG00000004246,ENSDARG00000010785,ENSDARG00000012060,ENSDARG00000012593,ENSDARG00000031044,ENSDARG00000034268,ENSDARG00000034700,ENSDARG00000036036,ENSDARG00000040944,ENSDARG00000055543,ENSDARG00000074839,ENSDARG00000098368,ENSDARG00000100105,ENSDARG00000102153,ENSDARG00000103542,ENSDARG00000103775,ENSDARG00000104279
GO:0004540	ribonuclease activity	21	2	0.16	0.0112	ENSDARG00000001129,ENSDARG00000009806,ENSDARG00000011152,ENSDARG00000012325,ENSDARG00000016080,ENSDARG00000017605,ENSDARG00000018891,ENSDARG00000020122,ENSDARG00000027649,ENSDARG00000034060,ENSDARG00000036282,ENSDARG00000044692,ENSDARG00000058366,ENSDARG00000058475,ENSDARG00000060559,ENSDARG00000074675,ENSDARG00000077567,ENSDARG00000091851,ENSDARG00000101900,ENSDARG00000102634,ENSDARG00000112234
GO:0005198	structural molecule activity	213	5	1.65	0.0233	ENSDARG00000000212,ENSDARG00000001777,ENSDARG00000002255,ENSDARG00000002295,ENSDARG00000002344,ENSDARG00000003235,ENSDARG00000003395,ENSDARG00000003487,ENSDARG00000003599,ENSDARG00000003846,ENSDARG00000004173,ENSDARG00000005791,ENSDARG00000006316,ENSDARG00000006413,ENSDARG00000006603,ENSDARG00000006691,ENSDARG00000007320,ENSDARG00000007576,ENSDARG00000007912,ENSDARG00000009014,ENSDARG00000009194,ENSDARG00000009941,ENSDARG00000010516,ENSDARG00000011405,ENSDARG00000011407,ENSDARG00000011929,ENSDARG00000011998,ENSDARG00000012222,ENSDARG00000012405,ENSDARG00000012422,ENSDARG00000012593,ENSDARG00000013075,ENSDARG00000013307,ENSDARG00000014690,ENSDARG00000014803,ENSDARG00000014867,ENSDARG00000015053,ENSDARG00000015445,ENSDARG00000015610,ENSDARG00000015862,ENSDARG00000016010,ENSDARG00000016212,ENSDARG00000016239,ENSDARG00000016793,ENSDARG00000017901,ENSDARG00000018073,ENSDARG00000018404,ENSDARG00000018562,ENSDARG00000019778,ENSDARG00000019808,ENSDARG00000020007,ENSDARG00000020197,ENSDARG00000020527,ENSDARG00000021838,ENSDARG00000022698,ENSDARG00000023082,ENSDARG00000023298,ENSDARG00000024465,ENSDARG00000024548,ENSDARG00000025073,ENSDARG00000025301,ENSDARG00000025581,ENSDARG00000025850,ENSDARG00000026165,ENSDARG00000027428,ENSDARG00000028213,ENSDARG00000028533,ENSDARG00000028618,ENSDARG00000029500,ENSDARG00000029533,ENSDARG00000030022,ENSDARG00000030094,ENSDARG00000030349,ENSDARG00000030408,ENSDARG00000030490,ENSDARG00000030602,ENSDARG00000031678,ENSDARG00000032725,ENSDARG00000032929,ENSDARG00000033950,ENSDARG00000033965,ENSDARG00000034897,ENSDARG00000035692,ENSDARG00000035809,ENSDARG00000035860,ENSDARG00000035871,ENSDARG00000036140,ENSDARG00000036186,ENSDARG00000036298,ENSDARG00000036558,ENSDARG00000036629,ENSDARG00000036830,ENSDARG00000036832,ENSDARG00000036834,ENSDARG00000036875,ENSDARG00000037350,ENSDARG00000038743,ENSDARG00000039347,ENSDARG00000040118,ENSDARG00000040738,ENSDARG00000041179,ENSDARG00000041182,ENSDARG00000041306,ENSDARG00000041340,ENSDARG00000041435,ENSDARG00000041925,ENSDARG00000042530,ENSDARG00000042566,ENSDARG00000042864,ENSDARG00000042905,ENSDARG00000043309,ENSDARG00000043453,ENSDARG00000043493,ENSDARG00000043982,ENSDARG00000044093,ENSDARG00000044975,ENSDARG00000045268,ENSDARG00000045487,ENSDARG00000045618,ENSDARG00000046157,ENSDARG00000051896,ENSDARG00000052061,ENSDARG00000052063,ENSDARG00000053058,ENSDARG00000053457,ENSDARG00000053875,ENSDARG00000053956,ENSDARG00000054164,ENSDARG00000054321,ENSDARG00000054616,ENSDARG00000054807,ENSDARG00000055009,ENSDARG00000055996,ENSDARG00000056557,ENSDARG00000057556,ENSDARG00000057855,ENSDARG00000058105,ENSDARG00000058219,ENSDARG00000058332,ENSDARG00000058543,ENSDARG00000058824,ENSDARG00000060489,ENSDARG00000061505,ENSDARG00000061848,ENSDARG00000062568,ENSDARG00000063054,ENSDARG00000069017,ENSDARG00000069093,ENSDARG00000069624,ENSDARG00000069792,ENSDARG00000069827,ENSDARG00000069850,ENSDARG00000070787,ENSDARG00000070849,ENSDARG00000071518,ENSDARG00000073699,ENSDARG00000074001,ENSDARG00000074531,ENSDARG00000074955,ENSDARG00000075743,ENSDARG00000076364,ENSDARG00000076790,ENSDARG00000077084,ENSDARG00000077291,ENSDARG00000077717,ENSDARG00000078142,ENSDARG00000079011,ENSDARG00000079530,ENSDARG00000079994,ENSDARG00000087087,ENSDARG00000087187,ENSDARG00000087324,ENSDARG00000088030,ENSDARG00000090268,ENSDARG00000090462,ENSDARG00000090568,ENSDARG00000090716,ENSDARG00000091148,ENSDARG00000092567,ENSDARG00000092807,ENSDARG00000092947,ENSDARG00000093374,ENSDARG00000094041,ENSDARG00000095843,ENSDARG00000095901,ENSDARG00000097826,ENSDARG00000098237,ENSDARG00000098591,ENSDARG00000099283,ENSDARG00000099380,ENSDARG00000099930,ENSDARG00000100105,ENSDARG00000100392,ENSDARG00000100588,ENSDARG00000100729,ENSDARG00000100781,ENSDARG00000101209,ENSDARG00000101306,ENSDARG00000101406,ENSDARG00000101660,ENSDARG00000101816,ENSDARG00000102317,ENSDARG00000103007,ENSDARG00000103459,ENSDARG00000104110,ENSDARG00000104372,ENSDARG00000104801,ENSDARG00000105274,ENSDARG00000109289,ENSDARG00000109961,ENSDARG00000110973,ENSDARG00000113315,ENSDARG00000116164
GO:0019900	kinase binding	40	2	0.31	0.0379	ENSDARG00000000369,ENSDARG00000001933,ENSDARG00000002552,ENSDARG00000010784,ENSDARG00000012625,ENSDARG00000014946,ENSDARG00000030547,ENSDARG00000034598,ENSDARG00000034855,ENSDARG00000037353,ENSDARG00000038010,ENSDARG00000042815,ENSDARG00000046143,ENSDARG00000052423,ENSDARG00000057679,ENSDARG00000058419,ENSDARG00000061654,ENSDARG00000062080,ENSDARG00000070080,ENSDARG00000071410,ENSDARG00000074531,ENSDARG00000075014,ENSDARG00000075141,ENSDARG00000076090,ENSDARG00000076128,ENSDARG00000076559,ENSDARG00000078142,ENSDARG00000078688,ENSDARG00000079530,ENSDARG00000079994,ENSDARG00000091993,ENSDARG00000093781,ENSDARG00000099301,ENSDARG00000099547,ENSDARG00000099692,ENSDARG00000101755,ENSDARG00000104177,ENSDARG00000104636,ENSDARG00000104831,ENSDARG00000104836
GO:0048018	receptor ligand activity	41	2	0.32	0.0396	ENSDARG00000002748,ENSDARG00000012945,ENSDARG00000012987,ENSDARG00000027183,ENSDARG00000028327,ENSDARG00000034700,ENSDARG00000035056,ENSDARG00000036036,ENSDARG00000036222,ENSDARG00000037995,ENSDARG00000038139,ENSDARG00000040907,ENSDARG00000040920,ENSDARG00000041502,ENSDARG00000042616,ENSDARG00000044136,ENSDARG00000056590,ENSDARG00000056624,ENSDARG00000056633,ENSDARG00000056859,ENSDARG00000061213,ENSDARG00000062352,ENSDARG00000068263,ENSDARG00000069376,ENSDARG00000070442,ENSDARG00000075121,ENSDARG00000075501,ENSDARG00000077818,ENSDARG00000078707,ENSDARG00000079611,ENSDARG00000086585,ENSDARG00000093608,ENSDARG00000098700,ENSDARG00000100295,ENSDARG00000100737,ENSDARG00000101701,ENSDARG00000103542,ENSDARG00000104314,ENSDARG00000113525,ENSDARG00000115359,ENSDARG00000116713
GO:0005201	extracellular matrix structural constitu...	42	2	0.32	0.0414	ENSDARG00000002295,ENSDARG00000003395,ENSDARG00000007912,ENSDARG00000009014,ENSDARG00000009194,ENSDARG00000011407,ENSDARG00000012405,ENSDARG00000012422,ENSDARG00000012593,ENSDARG00000020007,ENSDARG00000026165,ENSDARG00000031678,ENSDARG00000033950,ENSDARG00000035809,ENSDARG00000036558,ENSDARG00000040118,ENSDARG00000045268,ENSDARG00000051896,ENSDARG00000052061,ENSDARG00000052063,ENSDARG00000055009,ENSDARG00000058543,ENSDARG00000061848,ENSDARG00000069017,ENSDARG00000069093,ENSDARG00000073699,ENSDARG00000077084,ENSDARG00000079011,ENSDARG00000087087,ENSDARG00000092567,ENSDARG00000095843,ENSDARG00000095901,ENSDARG00000097826,ENSDARG00000098237,ENSDARG00000099930,ENSDARG00000100105,ENSDARG00000100781,ENSDARG00000101209,ENSDARG00000101816,ENSDARG00000104110,ENSDARG00000105274,ENSDARG00000113315
