ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	40,64,42,28,40,48	0,2,1,2,3,2	45,57,39,67,49,47	0,2,0,2,0,1	152	149
1	5,14,13,9,12,14	21,21,16,27,15,13	7,14,19,25,12,11	15,9,6,22,17,7	167	149
2	15,17,10,7,18,1	1,1,6,3,5,1	22,14,12,14,3,10	7,11,2,5,0,5	152	149
3	9,11,7,5,12,20	69,104,96,54,79,85	11,4,8,24,9,4	69,74,59,114,94,83	152	149
5	0,8,4,5,2,9	0,1,0,0,0,0	4,4,3,2,5,3	0,0,0,0,0,0	151	149
6	13,7,7,1,5,7	6,7,3,11,6,10	3,4,4,13,7,4	6,15,11,14,8,11	152	149
8	278,329,307,249,308,187	0,2,2,0,1,0	345,262,227,390,303,207	1,3,0,4,0,0	153	149
10	29,38,27,16,40,36	13,15,21,12,22,18	38,39,43,45,34,29	33,28,23,42,22,23	152	149
11	61,58,42,48,43,79	0,0,0,0,0,0	56,52,34,91,74,58	0,1,1,0,3,0	177	149
15	13,37,17,8,20,31	19,99,15,35,51,34	7,34,11,67,21,31	21,55,23,66,29,60	152	149
16	150,258,228,117,224,211	1,3,2,3,3,5	206,164,149,278,227,134	5,4,1,1,3,1	152	149
17	25,33,31,21,18,35	1,12,2,9,5,13	31,14,11,52,26,23	4,6,2,9,8,3	185	149
18	18,26,32,24,29,16	0,3,6,6,6,10	31,22,21,46,16,19	9,5,8,2,9,5	176	149
19	1,0,3,0,4,1	0,0,2,0,0,1	2,1,3,0,0,0	0,0,0,0,0,0	152	149
21	2,0,1,1,0,0	1,1,0,2,2,1	0,2,0,0,0,0	2,0,0,0,0,0	152	149
22	733,995,1004,654,930,731	0,0,0,0,0,0	1044,835,719,1434,949,504	0,2,0,0,0,0	155	149
23	29,39,40,4,22,26	0,0,0,0,3,0	31,18,29,58,26,16	0,0,0,0,0,0	158	149
24	1,2,6,0,7,0	1,0,0,0,0,0	5,5,1,4,4,2	0,0,0,0,0,0	155	149
25	110,151,77,73,117,125	5,3,1,2,5,5	105,93,80,188,110,93	3,1,0,4,2,0	167	149
26	1,4,3,1,0,6	40,40,54,20,40,43	2,0,4,1,7,2	34,37,33,58,51,31	152	149
27	3,2,1,1,6,2	10,18,5,14,2,9	4,0,1,3,3,3	6,3,3,20,13,10	152	149
31	1,0,0,0,0,0	12,22,13,15,12,15	3,0,0,0,0,1	11,9,5,16,10,7	165	149
33	7,11,11,9,13,13	0,1,0,1,0,0	15,17,10,17,14,9	1,1,0,1,3,0	161	149
35	2,1,0,0,0,0	13,20,20,7,24,17	0,0,0,1,0,0	12,25,4,23,20,18	177	149
36	38,44,48,37,62,41	42,64,50,24,58,60	47,27,56,73,37,35	57,32,52,67,52,35	152	149
38	34,55,36,38,45,46	0,0,0,0,0,0	48,27,33,56,34,36	0,0,0,0,1,0	153	149
41	15,12,8,14,11,10	14,22,29,16,28,16	14,18,3,14,12,5	34,27,20,39,27,15	152	149
42	12,40,30,12,18,23	8,19,8,7,12,10	19,20,21,35,25,15	16,9,3,18,20,6	152	149
47	1,2,1,0,1,2	7,9,11,5,15,11	3,0,5,1,4,2	3,10,1,15,13,9	196	149
50	61,69,53,32,55,80	32,37,36,14,43,23	38,45,41,66,46,37	19,15,14,27,27,13	152	149
51	0,5,1,2,4,0	175,361,242,183,17,24	1,0,2,5,4,0	13,5,236,12,14,213	152	149
52	24,43,28,23,29,26	18,21,15,19,28,31	33,20,18,37,28,18	32,14,9,39,27,25	152	149
56	147,179,151,105,195,145	10,15,10,3,14,15	116,147,109,215,182,155	7,5,1,10,17,5	298	149
57	152,193,161,110,202,161	7,30,13,13,33,12	124,159,119,229,188,161	16,10,8,26,20,9	298	149
58	15,29,20,8,21,31	7,30,13,13,33,12	15,17,11,24,23,11	16,10,8,26,20,9	164	149
59	14,27,18,9,15,30	71,113,132,87,146,134	21,29,14,26,14,13	128,104,105,165,125,111	164	149
63	10,12,21,22,11,14	38,60,20,20,39,30	12,14,17,19,22,14	35,43,19,57,56,29	164	149
64	0,1,0,0,0,0	0,0,1,3,9,4	0,0,0,0,0,0	5,3,5,0,1,6	188	149
65	3,20,7,2,5,8	3,12,2,0,7,4	5,6,6,5,6,6	6,7,4,3,2,5	170	149
66	0,0,14,3,8,6	16,28,0,14,12,1	13,9,1,0,3,0	0,0,11,15,7,3	152	149
70	13,10,12,5,16,15	6,7,4,2,10,8	8,8,10,15,6,4	9,5,0,8,7,3	152	149
71	46,70,57,22,57,40	0,0,1,0,0,2	42,54,40,61,43,45	0,2,0,0,0,0	155	149
73	20,41,32,5,37,28	30,46,21,14,27,21	27,18,20,28,18,11	33,45,32,36,27,27	152	149
74	8,12,10,7,7,4	5,1,1,1,0,5	8,3,1,6,8,3	1,0,3,6,0,0	152	149
75	0,0,0,0,1,0	7,21,17,5,16,18	2,0,0,1,2,0	8,31,14,30,14,6	170	149
76	96,100,95,74,99,79	1863,3164,2167,1795,2549,2233	78,66,66,129,78,93	2481,2152,1655,3057,2190,1777	217	149
78	0,3,0,1,0,0	20,29,23,29,24,22	2,0,1,1,0,0	25,14,22,39,20,17	152	149
80	0,2,0,0,0,1	8,13,9,6,6,13	0,0,0,0,0,0	11,11,10,14,14,1	221	149
83	1,6,4,0,3,3	0,2,0,0,0,1	0,4,6,2,1,4	1,0,0,3,1,1	152	149
85	5,5,7,2,4,8	4,2,11,2,5,4	3,7,4,11,4,7	5,6,5,5,2,4	170	149
86	0,0,1,0,0,0	5,10,11,3,4,2	1,0,0,0,0,0	3,5,3,3,2,2	197	149
89	4,0,0,1,1,0	19,15,16,20,21,3	1,2,0,7,1,0	25,10,16,29,19,17	152	149
90	0,2,0,1,0,0	71,102,76,76,117,103	1,0,0,0,0,0	102,54,63,120,90,67	183	149
92	2,5,0,0,1,1	0,0,0,0,0,0	0,1,3,1,0,0	0,1,0,0,0,0	152	149
93	7,10,12,4,8,1	0,0,1,0,1,2	5,16,18,4,9,8	0,0,0,0,1,0	152	149
94	11,1,7,0,12,7	0,0,7,0,3,3	10,3,9,11,9,7	2,0,0,1,2,0	152	149
95	30,36,42,34,23,18	0,0,0,0,0,1	28,26,26,58,26,16	0,0,0,0,0,0	153	149
96	8,16,15,5,23,14	5,16,14,6,14,16	12,16,3,24,22,14	14,6,9,9,13,6	185	149
99	31,28,9,10,9,10	48,72,42,36,57,23	0,10,12,11,30,11	24,34,29,66,65,61	165	149
100	1,0,0,0,0,0	23,53,47,12,34,31	0,1,0,2,1,0	24,16,22,46,30,32	151	149
