ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,0,0,0,0,0	6,11,2,4,8,14	0,0,0,1,0,0	7,4,8,12,4,4	260	149
1	2,0,2,0,0,0	9,3,4,1,4,4	1,2,0,1,2,5	5,1,7,8,19,10	224	149
6	0,0,0,0,0,0	5,13,0,4,0,8	0,1,0,1,0,0	15,3,1,8,8,7	298	149
7	0,0,4,0,0,0	20,18,35,12,21,23	4,2,3,0,1,0	18,17,21,13,14,16	298	149
8	3,2,2,0,3,0	11,26,25,11,17,24	1,1,1,1,2,2	22,17,15,28,15,11	234	149
9	1,1,0,0,0,2	18,18,24,10,31,19	0,3,2,2,1,0	12,15,18,28,24,10	236	149
10	0,1,2,0,1,1	6,8,5,7,6,10	0,1,0,2,0,1	6,5,10,19,5,11	238	149
11	18,6,11,3,5,7	0,8,4,4,2,9	3,3,4,9,12,4	4,4,2,0,5,3	215	149
12	18,6,11,4,5,7	0,1,0,0,0,0	3,3,5,11,12,4	0,0,0,0,0,0	217	149
14	3,4,4,8,2,2	56,90,60,55,74,66	1,3,3,9,3,5	55,60,46,105,63,70	234	149
15	23,196,52,28,213,126	0,5,0,0,9,0	32,166,29,118,56,75	0,1,1,3,0,1	218	149
16	1,1,0,0,0,0	2,0,3,0,0,2	0,0,0,0,0,0	1,0,0,0,1,2	233	149
18	11,15,7,11,10,10	275,351,336,301,292,206	22,10,8,18,8,9	344,257,191,345,276,224	263	149
22	2,11,6,1,8,1	31,70,46,44,45,54	6,4,0,12,6,7	50,64,51,49,55,29	236	149
23	4,4,5,2,5,3	50,66,94,46,72,67	9,5,2,3,14,7	63,50,46,67,62,37	298	149
24	1,3,0,0,1,1	18,43,30,21,29,25	1,2,0,4,2,3	25,15,24,49,34,16	298	149
25	0,0,1,0,1,0	4,14,6,3,8,8	1,0,0,0,0,0	2,6,1,13,7,12	298	149
26	0,0,1,0,0,0	0,0,0,0,1,0	1,0,0,0,0,0	0,0,0,0,0,0	298	149
27	0,0,2,0,0,0	3,5,2,1,7,1	0,0,0,0,0,0	0,2,0,5,3,6	298	149
29	1,1,0,0,0,0	5,23,11,3,16,9	0,0,1,0,1,0	14,6,12,15,3,9	224	149
30	2,5,6,3,8,4	13,16,18,5,14,9	3,6,6,7,7,2	15,13,8,17,28,10	224	149
31	4,0,1,0,4,3	1,0,0,0,0,0	1,2,1,1,2,0	0,0,0,0,0,0	260	149
32	4,0,0,0,3,3	1,2,5,0,6,0	1,0,0,0,0,0	5,3,0,3,2,2	254	149
33	0,0,0,0,0,0	2,0,1,0,0,0	2,1,0,0,0,0	4,0,2,1,0,0	298	149
34	3,10,4,1,2,9	121,170,193,91,184,118	7,2,3,7,7,4	136,137,90,204,178,129	298	149
35	0,1,0,0,0,0	3,1,7,4,8,3	0,0,0,0,0,0	7,1,2,10,5,7	258	149
37	0,0,1,0,2,1	4,11,33,11,4,3	1,0,2,0,0,0	19,3,16,13,0,3	234	149
38	0,0,1,0,0,0	6,4,1,0,3,2	0,0,0,0,0,0	2,1,1,3,1,0	230	149
43	0,1,2,2,5,2	82,211,132,131,153,174	2,2,1,5,4,0	162,110,91,170,135,117	295	149
44	0,2,1,0,2,1	41,46,52,42,35,60	0,1,2,2,1,0	34,42,42,83,60,41	292	149
45	5,3,2,3,5,6	12,8,16,14,17,18	5,5,0,3,7,9	13,22,18,26,26,13	229	149
46	5,2,2,3,6,6	5,19,29,15,31,11	5,6,0,5,8,9	21,21,6,32,14,13	234	149
48	0,0,0,0,0,1	15,18,8,4,4,11	0,0,0,0,0,2	15,5,5,19,7,3	248	149
49	22,15,25,17,39,17	400,498,393,474,459,562	27,21,12,38,11,12	424,440,295,922,520,361	233	149
50	0,0,0,0,0,1	0,3,4,0,3,0	0,0,0,2,0,0	2,1,1,2,1,4	249	149
53	1,1,0,0,0,0	17,34,14,10,23,25	0,1,1,0,0,0	18,17,11,23,21,11	230	149
56	17,18,14,5,14,12	83,118,112,51,91,114	17,12,0,16,21,5	111,84,79,151,115,113	250	149
57	2,4,2,0,1,4	48,77,52,45,64,69	1,1,0,0,2,1	71,33,38,96,50,66	224	149
58	4,5,2,3,5,3	47,112,80,51,103,90	4,3,2,2,4,6	51,77,32,124,61,62	242	149
59	2,4,0,0,5,9	7,11,8,4,6,4	2,5,1,2,3,1	7,14,2,14,12,7	298	149
61	0,0,2,0,0,3	0,0,0,0,0,0	0,0,0,0,2,2	0,0,0,0,0,2	284	149
62	1,0,0,0,0,0	3,7,16,7,8,5	0,0,0,0,0,0	11,12,1,10,10,9	236	149
63	0,1,2,0,0,0	12,38,29,12,18,23	0,4,3,6,2,1	19,19,21,35,25,15	232	149
64	9,9,10,9,11,12	226,289,394,233,281,339	5,6,10,17,7,5	289,216,211,496,280,214	222	149
67	5,17,21,16,16,6	1,1,3,2,2,4	2,18,9,22,15,9	2,1,1,10,6,3	282	149
68	9,10,10,7,8,5	79,96,53,40,51,51	3,20,6,18,16,8	63,39,37,49,70,55	221	149
78	4,9,5,6,12,6	9,13,8,4,8,14	4,5,8,10,14,4	13,17,4,12,8,7	252	149
79	9,23,15,11,19,22	71,113,132,87,146,134	12,17,18,24,20,10	128,104,105,165,125,111	267	149
80	46,69,76,43,70,62	203,238,212,173,211,225	58,42,52,92,79,61	206,179,139,275,228,162	277	149
81	5,0,1,3,3,0	49,70,27,51,41,59	1,3,2,6,2,3	39,49,35,77,33,53	298	149
82	30,31,11,13,11,19	128,135,113,101,174,152	22,8,7,34,15,18	157,147,128,228,119,108	235	149
83	0,0,0,0,0,0	2,1,8,1,2,4	2,0,0,0,0,0	2,5,5,1,1,2	273	149
84	22,33,29,27,35,31	90,186,122,99,156,154	27,28,21,39,25,20	137,95,120,177,141,102	298	149
86	7,3,6,4,0,0	8,12,8,8,11,10	3,6,2,2,0,1	15,15,7,13,7,3	298	149
88	4,2,4,2,6,2	41,29,41,15,45,32	3,5,2,2,2,1	29,33,23,36,41,26	285	149
92	30,31,35,23,30,28	6,11,21,13,9,5	52,23,19,45,34,14	15,8,7,24,13,7	298	149
93	3,2,3,1,3,1	50,97,71,57,73,44	2,1,0,4,1,3	71,59,35,78,49,60	232	149
95	0,6,4,9,14,5	54,98,50,51,71,97	7,3,4,11,6,4	67,34,70,121,84,63	298	149
96	0,0,2,0,0,1	12,27,16,10,27,28	1,3,1,2,3,0	20,18,15,43,28,17	224	149
98	0,0,0,0,0,0	1,4,2,0,0,6	0,1,0,0,0,0	0,0,1,0,0,2	257	149
100	0,0,0,0,0,4	14,13,17,15,24,25	3,0,1,2,1,0	14,10,10,31,15,11	236	149
101	0,2,1,1,1,2	44,44,47,33,35,70	1,0,0,2,2,2	39,32,26,73,66,47	230	149
105	0,1,0,0,0,0	35,52,51,37,48,55	1,0,2,3,2,1	55,43,34,85,48,30	238	149
106	3,2,5,0,4,1	43,48,44,9,41,36	8,2,4,1,6,0	33,19,25,60,42,23	266	149
107	2,2,11,3,5,9	182,240,169,136,172,215	6,9,7,9,8,3	217,158,173,263,212,179	236	149
110	1,1,0,0,1,0	37,26,33,21,40,27	1,0,0,0,0,3	38,41,28,51,22,17	248	149
111	1,0,0,0,0,0	1,0,0,0,2,2	0,0,0,0,0,0	0,0,0,1,3,1	229	149
112	4,1,1,1,3,2	15,34,33,6,23,23	1,0,0,5,1,3	25,19,32,26,33,23	251	149
114	6,4,5,5,3,2	38,57,53,28,36,27	3,6,4,4,6,5	36,24,35,56,33,37	298	149
115	3,1,4,6,9,12	48,65,44,38,72,59	3,2,3,8,5,4	56,59,47,60,41,46	256	149
118	4,0,0,0,1,2	6,2,5,3,2,1	1,1,0,1,0,2	6,6,1,10,3,5	298	149
119	0,6,0,0,1,0	8,1,3,0,2,0	3,2,3,3,1,0	5,3,0,7,5,4	298	149
121	150,206,172,151,208,181	1649,2073,1691,1456,2022,1848	168,178,147,253,208,131	1692,1658,1387,2272,1996,1484	298	149
123	79,108,94,79,82,81	4,2,2,5,8,2	77,43,50,156,96,54	4,3,0,7,4,4	298	149
125	1,6,0,3,1,3	13,8,19,5,18,10	2,3,0,3,4,1	10,14,10,16,15,19	298	149
128	8,14,15,6,19,14	0,0,0,1,0,0	18,26,16,27,23,4	2,0,1,0,0,0	271	149
129	0,3,2,0,4,6	22,39,25,24,31,31	4,6,2,2,0,4	24,10,18,41,10,10	298	149
130	68,59,101,50,78,64	4,0,6,0,4,1	68,77,53,124,71,60	1,0,0,2,6,7	298	149
131	6,3,0,3,0,11	34,39,28,31,41,32	5,7,2,5,9,0	35,17,21,49,23,12	242	149
132	1,1,0,3,3,5	0,1,1,0,0,2	0,2,0,3,3,2	0,2,1,0,0,0	257	149
133	1,5,0,1,0,4	23,20,25,16,12,11	0,1,1,2,0,1	17,23,9,16,20,16	233	149
135	2,0,3,0,2,2	30,18,25,14,14,11	3,2,1,2,1,1	23,34,19,35,22,14	298	149
137	0,4,6,0,4,0	48,121,77,57,119,85	3,2,7,3,3,3	79,86,74,85,75,58	233	149
138	24,28,16,15,19,23	0,0,0,1,0,0	11,5,17,19,6,5	1,0,0,0,0,0	209	149
