ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	2,0,0,0,0,0	13,29,9,8,13,14	0,0,0,0,0,0	13,17,7,18,16,7	195	282
2	0,1,0,0,0,0	0,0,0,2,1,2	2,0,0,0,0,0	0,0,0,6,1,0	323	323
3	16,31,18,14,21,10	15,36,26,23,30,27	21,22,30,31,20,15	22,15,15,24,31,22	295	246
4	0,0,0,0,0,0	0,0,0,0,0,1	2,0,1,0,0,0	0,1,1,0,0,0	323	323
5	0,0,0,0,1,3	0,0,0,0,1,0	1,0,0,4,4,0	4,0,0,0,0,0	323	323
6	3,7,4,1,5,5	6,14,2,7,5,11	8,1,6,11,6,2	5,4,5,8,14,2	203	238
7	57,72,39,81,58,64	36,59,52,46,59,61	61,56,37,94,74,57	55,47,36,57,54,48	267	249
8	21,46,14,27,32,35	46,62,56,48,57,46	31,25,17,41,42,24	54,38,37,74,56,41	225	267
9	17,8,7,3,11,11	24,36,24,17,44,43	10,9,5,8,4,2	32,33,30,37,33,15	216	340
10	118,155,113,92,105,108	6,15,10,11,23,8	100,129,88,146,133,104	19,12,18,12,16,12	242	242
11	23,19,16,1,5,8	15,28,33,14,19,17	5,20,17,18,6,2	10,13,2,11,13,5	243	314
12	21,25,23,10,12,12	6,10,4,2,6,3	15,12,11,16,6,11	8,1,4,1,6,5	254	265
13	6,11,8,4,6,2	9,8,0,2,2,0	8,1,3,2,7,5	1,2,0,1,1,1	279	246
14	11,79,31,30,60,55	12,14,12,9,14,4	31,45,37,71,35,26	10,14,6,11,15,8	257	212
15	9,52,18,22,39,30	58,72,56,47,55,72	15,25,26,42,24,24	52,32,53,78,56,38	257	287
16	4,3,2,4,0,0	76,106,59,40,71,75	0,2,0,1,6,0	80,38,55,91,79,39	194	309
19	23,37,45,25,32,37	11,20,13,15,11,12	41,40,30,59,29,10	8,5,6,20,12,16	593	309
20	21,35,23,15,42,33	23,38,33,8,42,32	19,34,11,41,27,44	28,32,28,45,35,27	297	304
21	124,177,154,132,148,166	41,77,40,41,58,48	158,126,112,195,148,130	47,59,53,83,45,36	256	313
22	68,85,90,46,78,77	44,41,45,30,37,45	73,63,53,96,81,80	48,51,15,54,35,41	504	288
23	12,18,13,2,11,27	11,11,12,9,13,7	17,8,18,23,15,18	16,15,13,18,8,11	242	296
24	275,372,239,147,328,284	153,225,157,85,204,171	248,225,238,309,294,193	189,134,129,186,160,90	290	231
25	10,26,21,15,19,12	23,34,23,33,34,17	12,20,11,23,4,14	23,25,12,11,9,20	320	322
26	67,106,99,53,114,88	29,26,30,19,40,52	66,77,75,109,87,66	41,19,18,56,33,29	626	269
27	3,6,6,8,4,3	5,5,4,4,4,3	9,5,3,7,1,2	4,12,1,6,5,1	203	266
28	19,13,18,10,13,15	13,37,19,11,30,21	22,17,9,20,3,4	21,20,19,31,20,13	263	263
29	7,7,7,3,6,5	13,5,14,2,1,1	8,3,3,3,9,3	5,6,7,4,6,6	278	242
30	36,57,33,28,36,48	36,35,29,20,28,46	33,33,39,72,47,41	28,41,14,48,40,27	318	294
31	33,23,24,14,21,21	40,45,31,21,23,52	12,24,15,40,25,15	38,36,23,57,47,39	294	280
32	13,11,14,14,13,4	15,19,19,8,12,8	17,7,2,11,23,11	14,6,10,14,8,14	275	257
33	6,14,16,9,9,8	8,11,5,10,7,8	19,11,7,9,16,7	21,9,17,21,11,12	254	254
34	6,13,13,7,9,8	2,7,9,10,6,6	19,9,7,9,16,5	13,7,5,8,15,7	254	218
35	2,3,6,3,8,8	124,135,104,111,131,160	8,1,3,6,8,2	150,93,103,144,125,68	298	1012
36	21,25,12,7,11,15	3,6,3,1,14,22	7,12,13,27,18,12	4,6,2,7,10,7	354	277
37	13,11,9,8,8,14	40,48,30,25,54,39	11,14,3,12,3,7	40,39,26,34,38,26	210	288
38	29,38,32,23,32,25	84,80,77,49,81,62	47,25,23,60,48,23	81,52,51,71,80,46	242	314
39	71,105,61,47,60,78	18,9,16,12,20,17	75,72,73,94,85,64	11,13,14,15,17,11	310	185
40	1689,2671,2057,1671,2238,1996	2154,3296,2397,1817,2830,2786	2151,1973,1611,3080,2194,1624	2644,2341,2107,3627,2472,1930	274	277
41	21,29,23,18,46,20	31,132,90,79,105,57	20,35,29,20,29,15	81,81,56,69,73,50	226	322
