GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000005372	0		camk4	calcium/calmodulin-dependent protein kinase IV [Source:ZFIN;Acc:ZDB-GENE-050417-76]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000009094	0		gata2b	GATA binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-040718-440]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000012078	0		meis1b	Meis homeobox 1 b [Source:ZFIN;Acc:ZDB-GENE-020122-1]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000019004	0		smarcd1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1835]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000030756	0		dnmt1	DNA (cytosine-5-)-methyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-990714-15]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000034178	0		cpsf1	cleavage and polyadenylation specific factor 1 [Source:ZFIN;Acc:ZDB-GENE-040709-2]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000042934	0		ccn2a	cellular communication network factor 2a [Source:ZFIN;Acc:ZDB-GENE-030131-102]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000053666	0		myb	v-myb avian myeloblastosis viral oncogene homolog [Source:ZFIN;Acc:ZDB-GENE-991110-14]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000059322	0		topbp1	DNA topoisomerase II binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-060626-1]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000059398	0		myef2	myelin expression factor 2 [Source:ZFIN;Acc:ZDB-GENE-051120-114]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000061810	0		mbd3b	methyl-CpG binding domain protein 3b [Source:ZFIN;Acc:ZDB-GENE-030131-9792]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000077751	0		nol9	nucleolar protein 9 [Source:ZFIN;Acc:ZDB-GENE-070629-1]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000092155	0		apoc2	apolipoprotein C-II [Source:ZFIN;Acc:ZDB-GENE-030131-2168]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000100494	0		pbx1a	pre-B-cell leukemia homeobox 1a [Source:ZFIN;Acc:ZDB-GENE-000405-1]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000010244	1		rpl22l1	ribosomal protein L22-like 1 [Source:ZFIN;Acc:ZDB-GENE-060804-3]
GO:0060216	definitive hemopoiesis	16	2	0.15	0.0091	ENSDARG00000039347	1		rps24	ribosomal protein S24 [Source:ZFIN;Acc:ZDB-GENE-040109-5]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000001881	0		cacnb3a	calcium channel, voltage-dependent, beta 3a [Source:ZFIN;Acc:ZDB-GENE-060221-2]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000002167	0		cacnb1	calcium channel, voltage-dependent, beta 1 subunit [Source:ZFIN;Acc:ZDB-GENE-040718-399]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000002285	0		mcoln1a	mucolipin 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2704]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000002840	0		si:dkey-28b4.8	si:dkey-28b4.8 [Source:ZFIN;Acc:ZDB-GENE-090501-2]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000006760	0		slc24a3	solute carrier family 24 member 3 [Source:ZFIN;Acc:ZDB-GENE-090312-67]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000006923	0		cacna1ab	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit, b [Source:ZFIN;Acc:ZDB-GENE-090514-3]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000007788	0		atp2b1b	ATPase plasma membrane Ca2+ transporting 1b [Source:ZFIN;Acc:ZDB-GENE-080409-1]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000008398	0		cacna1c	calcium channel, voltage-dependent, L type, alpha 1C subunit [Source:ZFIN;Acc:ZDB-GENE-020129-1]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000008982	0		casq2	calsequestrin 2 [Source:ZFIN;Acc:ZDB-GENE-010724-12]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000009939	0		micu2	mitochondrial calcium uptake 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3374]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000011091	0		drd2b	dopamine receptor D2b [Source:ZFIN;Acc:ZDB-GENE-030910-2]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000011259	0		trpm1a	transient receptor potential cation channel, subfamily M, member 1a [Source:ZFIN;Acc:ZDB-GENE-070112-1372]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000011422	0		ryr1a	ryanodine receptor 1a (skeletal) [Source:ZFIN;Acc:ZDB-GENE-020108-2]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000011909	0		itpr2	inositol 1,4,5-trisphosphate receptor, type 2 [Source:ZFIN;Acc:ZDB-GENE-050419-192]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000012684	0		atp2b1a	ATPase plasma membrane Ca2+ transporting 1a [Source:ZFIN;Acc:ZDB-GENE-030925-29]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000013335	0		anxa6	annexin A6 [Source:ZFIN;Acc:ZDB-GENE-030707-3]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000013422	0		slc8a1a	solute carrier family 8 member 1a [Source:ZFIN;Acc:ZDB-GENE-050809-1]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000013623	0		vdac2	voltage-dependent anion channel 2 [Source:ZFIN;Acc:ZDB-GENE-030131-845]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000014496	0		trpv6	transient receptor potential cation channel, subfamily V, member 6 [Source:ZFIN;Acc:ZDB-GENE-040624-12]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000014655	0		itpr1a	inositol 1,4,5-trisphosphate receptor, type 1a [Source:ZFIN;Acc:ZDB-GENE-070604-3]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000014804	0		cacna2d1a	calcium channel, voltage-dependent, alpha 2/delta subunit 1a [Source:ZFIN;Acc:ZDB-GENE-041210-215]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000015425	0		slc24a4a	solute carrier family 24 member 4a [Source:ZFIN;Acc:ZDB-GENE-050417-291]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000016699	0		trpa1a	transient receptor potential cation channel, subfamily A, member 1a [Source:ZFIN;Acc:ZDB-GENE-050105-6]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000020450	0		cacng8a	calcium channel, voltage-dependent, gamma subunit 8a [Source:ZFIN;Acc:ZDB-GENE-050417-239]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000020544	0		rem1	RAS (RAD and GEM)-like GTP-binding 1 [Source:ZFIN;Acc:ZDB-GENE-040317-1]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000021735	0		cacna1ba	calcium channel, voltage-dependent, N type, alpha 1B subunit, a [Source:ZFIN;Acc:ZDB-GENE-060531-44]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000023445	0		atp2b3b	ATPase plasma membrane Ca2+ transporting 3b [Source:ZFIN;Acc:ZDB-GENE-080409-2]
GO:0070588	calcium ion transmembrane transport	91	4	0.83	0.0095	ENSDARG00000023797	0		ryr1b	ryanodine receptor 1b (skeletal) [Source:ZFIN;Acc:ZDB-GENE-070705-417]
