GO.ID	Term	Annotated	Significant	Expected	pval	Genes
GO:0006188	IMP biosynthetic process	10	2	0.07	0.0020	ENSDARG00000003750,ENSDARG00000005800,ENSDARG00000008884,ENSDARG00000011683,ENSDARG00000016706,ENSDARG00000029952,ENSDARG00000032469,ENSDARG00000033539,ENSDARG00000033832,ENSDARG00000104491
GO:0045089	positive regulation of innate immune res...	11	2	0.07	0.0024	ENSDARG00000002552,ENSDARG00000010610,ENSDARG00000015653,ENSDARG00000016065,ENSDARG00000018530,ENSDARG00000052747,ENSDARG00000058729,ENSDARG00000069733,ENSDARG00000070922,ENSDARG00000077810,ENSDARG00000104396
GO:0043173	nucleotide salvage	12	2	0.08	0.0028	ENSDARG00000003519,ENSDARG00000005800,ENSDARG00000008884,ENSDARG00000011683,ENSDARG00000029952,ENSDARG00000032469,ENSDARG00000032650,ENSDARG00000033832,ENSDARG00000039429,ENSDARG00000040869,ENSDARG00000078973,ENSDARG00000104491
GO:0048701	embryonic cranial skeleton morphogenesis	43	3	0.29	0.0030	ENSDARG00000000779,ENSDARG00000002235,ENSDARG00000006921,ENSDARG00000009534,ENSDARG00000012078,ENSDARG00000012519,ENSDARG00000018907,ENSDARG00000019360,ENSDARG00000020334,ENSDARG00000024561,ENSDARG00000031809,ENSDARG00000031954,ENSDARG00000037060,ENSDARG00000037178,ENSDARG00000037654,ENSDARG00000037655,ENSDARG00000039400,ENSDARG00000040717,ENSDARG00000045776,ENSDARG00000052150,ENSDARG00000052826,ENSDARG00000052866,ENSDARG00000054355,ENSDARG00000054619,ENSDARG00000056427,ENSDARG00000058203,ENSDARG00000059279,ENSDARG00000061737,ENSDARG00000061759,ENSDARG00000075211,ENSDARG00000077226,ENSDARG00000077840,ENSDARG00000078324,ENSDARG00000078552,ENSDARG00000078717,ENSDARG00000098240,ENSDARG00000098349,ENSDARG00000098375,ENSDARG00000099943,ENSDARG00000100729,ENSDARG00000105083,ENSDARG00000105206,ENSDARG00000111246
GO:0046033	AMP metabolic process	14	2	0.09	0.0039	ENSDARG00000001950,ENSDARG00000002071,ENSDARG00000003519,ENSDARG00000005800,ENSDARG00000005926,ENSDARG00000006546,ENSDARG00000017049,ENSDARG00000029952,ENSDARG00000032469,ENSDARG00000033832,ENSDARG00000039429,ENSDARG00000058728,ENSDARG00000099517,ENSDARG00000104491
GO:0006412	translation	235	6	1.59	0.0048	ENSDARG00000002549,ENSDARG00000003032,ENSDARG00000003599,ENSDARG00000003681,ENSDARG00000003693,ENSDARG00000003984,ENSDARG00000004174,ENSDARG00000004724,ENSDARG00000004757,ENSDARG00000005791,ENSDARG00000006200,ENSDARG00000006316,ENSDARG00000006413,ENSDARG00000006642,ENSDARG00000006691,ENSDARG00000006838,ENSDARG00000007216,ENSDARG00000008237,ENSDARG00000008454,ENSDARG00000008706,ENSDARG00000009285,ENSDARG00000009346,ENSDARG00000010160,ENSDARG00000010194,ENSDARG00000010244,ENSDARG00000010316,ENSDARG00000010516,ENSDARG00000011201,ENSDARG00000011405,ENSDARG00000012274,ENSDARG00000012603,ENSDARG00000012688,ENSDARG00000013075,ENSDARG00000013250,ENSDARG00000013274,ENSDARG00000013307,ENSDARG00000013950,ENSDARG00000014690,ENSDARG00000014867,ENSDARG00000014945,ENSDARG00000015128,ENSDARG00000015862,ENSDARG00000016177,ENSDARG00000016260,ENSDARG00000016280,ENSDARG00000016443,ENSDARG00000016447,ENSDARG00000016864,ENSDARG00000017219,ENSDARG00000017235,ENSDARG00000018106,ENSDARG00000018334,ENSDARG00000019181,ENSDARG00000019778,ENSDARG00000020197,ENSDARG00000020232,ENSDARG00000020850,ENSDARG00000021257,ENSDARG00000021838,ENSDARG00000021864,ENSDARG00000023298,ENSDARG00000023526,ENSDARG00000024465,ENSDARG00000025073,ENSDARG00000025581,ENSDARG00000025850,ENSDARG00000027428,ENSDARG00000027465,ENSDARG00000029088,ENSDARG00000029445,ENSDARG00000029500,ENSDARG00000029533,ENSDARG00000030053,ENSDARG00000030408,ENSDARG00000030602,ENSDARG00000031048,ENSDARG00000032116,ENSDARG00000032277,ENSDARG00000032704,ENSDARG00000032725,ENSDARG00000033973,ENSDARG00000034174,ENSDARG00000034291,ENSDARG00000034396,ENSDARG00000035256,ENSDARG00000035692,ENSDARG00000035835,ENSDARG00000035860,ENSDARG00000035913,ENSDARG00000036298,ENSDARG00000036629,ENSDARG00000036875,ENSDARG00000037071,ENSDARG00000037229,ENSDARG00000037350,ENSDARG00000037433,ENSDARG00000038585,ENSDARG00000038768,ENSDARG00000039345,ENSDARG00000039347,ENSDARG00000039502,ENSDARG00000039649,ENSDARG00000041182,ENSDARG00000041232,ENSDARG00000041397,ENSDARG00000041435,ENSDARG00000041575,ENSDARG00000042065,ENSDARG00000042094,ENSDARG00000042252,ENSDARG00000042566,ENSDARG00000042851,ENSDARG00000042905,ENSDARG00000043361,ENSDARG00000043453,ENSDARG00000043509,ENSDARG00000043976,ENSDARG00000044093,ENSDARG00000044134,ENSDARG00000044521,ENSDARG00000044575,ENSDARG00000045487,ENSDARG00000045696,ENSDARG00000045776,ENSDARG00000045913,ENSDARG00000045932,ENSDARG00000046157,ENSDARG00000052178,ENSDARG00000053047,ENSDARG00000053058,ENSDARG00000053365,ENSDARG00000053370,ENSDARG00000053457,ENSDARG00000054164,ENSDARG00000054272,ENSDARG00000054818,ENSDARG00000054916,ENSDARG00000055475,ENSDARG00000055996,ENSDARG00000056119,ENSDARG00000056186,ENSDARG00000056717,ENSDARG00000056903,ENSDARG00000057089,ENSDARG00000057167,ENSDARG00000057368,ENSDARG00000057556,ENSDARG00000057912,ENSDARG00000058105,ENSDARG00000058419,ENSDARG00000058451,ENSDARG00000058528,ENSDARG00000058824,ENSDARG00000059070,ENSDARG00000059654,ENSDARG00000060005,ENSDARG00000060103,ENSDARG00000060199,ENSDARG00000060494,ENSDARG00000060861,ENSDARG00000061100,ENSDARG00000062209,ENSDARG00000062568,ENSDARG00000062916,ENSDARG00000063079,ENSDARG00000063249,ENSDARG00000068289,ENSDARG00000068305,ENSDARG00000068893,ENSDARG00000069142,ENSDARG00000069850,ENSDARG00000070043,ENSDARG00000070437,ENSDARG00000070849,ENSDARG00000070922,ENSDARG00000074213,ENSDARG00000074331,ENSDARG00000075337,ENSDARG00000075369,ENSDARG00000075385,ENSDARG00000075743,ENSDARG00000076847,ENSDARG00000077215,ENSDARG00000077291,ENSDARG00000077717,ENSDARG00000078077,ENSDARG00000078546,ENSDARG00000078835,ENSDARG00000079688,ENSDARG00000087844,ENSDARG00000088030,ENSDARG00000090462,ENSDARG00000090568,ENSDARG00000090697,ENSDARG00000090988,ENSDARG00000091247,ENSDARG00000091402,ENSDARG00000092115,ENSDARG00000092807,ENSDARG00000092855,ENSDARG00000097803,ENSDARG00000098441,ENSDARG00000098627,ENSDARG00000098825,ENSDARG00000098972,ENSDARG00000099022,ENSDARG00000099380,ENSDARG00000100371,ENSDARG00000100392,ENSDARG00000100499,ENSDARG00000100513,ENSDARG00000100588,ENSDARG00000100854,ENSDARG00000100954,ENSDARG00000101061,ENSDARG00000101306,ENSDARG00000101406,ENSDARG00000102291,ENSDARG00000102317,ENSDARG00000103007,ENSDARG00000103099,ENSDARG00000103198,ENSDARG00000103318,ENSDARG00000103433,ENSDARG00000103799,ENSDARG00000103856,ENSDARG00000103889,ENSDARG00000104011,ENSDARG00000104276,ENSDARG00000104414,ENSDARG00000104659,ENSDARG00000107385,ENSDARG00000109961,ENSDARG00000115271,ENSDARG00000115805
GO:0002757	immune response-activating signal transd...	19	2	0.13	0.0071	ENSDARG00000002552,ENSDARG00000007787,ENSDARG00000008186,ENSDARG00000010610,ENSDARG00000015653,ENSDARG00000016065,ENSDARG00000018530,ENSDARG00000038938,ENSDARG00000045877,ENSDARG00000052747,ENSDARG00000067996,ENSDARG00000068681,ENSDARG00000069733,ENSDARG00000077810,ENSDARG00000077862,ENSDARG00000078042,ENSDARG00000079155,ENSDARG00000090421,ENSDARG00000104396
GO:0002683	negative regulation of immune system pro...	23	2	0.16	0.0104	ENSDARG00000001760,ENSDARG00000010610,ENSDARG00000026726,ENSDARG00000042338,ENSDARG00000043182,ENSDARG00000045661,ENSDARG00000046081,ENSDARG00000052747,ENSDARG00000055875,ENSDARG00000058053,ENSDARG00000068969,ENSDARG00000068991,ENSDARG00000068993,ENSDARG00000074283,ENSDARG00000077810,ENSDARG00000078778,ENSDARG00000086254,ENSDARG00000088680,ENSDARG00000098481,ENSDARG00000099839,ENSDARG00000100095,ENSDARG00000104359,ENSDARG00000116628
GO:0002181	cytoplasmic translation	34	2	0.23	0.0220	ENSDARG00000002549,ENSDARG00000003032,ENSDARG00000003681,ENSDARG00000006642,ENSDARG00000009285,ENSDARG00000010194,ENSDARG00000010244,ENSDARG00000011201,ENSDARG00000012603,ENSDARG00000018106,ENSDARG00000021864,ENSDARG00000031048,ENSDARG00000039345,ENSDARG00000042252,ENSDARG00000043976,ENSDARG00000045776,ENSDARG00000045932,ENSDARG00000053047,ENSDARG00000053365,ENSDARG00000053370,ENSDARG00000057089,ENSDARG00000057556,ENSDARG00000058451,ENSDARG00000068289,ENSDARG00000070437,ENSDARG00000070922,ENSDARG00000077717,ENSDARG00000078077,ENSDARG00000088030,ENSDARG00000092115,ENSDARG00000098627,ENSDARG00000100499,ENSDARG00000101406,ENSDARG00000102317
GO:0061053	somite development	34	2	0.23	0.0220	ENSDARG00000002084,ENSDARG00000003398,ENSDARG00000004173,ENSDARG00000008487,ENSDARG00000008947,ENSDARG00000009170,ENSDARG00000011665,ENSDARG00000016350,ENSDARG00000023299,ENSDARG00000025641,ENSDARG00000030368,ENSDARG00000031756,ENSDARG00000031809,ENSDARG00000031894,ENSDARG00000036930,ENSDARG00000038428,ENSDARG00000038743,ENSDARG00000042005,ENSDARG00000044601,ENSDARG00000052139,ENSDARG00000053586,ENSDARG00000056322,ENSDARG00000060766,ENSDARG00000062248,ENSDARG00000062338,ENSDARG00000067990,ENSDARG00000069937,ENSDARG00000075211,ENSDARG00000078416,ENSDARG00000088590,ENSDARG00000099746,ENSDARG00000101209,ENSDARG00000102414,ENSDARG00000102855
