GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000000103	0		myh10	myosin, heavy chain 10, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030616-162]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000000212	0		krt97	keratin 97 [Source:ZFIN;Acc:ZDB-GENE-040718-78]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000000943	0		dzip1	DAZ interacting zinc finger protein 1 [Source:NCBI gene;Acc:402875]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000001014	0		myh9b	myosin, heavy chain 9b, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030131-998]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000001431	0		actn3b	actinin alpha 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2040]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000001889	0		tuba1a	tubulin, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-090507-4]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000001993	0		myhb	myosin, heavy chain b [Source:ZFIN;Acc:ZDB-GENE-081124-1]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000002344	0		tubb4b	tubulin, beta 4B class IVb [Source:ZFIN;Acc:ZDB-GENE-030131-8625]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000002403	0		nusap1	nucleolar and spindle associated protein 1 [Source:NCBI gene;Acc:567446]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000002988	0		tnnt2d	troponin T2d, cardiac [Source:ZFIN;Acc:ZDB-GENE-050626-97]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000003058	0		fgfr1op	FGFR1 oncogene partner [Source:ZFIN;Acc:ZDB-GENE-090417-1]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000003642	0		zfyve19	zinc finger, FYVE domain containing 19 [Source:ZFIN;Acc:ZDB-GENE-040718-109]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000003872	0		ccdc102a	coiled-coil domain containing 102A [Source:NCBI gene;Acc:325319]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000004049	0		marcksa	myristoylated alanine-rich protein kinase C substrate a [Source:ZFIN;Acc:ZDB-GENE-050522-145]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000004131	0		rttn	rotatin [Source:ZFIN;Acc:ZDB-GENE-090609-5]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000004576	0		plk4	polo-like kinase 4 (Drosophila) [Source:NCBI gene;Acc:368390]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000004658	0		zgc:101810	zgc:101810 [Source:ZFIN;Acc:ZDB-GENE-041121-7]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000004840	0		rassf1	Ras association domain family member 1 [Source:ZFIN;Acc:ZDB-GENE-040912-14]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000004877	0		rock2b	rho-associated, coiled-coil containing protein kinase 2b [Source:ZFIN;Acc:ZDB-GENE-060125-2]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000004904	0		gys2	glycogen synthase 2 [Source:ZFIN;Acc:ZDB-GENE-030826-31]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000004948	0		bccip	BRCA2 and CDKN1A interacting protein [Source:NCBI gene;Acc:541348]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000005092	0		cep89	centrosomal protein 89 [Source:NCBI gene;Acc:393852]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000005098	0		zgc:86764	zgc:86764 [Source:ZFIN;Acc:ZDB-GENE-040718-435]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000005162	0		tpm3	tropomyosin 3 [Source:ZFIN;Acc:ZDB-GENE-030826-16]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000005221	0		desmb	desmin b [Source:ZFIN;Acc:ZDB-GENE-061027-102]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000005374	0		tubgcp4	tubulin, gamma complex associated protein 4 [Source:ZFIN;Acc:ZDB-GENE-081022-124]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000005993	0		prc1b	protein regulator of cytokinesis 1b [Source:ZFIN;Acc:ZDB-GENE-040426-777]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000006260	0		tuba8l4	tubulin, alpha 8 like 4 [Source:ZFIN;Acc:ZDB-GENE-040426-860]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000007219	0		actn1	actinin, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-081113-4]
GO:0044430	cytoskeletal part	371	9	2.91	0.0021	ENSDARG00000007444	0		ift81	intraflagellar transport 81 homolog [Source:ZFIN;Acc:ZDB-GENE-040714-3]
