ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	2,0,0,0,0,0	10,19,3,4,10,11	0,0,0,0,0,0	5,6,7,9,12,14	195	282
2	0,1,0,0,0,0	0,0,0,2,1,2	0,0,0,0,0,0	0,0,0,0,0,1	298	298
3	10,12,7,7,12,6	11,37,22,27,8,24	12,5,1,12,3,12	13,15,15,20,17,33	246	234
4	0,0,0,0,0,0	0,0,0,0,0,1	0,0,0,0,1,0	0,0,1,3,0,0	298	298
5	0,0,0,0,1,2	0,0,0,0,1,0	0,0,0,2,3,0	0,0,0,0,0,0	298	298
6	3,7,4,1,5,5	6,14,2,6,5,11	6,4,3,8,9,8	14,3,4,4,9,9	203	238
7	16,18,7,3,8,18	53,27,33,21,26,41	12,10,10,7,9,11	17,26,20,26,25,47	226	298
8	56,71,39,80,58,64	36,59,52,46,59,61	51,51,49,62,51,92	22,37,40,78,25,74	267	249
9	21,46,14,27,32,35	45,61,56,47,57,46	27,22,25,56,27,44	42,60,25,66,35,95	225	267
10	17,8,7,3,11,11	14,25,20,13,22,33	11,8,4,15,10,16	26,9,16,31,29,40	216	298
11	118,155,113,92,105,108	6,15,10,11,23,8	118,92,50,141,103,143	16,12,7,20,7,20	242	242
12	23,19,16,1,5,8	14,22,29,14,15,16	16,14,2,11,21,8	20,8,4,8,24,16	243	298
13	21,24,23,10,12,12	6,10,4,2,6,3	17,15,4,19,19,27	1,5,1,7,7,2	254	265
14	6,10,7,4,6,2	9,8,0,2,2,0	4,5,1,8,7,3	2,4,2,1,3,3	279	246
15	10,79,31,30,59,55	12,14,12,9,14,4	31,38,28,46,45,68	17,17,9,15,10,11	257	212
16	8,52,18,22,38,30	56,70,55,46,55,72	25,25,19,27,31,51	62,56,27,88,43,78	257	287
17	4,3,2,4,0,0	64,88,44,33,64,61	0,3,4,2,3,0	57,46,43,46,65,90	194	298
19	25,33,21,13,31,18	10,6,11,5,13,16	25,28,11,17,34,34	17,14,1,7,9,12	236	173
21	31,30,27,23,23,26	11,27,13,15,18,17	26,28,26,35,32,32	15,6,8,21,14,18	298	228
22	14,13,8,10,8,16	8,16,12,13,11,9	7,8,4,9,10,13	6,11,5,14,19,9	298	298
23	0,0,0,0,0,0	37,68,44,21,45,37	0,0,0,1,0,0	20,49,35,54,41,39	167	245
24	21,41,28,18,43,23	44,75,41,51,58,55	31,30,24,33,17,51	79,58,47,88,64,75	245	290
25	130,190,190,125,186,178	74,93,101,59,99,93	136,140,132,171,163,210	80,77,59,112,88,123	292	251
26	20,12,19,13,23,23	7,22,10,11,26,21	10,17,20,20,10,26	5,8,9,27,11,19	298	263
27	5,10,8,5,14,5	16,18,10,16,20,18	3,6,6,7,5,14	17,7,20,24,8,41	260	298
28	30,33,43,22,36,43	43,41,44,30,37,45	27,20,20,14,25,34	26,24,17,9,44,43	298	288
29	12,18,13,2,11,27	9,11,11,9,12,6	17,16,12,12,16,29	13,8,7,11,19,22	242	296
30	271,370,239,143,328,284	151,224,157,84,204,171	531,197,166,274,322,493	257,148,81,166,168,287	290	231
31	10,19,15,13,12,9	18,29,18,26,31,17	17,11,7,24,15,18	18,12,5,26,31,19	298	298
32	10,16,13,6,11,6	29,26,30,19,40,51	13,8,8,11,15,14	35,30,29,62,38,41	298	269
33	29,17,23,16,18,23	13,18,16,12,20,16	20,13,8,17,18,19	12,9,12,10,10,29	298	298
34	19,13,17,10,13,15	13,36,19,10,30,20	13,18,9,36,11,29	18,17,16,20,18,33	263	263
35	7,7,7,3,6,5	13,5,14,2,1,1	10,4,8,5,7,7	11,12,3,1,10,7	278	242
36	0,1,0,1,0,0	1,1,2,0,0,3	0,0,0,0,0,0	1,0,2,1,2,1	242	182
37	3,6,12,4,6,8	30,30,31,24,33,26	10,7,4,14,13,12	30,28,24,50,38,47	184	261
38	6,14,16,9,9,8	8,11,5,10,7,8	12,8,4,20,4,11	9,14,5,6,13,12	254	254
39	2,3,5,3,8,8	29,29,14,12,22,15	4,4,5,8,8,6	22,21,15,34,30,16	298	298
40	34,78,59,37,55,47	92,140,140,57,124,114	44,52,44,73,99,92	104,97,67,163,134,140	207	241
41	4,2,2,0,5,1	57,124,97,72,103,103	2,0,2,2,6,3	98,64,60,157,112,107	238	207
42	13,15,8,5,5,12	3,6,3,1,14,22	5,12,11,17,5,19	2,5,11,2,9,4	298	277
43	13,11,9,8,8,14	40,48,30,25,52,38	10,12,7,13,7,15	20,28,17,44,31,52	210	288
44	6,5,4,7,6,4	7,14,6,18,3,6	4,8,2,4,2,1	12,10,2,8,1,9	298	269
45	62,88,52,40,56,60	18,9,16,12,20,17	58,55,42,39,57,70	15,6,12,9,16,29	298	185
46	66,82,99,63,74,77	70,75,92,66,80,59	78,65,48,67,57,107	54,59,39,73,86,97	298	279
47	1670,2633,2041,1646,2221,1971	2149,3290,2392,1812,2827,2783	1803,1799,1546,3205,2170,2659	2395,1890,1973,3647,2400,3690	274	277
48	21,29,23,18,46,20	28,56,33,43,67,25	18,26,19,42,14,31	28,27,12,67,33,38	226	238
49	65,55,66,41,49,55	43,51,44,26,47,64	41,59,29,68,63,74	44,38,21,77,43,51	298	282
50	14,7,7,7,8,18	83,121,130,70,120,117	7,5,1,21,7,16	92,107,62,186,120,157	260	245
51	24,37,19,24,35,33	109,153,161,85,151,143	26,14,25,25,28,22	139,79,69,177,146,141	213	288
53	2735,5651,3593,2376,5523,4937	1163,2557,1701,1141,2441,2186	3938,4280,2758,2615,3911,6102	1677,2002,1147,1265,1617,2605	298	236
54	1,0,0,1,0,0	1,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,1,1	266	266
