ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	2,0,0,0,0,0	13,29,9,8,13,14	0,0,0,0,0,0	8,13,12,12,17,19	195	282
2	0,1,0,0,0,0	0,0,0,2,1,2	0,0,0,0,0,0	0,0,0,0,1,2	323	323
3	10,12,7,7,12,6	11,37,22,27,8,24	12,5,1,12,3,12	13,15,15,20,17,33	246	234
4	0,0,0,0,0,0	0,0,0,0,0,1	0,0,0,0,1,1	0,0,1,3,0,0	323	323
5	0,0,0,0,1,3	0,0,0,0,1,0	0,0,0,3,3,0	0,0,0,0,2,0	323	323
6	3,7,4,1,5,5	6,14,2,7,5,11	6,4,3,8,9,8	14,3,4,4,9,9	203	238
7	16,18,7,3,8,18	86,49,60,34,36,60	13,10,10,7,9,11	27,50,37,48,47,75	226	411
8	57,72,39,81,58,64	36,59,52,46,59,61	51,51,49,63,52,92	23,37,40,78,25,74	267	249
9	21,46,14,27,32,35	46,62,56,48,57,46	27,22,25,56,27,44	42,60,25,67,36,95	225	267
10	17,8,7,3,11,11	24,36,24,17,44,43	11,8,4,15,10,16	34,17,21,44,36,55	216	340
11	118,155,113,92,105,108	6,15,10,11,23,8	118,92,50,141,103,143	16,12,7,20,7,20	242	242
12	23,19,16,1,5,8	15,28,33,14,19,17	16,14,2,11,21,8	23,8,4,9,25,17	243	314
13	21,25,23,10,12,12	6,10,4,2,6,3	17,15,4,19,20,27	1,5,1,7,7,2	254	265
14	6,11,8,4,6,2	9,8,0,2,2,0	5,6,1,8,7,3	2,4,2,1,3,3	279	246
15	11,79,31,30,60,55	12,14,12,9,14,4	31,38,28,46,45,68	17,17,9,15,10,11	257	212
16	9,52,18,22,39,30	58,72,56,47,55,72	25,25,19,27,31,51	62,57,28,90,44,79	257	287
17	4,3,2,4,0,0	76,106,59,40,71,75	0,3,4,2,3,0	60,62,57,56,77,92	194	309
19	26,34,21,14,31,18	10,6,11,5,13,16	25,30,11,18,34,34	17,14,1,7,9,12	236	173
21	37,38,33,26,32,35	11,27,13,15,18,17	32,32,31,47,33,41	15,6,9,21,14,18	312	228
22	23,37,45,25,32,37	11,20,13,15,11,12	19,26,14,48,34,42	10,11,8,20,21,14	593	309
23	0,0,0,0,0,0	37,68,44,21,45,37	0,0,0,1,0,0	20,49,35,54,42,39	167	245
24	21,41,28,18,43,23	46,75,41,52,58,56	31,30,24,33,18,51	80,60,47,88,64,76	245	290
25	130,195,198,125,191,179	74,94,102,59,100,93	140,142,135,175,170,215	81,78,59,112,89,123	292	251
26	21,12,19,13,23,23	7,22,11,12,28,21	11,18,21,21,10,26	5,8,9,27,11,19	298	263
27	5,10,8,5,14,5	17,18,10,16,20,18	3,6,6,7,5,14	18,8,21,25,8,41	260	298
28	68,85,90,46,78,77	44,41,45,30,37,45	64,51,61,18,76,90	26,25,18,9,44,43	504	288
29	12,18,13,2,11,27	11,11,12,9,13,7	17,16,12,12,17,29	13,8,7,11,19,22	242	296
30	275,372,239,147,328,284	153,225,157,85,204,171	531,198,168,276,324,500	257,148,81,166,168,287	290	231
31	10,26,21,15,19,12	23,34,23,33,34,17	22,12,8,28,25,20	21,14,8,33,36,22	320	322
32	67,106,99,53,114,88	29,26,30,19,40,52	117,79,60,129,99,141	36,30,29,62,38,41	626	269
33	30,21,27,18,19,24	13,21,18,12,25,19	20,16,8,19,18,22	17,13,13,10,10,30	306	307
34	19,13,18,10,13,15	13,37,19,11,30,21	13,19,9,37,12,29	18,17,16,20,18,33	263	263
35	7,7,7,3,6,5	13,5,14,2,1,1	10,4,8,5,7,7	11,12,3,1,10,7	278	242
36	0,1,0,1,0,0	1,1,2,0,0,3	0,0,0,0,0,0	1,0,2,1,2,1	242	182
37	3,6,12,4,6,8	30,30,31,24,33,26	10,7,4,14,13,12	30,28,24,50,38,47	184	261
38	6,14,16,9,9,8	8,11,5,10,7,8	12,8,4,20,4,11	9,14,5,6,13,12	254	254
39	2,3,6,3,8,8	124,135,104,111,131,160	4,4,5,8,8,6	124,134,90,193,147,140	298	1012
40	35,79,61,39,56,47	94,142,140,58,124,115	44,52,44,74,99,92	104,98,69,167,134,141	207	241
41	4,2,2,0,5,1	58,125,99,74,104,103	2,0,2,2,6,3	98,64,60,158,112,107	238	207
42	21,25,12,7,11,15	3,6,3,1,14,22	18,17,15,20,20,27	3,5,11,2,9,4	354	277
43	13,11,9,8,8,14	40,48,30,25,54,39	10,12,7,13,7,15	20,28,18,44,31,54	210	288
44	9,10,5,10,7,5	7,14,6,18,3,6	6,12,3,6,2,1	12,10,2,8,1,9	319	269
45	71,105,61,47,60,78	18,9,16,12,20,17	69,64,57,46,67,95	15,6,12,9,16,29	310	185
46	114,132,161,91,128,115	70,75,92,66,80,59	111,103,73,95,106,176	54,59,39,73,86,97	382	279
47	1689,2671,2057,1671,2238,1996	2154,3296,2397,1817,2830,2786	1821,1820,1559,3239,2193,2688	2401,1893,1976,3650,2405,3691	274	277
48	21,29,23,18,46,20	28,56,33,43,67,25	18,29,19,42,14,31	28,27,12,67,33,38	226	238
49	92,90,95,56,81,79	45,51,45,27,47,65	75,74,44,114,95,110	45,38,21,79,43,51	359	282
50	14,7,7,7,9,18	83,121,132,72,120,120	7,5,2,21,7,16	92,107,62,187,120,159	260	245
51	24,37,19,24,35,33	111,155,165,85,151,147	26,14,25,25,28,22	139,83,69,182,147,142	213	288
53	3159,6528,4160,2783,6338,5717	1165,2558,1703,1141,2443,2187	4527,5029,3186,2998,4510,6978	1680,2002,1147,1266,1618,2606	316	236
54	1,0,0,1,0,0	1,0,0,0,0,0	0,0,0,0,0,0	0,0,0,0,1,1	266	266
55	12,14,10,6,13,16	16,23,12,8,17,9	17,12,16,11,17,30	13,10,11,14,14,24	242	229
56	66,74,52,46,75,72	29,45,15,15,43,43	71,47,62,57,62,94	26,33,24,41,32,43	310	213
57	60,82,71,90,92,81	109,147,93,117,130,130	114,76,37,163,85,63	146,102,55,201,120,98	301	174
58	41,50,45,15,25,42	32,52,44,39,30,54	35,32,17,7,42,38	20,26,21,12,38,39	398	296
59	80,86,96,34,65,79	32,52,44,39,30,54	75,67,53,31,80,80	20,26,21,12,38,39	395	296
60	65,44,67,45,48,95	68,49,76,50,94,104	44,60,23,50,47,57	55,61,28,68,59,70	329	317
61	17,10,17,3,15,10	24,28,31,4,18,36	24,9,13,13,16,17	15,24,15,12,16,23	246	261
62	24,23,26,14,30,29	19,29,20,28,17,30	16,11,14,30,20,33	24,12,18,37,37,26	280	304
63	12,21,19,22,14,23	33,52,28,42,52,59	21,13,13,21,11,27	29,55,13,43,40,36	311	368
64	78,89,63,65,64,69	73,89,92,66,81,70	69,36,48,50,67,75	64,72,46,34,71,78	381	237
65	73,59,61,29,58,54	43,62,35,42,42,34	48,30,41,50,73,91	45,29,25,60,52,48	222	211
67	58,103,48,37,74,77	9,8,15,8,20,16	89,55,36,78,62,101	17,9,14,26,14,24	344	204
68	34,55,42,17,48,27	26,47,32,18,36,37	38,35,30,58,36,41	34,27,20,46,38,33	257	244
69	11,18,12,7,19,17	32,48,22,10,37,23	14,17,18,12,19,19	20,25,14,44,27,26	212	260
70	51,232,93,88,199,169	77,332,107,95,271,165	171,88,108,91,97,190	199,98,136,133,98,254	266	265
71	106,122,168,128,129,121	24,31,25,18,23,24	144,108,86,160,129,192	25,24,19,32,26,32	602	266
72	82,53,50,43,59,53	64,77,65,52,41,49	54,55,40,25,59,55	54,43,28,32,64,55	294	300
73	88,91,35,40,82,74	20,33,23,15,17,13	72,57,50,40,66,86	29,11,17,14,26,49	221	350
